P/L Individual Transactions Over £25K,Inv Cert Date between 01/11/2011 and 30/11/2011,,,,,,
Department Family,Entity,Invoice Date,Expense Type,Expense Area,Supplier Name,Invoice Number,Value
Department of Health,Colchester Hospital University NHS Foundation Trust,08/11/2011,OTHER PAYABLES,CURRENT LIABILITIES,CHILDCARE VOUCHERS LTD,IN046993736,833.54
Department of Health,Colchester Hospital University NHS Foundation Trust,08/11/2011,OTHER PAYABLES,CURRENT LIABILITIES,CHILDCARE VOUCHERS LTD,IN046993736,"27,784.74"
Department of Health,Colchester Hospital University NHS Foundation Trust,08/11/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1012126708,"98,188.41"
Department of Health,Colchester Hospital University NHS Foundation Trust,10/11/2011,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,90961006,"53,436.24"
Department of Health,Colchester Hospital University NHS Foundation Trust,10/11/2011,NON CLINICAL SUPPLIES,FACILITIES & ESTATES MGT,CARILLION HEALTH,122664,"42,207.22"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/11/2011,CAPITAL BUILDINGS,CAPITAL SCHEMES,ROSE BUILDERS LTD,9823/3,"175,002.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,14/11/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1012119190CHUFTT,"96,466.14"
Department of Health,Colchester Hospital University NHS Foundation Trust,15/11/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (ALL),1012131089,"101,942.57"
Department of Health,Colchester Hospital University NHS Foundation Trust,15/11/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,SOUTHERN ELECTRIC PLC,231307501/0042,"29,188.23"
Department of Health,Colchester Hospital University NHS Foundation Trust,15/11/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_184494_1,"36,429.77"
Department of Health,Colchester Hospital University NHS Foundation Trust,17/11/2011,OTHER OPERATING EXPENSES,CONTRIBUTION TO NHSLA,NHS LITIGATION AUTHORITY,SICX/00058943,"459,744.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,17/11/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321428917,"1,663.96"
Department of Health,Colchester Hospital University NHS Foundation Trust,17/11/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321428917,"24,444.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,17/11/2011,OTHER OPERATING EXPENSES,NURSING & PATIENT EXPERIENCE,OPTIMUM CONTACT LTD,3044,"48,000.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/11/2011,OTHER PAYABLES,CURRENT LIABILITIES,ANGLIA SUPPORT PARTNERSHIP,1100008084,"37,259.87"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/11/2011,OTHER PAYABLES,CURRENT LIABILITIES,ANGLIA SUPPORT PARTNERSHIP,1100008084,"3,563.05"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/11/2011,OTHER OPERATING EXPENSES,FINANCE,WEST SUFFOLK HOSPITAL NHS TRUST,218281,"35,000.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/11/2011,OTHER OPERATING EXPENSES,PHARMACY,WEST SUFFOLK HOSPITAL NHS TRUST,218281,"1,310.50"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/11/2011,SECONDARY COMMISSIONING,RADIOLOGY,ALLIANCE MEDICAL LTD,1145052,"81,365.68"
Department of Health,Colchester Hospital University NHS Foundation Trust,18/11/2011,SECONDARY COMMISSIONING,RADIOLOGY,ALLIANCE MEDICAL LTD,1145052,574.75
Department of Health,Colchester Hospital University NHS Foundation Trust,18/11/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,1199_185574_1,"41,172.06"
Department of Health,Colchester Hospital University NHS Foundation Trust,21/11/2011,CLINICAL SUPPLIES,ANAESTHETICS,GE CAPITAL EQUIPMENT FINANCE LTD,310625,"35,143.62"
Department of Health,Colchester Hospital University NHS Foundation Trust,22/11/2011,CLINICAL SUPPLIES,ANAESTHETICS,GE CAPITAL EQUIPMENT FINANCE LTD,307210,"35,143.62"
Department of Health,Colchester Hospital University NHS Foundation Trust,23/11/2011,CAPITAL EQUIPMENT,CAPITAL EQUIPMENT,TOSHIBA MEDICAL SYSTEMS,141104474,"300,904.82"
Department of Health,Colchester Hospital University NHS Foundation Trust,23/11/2011,SECONDARY COMMISSIONING,RADIOLOGY,ALLIANCE MEDICAL LTD,1143970,344.85
Department of Health,Colchester Hospital University NHS Foundation Trust,23/11/2011,SECONDARY COMMISSIONING,RADIOLOGY,ALLIANCE MEDICAL LTD,1143970,"63,578.77"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/11/2011,CAPITAL EQUIPMENT,CAPITAL EQUIPMENT,TOSHIBA MEDICAL SYSTEMS,141103934,"45,301.59"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/11/2011,CAPITAL EQUIPMENT,CAPITAL EQUIPMENT,TOSHIBA MEDICAL SYSTEMS,141104258,"51,799.14"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/11/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,COLCHESTER BOROUGH COUNCIL,65712911DEC11,"77,321.00"
Department of Health,Colchester Hospital University NHS Foundation Trust,24/11/2011,CLINICAL SUPPLIES,RADIOLOGY,ACCENTURE (UK) LTD,3003166677,"29,355.60"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/11/2011,NHS PAYABLES,CURRENT LIABILITIES,NHS SUPPLY CHAIN (SMI/SMC),1012135212,"92,155.10"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/11/2011,ACCRUALS,CURRENT LIABILITIES,ROCHE PRODUCTS LTD,1321431770,"41,911.20"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/11/2011,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,90968697,"53,436.24"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/11/2011,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,90968697,708.00
Department of Health,Colchester Hospital University NHS Foundation Trust,25/11/2011,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,90969592,267.48
Department of Health,Colchester Hospital University NHS Foundation Trust,25/11/2011,ACCRUALS,CURRENT LIABILITIES,NOVARTIS PHARMACEUTICALS UK LIMITED,90969592,"31,039.02"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/11/2011,OTHER INCOME,FACILITIES & ESTATES MGT,SWAN HOUSING ASSOCIATION,SWA-ER12-312,"50,162.95"
Department of Health,Colchester Hospital University NHS Foundation Trust,25/11/2011,SUSPENSE,SUSPENSE,NHS PROFESSIONALS LTD,13952504,"37,129.03"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/11/2011,CLINICAL SUPPLIES,PATHOLOGY,HORIBA ABX,1004635,"26,882.38"
Department of Health,Colchester Hospital University NHS Foundation Trust,28/11/2011,CLINICAL SUPPLIES,THERAPIES,ESSEX COUNTY COUNCIL,100428537X,"65,862.72"
Department of Health,Colchester Hospital University NHS Foundation Trust,29/11/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1160002000CHUFT,"68,071.16"
Department of Health,Colchester Hospital University NHS Foundation Trust,29/11/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1060018938,"64,642.43"
Department of Health,Colchester Hospital University NHS Foundation Trust,29/11/2011,SECONDARY COMMISSIONING,NEPHROLOGY,FRESENIUS MEDICAL CARE RENAL SERV. LTD,1060018941,"21,065.80"
Department of Health,Colchester Hospital University NHS Foundation Trust,30/11/2011,CAPITAL EQUIPMENT,CAPITAL EQUIPMENT,OLYMPUS KEYMED,CD1712715,"33,269.94"
Department of Health,Colchester Hospital University NHS Foundation Trust,30/11/2011,CAPITAL EQUIPMENT,CAPITAL EQUIPMENT,OLYMPUS KEYMED,CD1712715,280.05
Department of Health,Colchester Hospital University NHS Foundation Trust,30/11/2011,PREMISES & FIXED PLANT,FACILITIES & ESTATES MGT,SOUTHERN ELECTRIC PLC,261342989/0035,"50,663.97"
Department of Health,Colchester Hospital University NHS Foundation Trust,30/11/2011,NON CLINICAL SUPPLIES,FACILITIES & ESTATES MGT,SUNLIGHT SERVICE GROUP LTD,SN0759780,"76,196.13"
,,,,,,,"3,459,549.09"
Report ID : PL 2_23,Page -1 of 1,Print Date : 15/12/2011
