Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,483.20",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,239.74",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,098.50",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,082.82",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,929.83,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,929.81,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,915.42,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,902.36,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,784.65,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,721.88,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,721.88,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,703.3,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,469.28,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,432.68,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,424.5,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,360.94,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,360.94,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,345.25,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,296.64,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,216.56,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,183.08,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,183.08,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,180.47,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,144.38,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,144.38,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,140.66,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,137.35,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,129.12,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,86.54,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,84.9,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,72.19,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,72.19,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,36.62,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,33.5,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,27.47,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,25.82,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,15,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,6.7,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,3,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,-0.01,"45,111.90"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,4397275,"29,162.80",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,,"5,832.56","34,995.36"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,4401678,"6,198.72",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"5,492.52",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"4,649.13",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"4,649.04",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"3,923.24",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,346.40",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,830.84",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,726.23",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,483.20",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,353.54",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,239.74",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,098.50",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,082.82",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,082.82",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,929.83,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,929.81,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,784.65,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,721.88,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,703.3,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,469.28,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,432.68,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,424.5,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,366.17,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,360.94,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,360.94,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,345.25,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,296.64,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,270.71,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,216.56,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,216.56,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,183.08,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,144.38,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,140.66,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,137.35,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,129.12,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,86.54,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,85.46,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,84.9,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.22,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,72.19,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,72.19,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,36.62,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,33.5,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,27.47,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,25.82,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.09,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.24,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,15,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,6.7,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,3,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,0.02,"48,923.24"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/11/2011,COMPUTER MAINTENANCE,RADIOLOGY,ACCENTURE (UK) LTD,300316465,"59,367.42","71,240.90"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,MISCELLANEOUS EXPENDITURE,FINANCE & BUSINESS,ADVISORY BOARD COMPANY,714594,"28,500.00",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,MISCELLANEOUS EXPENDITURE,FINANCE & BUSINESS,,,10.25,"28,510.25"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,ALLIANCE HEALTHCARE DISTRIBUTION LTD,F1A405550,"20,846.10",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,,"4,169.22","25,015.32"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,F1A505406,"22,862.56",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/11/2011,DRUGS,PHARMACY,,,"4,572.51","27,435.07"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,DRUGS,PHARMACY,,F1AK05358,"30,808.60",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,DRUGS,PHARMACY,,,"6,161.72","36,970.32"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/11/2011,RENAL FLUIDS,RENAL,BAXTER HEALTHCARE LTD,1066884,"67,772.10","67,772.10"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,BECKMAN COULTER UK,1231767,"5,427.60",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,628.75",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,540.80",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,528.32",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,438.32",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,400.40",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,354.92",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,271.52",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,085.52",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,046.80",0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,944.2,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,915,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,893.2,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,893.2,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,750.62,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,620.64,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,581.9,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,567.5,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,558.36,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,543.13,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,468.4,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,448.35,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,374.08,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,325.75,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,308.16,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,305.66,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,287.66,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,280.08,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,275.6,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,270.98,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,254.3,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,247.5,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,220.32,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,220.32,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,220.32,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,209.4,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,209.36,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,191.25,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,188.84,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,183,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,178.64,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,178.64,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,177.86,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,165.39,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,165,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,150.12,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,124.13,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,116.38,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,114.18,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,113.5,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,111.67,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,108.63,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,102,0
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/11/2011,LABORATORY REAGENTS,PATHOLOGY,,,101.98,0
