Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,ASC3030,"34,631.45",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,,"6,926.29","41,557.74 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,ASC3037,"25,659.05",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,DRUGS,PHARMACY,,,"5,131.81","30,790.86 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,ABBOTT LABORATORIES LTD,4316699,"5,920.53",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"4,933.70",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"4,371.65",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"3,947.04",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"3,747.12",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,001.00",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,648.74",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,416.80",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,184.11",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,034.22",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,034.22",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,986.74,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,874.33,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,874.33,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,789.41,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,749.42,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,689.48,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,689.48,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,671.73,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,413.24,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,400.20,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,349.72,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,344.74,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,344.74,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,329.75,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,283.36,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,206.84,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,206.84,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,174.87,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,137.90,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,137.90,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,134.35,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,104.96,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,82.65,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,69.94,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,68.95,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,68.95,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,32.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,20.99,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,15.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,6.40,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,3.04,"42,676.66 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/02/2011,COMPUTER MAINTENANCE,RADIOLOGY,ACCENTURE (UK) LTD,3003144102,"54,304.55","63,807.85 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/02/2011,COMMERCIAL SECTOR,TRANSPORT SERVICES,AMBULINE,1261,"-44,725.57","<44,725.57>"
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/02/2011,COMMERCIAL SECTOR,TRANSPORT SERVICES,,32574,"44,725.57","44,725.57 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,RENAL FLUIDS,RENAL,BAXTER HEALTHCARE LTD,001319367,"50,032.60","50,032.60 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,BECKMAN COULTER UK,1211937,"6,106.05",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,080.08",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,037.62",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,693.90",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,693.65",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,465.52",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,447.08",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,362.13",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,317.47",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,146.24",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,068.56",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,038.62",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,750.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,635.60,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,558.36,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,522.96,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,515.24,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,387.95,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,374.08,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,366.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,320.25,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,312.01,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,305.64,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,254.09,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,254.05,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,247.50,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,219.83,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,217.06,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,204.32,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,197.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,187.76,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,187.76,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,187.76,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,177.86,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,171.94,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,155.79,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,150.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,114.18,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,112.59,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,110.16,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,110.16,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,110.16,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,104.70,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,102.00,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,101.38,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,101.38,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,95.34,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,92.42,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,83.75,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,81.25,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,77.29,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,67.48,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,65.46,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,58.19,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,55.13,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,54.90,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,48.04,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,44.64,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,43.31,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,32.76,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,31.13,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,28.16,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,28.16,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,28.16,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,27.08,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,26.25,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,23.75,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.85,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.74,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.74,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,17.13,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.52,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.52,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,16.52,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,15.71,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,13.86,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,12.19,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,10.61,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,10.12,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,8.42,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,8.27,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,6.70,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,4.91,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,4.16,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,4.06,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,1.59,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,1.47,"32,600.42 "
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,1214256,"6,106.05",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,080.08",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,037.62",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"2,005.92",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,695.36",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,693.90",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,693.65",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,465.52",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,464.00",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,447.08",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,362.13",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,344.86",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,317.47",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,221.21",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,"1,038.62",0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,931.04,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,750.62,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,635.60,0.00 
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/02/2011,LABORATORY REAGENTS,PATHOLOGY,,,558.36,0.00 
