Objective,Title ,Good Results,Period covered ,,Previous Outturn,Target,Outturn,Traffic light
Create the conditions for children to develop skills and acquire knowledge to lead successful adult lives,% reduction the achievement gap between pupils eligible for free school meals and their peers achieving the expected level at KS4,Down,Sep 10 - Jul 11,,28.70%,23.00%,24.70%,Red amber
Create the conditions for children to develop skills and acquire knowledge to lead successful adult lives,% reduction in the Special Education Needs (SEN)/non-SEN gap for achieving 5 A*-C GCSE including English and Maths ,Down,Sep 10 - Jul 11,,52.00%,46.50%,47.50%,Green amber
Create the conditions for children to develop skills and acquire knowledge to lead successful adult lives,% of care leavers in suitable accommodation manitained ,Up, Apr 11 - Sep 11,,100.00%,94%,94.40%,Green
Create the conditions for children to develop skills and acquire knowledge to lead successful adult lives,"% proportion of young people who are not in education, employment or training (NEET) manitained",Down, Apr 11 - Aug 11,,4.20%,4.30%,4.50%,Red
Create the conditions for children to develop skills and acquire knowledge to lead successful adult lives,% increase in the percentage of chldren in care under 16 that are in council (rather than agency) foster placements,Up, Apr 11 - Sep 11,,48.70%,55%,52.50%,Green amber
Increase levels of democratic engagement and creating an open council,% improvement in response times to Freedom of Information requests responded to within 20 working days,Up,Jul 11 - Sep 11,,73.60%,90%,76.30%,Red
Increase levels of democratic engagement and creating an open council,increase in % of residents enrolled on the Electoral Register,Up,Jul 11 - Sep 11,,62.10%,24%,22.50%,Red
"Internal transformation of legal, estates, IS and procurement to align services to their customer requirements",% of services that are in the high performance/low spend quadrant of the Capital Ambition analysis,Up,Apr 11-Jun 11,,83.30%,80%,67.00%,Red
Reduce sickness absence within the authority,Reduce the average number of absence days per employee per year ,Down,Oct 11 - Sep 11,,8,6,8.1,Red
Decrease overall levels of household waste whilst increasing the proportion of waste being recycled,Number of kgs of residual household waste per household,Down,Apr 11 - Jun 11,,730.4,730,719.7,Green
Decrease overall levels of household waste whilst increasing the proportion of waste being recycled,"% of household waste sent for reuse, recycling and composting ",Up,Apr 11 - Jun 11,,36.00%,36.70%,35.70%,Red amber
Work with residents to reduce C02 emissions in Barnet ,% of new homes granted planning permission on major applications required to meet level 4 for the Code for Sustainable Homes,Up,Apr 11 - Sep 11,,0.00%,50%,11.10%,Red
Work with residents to reduce C02 emissions in Barnet ,"Number of private sector homes with improved insulation and/or heating achieved through grants, advice and compliance as necessary",Up,Jul 11 - Sep 11,,14,15,17,Green
Ensure that effective and efficient housing advice and assistance  is provided to residents in housing need,Number of short-term nightly purchased temporary accommodation,Down,Sep-11,,204,250,218,Green
Ensure that effective and efficient housing advice and assistance  is provided to residents in housing need,Number of homelessness acceptances,Down,Apr 11 - Sep 11,,124,150,130,Green
