Table 8. Total DFID Expenditure and GPEX by Region and Country Groupings 2008/09 - 2012/131,,,,,,,,,,,,,,
,,,   ,   ,   ,,,,,,   ,,, £ thousand 
of which:,2008/09, 342 748, 161 252, 133 665, 209 364, 207 108, 158 231, 7 786, 236 858, 6 163,1 463 174, 117 025,1 580 402, 898 575
Africa: South of Sahara,2009/10, 333 150, 158 163, 146 365, 192 648, 276 347, 125 616, 13 213, 291 836, 2 022,1 539 360,  121 113 ,1 660 472, 934 277
,2010/11, 310 467, 185 454, 205 460, 242 213, 393 112, 135 751, 47 445, 184 984, 55 358,1 760 245,  205 393 ,1 965 639,1 120 466
,2011/12, 222 290, 242 372, 222 158, 285 327, 356 386, 190 709, 38 047, 248 159, 1 713,1 807 161,  239 342 ,2 046 503,1 125 369
,2012/13, 167 343, 213 090, 297 050, 340 240, 265 232, 180 258, 70 965, 266 401, 1 124,1 801 704,  147 975 ,1 949 679,
,,,,,,,,,,,,,,
Americas,2008/09, - , - , 19 319, 8 807, 5 217, 3 432, - , 11 262, - , 48 036, 27 339, 75 376, 93 340
,2009/10, - , - , 25 444, 5 903, 16 248, 2 209,  995, 13 844,  47, 64 690,  34 171 , 98 861, 153 055
,2010/11, - , - , 20 103, 3 170, 29 618, 1 624, 3 170, 7 442, 1 706, 66 833,  65 202 , 132 035, 211 026
,2011/12, - , - , 26 576, 3 932, 14 004, 2 215,  526, 2 537, - , 49 789,  56 853 , 106 642, 164 532
,2012/13, - , - , 30 440, 2 552, 11 979, 1 947,  364, 6 383,  , 53 665,  108 300 , 161 965,
,,,,,,,,,,,,,,
Asia,2008/09, 50 000, 94 668, 353 620, 139 252, 207 482, 88 848, 4 753, 143 045, 6 092,1 087 760, 645 936,1 733 696, 495 978
,2009/10, 50 000, 89 289, 338 246, 130 317, 225 697, 133 166, 11 691, 103 187, 7 553,1 089 144,  264 409 ,1 353 553, 562 511
,2010/11, 50 000, 95 250, 313 750, 135 553, 257 527, 110 479, 13 349, 109 028, 8 508,1 093 443,  376 534 ,1 469 977, 961 167
,2011/12, 20 000, 52 000, 293 140, 142 103, 413 386, 130 578, 15 342, 88 841, 9 218,1 164 608,  298 961 ,1 463 569, 750 236
,2012/13, - , 29 700, 349 146, 158 565, 230 559, 154 291, 17 503, 147 882, 9 781,1 097 428,  284 923 ,1 382 351,
,,,,,,,,,,,,,,
Europe,2008/09, - , - , 2 853, 15 855, 8 662, 1 490, - , 3 199, 1 821, 33 880, 19 404, 53 284, 323 966
,2009/10, - , 3 500, 1 076, 7 522, 5 949, 1 346,  2, 1 161,  297, 20 853,  24 321 , 45 174, 286 505
,2010/11, - , 2 500, 2 239, 7 030, 4 703,  937,  68,  26,  365, 17 868,  16 335 , 34 203, 376 737
,2011/12, - , - ,, 3 230,  244,  344,-  14,  425,  378, 4 607,  21 385 , 25 992, 327 728
,2012/13, - , - , 6 746, 2 305,  782,  193,  12,  7,  , 10 046,  24 846 , 34 892,
,,,,,,,,,,,,,,
Pacific,2008/09, - , - , 1 821,  375, - ,  449, - , - ,  144, 2 790, 1 217, 4 007, 6 666
,2009/10, - , - , 1 745,  3, - ,  139, - ,  100,  155, 2 142,  1 001 , 3 142, 15 882
,2010/11, - , - , 2 235,  212, - , - , - , - ,  191, 2 638,  1 542 , 4 180, 29 355
,2011/12, - , - , 2 738,  36, - , - , - , - ,  212, 2 986,  1 060 , 4 046, 12 213
,2012/13,-,-, 2 883,  11,-,-,-,  150,  166, 3 210,  10 080 , 13 290,
,,,,,,,,,,,,,,
Non Region Specific,2008/09, - , - , 5 151, 134 445, 190 493, 192 667, 4 348, 51 128,  446, 578 679, 127 566, 706 246, 296 761
,2009/10, - , - ,  442, 76 892, 684 081, 313 371, 1 293, 22 671, 35 203,1 133 952,  216 818 ,1 350 770, 515 390
,2010/11, - , - ,  442, 73 386, 736 445, 355 473, 11 553, 22 442,  332,1 200 074,  357 339 ,1 557 412, 521 020
,2011/12, - , - ,  167, 80 546, 590 230, 393 421, 20 473, 2 161, 3 433,1 090 431,  308 869 ,1 399 300, 957 152
,2012/13,-,-,-  695, 106 063, 515 415, 383 211, 24 640, 4 591, 6 097,1 039 323,  406 042 ,1 445 365,
,,,,,,,,,,,,,,
Total Developing Countries4,2008/09, 392 748, 255 920, 515 431, 514 235, 656 448, 462 406, 17 030, 449 163, 19 425,3 282 806,1 049 924,4 332 730,1 875 847
,2009/10, 383 150, 250 951, 514 817, 419 384,1 263 457, 599 192, 34 668, 434 386, 52 061,3 952 066,  806 901 ,4 758 966,2 176 674
 ,2010/11, 360 467, 283 204, 550 728, 467 358,1 464 655, 626 506, 76 009, 349 290, 66 460,4 244 679, 1 063 841 ,5 308 520,2 579 394
,2011/12, 242 290, 294 372, 541 881, 525 763,1 404 592, 739 319, 81 372, 354 131, 14 954,4 198 672,  974 497 ,5 173 169,2 500 813
,2012/13, 167 343, 242 790, 685 571, 638 258,1 074 957, 747 302, 119 120, 476 878, 17 169,4 169 389, 1 061 958 ,5 231 347,
,,,,,,,,,,,,,,
Least Developed Countries ,2008/09, 283 200, 152 270, 180 330, 141 904, 215 441, 151 481, 12 039, 271 787, 7 375,1 415 827, 98 854,1 514 681, 822 236
,2009/10, 285 150, 139 191, 240 570, 137 112, 240 247, 163 571, 20 634, 279 621, 3 636,1 509 732,  127 395 ,1 637 127, 747 046
,2010/11, 274 467, 167 454, 248 317, 165 797, 396 371, 164 974, 36 065, 199 400, 19 896,1 672 742,  124 833 ,1 797 575,1 078 868
,2011/12, 210 000, 210 372, 196 839, 160 589, 408 071, 221 335, 36 995, 147 398, 4 612,1 596 211,  240 621 ,1 836 832, 943 651
,2012/13, 153 235, 203 090, 329 843, 220 994, 273 248, 232 812, 66 016, 282 805, 4 857,1 766 900,  153 002 ,1 919 902,
,,,,,,,,,,,,,,
Commonwealth,2008/09, 339 748, 132 602, 369 003, 236 858, 139 601, 138 491, 1 041, 65 368, 1 072,1 423 785, 227 746,1 651 531, 597 982
 ,2009/10, 330 150, 133 084, 341 646, 207 327, 144 154, 152 690, 7 766, 77 445, 1 740,1 396 002,  172 455 ,1 568 457, 673 705
 ,2010/11, 340 467, 169 254, 362 725, 250 728, 247 917, 139 987, 35 191, 96 664, 1 111,1 644 044,  278 938 ,1 922 983,1 060 099
,2011/12, 222 290, 147 539, 441 137, 278 081, 305 734, 191 852, 30 273, 94 825, 1 135,1 712 866,  217 105 ,1 929 971, 910 175
,2012/13, 167 343, 114 290, 487 666, 329 497, 204 792, 208 203, 52 367, 80 472, 1 291,1 645 921,  195 348 ,1 841 269,
,,,,,,,,,,,,,,
of which,2007/08, - , - , 29 657, 6 226,  10,  349, - ,  3,  107, 36 352,  448, 36 800, 1 613
Overseas Territories,2009/10, - , - , 45 921, 3 719, - ,  139, - ,  170, - , 49 948,   236 , 50 184,  113
 ,2010/11, - , - , 45 882, 7 142, - ,  242, - , - , - , 53 267,   843 , 54 110,  6
,2011/12, - , - , 88 269, 4 232, - ,  90, - , - , - , 92 591,   796 , 93 387, 2 389
,2012/13, - , - , 130 123, 3 581,    0 ,  201, - , - , - , 133 905,   486 , 134 391,
,,,,,,,,,,,  ,,,
HIPC Countries,2008/09, 342 748, 161 252, 163 052, 83 335, 178 973, 86 182, 8 219, 215 033, 3 773,1 242 568, 98 913,1 341 481, 809 455
,2009/10, 333 150, 158 163, 189 869, 82 710, 190 877, 83 056, 11 350, 262 912,-  478,1 311 608,  127 759 ,1 439 366, 768 102
,2010/11, 310 467, 185 454, 193 421, 115 476, 318 635, 88 733, 26 442, 184 608, 55 564,1 478 800,  198 485 ,1 677 285, 993 262
,2011/12, 222 290, 242 372, 154 929, 114 231, 290 711, 122 120, 29 698, 132 324, - ,1 308 676,  237 055 ,1 545 731,610 257
,2012/13, 167 343, 213 090, 171 428, 303 951, 190 153, 122 886, 59 125, 245 884,-,1 473 861,   175 155 ,1 649 016,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1.    Descriptions of aid types given in Technical Note 1.,,,,,,,,,,,,,,
2.    Other Bilateral Aid covers bilateral aid not elsewhere classified,,,,,,,,,,,,,,
3.    Details on DFID Imputed Multilateral Shares are in Section 2; 2012/13 data are not yet available.,,,,,,,,,,,,,,
"4.    Developing Countries are those countries and regions in the DAC List of Recipients of Official Development Assistance. Since the 2008 edition of SID, Turks and Caicos,Barbados and Trinidad & Tobago and Saudi Arabia have been removed from the DAC list. ",,,,,,,,,,,,,,
"5.    Pension payments have been reclassified from ""Other Financial Aid"" to ""Aid from other UK Official Sources"".  This is consistent with the classification of spending under Department Expenditure Limits (DEL) agreed with Treasury.",,,,,,,,,,,,,,
