Minister,Date,Name of External Organisation,Purpose of meeting
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,British Insurance Brokers’ Association,Motor Insurance Issues
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,BAA,Aviation Issues
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Centro,Rail Industry Plan
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,UK Mail,HS2
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Rail Delivery Group,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Alstom Transportation,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Bombardier Transportation,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Construcciones y Auxiliar de Ferrocarriles (CAF),Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Hitachi Rail Europe,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Siemens Rail Systems,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Association of Train Operating Companies,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Railway Industry Association,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Rail Alliance,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Rail Freight Group,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Wabtec  ,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Railcare,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Unipart,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Invensys,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Angel Trains,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Evershot Rail,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Porterbrook Leasing Company Ltd,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Network Rail Investment Projects,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,London Underground & London Rail,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Crossrail,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,HS2 Ltd,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Tata Steel Europe,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,NSARE,Rail Supply Chain Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Living Streets,Walk to work week
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Hitachi,Introductory Meeting
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Sir Keith Bright,HS2
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Federation of Small Businesses,Introductory Meeting
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Confederation of Passenger Transport,Bus discussion
Secretary of State for Transport - The Rt Hon Justine Greening MP,May-12,Passenger Transport Executives Group ,Rail and Bus discussion
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Siemens,Introductory Meeting
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Jaguar Land Rover,Introductory Meeting (and Visit)
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Rail Delivery Group,Regular Catch-up Meeting
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Greenpeace,Fuel Directive
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Bristol Port Company,Introductory Meeting
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Stagecoach,Rail and Bus Discussion
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Disability Rights UK,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Association of Transport Co-ordinating Officers,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Oxfordshire Unlimited,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Bus Users UK. ,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Royal National Institute of Blind People ,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,First Group,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Joint Committee on Mobility for Disabled People,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Action on Hearing Loss,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Leonard Cheshire Disability,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Passenger Focus,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Age UK,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,DPTAC.,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Transport for All,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Mencap,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Equalities and Human Rights Commission ,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Confederation of Passenger Transport UK,Disability Forum
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Campaign for Better Transport,HS2 Environmental Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Campaign to Protect Rural England,HS2 Environmental Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,National Association of AONBs,HS2 Environmental Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,National Trust,HS2 Environmental Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Ramblers Association,HS2 Environmental Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Heritage Alliance,HS2 Environmental Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Friends of the Earth,HS2 Environmental Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Greenpeace,HS2 Environmental Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,The Wildlife Trusts,HS2 Environmental Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,RSPB,HS2 Environmental Roundtable
Secretary of State for Transport - The Rt Hon Justine Greening MP,Jun-12,Woodland Trust,HS2 Environmental Roundtable
Minister of State for Transport   The Rt Hon Theresa Villiers MP,Apr-12,ATOC (Association of Train Operating Companies),Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,Apr-12,Angel trains,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,Apr-12,First Transpennine Express,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,Apr-12,Parsons Group International Ltd,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,National Skills Academy Railway Engineering (NSARE),Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,BAA & CAA,Aviation issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Wycombe District Council,Aviation issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Nigel Adams MP and Selby Rail Users Group,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Adrian Shooter,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,"Plymouth MPs, business leaders and council leaders",Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Gary Streeter MP,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Alison Seabeck MP,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Oliver Colvile MP,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Plymouth Manufacturing Group ,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Plymouth City Council,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Councillor Kevin Wigens,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Patrick Mercer MP and Newark Business Club,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,My UK Access Ltd,Olympics / Paralympics
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Enfield MPs and Enfield Council,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,"David Burrowes MP, Nick de Bois MP, Andy Love MP, Neil Rousell, Enfield Council’s Director of Regeneration & Leader of the Council, Cllr Doug Taylor",Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Heathrow Airport Consultative Committee (HACC),Aviation issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,May-12,Cross party delegation of Tees Valley MPs and The Peel Group,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,Jun-12,Association of international Couriers & Express service (AICES),Aviation issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,Jun-12,Northern rail,Rail issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,Jun-12,EasyJet,Aviation issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,Jun-12,Strategic Aviation Special Interest Group (SASIG),Aviation issues
Minister of State for Transport   The Rt Hon Theresa Villiers MP,Jun-12,Angel trains,Rail issues
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Apr-12,Addison Lee,Taxi industry
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Apr-12,The Newspaper Society,Advertising 
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Apr-12,Network Rail,Metal theft
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Apr-12,Halfords,Introductory meeting 
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Apr-12,"Network Rail, Train Operating Companies Owning Group, and National Task Force",Rail performance
Parliamentary Under Secretary of State for Transport   Norman Baker MP,May-12,National Pensioners Convention,Concessionary travel
Parliamentary Under Secretary of State for Transport   Norman Baker MP,May-12,"Disability Rights UK, Leonard Cheshire, Guide Dogs UK, Mental Health Action Group, Mersey Travel, Choice Support, Essex Coalition of Disabled People, Trailblazers, Transport for All, National Express, Mencap, Disabled Persons Transport Advisory Committee, Joint Committee on Mobility for Disabled People, Office for Disability Issues",Disability workshop
Parliamentary Under Secretary of State for Transport   Norman Baker MP,May-12,Deutsche Bahn,Catch-up
Parliamentary Under Secretary of State for Transport   Norman Baker MP,May-12,Shell,Biofuels
Parliamentary Under Secretary of State for Transport   Norman Baker MP,May-12,Agri Energy,Biofuels
Parliamentary Under Secretary of State for Transport   Norman Baker MP,May-12,Aidan Burley MP and New Life Charity,Powered wheelchairs
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Jun-12,The Association of Train Operating Companies,Catch-up
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Jun-12,Railfuture,Transport issues
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Jun-12,UNITE,Transport issues
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Jun-12,National Joint Utilities Group,Street works
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Jun-12,British Cycling,Cycling
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Jun-12,Confederation of Passenger Transport,Transport issues
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Jun-12,Elektromotive,Electric vehicles
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Jun-12,The Association of Train Operating Companies,Rail
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Jun-12,"Disability Rights UK, Leonard Cheshire, Royal National Institute for the Blind, Disability Hate Crime Network, Transport for All, Association of Train Operating Companies, Employers’ Forum on Disability, Disabled Persons Transport Advisory Committee, Joint Committee on Mobility for Disabled people, Oxfordshire Unlimited, Confederation of Passenger Transport UK, First Group Plc, Passenger Focus, Breakthrough UK, Age UK, Mencap, Bus Users UK, Association of Transport Coordinating Officers, Association of Train Operating Companies, Action on Hearing Loss, Guide Dogs UK.",Disability Summit
Parliamentary Under Secretary of State for Transport   Norman Baker MP,Jun-12,"Network Rail, Rail Freight Operators Association, Train Operating Companies Owning Group, Office of Rail Regulation, National Task Force",Rail performance delivery group
Parliamentary Under Secretary of State for Transport   Mike Penning MP,Apr-12,Nautilus International ,Maritime issues
Parliamentary Under Secretary of State for Transport   Mike Penning MP,Apr-12,Dover Harbour Board ,Accelerated low water corrosion & No1 berth.
Parliamentary Under Secretary of State for Transport   Mike Penning MP,Apr-12,The Business Services Association ,UK's road infrastructure 
Parliamentary Under Secretary of State for Transport   Mike Penning MP,May-12,The Chamber of Shipping ,The General Lighthouse Authorities
Parliamentary Under Secretary of State for Transport   Mike Penning MP,Jun-12,Newham Council ,Unlicensed & uninsured vehicles 
Parliamentary Under Secretary of State for Transport   Mike Penning MP,Jun-12,Dual the A1 Campaign ,The A1 road 
Parliamentary Under Secretary of State for Transport   Mike Penning MP,Jun-12,Diabetes UK,Transport issues
Note:,,,
"Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of devolved or foreign governments.",,,
