Department,Entitly, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction number, Amount, Invoice Description
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£1,305.00",
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£3,915.00",
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£2,475.00",
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,£627.00,
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,£940.50,
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£1,455.00",
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,£774.00,
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-101 ,"£1,095.00",
DFID ,DFID,23/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100083-102 ,"£8,058.02",
DFID ,DFID,09/03/2015,Vehicle Repairs & Maintenance ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,£884.47,
DFID ,DFID,09/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,"£1,007.42",
DFID ,DFID,16/03/2015,Telephone Usage & services ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,"£2,082.64",
DFID ,DFID,16/03/2015,Telephone Usage & services ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,£971.52,
DFID ,DFID,04/03/2015,Telephone Usage & services ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,"£1,972.29",
DFID ,DFID,04/03/2015,Telephone Usage & services ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,£974.44,
DFID ,DFID,04/03/2015,Vehicle Repairs & Maintenance ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,£632.93,
DFID ,DFID,04/03/2015,Vehicle Repairs & Maintenance ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,£551.77,
DFID ,DFID,20/03/2015,Telephone Usage & services ,East and Central Africa ,Foreign & Commonwealth Office ,100082-101 ,"£2,094.23",
DFID ,DFID,10/03/2015,Secure Staff Accommodation ,International Relations Division ,Foreign & Commonwealth Office ,100086-101 ,"£1,175.18",
DFID ,DFID,23/03/2015,Air fares ,Research and Evidence Division ,Corporate Travel Provider ,100088-101 ,£962.86,
DFID ,DFID,16/03/2015,Secure Staff Accommodation ,West and Southern Africa ,Foreign & Commonwealth Office ,100096-101 ,"£23,230.30",
DFID ,DFID,23/03/2015,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,"£1,978.76",
DFID ,DFID,23/03/2015,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,"£1,925.26",
DFID ,DFID,23/03/2015,Air fares ,Global Funds ,Corporate Travel Provider ,100098-101 ,"£1,925.26",
DFID ,DFID,31/03/2015,Reproduction & Printing Materials ,Group Operations ,Banner,100106-101 ,£508.32,
DFID ,DFID,23/03/2015,Air fares ,International Finance Division ,Corporate Travel Provider ,100111-101 ,"£1,107.75",
DFID ,DFID,23/03/2015,Air fares ,International Finance Division ,Corporate Travel Provider ,100111-101 ,"£1,107.75",
DFID ,DFID,23/03/2015,Air fares ,International Finance Division ,Corporate Travel Provider ,100111-101 ,"£1,112.05",
DFID ,DFID,23/03/2015,Air fares ,International Finance Division ,Corporate Travel Provider ,100120-101 ,£581.55,
DFID ,DFID,23/03/2015,Air fares ,International Finance Division ,Corporate Travel Provider ,100120-101 ,£564.07,
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£863.81,
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£863.81,
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£863.81,
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,"£1,006.05",
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,"£1,062.36",
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,"£1,122.05",
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,"£1,122.05",
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£946.61,
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,"£1,306.55",
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,"£1,306.55",
DFID ,DFID,23/03/2015,Air fares ,Internal Audit ,Corporate Travel Provider ,100121-101 ,£863.81,
DFID ,DFID,31/03/2015,Conferences  Seminars & Meeting/Event Resource ,Internal Audit ,ACFE,100121-101 ,£911.15,
DFID ,DFID,31/03/2015,Conferences  Seminars & Meeting/Event Resource ,Internal Audit ,ACFE,100121-101 ,£911.15,
DFID ,DFID,09/03/2015,Repairs  Maintenance and Alterations â€“ Other Building Costs ,East and Central Africa ,Foreign & Commonwealth Office ,100136-101 ,"£1,725.34",
DFID ,DFID,16/03/2015,Printer Consumables ,East and Central Africa ,Foreign & Commonwealth Office ,100137-101 ,£954.40,
DFID ,DFID,16/03/2015,Hotels - Accommodation only ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100146-101 ,"£1,275.52",
DFID ,DFID,23/03/2015,Air fares ,Middle East  Humanitarian & Conflict Division ,Corporate Travel Provider ,100146-101 ,£578.14,
DFID ,DFID,16/03/2015,Hotels - Accommodation only ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100146-101 ,"£1,315.86",
DFID ,DFID,16/03/2015,Hotels - Accommodation only ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100146-101 ,"£1,196.23",
DFID ,DFID,16/03/2015,Hotels - Accommodation only ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100146-101 ,"£2,033.96",
DFID ,DFID,16/03/2015,Hotels - Accommodation only ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100146-101 ,£956.98,
DFID ,DFID,23/03/2015,Hotels - Accommodation only ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100146-101 ,£837.36,
DFID ,DFID,04/03/2015,Hotels - Accommodation only ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100146-101 ,£765.32,
DFID ,DFID,04/03/2015,Hotels - Accommodation only ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100146-101 ,£745.96,
DFID ,DFID,23/03/2015,Air fares ,West and Southern Africa ,Supplier Name withheld ,100152-114 ,"£1,106.05",
DFID ,DFID,16/03/2015,Storage & Distribution costs ,West and Southern Africa ,Foreign & Commonwealth Office ,100153-101 ,"£4,198.01",
DFID ,DFID,23/03/2015,Air fares ,Communications Division ,Corporate Travel Provider ,100154-101 ,£881.63,
DFID ,DFID,23/03/2015,Hotels - Accommodation only ,Western Asia Division ,Corporate Travel Provider ,100185-101 ,£653.56,
DFID ,DFID,16/03/2015,Furniture & Fittings ,Western Asia Division ,Foreign & Commonwealth Office ,100185-101 ,£659.26,
DFID ,DFID,31/03/2015,Hotels - Accommodation only ,Policy Division ,AIRBNB,100191-101 ,£871.00,
DFID ,DFID,31/03/2015,Hotels - Accommodation only ,Policy Division ,Mobile World Congress,100191-101 ,£618.11,
DFID ,DFID,23/03/2015,Air fares ,Policy Division ,Corporate Travel Provider ,100191-101 ,£550.04,
DFID ,DFID,23/03/2015,Air fares ,Policy Division ,Corporate Travel Provider ,100191-101 ,£583.15,
DFID ,DFID,10/03/2015,Secure Staff Accommodation ,Policy Division ,Foreign & Commonwealth Office ,100191-101 ,"£2,653.57",
DFID ,DFID,16/03/2015,Printer Consumables ,East and Central Africa ,Foreign & Commonwealth Office ,100218-101 ,£954.40,
DFID ,DFID,09/03/2015,Repairs  Maintenance and Alterations â€“ Other Building Costs ,East and Central Africa ,Foreign & Commonwealth Office ,100219-101 ,"£1,725.34",
DFID ,DFID,09/03/2015,Secure Staff Accommodation ,West and Southern Africa ,Foreign & Commonwealth Office ,100220-101 ,£908.57,
DFID ,DFID,20/03/2015,Secure Staff Accommodation ,West and Southern Africa ,Foreign & Commonwealth Office ,100220-101 ,"£10,640.48",
DFID ,DFID,23/03/2015,Air fares ,Business Change and Strategy Division ,Corporate Travel Provider ,100225-101 ,£910.61,
DFID ,DFID,23/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100227-101 ,"£1,041.66",
DFID ,DFID,23/03/2015,Air fares ,Communications Division ,Corporate Travel Provider ,100197-101 ,"£3,203.06",
DFID ,DFID,23/03/2015,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,"£4,661.56",
DFID ,DFID,23/03/2015,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-102 ,"£2,817.06",
DFID ,DFID,23/03/2015,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-103 ,"£3,203.06",
DFID ,DFID,23/03/2015,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-104 ,"£1,598.31",
DFID ,DFID,23/03/2015,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-104 ,"£1,138.26",
DFID ,DFID,20/03/2015,Travel - Subsistence ,Top Management Group ,Foreign & Commonwealth Office ,100232-106 ,£867.33,
DFID ,DFID,23/03/2015,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-108 ,£706.00,
DFID ,DFID,23/03/2015,Air fares ,Top Management Group ,Corporate Travel Provider ,100232-108 ,£706.00,
DFID ,DFID,10/03/2015,Operating Lease rental of buildings ,International Relations Division ,Foreign & Commonwealth Office ,100236-101 ,"£4,030.24",
DFID ,DFID,10/03/2015,Secure Staff Accommodation ,International Relations Division ,Foreign & Commonwealth Office ,100236-101 ,"£2,861.48",
DFID ,DFID,09/03/2015,Secure Staff Accommodation ,International Relations Division ,Foreign & Commonwealth Office ,100236-101 ,"£2,690.12",
DFID ,DFID,05/03/2015,Office Equipment - Maintenance ,International Relations Division ,Foreign & Commonwealth Office ,100238-101 ,"£2,102.00",
DFID ,DFID,16/03/2015,Office Equipment - Purchases ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,100244-101 ,"£1,250.17",
DFID ,DFID,23/03/2015,Air fares ,International Relations Division ,Corporate Travel Provider ,100262-101 ,£606.00,
DFID ,DFID,31/03/2015,Conferences  Seminars & Meeting/Event Resource ,International Relations Division ,Whitehall and Industry Group,100262-101 ,£780.00,
DFID ,DFID,10/03/2015,Secure Staff Accommodation ,International Relations Division ,Foreign & Commonwealth Office ,100262-101 ,"£1,928.72",
DFID ,DFID,13/03/2015,Secure Staff Accommodation ,International Relations Division ,Foreign & Commonwealth Office ,100262-101 ,"£1,745.38",
DFID ,DFID,23/03/2015,Other passenger transport ,Human Resources ,Corporate Travel Provider ,100268-101 ,£586.00,
DFID ,DFID,23/03/2015,Hotels - Accommodation only ,Human Resources ,Corporate Travel Provider ,100268-101 ,£608.24,
DFID ,DFID,09/03/2015,Air fares ,Human Resources ,Foreign & Commonwealth Office ,100269-128 ,£539.55,
DFID ,DFID,23/03/2015,Hotels - Accommodation only ,Human Resources ,Corporate Travel Provider ,100269-128 ,£525.83,
DFID ,DFID,23/03/2015,Hotels - Accommodation only ,Human Resources ,Corporate Travel Provider ,100269-128 ,£545.45,
DFID ,DFID,31/03/2015,Hotels - Accommodation only ,Policy Division ,Hotel N’vY One,100274-111 ,£541.98,
DFID ,DFID,31/03/2015,Hotels - Accommodation only ,Policy Division ,Hotel N’vY One,100274-111 ,£541.98,
DFID ,DFID,23/03/2015,Air fares ,Policy Division ,Corporate Travel Provider ,100274-111 ,£974.66,
DFID ,DFID,23/03/2015,Hotels - Accommodation only ,Policy Division ,Corporate Travel Provider ,100275-105 ,"£1,508.07",
DFID ,DFID,23/03/2015,Air fares ,Policy Division ,Corporate Travel Provider ,100277-102 ,£910.86,
DFID ,DFID,23/03/2015,Air fares ,Policy Division ,Corporate Travel Provider ,100277-102 ,£652.11,
DFID ,DFID,23/03/2015,Gas ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,£514.90,
DFID ,DFID,16/03/2015,Air fares ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,"£1,544.81",
DFID ,DFID,16/03/2015,Air fares ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,£516.23,
DFID ,DFID,16/03/2015,Air fares ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,£509.78,
DFID ,DFID,16/03/2015,Training - Course Fees ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,"£1,092.44",
DFID ,DFID,16/03/2015,Office Supplies ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,"£2,601.47",
DFID ,DFID,09/03/2015,Electricity ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,£580.52,
DFID ,DFID,09/03/2015,Water charges ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,£535.40,
DFID ,DFID,09/03/2015,Cleaning Costs ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,£655.10,
DFID ,DFID,09/03/2015,Other rentals ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,£894.77,
DFID ,DFID,09/03/2015,Project delivery costs â€“ supplier services ,Middle East  Humanitarian & Conflict Division ,Foreign & Commonwealth Office ,100303-101 ,"£1,262.49",
DFID ,DFID,23/03/2015,Air fares ,Western Asia Division ,Corporate Travel Provider ,101601-110 ,"£1,518.98",
DFID ,DFID,23/03/2015,Air fares ,Western Asia Division ,Corporate Travel Provider ,101601-110 ,£716.57,
DFID ,DFID,23/03/2015,Air fares ,Western Asia Division ,Corporate Travel Provider ,101601-110 ,"£1,209.57",
DFID ,DFID,23/03/2015,Air fares ,Western Asia Division ,Corporate Travel Provider ,101601-110 ,"£1,592.54",
DFID ,DFID,23/03/2015,Air fares ,Western Asia Division ,Corporate Travel Provider ,101601-110 ,"£1,656.64",
DFID ,DFID,23/03/2015,Air fares ,Western Asia Division ,Corporate Travel Provider ,101601-110 ,£970.20,
DFID ,DFID,23/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101603-101 ,"£1,133.53",
DFID ,DFID,23/03/2015,Air fares ,Asia  Caribbean and Overseas Territories ,Corporate Travel Provider ,101603-102 ,£559.31,
DFID ,DFID,13/03/2015,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101604-101 ,"£3,871.74",
DFID ,DFID,18/03/2015,Travel - Subsistence ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101604-101 ,£992.06,
DFID ,DFID,10/03/2015,Hostile Environment Training ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101604-101 ,£662.14,
DFID ,DFID,10/03/2015,Telephone Usage & services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101604-101 ,£689.15,
DFID ,DFID,05/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101604-101 ,£515.04,
DFID ,DFID,05/03/2015,Air fares ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101604-101 ,£935.48,
DFID ,DFID,05/03/2015,Telephone Usage & services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101604-101 ,£730.47,
DFID ,DFID,05/03/2015,Repairs  Maintenance and Alterations â€“ Other Building Costs ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101604-101 ,"£3,298.60",
DFID ,DFID,20/03/2015,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,"£10,185.19",
DFID ,DFID,20/03/2015,Conferences  Seminars & Meeting/Event Resource ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,"£1,156.75",
DFID ,DFID,20/03/2015,Air fares ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,"£5,396.17",
DFID ,DFID,23/03/2015,Air fares ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,"£2,166.88",
DFID ,DFID,23/03/2015,Conferences  Seminars & Meeting/Event Resource ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,"£1,981.03",
DFID ,DFID,23/03/2015,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,"£10,389.11",
DFID ,DFID,23/03/2015,Travel - Subsistence ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,"£1,620.37",
DFID ,DFID,23/03/2015,Training - Travel & Subsistence ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,£574.74,
DFID ,DFID,09/03/2015,Air fares ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,"£1,054.89",
DFID ,DFID,23/03/2015,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£1,155.97",
DFID ,DFID,23/03/2015,Air fares ,East and Central Africa ,Corporate Travel Provider ,101612-101 ,£754.48,
DFID ,DFID,23/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£530.30,
DFID ,DFID,23/03/2015,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£10,300.48",
DFID ,DFID,23/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£513.55,
DFID ,DFID,20/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£739.07,
DFID ,DFID,20/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£756.28,
DFID ,DFID,20/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£1,003.61",
DFID ,DFID,20/03/2015,Air fares ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£785.20,
DFID ,DFID,20/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£570.25,
DFID ,DFID,20/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£678.20,
DFID ,DFID,20/03/2015,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£12,062.69",
DFID ,DFID,20/03/2015,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£7,722.11",
DFID ,DFID,04/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£543.80,
DFID ,DFID,04/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£540.19,
DFID ,DFID,04/03/2015,Air fares ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£599.33,
DFID ,DFID,04/03/2015,Medical/Health Services ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£564.09,
DFID ,DFID,04/03/2015,Hotels - Accommodation only ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£631.43,
DFID ,DFID,04/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£539.55,
DFID ,DFID,04/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£565.32,
DFID ,DFID,04/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£883.92,
DFID ,DFID,04/03/2015,Hostile Environment Training ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£712.89,
DFID ,DFID,04/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£622.95,
DFID ,DFID,09/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£781.67,
DFID ,DFID,09/03/2015,Air fares ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£721.82,
DFID ,DFID,09/03/2015,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£11,659.15",
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£550.35,
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£1,354.60",
DFID ,DFID,09/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£502.87,
DFID ,DFID,09/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£576.58,
DFID ,DFID,09/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£1,014.52",
DFID ,DFID,09/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£631.80,
DFID ,DFID,09/03/2015,Hotels - Accommodation only ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£1,016.41",
DFID ,DFID,09/03/2015,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£10,544.68",
DFID ,DFID,16/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£765.97,
DFID ,DFID,16/03/2015,Conference Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£543.70,
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£819.32,
DFID ,DFID,16/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£542.00,
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£836.82,
DFID ,DFID,16/03/2015,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£4,170.55",
DFID ,DFID,16/03/2015,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,"£1,307.51",
DFID ,DFID,16/03/2015,Air fares ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£627.55,
DFID ,DFID,16/03/2015,Training - Travel & Subsistence ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£501.10,
DFID ,DFID,16/03/2015,Hostile Environment Training ,East and Central Africa ,Foreign & Commonwealth Office ,101612-101 ,£624.17,
DFID ,DFID,09/03/2015,Vehicle Repairs & Maintenance ,West and Southern Africa ,Foreign & Commonwealth Office ,101610-101 ,"£1,238.47",
