Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description
Department of Health,Care Quality Commission,30/09/2012,Expotel Control Account,Commission Wide,EXPOTEL HOTEL RESERVATIONS LTD,1876146,"57,455.78",Hotels and Conferences
Department of Health,Care Quality Commission,30/09/2012,IT/Telecommunications,Finance and CSD,VODAFONE CORPORATE LTD,1877536,"43,360.99",IT Telecommunications
Department of Health,Care Quality Commission,30/09/2012,Information Management,Intelligence,QINETIQ LTD,1878417,"57,438.00",Information Management 
Department of Health,Care Quality Commission,30/09/2012,Information Management,Intelligence,QINETIQ LTD,1878418,"141,325.20",Information Management 
Department of Health,Care Quality Commission,30/09/2012,Communications,Regulatory Development,KPMG LLP,1878463,"65,500.80",Communications
Department of Health,Care Quality Commission,30/09/2012,Intangible Assets,Commission Wide,SAPIENT LTD,1889511,"34,044.00",Intangible Assets
Department of Health,Care Quality Commission,30/09/2012,Intangible Assets,Commission Wide,SAPIENT LTD,1889534,"69,858.00",Intangible Assets
Department of Health,Care Quality Commission,30/09/2012,Intangible Assets,Commission Wide,SAPIENT LTD,1889540,"156,705.00",Intangible Assets
Department of Health,Care Quality Commission,30/09/2012,Intangible Assets,Commission Wide,SAPIENT LTD,1889542,"55,776.00",Intangible Assets
Department of Health,Care Quality Commission,30/09/2012,Intangible Assets,Commission Wide,SAPIENT LTD,1889543,"42,768.00",Intangible Assets
Department of Health,Care Quality Commission,30/09/2012,Intangible Assets,Commission Wide,SAPIENT LTD,1889545,"51,480.00",Intangible Assets
Department of Health,Care Quality Commission,30/09/2012,Intangible Assets,Commission Wide,SAPIENT LTD,1889546,"30,624.00",Intangible Assets
Department of Health,Care Quality Commission,30/09/2012,Staff Recruitment/Advertising,Human Resources,HAYS SPECIALIST RECRUITMENT LTD,1889566,"108,461.59",Employment/Recruitment
Department of Health,Care Quality Commission,30/09/2012,Agency Staff,Commission Wide,CARLISLE MANAGED SOLUTIONS,1892897,"49,326.06",Agency Staff
Department of Health,Care Quality Commission,30/09/2012,Staff Recruitment/Advertising,Human Resources,HAYS SPECIALIST RECRUITMENT LTD,1896689,"143,873.28",Employment/Recruitment
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Strategic Marketing & Comms,STERIA LTD,1903516,"-130,312.43",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Commission Wide,COMPUTACENTER (UK) LTD,1917449,"31,312.69",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Commission Wide,COMPUTACENTER (UK) LTD,1917455,"52,398.00",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,FM Computer Contracts,Finance and CSD,CSC COMPUTER SCIENCES LTD,1946311,"536,900.76",IT Managed Service
Department of Health,Care Quality Commission,30/09/2012,Legal / Professional Fees,Governance and Legal ,BEVAN BRITTAN LLP,1962770,"44,084.96",Contracted Lawyers/Legal Fees
Department of Health,Care Quality Commission,30/09/2012,Intangible Assets,Commission Wide,SAPIENT LTD,1963444,"114,375.00",Intangible Assets
Department of Health,Care Quality Commission,30/09/2012,Data Lines,Finance and CSD,CABLE & WIRELESS UK,1963620,"213,007.20",IT Telecommunications
