Dept Family,Entity,Date,Expense type,Expense Area,Supplier,Transaction Number,Amount,DESCRIPTION
DWP,HEALTH AND SAFETY EXECUTIVE,03/05/2012,COI PRESS OFFICE SERVICES,COMMUNICATION DIRECTORATE,NEWSPAPER LICENSING AGENCY LTD,"=""0020109853""",26927.00,PUBLICATION LICENCE- NEWSPAPERS 1 APRIL 2012 TO 31 MARCH 2013
DWP,HEALTH AND SAFETY EXECUTIVE,08/05/2012,COI PRESS OFFICE SERVICES,COMMUNICATION DIRECTORATE,CLA THE COPYRIGHT LICENSING AGENCY LTD,"=""0020109856""",57607.20,COPYRIGHT LICENCE 01/04/2012 TO 31 MARCH 2013
DWP,HEALTH AND SAFETY EXECUTIVE,24/05/2012,DISTRIBUTION,COMMUNICATION DIRECTORATE,PROLOG (PROMOTIONAL LOGISTICS LTD),"=""0020109897""",26658.00,FIXED CHARGES - APRIL 2012
DWP,HEALTH AND SAFETY EXECUTIVE,24/05/2012,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,FLEXIFORM BUSINESS FURNITURE LIMITED,"=""0020109902""",27874.32,CAPITAL EXPENDITURE - BOOTLE
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,CAPITAL EXPENDITURE,BUSINESS SERVICES DIRECTORATE,FLEXIFORM BUSINESS FURNITURE LIMITED,"=""0020109915""",34068.00,MOBILE RACKING SYSTEM -BOOTLE
DWP,HEALTH AND SAFETY EXECUTIVE,01/05/2012,RESEARCH,CHIEF SCIENTIFIC ADVISORS GROUP,HEALTH PROTECTION AGENCY,"=""0070002808""",72586.75,CO2303 RESEARCH COSTS JULY 2011 TO MARCH 2012
DWP,HEALTH AND SAFETY EXECUTIVE,15/05/2012,NUCLEAR SAFETY STUDIES,OFFICE FOR NUCLEAR REGULATION,SERCO LTD,"=""0070002818""",25000.00,ND599TECHNICAL ADVISORY GROUP ON STRUCTURAL INTEGRITY (TAGSI) - MEMBERSHIP 2012/13
DWP,HEALTH AND SAFETY EXECUTIVE,17/05/2012,RESEARCH,CHIEF SCIENTIFIC ADVISORS GROUP,UNIVERSITY OF MANCHESTER,"=""0070002820""",112500.00,CO200 RESEARCH SERVICES JAN-MAR 2012
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,NUCLEAR SAFETY STUDIES,OFFICE FOR NUCLEAR REGULATION,UNIVERSITY OF MANCHESTER,"=""0070002827""",55000.00,ND2486 INDEPENDENT' ADVICE - 01/7/12- 30/9/12
DWP,HEALTH AND SAFETY EXECUTIVE,22/05/2012,NUCLEAR SAFETY STUDIES,OFFICE FOR NUCLEAR REGULATION,SERCO LTD,"=""0070002828""",25912.85,ND2622 SUPPORT TO THE CNRP FUKUSHIMA RESPONSE PROJECT  - MARCH-APRIL 2012
DWP,HEALTH AND SAFETY EXECUTIVE,24/05/2012,NUCLEAR SAFETY STUDIES,OFFICE FOR NUCLEAR REGULATION,FRAZER NASH,"=""0070002830""",25033.42,ND2572 GENERIC DESIGN ASSESSMENT 31/3/12 TO 27/4/12
DWP,HEALTH AND SAFETY EXECUTIVE,31/05/2012,NUCLEAR SAFETY STUDIES,OFFICE FOR NUCLEAR REGULATION,DEPARTMENT OF ENERGY AND CLIMATE CHANGE,"=""0070002838""",375000.00,NUCLEAR ENERGY AGENCY (NEA) MEMBERSHIP SUBSCRIPTION FOR 2012
DWP,HEALTH AND SAFETY EXECUTIVE,01/05/2012,PFI UNITARY CHARGE,HEALTH AND SAFETY LABORATORY,INVESTORS IN THE COMMUNITY (BUXTON),"=""0000111090""",827062.96,PFI UNITARY CHARGE FOR APRIL 2012 - BUXTON
DWP,HEALTH AND SAFETY EXECUTIVE,10/05/2012,ELECTRICITY,HEALTH AND SAFETY LABORATORY,EDF ENERGY                         ,"=""0000111228""",70444.28,ELECTRICITY FOR APRIL 2012 - BUXTON
DWP,HEALTH AND SAFETY EXECUTIVE,23/05/2012,RATES,HEALTH AND SAFETY LABORATORY,COUNCIL OF THE BOROUGH OF HIGH PEAK,"=""0000111303""",80608.00,RATES FOR MAY 2012 - BUXTON
DWP,HEALTH AND SAFETY EXECUTIVE,29/05/2012,GPC PURCHASES,HEALTH AND SAFETY LABORATORY,BARCLAYS BANK PLC,"=""VARIOUS""",22242.96,GPC MAY 2012 - BUXTON 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
