"HM Treasury Transparency - Publication of spend over £25,000  Amount: '25000', Start: '01-OCT-2012', End: '31-OCT-2012'  ",,,,,,
,,,,,,
Department,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
TW Revenue Funds,15/10/12,Public Health & Health Promotion From Other NHS Bodies,Public Health Imms and Vacs,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10069933,"52,125.00"
TW Revenue Funds,15/10/12,General And Acute,Bl Cont Gen - Gen  and  Acute,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,OCT12,"105,179.00"
TW Revenue Funds,15/10/12,General And Acute,Bl Cont Gen - Gen  and  Acute,UNIVERSITY HOSPITAL OF NORTH STAFFS NHS TRUST,OCT12,"157,719.00"
TW Revenue Funds,15/10/12,General And Acute,Bl Cont Reg Spec - Gen  and  Acute,WEST MIDLANDS AMBULANCE SERVICE NHS TRUST,OCT12,"413,436.00"
TW Revenue Funds,15/10/12,Community Health Services,Bl Cont Gen - Primary Care,WYE VALLEY NHS TRUST,0000316702,"27,566.67"
TW Revenue Funds,18/10/12,Mental Illness,Spec Pl'mt Elec - Ment Illness Non-NHS,LIGHTHOUSE HEALTHCARE LIMITED,558,"34,161.07"
TW Revenue Funds,18/10/12,Community Health Services,Shropshire & Mid-Wales Hospice,SEVERN HOSPICE LTD,27729,"35,907.50"
TW Revenue Funds,19/10/12,SLA over performance 2011/12,Bl Cont Gen - Gen  and  Acute,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50001648,"67,225.00"
TW Revenue Funds,19/10/12,SLA over performance 2011/12 final,Bl Cont Gen - Gen  and  Acute,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50001702,"57,123.00"
TW Revenue Funds,22/10/12,General And Acute,Bl Cont Gen - Gen  and  Acute,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,10070373,"950,000.00"
TW Revenue Funds,22/10/12,Ophthalmic Payments,Ophthalmic,Visionplus Telford,,"50,281.27"
TW Revenue Funds,22/10/12,Ophthalmic Payments,Ophthalmic,Visionplus Wellington,,"25,285.02"
TW Revenue Funds,25/10/12,Mental Illness,Alcohol Misuse,IMPACT ALCOHOL AND ADDICTIONS SERVICES,6C/12-13,"114,000.00"
TW Revenue Funds,25/10/12,Mental Illness,Alcohol Misuse,IMPACT ALCOHOL AND ADDICTIONS SERVICES,6A/12/13,"76,000.00"
TW Revenue Funds,25/10/12,Mental Illness,Alcohol Misuse,IMPACT ALCOHOL AND ADDICTIONS SERVICES,6B/12-13,"33,800.00"
TW Revenue Funds,25/10/12,Community Health Services,Community Clusters,TELFORD & WREKIN COUNCIL,4063445,"49,250.00"
TW Revenue Funds,26/10/12,General And Acute,NCA - General  and  Acute,HYWEL DDA NHS TRUST,4018476,"31,507.00"
TW Revenue Funds,26/10/12,GP Practice Payments,Personal Medical Practice,Lawley Medical Practice,,"39,532.83"
TW Revenue Funds,26/10/12,FP10'S,Bl Cont Gen - Primary Care,NHS BUSINESS SERVICES AUTHORITY,1000032076,"47,733.39"
TW Revenue Funds,26/10/12,Help to Quit From Other NHS Bodies,Help 2 Quit Smoking,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50002958,"45,672.80"
TW Revenue Funds,26/10/12,IM&T From Other NHS Bodies,General Recharges,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,50003039,"37,875.92"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Charlton Group Medical Practice,,"63,698.10"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Church Close Surgery,,"36,867.68"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Dawley Medical Practice,,"59,657.88"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Donnington Medical Practice,,"72,520.81"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Hadley Medical Practice,,"25,439.79"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Hollinswood & Priorslee surgery,,"25,122.19"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Ironbridge Medical Practice,,"26,088.16"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Linden Hall Surgery,,"75,866.62"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Oakengates Medical Practice,,"103,517.08"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Shawbirch Medical Practice,,"68,241.78"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Stirchley Medical Practice,,"93,663.25"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Sutton Hill Medical Practice,,"56,269.74"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Trinity Healthcare,,"44,876.29"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Wellington Medical Practice,,"112,031.32"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Wellington Road Surgery,,"86,517.11"
TW Revenue Funds,31/10/12,GP Practice Payments,General Medical Services,Woodside Medical Practice,,"48,169.25"
