Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,2,9,9,20,19.4,8,8,5,4.6,0,0,44,43,3,2,0,0,2,2,0,0,5,4,49,47,"£163,181",£0,£0,£0,"£18,768","£14,476","£196,425","£9,248","£7,139","£16,387","£212,812",
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,93,90.05,172,165.45,269,260.83,240,233.23,132,117.69,0,0,906,867,30,28.25,1,1,2,1.8,0,0,33,31.05,939,898,"£3,217,859","£10,195","£8,462","£52,278","£688,806","£307,453","£4,285,053","£223,371",£0,"£223,371","£4,508,424",
Monitor - Independent Regulator of NHS Foundation Trusts,Executive Non-Departmental Public Body,Department of Health,14,13.56,4,4,18,17.07,76,72.39,17,16.7,0,0,129,124,4,4,11,10.6,27,22,0,0,42,36.6,171,160,"£683,684",£0,£0,£0,"£151,656","£71,896","£907,235","£500,147","£108,075","£608,222","£1,515,457",
National Institute for Health and Clinical Excellence,Special Health Authority,Department of Health,9,7.2,74,68.65,205,193.88,163,152.39,49,45.4,6,3.7,506,471,15,13.89,1,1,60,57.38,0,0,76,72.27,582,543,"£1,657,748","£13,359",£0,£0,"£216,195","£151,720","£2,039,021","£591,758","£6,000","£597,758","£2,636,779",
National Patient Safety Agency,Special Health Authority,Department of Health,0,0,35,33.03333,37,36.09334,49,42.105,13,12.4,2,2,136,126,16,16,1,1,0,0,0,0,17,17,153,143,"£547,080",£0,£0,£0,"£66,866","£51,797","£665,743","£67,563","£8,103","£75,666","£741,409",
National Treatment Agency for Substance Misuse,Special Health Authority,Department of Health,2,2,25,24.6,49,45.36,73,69.87,7,6.6,0,0,156,148,0,0,0,0,1,0.6,0,0,1,0.6,157,149,"£578,734","£15,294",£0,£0,"£63,899","£52,488","£710,415","£3,000",£0,"£3,000","£713,415",
NHS Blood & Transplant,Special Health Authority,Department of Health,2557,2089.58,1179,1075.8,1501,1369.75,420,408.25,59,57.57,66,55.4,"5,782","5,056",167,167,27,27,18,18,0,0,212,212,"5,994","5,268","£11,884,910","£799,479",£0,"£353,507","£1,659,439","£1,061,891","£15,759,226","£682,114",£0,"£682,114","£16,441,340",
NHS Business Services Authority,Special Health Authority,Department of Health,1653,1637.92,416,395.5,282,276.64,136,130.28,49,49,0,0,"2,536","2,489",10,10,1,0.6,0,0,0,0,11,10.6,"2,547","2,500","£4,558,219",£467,"£146,819","£148,840","£530,434","£355,998","£5,740,778","£25,848",£0,"£25,848","£5,766,626",
NHS Commissioning Board Authority,Special Health Authority,Department of Health,0,0,5,5,11,11,16,12.7,49,36.14,0,0,81,65,7,7,1,0.6,0,0,0,0,8,7.6,89,72,"£392,061",£0,£0,£0,"£74,512","£54,854","£521,427","£21,151",£0,"£21,151","£542,578",Most staff on secondment from NHS or DH
NHS Institute for Innovation & Improvement,Special Health Authority,Department of Health,2,1.6,28,26.65,42,39.1,73,70.29,27,24.6,1,1,173,163,36,33.7,0,0,27,21.5,0,0,63,55.2,236,218,"£1,378,409",£0,£0,"£3,414","£171,419","£118,452","£1,671,694","£443,979",£0,"£443,979","£2,115,673",
NHS Litigation Authority,Special Health Authority,Department of Health,6,5.6,17,16.1,41,40.2,44,42.9,5,5,0,0,113,110,5,4.43,0,0,4,3.7,0,0,9,8.13,122,118,"£392,578","£44,390",£0,£651,"£56,028","£40,835","£534,482","£32,598",£0,"£32,598","£567,080",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
