Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/01/2016,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000222594,"£110,137.77",CARE IN THE COMMUNITY RECHARGE JANUARY 2016,
Department of Health,03F,30/01/2016,Clinical&Medical-Othe Public Sector,COLLABORATIVE COMMISSIONING,HULL CITY COUNCIL,1000222998,"£88,796.32",RECHARGE IN RESPECT OF COLLABORATIVE SERVICES OCT - DEC 2015,
Department of Health,03F,30/01/2016,Cont Care- Adult Joint Funded,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000223202,"£283,824.10",CONTINUING HEALTH RECHARGES JANUARY 2016,
Department of Health,03F,30/01/2016,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HULL CHILDREN`S UNIVERSITY,1422,"£31,250.00",QUARTER 3 FUNDING 2015,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1506HC10,"£40,718.82",INTERPRETING FEES,
Department of Health,03F,30/01/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FOXGLOVE CARE LTD,1714,"£59,533.33",CHC FEES DECEMBER 2015,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800092708,"£175,216.92",EQUIPMENT PURCHASES AND ACTIVITY AS PER THE ICON SPLIT,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800092713,"£62,217.47",EQUIPMENT COSTS DECEMBER 2015,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,LOUTH & DISTRICT MEDICAL SERVICES LTD,427,"£178,079.16",HULL SPECIALIST OLDER PEOPLE CARE CO-ORDINATION SALARIES FROM AUGUST TO DECEMBER 2015,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410011445,"£37,812.60",RUNNING COSTS FOR UNIT 2 PRIORY PARK JUNE TO SEPTEMBER INVOICES PAID,
Department of Health,03F,30/01/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410012277,"£37,140.17",RECHARGE EAST RIDING CHC FUNDED PERSONAL HEALTH BUDGET EXPENDITURE OCTOBER 2015,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410012284,"£73,428.93",RECHARGE FOR CHC FUNDED PERSONAL HEALTH BUDGET EXPENDITURE OCTOBER 2015,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410012536,"£1,964,206.24",JANUARY 2016 CONTRACTUAL INCOME RECURRENT STANDARD CONTRACT,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410012540,"£45,386.50",JANUARY 2016 CONTRACTUAL INCOME COMMUNITY PAEDIATRICS,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410012545,"£289,266.49",JANUARY 2016 CONTRACTUAL INCOME DEPRESSIONS AND ANIETY SERVICE COMPLETED TREATMENT,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410012618,"£40,716.16",PAIN MANAGEMENT NOVEMBER 2015,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410012653,"£73,350.20",RECHARGE FOR CHC FUNDED PERSONAL HEALTH BUDGET EXPENDITURE NOVEMBER 2015,
Department of Health,03F,30/01/2016,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410012654,"£64,613.38",RECHARGE EAST RIDING CHC FUNDED PERSONAL HEALTH BUDGET EXPENDITURE NOVEMBER 2015,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410012718,"£25,604.60",BRANSHOLME HEALTH CENTRE RENT JAN 2015/16,
Department of Health,03F,30/01/2016,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,803Z477,"£69,075.00",UNREGISTERED PATIENTS REVENUE JANUARY 2016,
Department of Health,03F,30/01/2016,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR102,"£46,600.00",CONTRACT FUNDING 15/16 JANUARY 2016,
Department of Health,03F,30/01/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,HCCGHS007018,"£135,299.84",JANUARY 2016 MSK PAYMENT,
Department of Health,03F,30/01/2016,Other Research Exp,COMMISSIONING - NON ACUTE,UNIVERSITY OF HULL,SOIN59354,"£28,214.00",COURSE FEES 08/12/2015,
Department of Health,03F,30/01/2016,Other Research Exp,COMMISSIONING - NON ACUTE,UNIVERSITY OF HULL,SOIN59357,"£25,524.00",COURSE FEES 08/12/2015,
