Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
NHS England,Executive Non-Departmental Public Body,Department of Health,486,449.6,517,495.8,1249,1197.7,1976,1900.5,656,599.8,126,54.9,5010,4698.3,377,377,321,321,0,0,0,0,698,698,5708,5396.3,"£19,437,650",£0,£0,£0,"£2,527,948","£2,213,486","£24,179,084","£3,004,403","£296,291","£3,300,694","£27,479,778",,
NHS Litigation Authority,Special Health Authority,Department of Health,5,5,36,34.06,94,89.4,84,76.55,8,8,0,0,227,213.01,15,12.04,2,1.61,0,0,0,0,17,13.65,244,226.66,"£774,163","£96,926",£0,£842,"£113,047","£94,552","£1,079,530","£20,470",£0,"£20,470","£1,100,000",,
NHS Trust Development Authority,Special Health Authority,Department of Health,7,7,57,53.95,70,65.56,108,104.49,193,181.87,0,0,435,412.87,16,16,0,0,4,2.5,0,0,20,18.5,455,431.37,"£2,230,945","£10,327",£0,£0,"£292,359","£270,087","£2,803,718",54602,0,"£54,602","£2,858,320",,
Public Health England,Executive Agency,Department of Health,861,771.98,717,679.49,1888,1782.24,1372,1302.85,426,385.87,0,0,5264,4922.43,139,134.86,7,5.29,27,21.8,0,0,173,161.95,5437,5084.38,"£14,569,403","£4,797,182","£3,724","£131,658","£1,339,314","£1,986,633","£22,827,914","£499,617",£0,"£499,617","£23,327,531",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
