"AP Invoices over £xxx  Amount Paid > £xxx (Payment Date)  Parameters: Ledger ID : '2097' , AP Payment Date Start : '01-FEB-2015' , AP Payment Date End : '28-FEB-2015' , AP - Minimum Payment Limit : '25000'  Report Ran: 27-FEB-15 01.00.50 PM",,,,,,,,,,,
,,,,,,,,,,,
Org Code:RMPN,Ledger Id:2097,,,,,,,,,,
,,,,,,,,,,,
Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount,Invoice Amount,Reclaimable VAT,Description,Line Type
FACILITIES,Tameside NHS Foundation Trust,26-Feb-15,EXTERNAL CONTRACTS : OTHER HOTEL SERVICES,HOTEL SERVICES,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,39461/90901460,"113,068.00",315699.6,"52,616.60",V5061549 SERVICE CONTRACT FEBRUARY 2015,Item
MSOP,Tameside NHS Foundation Trust,26-Feb-15,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,CARE OF ELDERLY WARD,STOCKPORT NHS FOUNDATION TRUST_002,40053021,"42,941.66","42,941.66",,V5060792 SSIU SLA JAN 15,Item
ADULT MEDICINE,Tameside NHS Foundation Trust,01-Feb-15,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,DIETETICS,STOCKPORT NHS FOUNDATION TRUST_002,40053029,,,,V5060789 DIETETICS SLA FOR JANUARY 2015,Item
HR,Tameside NHS Foundation Trust,01-Feb-15,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,HR,STOCKPORT NHS FOUNDATION TRUST_002,40053029,,,,V5060789 ETHNIC HEALTH SLA FOR JANUARY 2015,Item
SPECIALIST SURGERY,Tameside NHS Foundation Trust,01-Feb-15,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,SPECIAL SURGERY - MEDICAL STAFFING,STOCKPORT NHS FOUNDATION TRUST_002,40053029,,,,V5060789 GLAUCOMA SCREENING SLA FOR JANUARY 2015,Item
SPECIALIST SURGERY,Tameside NHS Foundation Trust,01-Feb-15,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,SPECIAL SURGERY - MEDICAL STAFFING,STOCKPORT NHS FOUNDATION TRUST_002,40053029,,,,V5060789 ORTHOPTICS SLA FOR JANUARY 2015,Item
ADULT MEDICINE,Tameside NHS Foundation Trust,01-Feb-15,NON HEALTHCARE SERVICES FROM FOUNDATION TRUSTS,CHIROPODY,STOCKPORT NHS FOUNDATION TRUST_002,40053029,"50,603.67","50,603.67",,V5060789 PODIATRY SLA FOR JANUARY 2015,Item
CL - ACCRUALS,Tameside NHS Foundation Trust,12-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,LIAISON V A T CONSULTANCY LTD,45/2014-15,"110,218.00","110,218.00",,V5062802 STAFFFLOW WEEK 45 WEEK ENDING 08.02.2015,Nonrecoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,19-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,LIAISON V A T CONSULTANCY LTD,46/2014-15,"87,153.82","87,153.82",,V5063721 WEEK 46 WEEK ENDING 15.02.2015,Nonrecoverable Tax
CL - ACCRUALS,Tameside NHS Foundation Trust,26-Feb-15,ACCRUALS < ONE YEAR,CL - ACCRUALS,LIAISON V A T CONSULTANCY LTD,47/2014-15,"96,194.71","96,194.71",,V5064051 WEEK 47 WEEK ENDING 22.02.2015,Nonrecoverable Tax
INFORMATION,Tameside NHS Foundation Trust,26-Feb-15,EXTERNAL DATA CONTRACTS,IT,HEALTHCARE SOFTWARE SOLUTIONS LTD,487,"26,563.08","22,135.90","4,427.18",v5060732 PREPAY 313154 01-01 TO 31/03 2015 MANAGED SERVICE,Item
NCA - PREPAYMENTS,Tameside NHS Foundation Trust,26-Feb-15,PFI LIFECYCLE COSTS PROVISION > ONE YEAR,NCA - PREPAYMENTS PFI,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
NCA - PREPAYMENTS,Tameside NHS Foundation Trust,26-Feb-15,PFI LIFECYCLE COSTS PROVISION > ONE YEAR,NCA - PREPAYMENTS PFI,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,OTHER DEBTORS < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,OTHER DEBTORS < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,OTHER DEBTORS < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
NCL - OTHER FINANCIAL LIABILITIES,Tameside NHS Foundation Trust,26-Feb-15,OBLIGATIONS UNDER PFI/LIFT > ONE YEAR,NCL - PFI LEASES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
NURSING,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,NURSING,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
RADIOGRAPHY,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,RADIOGRAPHY,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
PHARMACY,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,PHARMACY,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
PAEDIATRICS,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,PAEDIATRIC SERVICES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
SURGERY,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,GENERAL SURGERY - WARDS,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
SURGERY,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,ELECTIVE - OUTPATIENTS,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HARTSHEAD THEATRES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,DSEU,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
INFORMATION,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,IT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,ELECTRICITY,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,GAS,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,PFI CONTINGENT RENT NHSFT,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,ELECTRICITY,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,INTEREST EXPENSE ON PFI FINANCE LEASE NHSFT,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Item
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,OTHER DEBTORS < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,INTEREST EXPENSE ON PFI FINANCE LEASE NHSFT,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,PFI CONTINGENT RENT NHSFT,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
NCA - PREPAYMENTS,Tameside NHS Foundation Trust,26-Feb-15,PFI LIFECYCLE COSTS PROVISION > ONE YEAR,NCA - PREPAYMENTS PFI,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
NCL - OTHER FINANCIAL LIABILITIES,Tameside NHS Foundation Trust,26-Feb-15,OBLIGATIONS UNDER PFI/LIFT > ONE YEAR,NCL - PFI LEASES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,OTHER DEBTORS < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
NCA - PREPAYMENTS,Tameside NHS Foundation Trust,26-Feb-15,PFI LIFECYCLE COSTS PROVISION > ONE YEAR,NCA - PREPAYMENTS PFI,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
NURSING,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,NURSING,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
RADIOGRAPHY,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,RADIOGRAPHY,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
PAEDIATRICS,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,PAEDIATRIC SERVICES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
SURGERY,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,GENERAL SURGERY - WARDS,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
SURGERY,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,ELECTIVE - OUTPATIENTS,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,HARTSHEAD THEATRES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
THEATRES,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,DSEU,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,OTHER DEBTORS < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,GAS,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,ELECTRICITY,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
PHARMACY,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,PHARMACY,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
INFORMATION,Tameside NHS Foundation Trust,26-Feb-15,CONTRACT : OTHER EXTERNAL,IT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
CA - OTHER RECEIVABLES,Tameside NHS Foundation Trust,26-Feb-15,VAT DEBTOR < ONE YEAR,CA - OTHER RECEIVABLES,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,,,,V5062948 FEBRUARY 2015 SERVICE PAYMENT,Recoverable Tax
PFI & HIT,Tameside NHS Foundation Trust,26-Feb-15,ELECTRICITY,PFI & HIT,CONSORT HEALTHCARE (TAMESIDE) PLC,510166,"806,885.95","968,962.92","162,076.97",V5062948 FEBRUARY 2015 SERVICE PAYMENT,Nonrecoverable Tax
