Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Transaction number,Amount in Sterling,Supplier VAT Registration Number
Department of Health,Sandwell PCT,17/01/2011,POHC COMMERCIAL SECTOR,Non NHS,KAROMED LTD,    158783,"51,782.88",
Department of Health,Sandwell PCT,10/12/2010,POHC COMMERCIAL SECTOR,Non NHS,KAROMED LTD,    158259,"48,681.72",
Department of Health,Sandwell PCT,21/12/2010,POHC COMMERCIAL SECTOR,Non NHS,BMI HEALTHCARE,    158258,"28,618.78",
Department of Health,Sandwell PCT,06/01/2011,POHC COMMERCIAL SECTOR,Non NHS,INHEALTH,    158776,"31,265.00",
Department of Health,Sandwell PCT,11/01/2011,POHC COMMERCIAL SECTOR,Non NHS,BARTHOLAMEW LODGE NURS. H,    157728,"42,351.43",
Department of Health,Sandwell PCT,11/01/2011,POHC COMMERCIAL SECTOR,Non NHS,BARTHOLAMEW LODGE NURS. H,    157729,"32,815.71",
Department of Health,Sandwell PCT,14/10/2010,POHC COMMERCIAL SECTOR,Non NHS,AQUARIUS ACTION PROJECTS,    158836,"168,899.49",
Department of Health,Sandwell PCT,03/12/2010,POHC COMMERCIAL SECTOR,Non NHS,INHEALTH,    158777,"44,215.00",
Department of Health,Sandwell PCT,15/12/2010,POHC COMMERCIAL SECTOR,Non NHS,CROSSROADS CARE ATTENDERS,    158257,"135,482.19",
Department of Health,Sandwell PCT,04/01/2011,POHC LOCAL AUTHORITY,Health Promotion - Drugs & Alcohol,Sandwell MBC (Boro.Treasu,    158618,"47,826.25",
Department of Health,Sandwell PCT,06/01/2011,POHC LOCAL AUTHORITY,Pooled Budgets,FCH HOUSING & CARE,    158202,"62,005.55",
Department of Health,Sandwell PCT,24/11/2010,POHC LOCAL AUTHORITY,Pooled Budgets,S'WELL AFRICAN CARIBBEAN,    157549,"39,138.50",
Department of Health,Sandwell PCT,19/01/2011,HEALTHCARE PROVIDED BY GPS,Exemplar & 2010 Projects,PATHFINDER HCARE  DEV LTD,    158229,"166,667.00",
Department of Health,Sandwell PCT,14/11/2010,EXTERNAL CONSULTANCY FEES,Board & Executives,DELOITTE MCS,    157714,"52,696.07",
Department of Health,Sandwell PCT,04/01/2011,EXTERNAL CONSULTANCY FEES,"Finance, IT, Information & Governance",KPMG CORPORATE FINANCE,    158197,"29,319.00",
Department of Health,Sandwell PCT,29/12/2010,AUDIT FEES: INTERNAL,"Finance, IT, Information & Governance",WARWICKSHIRE PCT,    157858,"21,837.69",
Department of Health,Sandwell PCT,23/11/2010,NON-HCARE SERVICES - NHS TRUST,Human Resources,SANDWELL & WEST BIRMINGHA,    157971,"38,511.50",
Department of Health,Sandwell PCT,25/01/2011,NON-HCARE SERVICES - NHS TRUST,Premises,SANDWELL MH NHS & SOC CAR,    158699,"81,654.97",
Department of Health,Sandwell PCT,25/01/2011,NON HCARE SVS FOUNDATION TRUS,Contributions to Pooled Budgets,SANDWELL MH NHS & SOC CAR,    158698,"65,083.98",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
