Month of Year,Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
201607,Tax credits,24,2.08,33.33%,16.00%,00:01:16,2.25
201607,DLA,23,1.09,0.00%,20.00%,00:04:12,2.65
201607,Driving license,23,1.7,4.35%,35.90%,00:01:31,0.83
201607,genealogy,23,1.48,8.70%,14.71%,00:05:13,3.17
201607,login,23,1.65,13.04%,13.16%,00:05:20,3.35
201607,premium bonds,23,1.3,4.35%,20.00%,00:08:21,4.09
201607,social fund,23,1.48,30.43%,5.88%,00:04:05,2.65
201607,State pension,23,1.65,21.74%,23.68%,00:04:06,2.09
201607,benefits,22,1.68,4.55%,21.62%,00:03:48,4.18
201607,blue badge application,22,1.55,4.55%,2.94%,00:01:37,2.05
201607,Census,22,1.77,27.27%,5.13%,00:02:31,1.77
201607,death records,22,2.18,13.64%,8.33%,00:04:35,4.18
201607,Ema,22,1.91,9.09%,19.05%,00:02:32,2.59
201607,Marriage certificate,22,1.73,9.09%,7.89%,00:05:11,2.32
201607,mot retest,22,1.27,18.18%,17.86%,00:01:47,1.95
201607,Not,22,1.05,18.18%,65.22%,00:00:29,0.59
201607,probate,22,1.86,9.09%,9.76%,00:07:17,2.27
201607,PRONI,22,1.36,4.55%,10.00%,00:07:51,5.09
201607,Tax car,22,1.5,27.27%,21.21%,00:01:28,0.86
201607,1911 census,21,2.05,9.52%,2.33%,00:05:32,4.67
201607,Apply for an enhanced check through a registered body,21,1.38,0.00%,3.45%,00:06:14,2.43
201607,church records,21,1.38,4.76%,13.79%,00:05:13,4.81
201607,DL1R,21,1.38,19.05%,20.69%,00:02:10,2.62
201607,fees,21,1.62,14.29%,20.59%,00:01:27,1.76
201607,Fees,21,1.33,19.05%,42.86%,00:01:10,0.81
201607,groni online,21,1.19,0.00%,0.00%,00:10:08,3.62
201607,marriages,21,1.67,19.05%,17.14%,00:05:11,3.76
201607,results,21,2.1,0.00%,40.91%,00:28:16,20.05
201607,road tax,21,1.43,38.10%,36.67%,00:00:33,0.62
201607,tax car,21,1,33.33%,23.81%,00:04:11,1.76
201607,ulster covenant,21,1,4.76%,4.76%,00:01:32,1.33
201607,Birth records,20,1.3,30.00%,23.08%,00:04:27,2.15
201607,book driving test,20,1.15,0.00%,8.70%,00:04:01,2.3
201607,passports,20,1.4,0.00%,14.29%,00:12:48,3.5
201607,Wills,20,1.95,10.00%,7.69%,00:04:46,2.9
201607,Apply for disclosure certificates,19,2.21,5.26%,14.29%,00:05:20,4.11
201607,book theory test,19,1.68,0.00%,12.50%,00:05:12,3.68
201607,Check mot,19,1.21,26.32%,30.43%,00:01:26,1.53
201607,DL1 form,19,2.53,36.84%,2.08%,00:04:09,2.16
201607,Passport,19,1.74,15.79%,12.12%,00:03:30,0.89
201607,angling,18,1.56,11.11%,21.43%,00:05:00,7.33
201607,blue badge application form,18,1.61,11.11%,3.45%,00:03:54,1.78
201607,contact,18,1.5,27.78%,25.93%,00:02:01,1.17
201607,dva,18,1.28,5.56%,21.74%,00:05:12,2.83
201607,ehic,18,1.06,11.11%,31.58%,00:02:09,1.33
201607,landlord registration,18,1.33,0.00%,12.50%,00:07:04,3.67
201607,national insurance number,18,2.17,16.67%,17.95%,00:03:48,2.72
201607,Practical driving test,18,1.22,16.67%,0.00%,00:06:14,3
201607,practical test,18,1.06,0.00%,5.26%,00:01:43,2.61
201607,Practical test,18,1.06,5.56%,21.05%,00:04:21,3
201607,state pension online,18,1.72,5.56%,9.68%,00:08:41,3.22
201607,Angling,17,1.47,17.65%,4.00%,00:04:47,4.59
201607,bank holidays,17,1.18,5.88%,15.00%,00:02:33,2.41
201607,bmd,17,1.29,11.76%,54.55%,00:01:27,2.41
201607,Community care grant,17,1.53,5.88%,19.23%,00:04:16,2.65
201607,deaths,17,1.71,0.00%,34.48%,00:02:33,2.53
201607,Deaths,17,2.71,17.65%,15.22%,00:04:41,4.18
201607,dl1 form,17,1.82,23.53%,9.68%,00:01:17,1.53
201607,jobseekers,17,1.18,29.41%,30.00%,00:00:34,1.12
201607,mandatory reconsideration,17,1.47,5.88%,4.00%,00:04:17,1.82
201607,parkingticket,17,1.24,0.00%,47.62%,00:02:13,1.76
201607,BLUE BADGE,16,1.56,6.25%,8.00%,00:01:34,1.75
201607,budgeting loan,16,1.62,12.50%,11.54%,00:03:37,2.56
201607,Change address,16,1.19,25.00%,31.58%,00:02:59,1.06
201607,DL1R form,16,2.44,31.25%,5.13%,00:03:10,1.44
201607,dvla,16,1.19,12.50%,31.58%,00:01:48,1.62
201607,Enhanced check through a registered body,16,1.5,6.25%,4.17%,00:07:04,4.12
201607,enhanced disclosure,16,1.38,12.50%,9.09%,00:03:56,2.5
201607,Land commission,16,1.44,43.75%,0.00%,00:02:42,2.75
201607,Maternity allowance,16,1.12,0.00%,0.00%,00:01:57,1.81
201607,Mental health jobs,16,1.25,93.75%,0.00%,00:02:03,0.06
201607,Mot retest,16,1.38,25.00%,4.55%,00:06:35,3
201607,national insurance,16,1.44,25.00%,17.39%,00:03:51,1.75
201607,Pay rates,16,1.19,0.00%,5.26%,00:02:00,1.75
201607,Pension credit,16,1.38,12.50%,27.27%,00:04:31,2.5
201607,Probate,16,1.19,6.25%,10.53%,00:06:16,2.38
201607,provisional licence,16,1.06,0.00%,17.65%,00:01:25,2.12
201607,register,16,2,0.00%,18.75%,00:03:48,4.62
201607,Retest,16,1.56,6.25%,20.00%,00:06:39,3.56
201607,access to work,15,2.4,20.00%,16.67%,00:06:00,4.53
201607,Accessni,15,1.07,6.67%,0.00%,00:04:08,3.27
201607,Ballymena,15,1.2,20.00%,16.67%,00:04:06,3.4
201607,Benefits,15,1.13,0.00%,23.53%,00:03:42,4.27
201607,Blue badge application,15,1.93,6.67%,3.45%,00:07:36,3.67
201607,Child maintenance,15,1.27,26.67%,31.58%,00:00:48,1.07
201607,EMA,15,2.47,13.33%,21.62%,00:05:26,2.33
201607,grants,15,3.47,26.67%,3.85%,00:03:09,2.47
201607,job seekers,15,1.67,20.00%,4.00%,00:04:15,2
201607,land commission,15,1.8,26.67%,14.81%,00:02:19,2.2
201607,land registry,15,1.47,26.67%,18.18%,00:04:51,2.53
201607,Parking,15,1.13,13.33%,17.65%,00:04:04,1.87
201607,pension,15,1.33,13.33%,35.00%,00:05:54,2
201607,planning,15,1.07,20.00%,12.50%,00:02:37,2.2
201607,public appointments,15,1.87,0.00%,10.71%,00:13:08,7.4
201607,telephone number,15,1.53,53.33%,8.70%,00:00:25,0.93
201607,track a fault,15,2.73,6.67%,19.51%,00:06:13,3
201607,umbrella bodies,15,2.27,0.00%,11.76%,00:09:48,9.93
201607,Apprenticeships,14,1.43,7.14%,15.00%,00:02:28,3
201607,Cancel mot,14,1.36,28.57%,10.53%,00:03:12,2.14
201607,check code,14,1.36,21.43%,31.58%,00:00:57,0.93
201607,Death,14,1.43,14.29%,40.00%,00:03:49,1.36
201607,death certificate,14,1.64,14.29%,17.39%,00:02:41,2.5
201607,Death records,14,1.79,21.43%,4.00%,00:02:57,3.79
201607,disability living allowance,14,1.07,7.14%,13.33%,00:03:43,3
201607,divorce,14,1.64,35.71%,4.35%,00:06:33,1.71
201607,Ehic,14,1.36,21.43%,21.05%,00:05:11,0.86
201607,London,14,1.36,42.86%,10.53%,00:00:54,0.64
201607,Maternity,14,1.29,42.86%,0.00%,00:03:19,1.14
201607,Mot check,14,1.57,21.43%,18.18%,00:03:55,1.86
201607,parking tickets,14,1.07,0.00%,6.67%,00:01:25,2.71
201607,Practice test,14,1.07,0.00%,6.67%,00:01:25,2.36
201607,welfare changes,14,1.43,0.00%,25.00%,00:06:00,4
201607,1901 census,13,1.54,23.08%,0.00%,00:02:41,2.15
201607,1939 register,13,1.23,23.08%,43.75%,00:00:52,1
201607,Address,13,1.38,30.77%,27.78%,00:01:03,1
201607,business rates,13,1.54,0.00%,40.00%,00:02:15,3
201607,car hire,13,1.15,38.46%,26.67%,00:00:52,1.31
201607,change mot date,13,1.31,0.00%,11.76%,00:02:15,2.31
201607,Cpc,13,1.31,0.00%,17.65%,00:04:05,3.92
201607,Death certificate,13,2,0.00%,11.54%,00:02:51,3.23
201607,Disclosure certificate,13,1.38,7.69%,22.22%,00:03:38,3.85
201607,disclosure certificates,13,1.77,0.00%,30.43%,00:04:10,6.62
201607,dl1r,13,1.38,7.69%,16.67%,00:03:08,1.85
201607,driving abroad,13,1.23,0.00%,18.75%,00:03:03,1.46
201607,Employment support allowance,13,1.69,23.08%,18.18%,00:03:47,2.31
201607,jsa,13,1.23,0.00%,25.00%,00:06:27,2.54
201607,Parkingticket,13,1.46,7.69%,31.58%,00:01:31,1.92
201607,paternity leave,13,1.38,0.00%,11.11%,00:08:28,3.15
201607,pensions,13,1.62,23.08%,28.57%,00:05:34,2
201607,practical driving test,13,1.15,0.00%,6.67%,00:02:35,1.77
201607,Provisional,13,1.38,0.00%,5.56%,00:03:14,2.85
201607,Provisional licence,13,2.23,7.69%,6.90%,00:02:11,1.62
201607,Telephone number,13,1.77,30.77%,8.70%,00:01:52,2.77
201607,v5c,13,1.08,7.69%,28.57%,00:01:47,2
201607,working tax credit,13,1.46,23.08%,26.32%,00:04:00,1.85
201607,Bank holiday,12,1,16.67%,8.33%,00:01:10,1.25
201607,bus pass,12,1.5,0.00%,22.22%,00:02:17,3.08
201607,cancel mot,12,1,8.33%,8.33%,00:01:41,1.75
201607,Change mot,12,1,8.33%,16.67%,00:05:28,1.83
201607,child maintenance,12,2.17,16.67%,3.85%,00:04:08,3.33
201607,Contact us,12,1.33,41.67%,6.25%,00:00:59,1.25
201607,covenant,12,1.33,8.33%,6.25%,00:05:47,1.83
201607,Crisis loans,12,1.42,16.67%,5.88%,00:05:30,3.75
201607,Driving licence renewal,12,1.5,33.33%,11.11%,00:01:12,1.25
201607,driving license,12,1.42,8.33%,23.53%,00:08:12,5.67
201607,Dva,12,1.42,8.33%,23.53%,00:01:35,2.25
201607,DVA,12,1.25,8.33%,53.33%,00:03:52,2.17
201607,enhanced check through a registered body,12,1,0.00%,8.33%,00:05:35,2.75
201607,Fishing licence,12,1.42,16.67%,11.76%,00:02:02,2.42
201607,get a passport urgently,12,1.67,8.33%,5.00%,00:04:37,2
201607,go on ni,12,1.83,58.33%,36.36%,00:05:33,1.67
201607,Hc11,12,1.25,16.67%,0.00%,00:01:55,1.67
201607,highway code,12,1.17,8.33%,21.43%,00:02:37,3.25
201607,holidays,12,1.17,0.00%,0.00%,00:03:54,2.33
201607,job seekers allowance,12,1.08,8.33%,7.69%,00:09:11,4.75
201607,jobseekers allowance,12,1.42,33.33%,23.53%,00:02:05,0.92
201607,Marriages,12,1.92,8.33%,13.04%,00:04:01,4
201607,mot test,12,1.5,16.67%,22.22%,00:02:45,2.83
201607,Mot test,12,2,25.00%,8.33%,00:07:56,2.25
201607,motoring,12,1.83,0.00%,13.64%,00:03:54,3.92
201607,Newry,12,1.58,25.00%,5.26%,00:04:03,2.58
201607,notice of appeal,12,1.25,0.00%,20.00%,00:03:43,2.42
201607,Pay a bus lane,12,1.17,0.00%,7.14%,00:00:31,1.42
201607,Pension,12,1.25,0.00%,33.33%,00:06:56,2.25
201607,Proni,12,1.67,16.67%,20.00%,00:02:56,3.5
201607,psv,12,1.25,8.33%,33.33%,00:04:19,2.42
201607,public holidays,12,1.08,8.33%,30.77%,00:01:07,1.17
201607,Road tax,12,1.83,50.00%,22.73%,00:00:57,0.92
201607,ssp,12,1.67,16.67%,15.00%,00:03:37,1.42
201607,taxi licence,12,1.67,0.00%,15.00%,00:08:29,4.25
201607,theory,12,1.33,0.00%,0.00%,00:05:22,4.58
201607,access ni form,11,1.64,27.27%,16.67%,00:01:03,1.91
201607,address,11,1.18,9.09%,30.77%,00:04:46,2.36
201607,application form,11,1.45,18.18%,25.00%,00:04:25,1.82
201607,apply for an enhanced check,11,1.18,0.00%,7.69%,00:02:58,2.09
201607,Apply for disclosure certificate,11,2.18,27.27%,4.17%,00:06:46,3.45
201607,apprenticeship,11,1.36,0.00%,0.00%,00:07:46,4.18
201607,birth cert,11,1.09,0.00%,16.67%,00:00:47,1.36
201607,Book theory,11,1.18,9.09%,7.69%,00:01:39,2.45
201607,bus lanes,11,1,0.00%,18.18%,00:21:24,6.18
201607,Bus pass,11,1.27,9.09%,42.86%,00:01:40,1.55
201607,Car registration,11,1.91,63.64%,0.00%,00:03:27,1
201607,Careers,11,2.18,18.18%,8.33%,00:07:10,4.64
201607,Change mot appointment,11,1.09,0.00%,0.00%,00:00:33,1
201607,change of ownership,11,1.27,18.18%,57.14%,00:01:19,1.36
201607,Child tax credit,11,1.36,54.55%,13.33%,00:00:57,1.55
201607,Church records,11,1.73,0.00%,5.26%,00:09:39,2.91
201607,coleraine,11,1.64,9.09%,33.33%,00:02:34,3.45
201607,d777,11,1.27,0.00%,21.43%,00:01:08,2.09
201607,disclosure certificate,11,1.64,0.00%,11.11%,00:06:16,5.73
201607,driving licence fees,11,1.36,0.00%,6.67%,00:02:53,2
201607,Dvla,11,1.82,27.27%,15.00%,00:01:53,3
201607,Employment and support allowance,11,1.18,9.09%,15.38%,00:06:32,2.18
201607,Grants,11,3.73,18.18%,9.76%,00:06:43,4.09
201607,GRONI,11,1.73,18.18%,15.79%,00:04:13,1.91
201607,Job seekers allowance,11,1.55,18.18%,11.76%,00:02:17,1.64
201607,jobs ofer,11,1.09,100.00%,0.00%,00:01:20,0
201607,loans,11,1.18,9.09%,38.46%,00:01:57,1.27
201607,maternity,11,1.27,9.09%,21.43%,00:04:00,3
201607,mot check,11,1.55,27.27%,23.53%,00:00:33,1.73
201607,motor tax,11,1.09,18.18%,66.67%,00:02:30,0.18
201607,National insurance number,11,1.09,0.00%,0.00%,00:03:32,2.55
201607,pcn,11,1,9.09%,0.00%,00:00:59,1.82
201607,personal independence payment,11,1.55,9.09%,17.65%,00:08:54,3.18
201607,self employed worksheet,11,1.18,9.09%,0.00%,00:00:52,1.18
201607,sick pay,11,1.36,9.09%,26.67%,00:03:39,2.27
201607,street lighting,11,1.27,9.09%,21.43%,00:01:56,1.64
201607,universal credit,11,1.36,18.18%,13.33%,00:01:42,1.27
201607,v5,11,1.18,9.09%,7.69%,00:02:08,2.18
201607,access,10,1.1,0.00%,45.45%,00:01:32,2.6
201607,appeals,10,1.5,30.00%,20.00%,00:07:19,2.8
201607,Apply for blue badge,10,1.8,10.00%,5.56%,00:02:57,2.9
201607,bag levy,10,1.3,0.00%,7.69%,00:01:31,1.1
201607,Benefit calculator,10,1.6,40.00%,6.25%,00:03:59,1.8
201607,bereavement,10,1.5,30.00%,20.00%,00:09:25,5.9
201607,Blue badge application form,10,1.4,0.00%,0.00%,00:02:34,1.7
201607,blue badge form,10,2.5,20.00%,8.00%,00:06:38,2.3
201607,budget loan,10,1.3,0.00%,0.00%,00:03:11,2.1
201607,bus lane,10,1,10.00%,0.00%,00:01:50,2.1
201607,Bus lane,10,1.5,0.00%,6.67%,00:02:57,1.9
201607,challengeparkingticket,10,1.3,10.00%,23.08%,00:03:33,4.1
201607,Change appointment,10,1.1,30.00%,18.18%,00:00:32,0.9
201607,Change of name,10,1.5,10.00%,20.00%,00:01:50,2.2
201607,Childcare vouchers,10,1,100.00%,0.00%,00:00:00,0
201607,choices,10,1.5,20.00%,6.67%,00:02:34,5.1
201607,Cookstown,10,1.4,30.00%,14.29%,00:02:44,2.2
201607,crisis loan number,10,1.1,30.00%,0.00%,00:01:13,1.4
201607,death certificates,10,1,0.00%,20.00%,00:04:55,2.3
201607,Driving licence fee,10,2.2,30.00%,0.00%,00:01:08,1.4
201607,Driving licence fees,10,1.5,0.00%,0.00%,00:02:25,2.3
201607,european health insurance card,10,1.2,0.00%,0.00%,00:06:40,1.1
201607,fireworks,10,2.8,0.00%,10.71%,00:12:02,9.2
201607,Holidays,10,1.5,20.00%,20.00%,00:00:43,1.6
201607,How much is a provisional licence,10,1.5,20.00%,20.00%,00:01:10,1.5
201607,lps,10,1.3,10.00%,23.08%,00:01:53,3.5
201607,marriage certificates,10,1.1,10.00%,18.18%,00:05:25,2.4
201607,mot booking,10,1.3,10.00%,0.00%,00:01:04,2.9
201607,New keeper,10,1.7,40.00%,23.53%,00:01:43,1.6
201607,Number,10,1.2,10.00%,0.00%,00:01:09,2.1
201607,Omagh,10,1.7,30.00%,23.53%,00:00:48,1.7
201607,opening hours,10,2.2,30.00%,13.64%,00:03:07,3.1
201607,osni,10,1.1,0.00%,18.18%,00:04:18,6.5
201607,Provisional license,10,1,0.00%,20.00%,00:01:39,1.9
201607,Psv,10,1.3,40.00%,15.38%,00:01:04,0.8
201607,Public holidays,10,1.2,40.00%,0.00%,00:02:47,1.9
201607,redundancy,10,1.7,10.00%,23.53%,00:04:23,5.2
201607,scotland,10,1.9,60.00%,5.26%,00:00:55,1.7
201607,sign in,10,1.5,30.00%,20.00%,00:00:34,0.9
201607,statutory maternity pay,10,1.6,0.00%,18.75%,00:02:44,2.8
201607,taxis,10,1.3,0.00%,15.38%,00:04:21,3.5
201607,Test,10,1.5,20.00%,0.00%,00:06:05,3.4
201607,14.3.1954,9,1,100.00%,0.00%,00:00:00,0
201607,access ni applications,9,1.33,11.11%,0.00%,00:07:32,5.33
201607,Access no,9,1,0.00%,55.56%,00:02:22,3.44
201607,apply for an enhanced check through a registered body,9,1,0.00%,0.00%,00:04:39,2.33
201607,Armagh,9,1.89,0.00%,23.53%,00:08:48,4.67
201607,belfast,9,1.67,0.00%,33.33%,00:03:51,2.78
201607,Birmingham,9,1.22,55.56%,0.00%,00:00:43,1.67
201607,Booknow,9,1.11,0.00%,30.00%,00:02:45,4.22
201607,Budgeting loan,9,1.44,11.11%,0.00%,00:03:56,1.56
201607,cancellations,9,1.44,11.11%,30.77%,00:03:58,1.67
201607,Cancellations,9,1.11,11.11%,30.00%,00:02:43,4.33
201607,CAR TAX,9,2.44,22.22%,18.18%,00:01:15,2.44
201607,Carers,9,1.56,33.33%,28.57%,00:00:46,1.11
201607,Change mot date,9,1.56,22.22%,7.14%,00:01:49,1
201607,Check code,9,1.33,44.44%,16.67%,00:02:49,0.78
201607,Check tax,9,1.11,44.44%,30.00%,00:00:23,0.78
201607,child tax credits,9,1.33,33.33%,16.67%,00:07:11,2.44
201607,childcare,9,1.44,22.22%,23.08%,00:02:04,1.89
201607,claim state pension,9,1.44,22.22%,7.69%,00:04:40,2.11
201607,Craigavon,9,1.44,0.00%,7.69%,00:06:12,4.22
201607,Crisis loan phone number,9,1.33,22.22%,25.00%,00:01:41,3
201607,D777(NI),9,1,0.00%,33.33%,00:02:04,2
201607,Divorce,9,1,11.11%,22.22%,00:03:17,2.44
201607,driveways,9,2.22,100.00%,0.00%,00:14:50,0.22
201607,Driving abroad,9,1.67,11.11%,13.33%,00:02:08,2.78
201607,driving licence renewal,9,1.56,11.11%,28.57%,00:05:45,3.44
201607,fish stocking,9,1.33,22.22%,8.33%,00:08:21,4.11
201607,Fish stocking,9,1.44,0.00%,7.69%,00:03:04,2.33
201607,fraud,9,2,0.00%,5.56%,00:05:11,2.89
201607,free school meals,9,1.33,44.44%,33.33%,00:02:13,1.11
201607,Glasgow,9,1.33,44.44%,33.33%,00:00:39,0.44
201607,Google,9,1.56,77.78%,7.14%,00:00:51,0.56
201607,gro,9,1.44,11.11%,23.08%,00:11:56,4
201607,Groni,9,1.56,11.11%,0.00%,00:07:05,1.89
201607,hc1,9,1.33,11.11%,25.00%,00:01:02,1.22
201607,job,9,1.67,22.22%,13.33%,00:04:04,3.33
201607,Jsa,9,1.33,22.22%,25.00%,00:01:21,3
201607,land and property services,9,1.33,33.33%,25.00%,00:02:18,1.89
201607,Leicester,9,1.22,11.11%,18.18%,00:05:53,4.44
201607,Log in,9,1.44,22.22%,23.08%,00:01:15,1.22
201607,Maternity pay,9,1,11.11%,0.00%,00:02:45,2.78
201607,motorcycle test,9,1.11,0.00%,20.00%,00:03:44,3.56
201607,Motoring,9,1.44,33.33%,30.77%,00:01:07,0.89
201607,noa1,9,2.33,22.22%,4.76%,00:02:22,1.56
