UK Fig 6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability of NGA networks: end 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of households (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,UK,UK,FRA,FRA,GER,GER,GER,ITA,ITA,USA,USA,USA,CAN,CAN,JPN,AUS,AUS,ESP,ESP,NED,NED,NED,SWE,POL,POL,POL,BRA,BRA,BRA,RUS,IND,IND,CHN,
UK,42,46,50,52,54,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,49,49,48,48,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,28,30,32,35,37,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,93,95,96,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,59,67,74,78,81,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,,59,63,66,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,48,55,55,60,62,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,26,34,37,47,56,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,36,41,47,53,57,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,50,51,51,52,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,46,48,50,51,52,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Figures for USA, CAN and CHN include incoming calls ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average price premium of a mobile voice call minute over a fixed call minute: 2007 to 2012 (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,169,148,131,108,93,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,45,66,89,106,112,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,52,32,13,8,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,8,2,-2,-10,-26,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,29,0,-16,-38,-45,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,-16,-26,-34,-39,-50,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,-35,-42,-43,-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,-58,-64,-67,-69,-71,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,77,67,68,71,70,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,56,55,43,37,47,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,63,46,17,9,2,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,153,83,75,28,-5,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,,27,14,-6,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,17,-3,-32,-37,-40,-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,39,7,-4,-22,-29,-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,-86,-86,-87,-85,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: The average fixed and mobile pence-per-minute values used to calculate the price premiums shown include the monthly access charge, and as such may include revenues relating to bundled mobile messaging and data services. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change in fixed and mobile voice call volumes: 2012 (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,
Fixed,-8,-1,-3,-6,-8,,-14,-11,-5,-1,-13,-11,-12,-5,,,-5,,,,,,,,,,,,,,,,,
Mobile,1,13,3,6,0,7,-2,17,-3,-1,5,-1,8,19,13,16,28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of alternatives to traditional voice calls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK ,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,
Email,94,93,91,91,92,93,94,90,95,,,,,,,,,,,,,,,,,,,,,,,,,
SMS,80,71,78,80,56,41,78,70,76,,,,,,,,,,,,,,,,,,,,,,,,,
Instant Messaging,45,43,37,62,38,26,47,69,95,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,31,21,18,37,22,34,23,43,56,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, September 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Research conducted online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total comparator country retail telecoms revenue, by sector: 2007 to 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed voice,203,194,176,163,151,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband,56,63,69,75,81,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile voice,248,248,242,238,235,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile data,66,81,97,116,138,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,573,585,584,591,605,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Fixed broadband revenues exclude the BRIC countries; voice revenues include access/line rental revenues and may include revenues relating to bundled data services. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total comparator country retail telecoms revenue, by country type: 2007 to 2012 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU,156,158,155,154,151,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA/CAN,193,200,199,203,210,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS/JPN,113,109,109,109,111,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIC,110,119,121,126,133,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,573,585,584,591,605,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for the BRIC countries exclude fixed broadband revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Telecoms service retail revenues, by sector: 2007 and 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,
,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012
Fixed,10,9,9,5,14,9,9,6,67,46,8,6,27,18,6,4,6,4,2,2,2,1,1,1,2,1,13,11,5,5,3,2,19,8
Mobile,14,16,15,15,18,19,12,11,88,112,8,12,57,54,8,11,12,10,4,4,2,3,2,1,3,4,13,20,9,14,5,9,43,69
Broadband,3,4,4,7,4,5,3,4,20,32,3,4,14,20,2,2,2,3,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Total,28,28,29,28,36,33,24,21,175,191,19,23,98,92,15,17,20,16,8,8,4,4,3,2,5,5,26,32,14,19,8,10,62,78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for the BRIC countries exclude fixed broadband revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile as a proportion of total telecoms revenues: 2007 and 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,
2007,52,54,51,52,50,45,58,50,60,50,43,58,61,,,,,,,,,,,,,,,,,,,,,
2012,57,55,59,53,59,53,59,62,60,52,58,53,71,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total fixed broadband and mobile data revenues: 2007 to 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,,,,,,,,,,,,,,,,
Fixed broadband,56,,,63,,,69,,,75,,,81,,,85,,,,,,,,,,,,,,,,,,
Mobile internet,,34,,,42,,,53,,,67,,,82,,,93,,,,,,,,,,,,,,,,,
SMS messaging,,31,,,38,,,43,,,49,,,56,,,60,,,,,,,,,,,,,,,,,
Total,56,66,,63,81,,69,97,,75,116,,81,138,,85,152,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Excludes the BRIC countries ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data revenues as a proportion of total telecoms revenue: 2007 and 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,
2007,21,23,22,25,20,22,33,22,22,28,24,18,19,,,,,,,,,,,,,,,,,,,,,
2012,31,45,41,35,42,36,55,44,34,43,40,28,33,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
