Supplier payments over £250 in April 2014,,,,,,,,
Body Name,Date,Transaction No.,Amount,Supplier Name,Expense Area,Expense Type,Expense Code,Service Area
South Lakeland District Council,16/04/2014,39810,1138.2,NTG Consultants,Human Resources,Other Consultants,ECH6114556,Central Services
South Lakeland District Council,16/04/2014,39811,250,Association of Town & City Management,Human Resources,Staff Advertising,ECH6111241,Central Services
South Lakeland District Council,16/04/2014,39815,797.5,PATROL,Social Enterprise Admin,Brokers & Bureau Fees,GGK8214547,Highways & Transport Services
South Lakeland District Council,16/04/2014,39816,280,HAGS-SMP Ltd,Social Enterprise Admin,Play Areas Maintenance,GPK6112009,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39819,10320.32,LOCAL GOVERNMENT ASSOCIATION,Democratic Services,Subscriptions to Associations,GGT6214864,Central Services
South Lakeland District Council,09/04/2014,39821,500,NPS GROUP LTD,Offices,NPS Planned Maintenance,EPX0112090,Central Services
South Lakeland District Council,09/04/2014,39823,790.4,BRIAN ARMISTEAD LTD T/A SINKFALL RECYCLI,Business Support Community Services,Tipping & Disposal Charges,SWK1314573,Internal Trading Accounts
South Lakeland District Council,09/04/2014,39824,714,CUMBRIA RURAL HOUSING TRUST,Environment and Housing,Other Consultants,GSH7014556,Housing Services
South Lakeland District Council,23/04/2014,39825,3884.82,CABLE & WIRELESS UK (VODAFONE),ICT Group,Computer-Phone Lines,ERI3214690,Central Services
South Lakeland District Council,09/04/2014,39826,466.53,CABLE & WIRELESS UK (VODAFONE),ICT Group,General,ZHD0998021,SLDC as Agent
South Lakeland District Council,09/04/2014,39832,981.37,VENN GROUP RECRUITMENT SOLUTIONS,Financial Services,Contract & Agency staff,EFS2111160,Central Services
South Lakeland District Council,09/04/2014,39833,2205.2,HOME GROUP LTD,Environment and Housing,General,ZCJ4598021,SLDC as Agent
South Lakeland District Council,09/04/2014,39834,833.4,Matchtech,Development Strategy,Salaries,GLP3111101,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,39835,306,LAKELAND COMMERCIALS LTD,Business Support Community Services,Transport-Repair & Maintenance,STS4013133,Internal Trading Accounts
South Lakeland District Council,16/04/2014,39836,850,TREVOR ROBERTS ASSOCIATES,Technical Team,Training Costs,EUR8111246,Central Services
South Lakeland District Council,09/04/2014,39838,900,Open Spaces Ltd,Research and Intelligence,Contract & Agency staff,EXS2111160,Central Services
South Lakeland District Council,16/04/2014,39839,1690,PAUL BENNETT LANDSCAPES LTD,Social Enterprise Admin,Purchase of Plant Machinery,KNM5124101,Housing
South Lakeland District Council,16/04/2014,39840,528,CUMBRIA COUNTY COUNCIL,Social Enterprise Admin,Other Local Authorities,GLC9115257,Central Services
South Lakeland District Council,16/04/2014,39841,280,Inception Design,Lake Wardens,Equipment Furniture Materials,GLW4114170,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39842,545.5,SPAFAX INTERNATIONAL LTD.,Business Support Community Services,Transport-Uninsured Damage,STS4013134,Internal Trading Accounts
South Lakeland District Council,16/04/2014,39847,1000,IT BUS LTD,ICT Group,Software Maintenance,ERI3214694,Central Services
South Lakeland District Council,16/04/2014,39848,3000,CUMBRIA COUNTY COUNCIL,Development Implementation,Economic Development Fund,GED0114051,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,09/04/2014,39849,653.43,UNITED UTILITIES WATER PLC,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,16/04/2014,39850,3000,CUMBRIA COUNTY COUNCIL,Development Implementation,Other Consultants,GPO0114556,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39852,3897.5,CUMBRIA COUNTY COUNCIL,Social Enterprise Admin,Other Local Authorities,GLC9115257,Central Services
South Lakeland District Council,09/04/2014,39853,1500,JOANNA SMAILES,Business Support Community Services,General,ZCJ4998021,SLDC as Agent
South Lakeland District Council,16/04/2014,39854,4111.8,CUMBRIA COUNTY COUNCIL,Social Enterprise Admin,Other Local Authorities,GLC9115257,Central Services
South Lakeland District Council,16/04/2014,39857,615.3,Cleartrack (EvL) Ltd,Social Enterprise Admin,Arboricultural Work,GPK6112008,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,39858,284.2,HAKO MACHINES LIMITED,Business Support Community Services,Transport-Uninsured Damage,STS4013134,Internal Trading Accounts
South Lakeland District Council,16/04/2014,39859,575.3,Cleartrack (EvL) Ltd,Social Enterprise Admin,Arboricultural Work,GPK6112008,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39860,820,Cleartrack (EvL) Ltd,Social Enterprise Admin,Grounds,GPK6112006,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39861,534.38,Cleartrack (EvL) Ltd,Social Enterprise Admin,Arboricultural Work,GPK6112008,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39862,1260,Cleartrack (EvL) Ltd,Social Enterprise Admin,Arboricultural Work,GPK6112008,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,09/04/2014,39863,334.14,ARCO LIMITED,Business Support Community Services,Protective Clothing & Uniforms,SWK1314310,Internal Trading Accounts
South Lakeland District Council,28/04/2014,39865,1550,THE DOCUMENT MANAGEMENT GROUP LTD,ICT Group,Equipment-Service Contracts,ERI3214173,Central Services
South Lakeland District Council,16/04/2014,39869,500,SOUTH LAKES HOUSING,Policy & Partnerships,Contributions to Organisations,GCG3214863,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39873,10000,MOUCHEL LTD,Social Enterprise Admin,Software Maintenance,GGK8214694,Highways & Transport Services
South Lakeland District Council,16/04/2014,39874,1000,KENDAL TOWN COUNCIL,Policy & Partnerships,Contributions to Organisations,GCG3214863,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39878,552,APSE,Social Enterprise Admin,Training Costs,EUN7711246,Central Services
South Lakeland District Council,16/04/2014,39879,1138.2,NTG Consultants,Human Resources,Other Consultants,ECH6114556,Central Services
South Lakeland District Council,01/04/2014,39891,82203,INLAND REVENUE (CHAPS),Payroll Deductions,General,XPA4198021,Non-Service Payments
South Lakeland District Council,01/04/2014,39891,92619.84,INLAND REVENUE (CHAPS),Payroll Deductions,General,XPA4298021,Non-Service Payments
South Lakeland District Council,01/04/2014,39891,427,INLAND REVENUE (CHAPS),Payroll Deductions,General,XPA5098021,Non-Service Payments
South Lakeland District Council,01/04/2014,39893,9980.04,CUMBRIA LGPS (CHAPS),Unapportionable Pension Adj,Pension Contributions,GFS1711130,Central Services
South Lakeland District Council,01/04/2014,39893,87718.22,CUMBRIA LGPS (CHAPS),Payroll Deductions,General,XPA3998021,Non-Service Payments
South Lakeland District Council,01/04/2014,39893,121758.61,CUMBRIA LGPS (CHAPS),Payroll Deductions,General,XPA4398021,Non-Service Payments
South Lakeland District Council,01/04/2014,39896,4477.4,NPOWER LTD (NCR),Offices,Electricity,EPX0112150,Central Services
South Lakeland District Council,01/04/2014,39896,544.16,NPOWER LTD (NCR),Car Parks,Electricity,GCK9612150,Highways & Transport Services
South Lakeland District Council,01/04/2014,39896,696.8,NPOWER LTD (NCR),Public Halls,Electricity,GPH8112150,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,01/04/2014,39896,3336.51,NPOWER LTD (NCR),Leisure Trust Account,Electricity,ZLL0212150,SLDC as Agent
South Lakeland District Council,14/04/2014,39898,453.7,SETON,Sundry Properties,Unforseen Mtce Infrastructure,GSY1312020,External Trading Accounts
South Lakeland District Council,09/04/2014,39901,502,CASTLE ALARMS,Offices,NPS Service Contracts,EPX0112093,Central Services
South Lakeland District Council,09/04/2014,39903,680,R G PARKINS & PARTNERS LTD,Sundry Properties,NPS Planned Maintenance,GSY1112090,External Trading Accounts
South Lakeland District Council,09/04/2014,39904,746.4,J A JONES & SONS,Leisure Centres (incl Pools),NPS Planned Maintenance,GLE1112090,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,39906,696,Lakemere Environmental Services Limited,Business Support Community Services,Equipment Furniture Materials,GWK1314170,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,39907,277,CASTLE ALARMS,Public Halls,NPS Day to Day maintenance,GPH8212091,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,17/04/2014,39908,300,COGEN SOLUTIONS,Leisure Centres (incl Pools),NPS Service Contracts,GLE1112093,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,39910,1390,SOUTH LAKES TREE SURGEONS & LANDSCAPES,Car Parks,Car Park Surfaces,GCK7512010,Highways & Transport Services
South Lakeland District Council,14/04/2014,39911,776.25,CASTLE ALARMS,Offices,NPS Day to Day maintenance,EPX0112091,Central Services
South Lakeland District Council,14/04/2014,39911,305.25,CASTLE ALARMS,Markets,NPS Day to Day maintenance,GMK4212091,External Trading Accounts
South Lakeland District Council,14/04/2014,39911,291,CASTLE ALARMS,Public Halls,NPS Day to Day maintenance,GPH8112091,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39912,587.5,CONTINENTAL LANDSCAPES LTD,Industrial Units Tenants,NPS Service Contracts,GUT2512093,External Trading Accounts
South Lakeland District Council,16/04/2014,39913,11300.6,IAN F NICHOLSON LTD,Leisure Centres (incl Pools),NPS Planned Maintenance,GLE1112090,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39914,833.18,G4S SECURE SOLUTIONS (UK) LTD,Social Enterprise Admin,Private Contractos gen,GCK9615596,Highways & Transport Services
South Lakeland District Council,14/04/2014,39915,2500,SOUTH LAKES TREE SURGEONS & LANDSCAPES,Social Enterprise Admin,Grounds,GPK6112006,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39918,1895.06,OCS GROUP LTD T/A CANNON HYGIENE LTD,Business Support Community Services,Clinincal Waste Disposal Costs,GWC1114576,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,09/04/2014,39922,600,Masterstaff Limited,Business Support Community Services,Contract & Agency staff,SWK1311160,Internal Trading Accounts
South Lakeland District Council,01/04/2014,39930,496.49,CREDIT CALL LTD (NCR),Social Enterprise Admin,Credit Card Commission,GCK8114549,Highways & Transport Services
South Lakeland District Council,14/04/2014,39932,421.43,Masterstaff Limited,Business Support Community Services,Contract & Agency staff,SWK1311160,Internal Trading Accounts
South Lakeland District Council,28/04/2014,39933,395,STANHOPE WORKSHOP SERVICES,Business Support Community Services,Equipment Furniture Materials,STS4014170,Internal Trading Accounts
South Lakeland District Council,16/04/2014,39934,275.96,NORTHGATE VEHICLE HIRE LTD,Business Support Community Services,Sampling & Inspection fees,GWS0114578,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,39935,10000,CUMBRIA CVS,Policy & Partnerships,Other Consultants,GCD7114556,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,16/04/2014,39937,2029,HILL DICKINSON LLP,Development Implementation,NPS - Property Works,ECC7815593,Central Services
South Lakeland District Council,28/04/2014,39938,300,HILL DICKINSON LLP,Development Implementation,NPS - Property Works,ECC7815593,Central Services
South Lakeland District Council,16/04/2014,39939,38333.33,NPS GROUP LTD,Development Implementation,NPS - Property Works,ECC7815593,Central Services
South Lakeland District Council,14/04/2014,39940,450,DOLPHIN STAIRLIFTS CUMBRIA,Environment and Housing,Grant Payments,KGD2126101,Housing
South Lakeland District Council,14/04/2014,39941,4934,C W COX & SONS (KENDAL) LTD,Environment and Housing,Grant Payments,KGD2126101,Housing
South Lakeland District Council,14/04/2014,39942,2416.41,C W COX & SONS (KENDAL) LTD,Environment and Housing,Grant Payments,KGD2126101,Housing
South Lakeland District Council,14/04/2014,39943,4860,C W COX & SONS (KENDAL) LTD,Environment and Housing,Grant Payments,KGD2126101,Housing
South Lakeland District Council,14/04/2014,39944,275,DOLPHIN STAIRLIFTS CUMBRIA,Environment and Housing,Grant Payments,KGD2126101,Housing
South Lakeland District Council,28/04/2014,39946,1138.2,NTG Consultants,Human Resources,Other Consultants,ECH6114556,Central Services
South Lakeland District Council,14/04/2014,39948,11212.87,HALAROSE LIMITED,Democratic Services,Software Maintenance,GER7114694,Central Services
South Lakeland District Council,14/04/2014,39949,7188.15,HALAROSE LIMITED,Electoral Services,Software Maintenance,GEL8114694,Central Services
South Lakeland District Council,16/04/2014,39951,17989.07,SITA UK LTD,Business Support Community Services,Tipping & Disposal Charges,SWK1314573,Internal Trading Accounts
South Lakeland District Council,16/04/2014,39952,740.4,BRIAN ARMISTEAD LTD T/A SINKFALL RECYCLI,Business Support Community Services,Tipping & Disposal Charges,SWK1314573,Internal Trading Accounts
South Lakeland District Council,14/04/2014,39953,5069.07,SOUTH LAKES HOUSING,Business Support Community Services,Building Day-to-Day Repairs,GHL7212003,Housing Services
South Lakeland District Council,14/04/2014,39954,887,SOUTH LAKES HOUSING,Business Support Community Services,Building Day-to-Day Repairs,GHL7212003,Housing Services
South Lakeland District Council,28/04/2014,39955,52658.85,Lafarge Tarmac Trading Ltd,Town Centre Management,NPS Planned Maintenance,GTM5212090,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,39958,2045.13,E ON ENERGY,District Special Expenses,Electricity,GSE9112150,Highways & Transport Services
South Lakeland District Council,14/04/2014,39958,684.08,E ON ENERGY,Parish Lighting,Electricity,ZDP2112150,SLDC as Agent
South Lakeland District Council,14/04/2014,39960,705,James Andrews Recruitment Solutions,Environment and Housing,Salaries,GHT4111101,Housing Services
South Lakeland District Council,14/04/2014,39961,1000,KIRKBY LONSDALE TOWN COUNCIL,Policy & Partnerships,Contributions to Organisations,GCG3214863,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,39962,274.84,GREATER MANCHESTER PENSION FUND,Financial Services,Pensions Increase Act,GFS1711250,Central Services
South Lakeland District Council,14/04/2014,39964,925,James Andrews Recruitment Solutions,Business Support Community Services,Contract & Agency staff,GHM1111160,Housing Services
South Lakeland District Council,16/04/2014,39966,3441,METCALFE BROS LTD,Business Support Community Services,Hired Services,STG3115611,Internal Trading Accounts
South Lakeland District Council,28/04/2014,39974,1177.45,ROYAL MAIL GROUP PLC,Revenues and Benefits,General,ZHD1198021,SLDC as Agent
South Lakeland District Council,28/04/2014,39976,331.2,THE FAIRGROUND,Kendal Market Hall,Catering Supplies,GPH8114200,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,39977,294,CASTLE ALARMS,Public Halls,NPS Day to Day maintenance,GPH8112091,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,39978,15710,CUMBRIA COUNTY COUNCIL,Financial Services,Hired Services,ERA5515611,Central Services
South Lakeland District Council,23/04/2014,39978,17280,CUMBRIA COUNTY COUNCIL,Financial Services,Rent Allowance Payments,GRA4116284,Housing Benefit Payments
South Lakeland District Council,16/04/2014,39980,532,FTS FIRE EXTINGUISHERS LTD,SLDC Depots,NPS Service Contracts,GDY1112093,Transport Planning Policy
South Lakeland District Council,14/04/2014,39987,4032,ULVERSTON OUTSIDERS DRAMATIC SOCIETY,Holding Accounts,General,ZHD0198021,SLDC as Agent
South Lakeland District Council,23/04/2014,39988,367.2,EMPLOYMENT PAGES LTD,Human Resources,Staff Advertising,ECH6111241,Central Services
South Lakeland District Council,14/04/2014,39989,308,DISCLOSURE AND BARRING SERVICE,Business Support Community Services,Criminal Records Bureau,ZHD3314562,SLDC as Agent
South Lakeland District Council,14/04/2014,39990,1482.8,BOTTOMLINE TECHNOLOGIES EUROPE LTD,Financial Services,Software Maintenance,EFS2114694,Central Services
South Lakeland District Council,14/04/2014,39991,416.67,CYCLESCHEME LTD,Human Resources,General,XPA5698021,Non-Service Payments
South Lakeland District Council,14/04/2014,39993,833.4,Matchtech,Development Strategy,Salaries,GLP3111101,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,23/04/2014,39994,433.65,Masterstaff Limited,Social Enterprise Admin,Contract & Agency staff,GLC9111160,Central Services
South Lakeland District Council,14/04/2014,39995,6200,RandomStorm Ltd,ICT Group,Other Consultants,ERI3214556,Central Services
South Lakeland District Council,14/04/2014,39996,520,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,14/04/2014,39997,375,Landlord,Business Support Community Services,Homelessness Prevention,GHM1114918,Housing Services
South Lakeland District Council,14/04/2014,39998,1500,DHE ASSOCIATES,Development Implementation,General,ZCJ7398021,SLDC as Agent
South Lakeland District Council,28/04/2014,40000,9608.55,HAGS-SMP Ltd,Social Enterprise Admin,Purchase of Plant Machinery,KNM5124101,Housing
South Lakeland District Council,14/04/2014,40001,3396.08,UNITED UTILITIES WATER PLC,Car Parks,Water & Sewerage Charg,GCK0212480,Highways & Transport Services
South Lakeland District Council,14/04/2014,40001,763.78,UNITED UTILITIES WATER PLC,Car Parks,Water & Sewerage Charg,GCK1312480,Highways & Transport Services
South Lakeland District Council,14/04/2014,40001,1770.42,UNITED UTILITIES WATER PLC,Car Parks,Water & Sewerage Charg,GCK2212480,Highways & Transport Services
South Lakeland District Council,14/04/2014,40001,3396.08,UNITED UTILITIES WATER PLC,Car Parks,Water & Sewerage Charg,GCK2612480,Highways & Transport Services
South Lakeland District Council,14/04/2014,40001,317.14,UNITED UTILITIES WATER PLC,Car Parks,Water & Sewerage Charg,GCK3512480,Highways & Transport Services
South Lakeland District Council,14/04/2014,40001,730.24,UNITED UTILITIES WATER PLC,Car Parks,Water & Sewerage Charg,GCK9112480,Highways & Transport Services
South Lakeland District Council,14/04/2014,40001,842.81,UNITED UTILITIES WATER PLC,Cemeteries,Water & Sewerage Charg,GCM0112480,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,40001,322.72,UNITED UTILITIES WATER PLC,Caravan Site,Water & Sewerage Charg,GCS1112480,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,40001,1008.29,UNITED UTILITIES WATER PLC,SLDC Depots,Water & Sewerage Charg,GDY1212480,Transport Planning Policy
South Lakeland District Council,14/04/2014,40001,1527.55,UNITED UTILITIES WATER PLC,Glebe Road Recreation Ground,Water & Sewerage Charg,GGR7112480,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,40001,524.56,UNITED UTILITIES WATER PLC,Markets,Water & Sewerage Charg,GMK4112480,External Trading Accounts
South Lakeland District Council,14/04/2014,40001,322.72,UNITED UTILITIES WATER PLC,Markets,Water & Sewerage Charg,GMK4412480,External Trading Accounts
South Lakeland District Council,14/04/2014,40001,730.24,UNITED UTILITIES WATER PLC,Public Halls,Water & Sewerage Charg,GPH8212480,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,14/04/2014,40002,1985.19,UNITED UTILITIES WATER PLC,SLDC Depots,Water & Sewerage Charg,GDY1112480,Transport Planning Policy
South Lakeland District Council,14/04/2014,40005,250,ZURICH MUNICIPAL,Financial Services,Insurance Excess,GPK6114915,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,01/04/2014,40006,347.46,NPOWER LTD (NCR),Town View Field Hostel,Electricity,GHL7212150,Housing Services
South Lakeland District Council,01/04/2014,40006,2489.99,NPOWER LTD (NCR),Leisure Trust Account,Electricity,ZLL0212150,SLDC as Agent
South Lakeland District Council,28/04/2014,40007,419.99,HAKO MACHINES LIMITED,Business Support Community Services,Transport-Uninsured Damage,STS4013134,Internal Trading Accounts
South Lakeland District Council,16/04/2014,40011,2250,NPS GROUP LTD,Development Implementation,NPS - Property Works,ECC7815593,Central Services
