Minister,Date,Name of External Organisation,Purpose of meeting
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Mar-14,Transport for London,Discussion on aviation
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Mar-14,Alliance of British Drivers,Discussion on road safety
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Mar-14,Cycle Rail Working Group,Discussion on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Mar-14,Thatcham research,Discussion on automotive research
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Mar-14,British Air Line Pilots’ Association,Discussion on aviation
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Mar-14,RAC Foundation,Discussion on young drivers
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Mar-14,Sustainable Aviation,Discussion on aviation
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Jan-14,Gatwick Airport,To discuss surface access to Gatwick airport
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Jan-14,Directly Operated Railways,General Discussion
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Jan-14,High Speed 1,To discuss High Speed 1
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Jan-14,OXERA,To discuss Rail Franchising
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Jan-14,Winkworth Sherwood,Dover Peoples Port Trust
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Jan-14,Future Railway and Transport Systems Catapult,Introductory Meeting
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Jan-14,UK Chamber of Shipping,Introductory Meeting
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Jan-14,Freight Transport Association,Introductory Meeting
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Jan-14,Airbus,Briefing for Singapore visit
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Feb-14,Road Haulage Association,To discuss various haulage topics
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Feb-14,SMRT (In Singapore),To discuss Metro and subway services in Singapore
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Feb-14,Northern Lighthouse Board,General Discussion
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Feb-14,Lights Advisory Committee,To discuss Light Dues
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Feb-14,Office of Rail Regulations,To discuss Control Period 5
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,China Merchant Group,To discuss maritime business in the UK
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,Freightliner,To discuss the review of revenue support for the modal alternatives to road for inland distribution in the UK
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,Milford Haven Port Authority,To discuss Mustang Marine and Milford Haven
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,Solent Maritime Authority,Introductory Chat
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,"B&Q, BOC,DHL,Gasrec,Mercedes, Tesco, UPS, Volvo",To discuss the risks to biomethane availability
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,Cross Country Trains,Introductory Chat
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,Southern Railways,Introductory Chat
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,Chiltern Railways,Introductory Chat
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,Society of Motor Manufacturers and Traders Limited,To discuss Modernisation of Motoring Services
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,Virgin Trains,Introductory Chat
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,First Group,Introductory Chat
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,"Cross Country, South Eastern, London Midland, South West Trains, Virgin Trains, Chiltern Railways, Directly Operated Railways, Northern Rail, Southern Railway,First Group, First Great Western, C2C, ATOC, Rail Delivery Group, Keolis and Network Rail",To discuss Mobile Passenger Comms
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,National Express,Introductory Chat
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Mar-14,Network Rail,Introductory Chat
