Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,invoice number - delete,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
The National Archives,The National Archives,03/04/2014,Plant and Equipment additions,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104308,16171,"14,418.04 ",Pond work Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,03/04/2014,IT Maintenance & Support - Software,Technology & Preservation,SPECIALIST COMPUTER CENTRES,104352,16185,"20,090.04 ",Oracle / Solaris cluster support,B11 2LE,,CM707,,Administration
The National Archives,The National Archives,03/04/2014,IT Maintenance & Support - Software,Technology & Preservation,OBJECTIVE CORPORATION UK LTD,104364,16182,"74,400.00 ",Maintenance and support,SL6 8XD,,CM307,,Administration
The National Archives,The National Archives,03/04/2014,Contractors,Information Policy & Services,METHODS CONSULTING LTD,104444,16207,"11,998.80 ",Professional management services,WC2H 8AD,,,,Programme
The National Archives,The National Archives,28/03/2014,Internet Archiving,Technology & Preservation,HM REVENUE & CUSTOMS,104586,029420,"393,196.00 ",Payment of VAT,G70 6AF,,,,Programme
The National Archives,The National Archives,10/04/2014,Contracted Services,Finance & Corporate Services,FAITHFUL+GOULD,104640,16247,"15,000.00 ",Estates tender for 30 Year Plan,NW1 3AT,,,,Programme
The National Archives,The National Archives,10/04/2014,Electricity,Finance & Corporate Services,EDF ENERGY,104642,16248,"50,220.49 ",Energy bill for February,PL3 5XQ,,,,Programme
The National Archives,The National Archives,10/04/2014,PSI Website Hosting,Information Policy & Services,THE STATIONERY OFFICE LTD,104653,16253,"20,828.59 ",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,10/04/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,104657,16255,"10,318.50 ",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,10/04/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,104661,16257,"13,050.00 ",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,10/04/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,104665,16259,"15,187.50 ",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,10/04/2014,Records Storage Space Rental,Public Services,DEEPSTORE LTD,104692,16268,"38,003.54 ",Records storage,CW7 2PA,,,,Programme
The National Archives,The National Archives,10/04/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,104710,16274,"12,250.00 ",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,10/04/2014,Petty France Rent and SC,Finance & Corporate Services,MOJ LIBERATA,104729,16283,"96,000.00 ",6 Hot Desks at Petty France,NP20   9FN,,,,Programme
The National Archives,The National Archives,10/04/2014,Minor Software,Technology & Preservation,COMPUTACENTER (UK) LTD,104731,16284,"11,670.67 ",Server license,AL10  9TW,,CM409,,Programme
The National Archives,The National Archives,16/04/2014,IT Maintenance & Support - Software,Technology & Preservation,CABLE & WIRELESS COMMUNICATIONS,104800,16297,"14,896.13 ",Maintenance and support,MK3  5JP,,CM409,,Administration
The National Archives,The National Archives,16/04/2014,Gas,Finance & Corporate Services,CORONA ENERGY RETAIL 4 LTD,104831,16305,"10,250.90 ",Gas supply March 2014,WD17 1JW,,,,Programme
The National Archives,The National Archives,16/04/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,104884,16319,"10,717.50 ",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,16/04/2014,Health & Safety Services,Finance & Corporate Services,Riskex Limited,104902,16326,"12,690.00 ",Health & Safety management,MK17 9HD,,,,Programme
The National Archives,The National Archives,16/04/2014,Travel & Subsistence,Finance & Corporate Services,REDFERN TRAVEL LTD,104908,16327,"12,327.08 ",Business travel,B1 3AZ,,,,Administration
The National Archives,The National Archives,16/04/2014,Govt Procurement Card (GPC) purchases,Finance & Corporate Services,ROYAL BANK OF SCOTLAND PLC,104932,16328,"39,610.34 ",Monthly Govt procurement card bill,SS99 6YY,,CM416,,Administration
The National Archives,The National Archives,16/04/2014,PAS - Public Libraries,Information Policy & Services,LATITUDE MAPPING LTD,104955,16240,"12,122.35 ",Public Library Subsidy Monthly Chg,EN6 4PS,,,,Programme
The National Archives,The National Archives,16/04/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,104978,16151,"12,978.90 ",Emergency lighting Kew,BN1 1HG,,,,Programme
The National Archives,The National Archives,25/04/2014,Office machinery maintenance,Customer & Business Development,ICAM ARCHIVES SYSTEMS,105025,16342,"31,929.00 ",Imaging equipment service contract,NN7 3DB,,,,Programme
The National Archives,The National Archives,25/04/2014,Contractors,Information Policy & Services,METHODS CONSULTING LTD,105088,16291,"12,598.74 ",Professional management services,WC2H 8AD,,,,Programme
The National Archives,The National Archives,25/04/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,105177,16375,"10,282.50 ",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,25/04/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,105179,16376,"12,861.00 ",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,25/04/2014,IT Maintenance & Support - Hardware,Technology & Preservation,ANS Group Plc,105193,16379,"37,983.66 ",Support contract (six months),M15 6SY,,CM482,,Administration
