Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"80,389.83",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/05/2012,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,"457,380.01",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/05/2012,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, BOSTON & GRANTHAM",NHS LITIGATION AUTHORITY,"180,010.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/05/2012,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, LINCOLN & LOUTH",NHS LITIGATION AUTHORITY,"293,702.20",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/05/2012,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,"26,059.20",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/05/2012,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, LINCOLN & LOUTH",NHS LITIGATION AUTHORITY,"293,702.20",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/05/2012,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, BOSTON & GRANTHAM",NHS LITIGATION AUTHORITY,"180,010.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/05/2012,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,"457,380.01",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,04/05/2012,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,"26,059.20",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/05/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"33,577.42",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/05/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"202,257.80",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/05/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"148,484.23",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/05/2012,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"58,572.41",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/05/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"238,994.28",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/05/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"236,296.07",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/05/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"194,247.44",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/05/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"251,519.29",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/05/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"254,924.42",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/05/2012,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"210,920.89",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/05/2012,MAINTENANCE CONTRACTS AND MATS,DIRECTOR OF NURSING & PATIENT SERVICES,NHS SUPPLY CHAIN (MAIDSTONE),"58,007.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/05/2012,MAINTENANCE CONTRACTS AND MATS,DIRECTOR OF NURSING & PATIENT SERVICES,NHS SUPPLY CHAIN (MAIDSTONE),"92,021.75",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/05/2012,XRAY MAINTENANCE,DIRECTOR OF SERVICE DELIVERY - GENERAL MEDICINE & A&E LINCOLN,NHS SUPPLY CHAIN (MAIDSTONE),"37,263.93",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,XRAY MAINTENANCE,DIRECTOR OF NURSING & PATIENT SERVICES,NHS SUPPLY CHAIN (MAIDSTONE),"54,468.30",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,XRAY MAINTENANCE,DIRECTOR OF NURSING & PATIENT SERVICES,NHS SUPPLY CHAIN (MAIDSTONE),"62,833.77",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/05/2012,PATHOLOGY SERVICES,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"779,298.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"44,523.62",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,783.62",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,718.12",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"41,679.12",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/05/2012,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"39,512.16",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,EQUIPMENT >5K,CAPITAL PROGRAM,OLYMPUS KEYMED LTD,"81,576.61",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/05/2012,RENTS,DIRECTOR OF FACILITIES MANAGEMENT,PROGRESS CARE HOUSING ASSOCIATION LTD,"26,276.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/05/2012,ENGINEERING SERVICES,CAPITAL PROGRAM,R J URMSON COMMISSIONING ENGINEERS LTD,"16,028.32",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/05/2012,EQUIPMENT >5K,CAPITAL PROGRAM,R J URMSON COMMISSIONING ENGINEERS LTD,"62,388.66",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/05/2012,BUILD MAINT DAY TO DAY,DIRECTOR OF FACILITIES MANAGEMENT,RILMAC GROUP LTD,"27,500.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"69,782.64",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"28,009.44",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/05/2012,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"51,688.80",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/05/2012,BUILD MAINT DAY TO DAY,DIRECTOR OF FACILITIES MANAGEMENT,SEYMOUR & CASTLE LTD,"61,809.26",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/05/2012,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,SOUTHERN ELECTRIC/GAS PLC,"28,292.72",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/05/2012,PHOTOCOPIER MACHINES,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,THE DANWOOD GROUP LTD,"88,183.68",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/05/2012,DIAGNOSTIC TESTS OTHER NHS,DIRECTOR OF SERVICE DELIVERY - ONCOLOGY & HAEMATOLOGY,THE LEEDS TEACHING HOSPITAL NHS TRUST,"26,772.00",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/05/2012,CPAP MACHINES,DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY BOSTON,THE SNORING DISORDERS CENTRE LTD,"42,048.78",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/05/2012,CPAP MACHINES,DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY BOSTON,THE SNORING DISORDERS CENTRE LTD,"25,080.69",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,03/05/2012,CLEANING EQUIPMENT MATERIALS,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"54,894.55",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"32,421.17",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,24/05/2012,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"43,691.40",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,31/05/2012,OIL,DIRECTOR OF FACILITIES MANAGEMENT,TOTAL GAS & POWER LTD,"32,005.98",May-12
Department Of Health,United Lincolnshire Hospitals NHS Trust,10/05/2012,CONSULTANCY FEES,MEDICAL DIRECTOR,VERITA,"41,358.00",May-12
