Department family,Entity,Date,Expense type,Supplier,Transaction number,Amount,Description,Supplier Post Code,,
Departmen of Health,NHS Business Services Authority,12/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080071840,"39,750.61",AC 0912819049,S49 1HQ,
Departmen of Health,NHS Business Services Authority,12/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080072015,"58,587.13",AC 0912819049,S49 1HQ,
Departmen of Health,NHS Business Services Authority,12/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080072312,"21,974.92",AC 0912819048,S49 1HQ,
Departmen of Health,NHS Business Services Authority,12/08/2016,Temporary Staff,Prescription Pricing Division,KAINOS SOFTWARE LIMITED,0080072403,"26,539.55",CCN06 - 2016 - Technical Refresh of the,BT7 1NT,
Departmen of Health,NHS Business Services Authority,12/08/2016,Professional Fees,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080072518,"25,682.45",Project Manager - Senior Consultant,DL1 9HN,
Departmen of Health,NHS Business Services Authority,12/08/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080072553,"23,372.00",Equiniti Paymaster 2015 Scheme Hutton,RH10 1UH,
Departmen of Health,NHS Business Services Authority,12/08/2016,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080072554,"119,938.00",Equiniti Paymaster 2015 Scheme Hutton,RH10 1UH,
Departmen of Health,NHS Business Services Authority,12/08/2016,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0080072556,"25,500.00",Equiniti Paymaster IT services Fixed,RH10 1UH,
Department of Health,NHS Business Services Authority,15/08/2016,Statutory Payments,Corporate Services,NHS Pension Scheme,,"824,529.33",PENSIONS,,
Departmen of Health,NHS Business Services Authority,16/08/2016,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080071482,"36,712.95","Production, Personalization and",SS6 7UQ,
Departmen of Health,NHS Business Services Authority,16/08/2016,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080072274,"369,487.91",PCN JUNE 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,16/08/2016,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080072274,"-3,241.05",PCN JUNE 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,16/08/2016,Managed Service Income,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080072274,"-20,000.00",PCN JUNE 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,16/08/2016,Public Relation Expenses,Pensions Division,NLA MEDIA ACCESS LTD,0080072373,"25,670.40",Newspaper Licencing Authority (NLA),TN1 1NL,
Departmen of Health,NHS Business Services Authority,16/08/2016,Public Info Distribution,Prescription Pricing Division,IDS UK LIMITED,0080072476,"25,590.00",WIS LEAFLETING TOPIC HC12,SO32 2EJ,
Departmen of Health,NHS Business Services Authority,16/08/2016,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080072524,"33,404.71",D DAGLISH W/E 29.07.16,AL1 4ZX,
Departmen of Health,NHS Business Services Authority,16/08/2016,Exemption Check Costs,Project Pacific,DEPARTMENT FOR WORKS AND PENSIONS,0080072557,"42,055.20",NHS EXEMPTION VERIFICATION CHECKS,FY5 3TA,
Departmen of Health,NHS Business Services Authority,16/08/2016,Rent,Supply Chain Management Division,THE COAL AUTHORITY,0080072572,"27,000.00",RENT JULYSEPT 16,NG18 4RG,
Departmen of Health,NHS Business Services Authority,17/08/2016,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050032527,"808,088.49",contract,RH10 1UH,
Departmen of Health,NHS Business Services Authority,18/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080072484,"22,743.92",AC 0912819048,S49 1HQ,
Departmen of Health,NHS Business Services Authority,18/08/2016,Query,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080072522,"110,000.00",TRANSFORMATION MILESTONE TM23,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/08/2016,Telphone Charges,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080072523,"327,255.60",MVS CALLS JUN16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/08/2016,Mobile Phones,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080072523,"-6,528.95",NHSP TELEPHONY CREDITS JUN16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,18/08/2016,Telphone Charges,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080072523,221.46,MVS CALLS JUN16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,19/08/2016,Temporary Staff,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080072801,"24,322.78",Monthly Cost - March 2016,DL1 9HN,
Departmen of Health,NHS Business Services Authority,23/08/2016,Professional Fees,Supply Chain Management Division,CAPITA BUSINESS SERVICES LTD,0080072519,"44,683.66",Project Manager - Senior Consultant,DL1 9HN,
Departmen of Health,NHS Business Services Authority,23/08/2016,Voice Automation Call Charges,Prescription Pricing Division,KCOM,0080072760,"20,971.80",AC 57996609,HU1 3RE,
Departmen of Health,NHS Business Services Authority,23/08/2016,Query,Corporate Services,BT GLOBAL SERVICES,0080072909,"96,005.73",CON/0375:N3 Bespoke Service,NW9 6LB,
Departmen of Health,NHS Business Services Authority,23/08/2016,PPA Membership Subscriptions,Business Solutions,GARTNER U.K. LIMITED,0080072915,"92,280.00",Cloud Research: Gartner for Enterprise,TW20 9AW,
Departmen of Health,NHS Business Services Authority,26/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080072313,"41,364.70",AC 0912819049  EHIC UK,S49 1HQ,
Departmen of Health,NHS Business Services Authority,26/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080072483,"38,467.86",AC 0912819049  EHIC EU,S49 1HQ,
Departmen of Health,NHS Business Services Authority,26/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080072563,"23,944.29",AC 0912819048,S49 1HQ,
Departmen of Health,NHS Business Services Authority,26/08/2016,Professional Fees,Corporate Services,MOUCHEL BUSINESS SERVICES LTD,0080072568,"80,979.15",FRC PENSION LEVY 1617,EC2Y 5AS,
Departmen of Health,NHS Business Services Authority,26/08/2016,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080072803,"342,000.95",MITI FIXED JULY 16,DL1 9HN,
Departmen of Health,NHS Business Services Authority,26/08/2016,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080072903,"21,207.87",AC 0912819048,S49 1HQ,
Departmen of Health,NHS Business Services Authority,26/08/2016,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080072982,"53,081.40",DEDUCTIONS AUG 16,RG24 9NW,
Departmen of Health,NHS Business Services Authority,26/08/2016,IT,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080072983,"399,409.28",PCN JULY2016,DL1 9HN,
Departmen of Health,NHS Business Services Authority,26/08/2016,Postage Charges,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080072983,"-3,739.47",POSTAGE CHRGS JUN2016,DL1 9HN,
Departmen of Health,NHS Business Services Authority,26/08/2016,Managed Service Income,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080072983,"-20,000.00",CROSS CHRGS JUL2016,DL1 9HN,
Departmen of Health,NHS Business Services Authority,26/08/2016,Training,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080072988,"206,500.70",TRAINING,DL1 9HN,
Departmen of Health,NHS Business Services Authority,26/08/2016,Rent,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080072988,"9,123.58",EASTBOURNE ACCOMMODATION,DL1 9HN,
Departmen of Health,NHS Business Services Authority,26/08/2016,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080072995,"34,330.38",K PARKER W/E 12.08.16  OT RATE,AL1 4ZX,
Departmen of Health,NHS Business Services Authority,31/08/2016,Rent,Corporate Services,IBREND ESTATES BV,0080072877,"32,774.54",WAKEFIELD HOUSE 4TH FLOOR,LS12 1BE,
Departmen of Health,NHS Business Services Authority,31/08/2016,Rent,Corporate Services,IBREND ESTATES BV,0080072878,"32,774.54",5TH FLOOR WAKEFIELD,LS12 1BE,
Departmen of Health,NHS Business Services Authority,31/08/2016,Query,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080072981,"1,300,000.00",TRANSFORMATION MILESTONE,DL1 9HN,
Department of Health,NHS Business Services Authority,31/08/2016,Pharmacy Contractors,Prescription Pricing ,,,"7,728,310.28",Payments to Pharmacy Contractors,,
