Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
Engineering & Physical Sciences Research Council,EPSRC,"Department for Business, Innovation & Skills",32,30.66,34,31.47,133,124.82,28,26.62,4,4,,,231,218,1,1,,,3,3,,,4,4,235,222,"£598,919.00","£12,393.00","£1,650.00","£3,285.00","£153,494.00","£45,641.00","£815,382.00","£29,323.00",,"£29,323.00","£844,705.00",,
Engineering Construction Industry Training Board,ECITB,"Department for Business, Innovation & Skills",21,18,32,28,19,19,5,5,,,2,0.012,79,70,0,0,,,,,,,0,0,79,70,"£242,400.00","£18,092.00",£0.00,£101.00,"£62,434.00","£23,127.00","£346,154.00",£0.00,,£0.00,"£346,154.00",,
Higher Education Funding Council for England,HEFCE,"Department for Business, Innovation & Skills",25,20.37,14,12.89,146,128.97,69,62.92,34,32.63,,,288,258,7,6.7,1,1,,,,,8,7.7,296,265,"£969,277.82","£2,068.75","£123,235.29",£961.28,"£119,250.99","£95,894.14","£1,310,688.27","£309,874.71",,"£309,874.71","£1,620,562.98",,
Insolvency Service,IS,"Department for Business, Innovation & Skills",539,500.4459,253,238.776,669,642.0322,88,87.8378,7,6.7838,,,"1,556","1,476",120,120,,,21,21,,,141,141,"1,697","1,617","£3,782,537.65","£8,077.47",£0.00,"£2,492.40","£720,400.49","£295,614.97","£4,809,122.98","£522,887.00",,"£522,887.00","£5,332,009.98",,
Medical Research Council,MRC,"Department for Business, Innovation & Skills",335,313.8,463,440.6,1365,1335.6,176,169.3,109,104.1,82,70.4,"2,530","2,434",17,17,23,23,3,3,0,0,43,43,"2,573","2,477","£7,208,554.00","£456,655.00",£0.00,"£29,282.00","£859,218.00","£645,635.00","£9,199,344.00","£761,067.00","£60,242.00","£821,309.00","£10,020,653.00",Payroll Staff Costs include an aggregate adjustment of +£132147 (from February's estimated values),
National Measurement Office,NMO,"Department for Business, Innovation & Skills",3,2.89,19,18.76,38,37.01,18,16.57,0,0,0,0,78,75,1,1,,,,,,,1,1,79,76,"£231,600.52",£162.50,"£6,450.00",,"£46,186.58","£20,678.69","£305,078.29",£378.00,"£31,315.54","£31,693.54","£336,771.83",,
Natural Environment Research Council,NERC,"Department for Business, Innovation & Skills",263,239.5,457,429.9,1186,1135.6,372,359.2,22,21.5,283,276.5,"2,583","2,462",8,7.7,,,1,1,,,9,8.7,"2,592","2,471","£6,746,226.56","£341,961.10","£42,900.00","£26,065.03","£1,689,437.44","£565,396.47","£9,411,986.60","£49,565.39","£75,322.70","£124,888.09","£9,536,874.69",,
Office for Fair Access,OFA,"Department for Business, Innovation & Skills",0,0,2,1.6,15,13.68,4,3.5,2,1.6,0,0,23,20,1,1,0,0,0,0,4,4,5,5,28,25,"£63,657.22",£0.00,"£19,600.00",£538.42,"£10,738.45","£7,547.79","£102,081.88","£5,412.38","£33,201.97","£38,614.35","£140,696.23",,
Science & Technology Facilities Council,STFC,"Department for Business, Innovation & Skills",130,124.89,256,242.52,1051,1028.64,339,328.82,30,28.28,48,48,"1,854","1,801",13,13,0,0,54,54,0,0,67,67,"1,921","1,868","£5,363,709.65","£223,166.44",£286.76,"£113,270.61","£1,367,304.38","£471,530.60","£7,539,268.44","£374,068.48",,"£374,068.48","£7,913,336.92",,
Skills Funding Agency ,SFA,"Department for Business, Innovation & Skills",88,83.65,13,12.88,661,643.42,102,101.65,26,25,0,0,890,867,22,22,,,49,49,,,71,71,961,938,"£3,122,102.64","£103,675.02","£336,428.00",£948.41,"£629,704.60","£338,119.02","£4,530,977.69","£897,700.00",,"£897,700.00","£5,428,677.69",,
Student Loans Company Ltd,SLCL,"Department for Business, Innovation & Skills",1865,1741.488053,724,689.4269067,106,102.98,18,18,7,7,6,0.853333333,"2,726","2,560",97,97,,,17,17,,,114,114,"2,840","2,674","£5,086,111.91","£161,402.31","£10,739.03","£93,592.33","£545,804.69","£404,005.67","£6,301,655.94","£511,626.10",-£34.00,"£511,592.10","£6,813,248.04",,
Technology Strategy Board,TSB,"Department for Business, Innovation & Skills",,,62,62,50,50,189,189,6,6,1,1,308,308,27,27,,,,,,,27,27,335,335,"£1,182,247.95","£156,076.93",,,"£281,629.73","£148,806.01","£1,768,760.62","£198,032.71",,"£198,032.71","£1,966,793.33",Now Called Innovate UK,
UK Commission for Employment & Skills,UKCES,"Department for Business, Innovation & Skills",27,26.3,11,10.8,65,63.1,13,12.6,6,6,,,122,119,,,,,2,2,,,2,2,124,121,"£368,013.98",,,,"£71,127.80","£31,121.34","£470,263.12",,,£0.00,"£470,263.12",,
UK Intellectual Property Office,UKIPO,"Department for Business, Innovation & Skills",240,214.57,296,282.07,304,296.26,242,228.39,26,25.55,,,"1,108","1,047",9,9,,,19,19,,,28,28,"1,136","1,075","£2,793,590.00","£121,779.00",,"£81,517.00","£545,054.00","£314,707.00","£3,856,647.00","£644,540.00",,"£644,540.00","£4,501,187.00",,
UK Space Agency,UKSA,"Department for Business, Innovation & Skills",2,2,5,5,25,25,28,26.9,5,4.7,0,0,65,64,0,0,0,0,1,0.4,0,0,1,0.4,66,64,"£239,706.68","£2,566.25",£250.00,£0.00,"£42,215.49","£24,265.90","£309,004.32","£1,512.00",£0.00,"£1,512.00","£310,516.32",,"Within the staff on payroll are included 1.4 FTE inward secondees from industry and academia (whose pay costs are met by UKSA). There is 1 member of staff (AO grade apprentice) who joined the Agency during the month whose pay costs were not processed in time for March pay run (will be backdated in April). In addition, UKSA benefited from further 5 FTE inward secondees provided at nil cost as part of their personal development - these FTEs were excluded from this return to avoid double counting by home departments."
United Kingdom Atomic Energy Authority,UKAEA,"Department for Business, Innovation & Skills",51,48.72,94,91.24,377,373.17,128,125.81,11,10.6,20,20,681,670,4,4,0,0,451,451,0,0,455,455,"1,136","1,125","£2,178,007.00",£0.00,"£72,861.00","£36,578.00","£331,558.00","£215,481.00","£2,834,485.00","£1,606,025.00",£0.00,"£1,606,025.00","£4,440,510.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.,
Ordnance Survey ,OS,"Department for Business, Innovation & Skills",29,25.35135135,555,541.5243243,458,449.3,180,177.5972973,4,4,4,0.972972973,"1,230","1,199",51,51,5,5,87,87,,,143,143,"1,373","1,342","£3,330,803.00","£81,769.00",,"£23,900.00","£653,164.00","£278,560.00","£4,368,196.00","£1,275,438.32",,"£1,275,438.32","£5,643,634.32",,
Met Office,MO,"Department for Business, Innovation & Skills",,,,,,,,,,,2056,1977.2,"2,056","1,977",79,25.1,,,,,,,79,25.1,"2,135","2,002","£5,389,804.42","£336,371.49",£0.00,"£167,422.06","£1,101,827.14","£457,794.95","£7,453,220.06","£560,142.00",,"£560,142.00","£8,013,362.06",,We no longer have any SCS
