OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Municipal Offices,14044879,08/259361,Bunzl Cleaning and Hygiene Supplies,R4009-ADB101,Materials - Cleaning Materials,20/05/2016,508.57
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14045016,7225,Cambridge Econometrics Limited,R4400-PLP101,Services - Professional Fees,20/05/2016,"4,460.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14045107,6017051367,Capita Property and Infrastructure Limited,R4400-PLP101,Services - Professional Fees,27/05/2016,"2,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14044793,29400,CDK Castings Limited T/A Arkell & Hurcombe,R4011-CCM001,Goods For Resale,06/05/2016,805.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14045220,boat deposit,Cheltenham Coffee Co Limited,R2076-OPS002,Grounds Maintenance - Non Contract,27/05/2016,"2,500.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Accountancy,14044929,3119057,CIPFA Business Limited,R4309-SUP009,Books,20/05/2016,870.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cashiers,14044702,C/IC143152,Civica UK Limited,R4534-SUP014,IT - Maint Agreements,06/05/2016,"4,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14044970,560596,Comensura Limited,R1100-CCM001,Agency Staff,13/05/2016,"1,864.82"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Homelessness,14044405,782,County Community Projects (CCP),R6280-HOM001,Grants,06/05/2016,"54,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14044803,3004428,Craemer UK Limited,R4000-WST001,Equipment Purchase,13/05/2016,760.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Development,14044905,(20) DHR-KP,REDACTED,R6280-COM001,Grants,13/05/2016,"1,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Licensing,14044852,A13943,Disclosure & Barring Service,R1601-REG002,CRB Police Checks,20/05/2016,572.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14044769,DG 3878,Dive Gym Equipment Limited,R2083-REC111,R&M of Build - Routine,06/05/2016,"1,052.55"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Collection,14045056,20568,Dundore Limited T/A Security Data Print,R4300-LTC001,Printing - Services,20/05/2016,"1,399.90"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14044823,163123,E.G. Carter & Co. Limited,R2004-FIE040,R & M of Build Programmed,13/05/2016,573.59
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14044824,163124,E.G. Carter & Co. Limited,R2004-CCM001,R & M of Build Programmed,13/05/2016,701.32
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pittville Park Play Area,14044839,Refreshment,Eibe Play Ltd,C4000-CAP125,Acquisition of Equipment,20/05/2016,"20,612.15"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pittville Park Play Area,14044839,Refreshment,Eibe Play Ltd,C4000-CAP125,Acquisition of Equipment,20/05/2016,"-20,612.15"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pittville Park Play Area,14044839,Refreshment,Eibe Play Ltd,C4000-CAP125,Acquisition of Equipment,20/05/2016,"20,612.15"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Municipal Offices,14045094,15284,Elevate Consulting Limited,R4400-ADB101,Services - Professional Fees,27/05/2016,"1,725.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Human Resources,14045030,1535,Elysian Training Limited,R1401-SUP003,Professional Fees,27/05/2016,"2,709.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Human Resources,14045029,1548,Elysian Training Limited,R1401-SUP003,Professional Fees,27/05/2016,"4,536.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Planning Policy,14044549,CBC273-02,Enfusion Limited,R4400-PLP001,Services - Professional Fees,06/05/2016,"3,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Works (Tenant Selection),14044532,WM006942,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,13/05/2016,"1,456.18"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Works (Tenant Selection),14044530,WM006944,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,13/05/2016,"1,247.40"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Environmental Works (Tenant Selection),14044529,WM006945,English Landscapes Limited t/a The Landscape Group,C1107-CAH029,Building Works,06/05/2016,"2,369.85"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Air Quality,14044335,22038,Enviro Technology Services plc,R4003-REG012,Tools & Equipment - R & M,20/05/2016,"7,800.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recycling Centres,14044460,B01168187,Environment Agency,R4402-RYC004,Services - General Licences,06/05/2016,"2,717.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14045049,61235,Eurolink Security Installations Group Limited,R4434-CPK001,CCTV Staff,20/05/2016,"6,430.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sustainability Measures,14044304,1356,Evolve Home Energy Solutions Limited,C1107-CAH032,Building Works,20/05/2016,"2,014.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sustainability Measures,14044835,1466,Evolve Home Energy Solutions Limited,C1107-CAH032,Building Works,06/05/2016,"2,789.50"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sustainability Measures,14044974,1491,Evolve Home Energy Solutions Limited,C1107-CAH032,Building Works,13/05/2016,522.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cheltenham Environmental Fund- Transport					",14044703,221005,Furnitubes International Limited,R4000-ENF103,Equipment Purchase,06/05/2016,"1,332.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14044548,GP15/018621,G Purchase Construction Limited,C1107-CAH003,Building Works,13/05/2016,"160,736.71"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trade Waste,14044712,SINV-095317,Gelpack Excelsior Limited,R4000-TRW001,Equipment Purchase,13/05/2016,"5,499.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Emergency Planning,14044647,1800394299,Gloucestershire County Council,R4400-EMP001,Services - Professional Fees,13/05/2016,"17,083.60"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Land Charges,14044834,1800394849,Gloucestershire County Council,R4401-BUC004,Services - Fees and Charges,06/05/2016,"2,960.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Welfare Grants,14044202,1800394868,Gloucestershire County Council,R6280-GBD001,Grants,27/05/2016,837.78
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Household Waste,14044811,1800398702,Gloucestershire County Council,R4400-WST001,Services - Professional Fees,13/05/2016,"6,946.16"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Homelessness,14044955,280415,Gloucestershire Nightstop,R6280-HOM001,Grants,20/05/2016,"5,000.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Trees,14044797,1248,Goroots,R2070-PLP006,Tree Work,13/05/2016,"3,500.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Prince of Wales Stadium Repairs & Maintenance,14044753,3288,Greenway Partnership Limited T/A GPL Building Services,R2004-REC112,R & M of Build Programmed,13/05/2016,"1,500.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14044892,3310,Greenway Partnership Limited T/A GPL Building Services,R2062-REC111,R & M of Build Cyclical Electrical Remedials,20/05/2016,562.50
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Parks & Gardens Operations,14044887,3311,Greenway Partnership Limited T/A GPL Building Services,R2007-OPS001,R & M of Plant Contracts,20/05/2016,"3,365.46"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,District Elections,14044987,3334,Greenway Partnership Limited T/A GPL Building Services,R4401-ELE002,Services - Fees and Charges,20/05/2016,"3,622.50"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Police & Crime Commissioner Elections,14044987,3334,Greenway Partnership Limited T/A GPL Building Services,R4401-ELE008,Services - Fees and Charges,20/05/2016,"4,347.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Flood Risk Management,14044999,45025,Halcrow Group Limited,R5001-FRM101,TPP - Major External Contractors,20/05/2016,"2,077.50"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Partnership,14044798,41603,Heartflood Limited,R4411-HLD130,Consultancy Fees,27/05/2016,"37,561.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Partnership,14044798,41603,Heartflood Limited,R4411-HLD130,Consultancy Fees,27/05/2016,"-37,561.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Partnership,14044798,41603,Heartflood Limited,R4411-HLD130,Consultancy Fees,27/05/2016,"37,435.50"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Arle Road Nursery Repairs Maintenance,14044157,15443,Hellion Environmental Limited,R2003-OPS111,R & M of Build Emergency Works,13/05/2016,659.98
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14044484,SIAL/00020490,Herefordshire Housing Limited,R4445-HRA110,Communal Alarms - Monitoring & Maintenance,06/05/2016,543.40
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14044477,SIAL/00020543,Herefordshire Housing Limited,R4445-HRA110,Communal Alarms - Monitoring & Maintenance,06/05/2016,514.80
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Community Alarms,14044472,SIAL/00020657,Herefordshire Housing Limited,R4445-SPP002,Communal Alarms - Monitoring & Maintenance,06/05/2016,"12,080.64"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14044472,SIAL/00020657,Herefordshire Housing Limited,R4445-HRA110,Communal Alarms - Monitoring & Maintenance,06/05/2016,732.16
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,General Fund Balance Sheet,14044868,CISDEDUCT0604-050516,HMRC (CBC - CIS),B6220-BAL100,CIS Deductions Control (reallocated),13/05/2016,"8,199.75"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14044782,150312AA1,Ian Williams Limited,R2060-HRA100,R & M of Build Cyclical Painting Communal Areas,27/05/2016,"50,493.48"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14044782,150312AA1,Ian Williams Limited,R2060-HRA100,R & M of Build Cyclical Painting Communal Areas,27/05/2016,"-50,493.48"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14044782,150312AA1,Ian Williams Limited,R2060-HRA100,R & M of Build Cyclical Painting Communal Areas,27/05/2016,"50,493.48"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Art Gallery & Museum Operations,14028470,5814,Icon.net Limited,R4317-CUL107,Non Staff Advertising,25/05/2016,"1,145.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Swindon Road,14044654,002 IN022321,J Harper & Sons (Leominster) Limited,C1107-CAH050,Building Works,13/05/2016,"106,162.61"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Swindon Road,14044654,002 IN022321,J Harper & Sons (Leominster) Limited,C1107-CAH050,Building Works,13/05/2016,"106,162.61"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Swindon Road,14044654,002 IN022321,J Harper & Sons (Leominster) Limited,C1107-CAH050,Building Works,13/05/2016,"-106,162.61"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2a,14044941,006 IN022340,J Harper & Sons (Leominster) Limited,C1107-CAH052,Building Works,13/05/2016,"148,646.88"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Garage Sites 2a,14044941,006 IN022340,J Harper & Sons (Leominster) Limited,C1107-CAH052,Building Works,13/05/2016,"-5,337.98"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Press & PR/Communications,14045162,34423,Jadu Limited,R4531-SUP018,IT - Purchase of Software,27/05/2016,"6,300.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Allotments,14044427,6172,John Herbert Skip Hire Limited,R4323-OPS004,Skip Hire,27/05/2016,975.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Allotments,14044740,6184,John Herbert Skip Hire Limited,R4323-OPS004,Skip Hire,27/05/2016,795.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14044729,EN002-0206908,Jones Lang Lasalle Limited,R2300-CPK001,Business Rates,13/05/2016,"10,209.05"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14044161,INV-0159,JS Security Limited,R4400-CPK001,Services - Professional Fees,06/05/2016,840.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Depot,14044051,INV-0160,JS Security Limited,R2083-ADB103,R&M of Build - Routine,06/05/2016,693.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Depot,14044053,INV-0256,JS Security Limited,R2083-ADB103,R&M of Build - Routine,06/05/2016,672.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Depot,14044054,INV-0332,JS Security Limited,R2083-ADB103,R&M of Build - Routine,06/05/2016,651.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Depot,14045018,INV-0370,JS Security Limited,R2083-ADB103,R&M of Build - Routine,20/05/2016,630.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14045019,INV-0372,JS Security Limited,R4400-CPK001,Services - Professional Fees,20/05/2016,840.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Operations,14044928,111623,Keep Britain Tidy,R2075-OPS002,Grounds Maintenance - Contract,13/05/2016,"1,716.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Swindon Road,14045244,RH/JM/16023,Kirkham Pryer Limited,C1107-CAH050,Building Works,27/05/2016,"1,800.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14044044,4595,"Knight, Kavanagh & Page (KKP Management Consultants)",R9100-DEV001,Contributions - County Council,06/05/2016,"1,518.90"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14044856,4612,"Knight, Kavanagh & Page (KKP Management Consultants)",R4000-DEV001,Equipment Purchase,13/05/2016,"25,641.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,New Heating Installations,14044994,1181805,Liberty Gas Group,C1107-CAH009,Building Works,20/05/2016,"3,600.91"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14044993,1181806,Liberty Gas Group,R2016-HRA100,R & M of Build Void Repairs,20/05/2016,933.63
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14044993,1181806,Liberty Gas Group,R2040-HRA100,R & M of Build Central Heating,20/05/2016,"40,195.37"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,ICT,14045008,16000562,LinchPin Networks Limited,R4548-SUP005,IT - Cabling and Network,20/05/2016,"3,199.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14044626,10736,Massie Electrics Limited,R2062-REC111,R & M of Build Cyclical Electrical Remedials,13/05/2016,655.35
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development costs - Swindon Road,14044380,1130-01,McAllister Associates Limited,C1107-CAH050,Building Works,27/05/2016,"2,204.60"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,External Improvements,14044841,5844,Mcdonnell Price Roofing Contractors Limited,C1107-CAH003,Building Works,13/05/2016,"6,624.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Adaptations for the Disabled (CBC),14044965,REDACTED,Mears Home Improvements (Client Account),C1107-CAH028,Building Works,13/05/2016,"9,579.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Reception/Customer Services,14044942,20355,Meridian Options Systems Support Limited,R4534-SUP008,IT - Maint Agreements,20/05/2016,"1,912.90"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Telephones,14044950,20374,Meridian Options Systems Support Limited,R4514-SUP006,Comms - Telephone Rental/Service Charges,27/05/2016,"3,114.64"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14044947,26001,Morgan Lambert Limited,R2040-HRA100,R & M of Build Central Heating,13/05/2016,748.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,"Cemetery, Crematorium and Churchyards",14044864,50516,Mr J Sureda,R4401-CCM001,Services - Fees and Charges,13/05/2016,780.60
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Scooter Stores,14045136,286,Nature First Limited,C1107-CAH037,Building Works,27/05/2016,600.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Supervision and Management,14045103,289,Nature First Limited,R5013-HRA110,Minor Neighbourhood Works - St Paul's Areas,27/05/2016,"1,195.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Royal Well Bus Node,14044497,2404,Nick Bevan Consulting Limited,R2004-PUT101,R & M of Build Programmed,06/05/2016,750.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14044681,9593,NKS Contracts (Central) Limited,C1107-CAH015,Building Works,13/05/2016,"-4,595.05"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14044681,9593,NKS Contracts (Central) Limited,C1107-CAH015,Building Works,13/05/2016,"4,595.05"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14044681,9593,NKS Contracts (Central) Limited,C1107-CAH015,Building Works,13/05/2016,"4,595.05"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Press & PR/Communications,14044952,Q375790,NLA Media Access Limited,R4402-SUP018,Services - General Licences,27/05/2016,665.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14044552,2015/19,NM Strategic Solutions Limited,R4400-PLP101,Services - Professional Fees,06/05/2016,"4,791.09"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Sports & Open Spaces Repairs & Maintenance,14044209,SL1207,Oakley Neighbourhood Project,R2001-OPS122,R & M of Fix & Fit - General,06/05/2016,802.85
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14044770,C6905/16/03,O'Brien & Price Cheltenham Limited,R2004-REC111,R & M of Build Programmed,06/05/2016,"1,335.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14045022,O0397519,Orbis Protect Limited,R2012-HRA100,R & M of Build Standby and Call Out,20/05/2016,"1,127.03"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Joint Core Strategy,14044731,406863,Ove Arup & Partners Limited,R4400-PLP101,Services - Professional Fees,06/05/2016,"4,002.00"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Car Parks - Off Street Operations,14044515,UK87051,Parkeon Limited,R4401-CPK001,Services - Fees and Charges,13/05/2016,"1,945.12"
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cemetery & Crematorium Repairs & Maintenance,14045060,3337,PJ Combustion Solutions Limited,R4003-CCM111,Tools & Equipment - R & M,27/05/2016,979.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Recreation Centre Repairs & Maintenance,14044894,264,POOL DIVING SOLUTIONS LIMITED,R2004-REC111,R & M of Build Programmed,13/05/2016,"3,900.00"
