Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE PRODUCT SERVICES,"27,120.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,HUNTLEIGH HEALTHCARE,"48,820.72",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/12/2011,STRUCTURE,CAPITAL PROGRAM,INTERSERVE CONSTRUCTION LTD,"349,410.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/12/2011,STRUCTURE,CAPITAL PROGRAM,INTERSERVE CONSTRUCTION LTD,"591,084.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,"31,129.09",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,EQUIPMENT >5K,CAPITAL PROGRAM,LANCER UK LIMITED,"97,795.44",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,CONSULTANCY FEES,DIR STRATEGY AND PERFORMANCE,LEAN ENTERPRISE ACADEMY,"72,400.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,ADMIN CLERICAL OTHER,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"8,110.92",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,ADMIN CLERICAL OTHER,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"8,110.92",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,ADMIN CLERICAL OTHER,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"8,110.92",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,ADMIN CLERICAL OTHER,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"12,535.09",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,ADMIN CLERICAL OTHER,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"24,332.76",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,ADMIN CLERICAL OTHER,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"16,932.12",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,ENERGY & UTILITIES OTHER NHS,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"1,027.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,ENERGY & UTILITIES OTHER NHS,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"1,027.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,ENERGY & UTILITIES OTHER NHS,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"3,081.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,ENERGY & UTILITIES OTHER NHS,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"1,027.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"5,559.51",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"5,559.51",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"62,701.91",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"16,678.53",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"5,559.51",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"65,471.66",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,OTHER NURSING,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"11,397.71",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,OTHER NURSING,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"11,397.71",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,OTHER NURSING,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"11,397.71",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,OTHER NURSING,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"34,193.13",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,OTHER SENIOR MANAGER,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"5,091.36",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,OTHER SENIOR MANAGER,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"4,873.85",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PREMISES RENT OTHER NHS BODIES,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"1,255.33",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,PREMISES RENT OTHER NHS BODIES,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"3,765.99",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,PREMISES RENT OTHER NHS BODIES,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"1,255.33",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PREMISES RENT OTHER NHS BODIES,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"1,255.33",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,TRAVEL AND SUBSISTENCE EXPS,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,164.12,Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,TRAVEL AND SUBSISTENCE EXPS,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,127.13,Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,ADMIN CLERICAL OTHER,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE TEACHING PCT,"8,110.92",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,ENERGY & UTILITIES OTHER NHS,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE TEACHING PCT,"1,027.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,OTHER ANCILLARY,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE TEACHING PCT,"5,559.51",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,OTHER NURSING,DIRECTOR OF NURSING & PATIENT SERVICES,LINCOLNSHIRE TEACHING PCT,"14,182.49",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,PREMISES RENT OTHER NHS BODIES,DIRECTOR OF FACILITIES MANAGEMENT,LINCOLNSHIRE TEACHING PCT,"1,255.33",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,STRUCTURE,CAPITAL PROGRAM,MOWBRAY & SON LTD,"38,824.05",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"128,943.25",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2011,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, LINCOLN & LOUTH",NHS LITIGATION AUTHORITY,"291,948.40",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2011,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, BOSTON & GRANTHAM",NHS LITIGATION AUTHORITY,"178,931.60",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/12/2011,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,"396,195.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"226,963.85",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"211,894.19",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"276,881.35",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/12/2011,AGENCY STAFF CONSULTANTS,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,NHS PROFESSIONALS,"158,012.54",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"281,708.11",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"263,758.26",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/12/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"332,854.24",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"297,448.45",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PATHOLOGY SERVICES,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"758,560.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,PATHOLOGY SERVICES,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"758,560.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,718.12",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"53,445.42",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"68,732.45",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"35,635.57",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"35,689.68",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"35,624.16",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PHARMACY PILGRIM,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"56,316.84",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"41,911.20",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE PRODUCTS LTD,"50,293.20",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,BUILD MAINT DAY TO DAY,DIRECTOR OF FACILITIES MANAGEMENT,SILVERDELL (UK) LTD,"30,038.74",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,SOUTHERN ELECTRIC/GAS PLC,"50,938.28",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,SOUTHERN ELECTRIC/GAS PLC,"30,996.58",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/12/2011,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,SOUTHERN ELECTRIC/GAS PLC,"27,631.32",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/12/2011,MINOR CLINICAL EQUIPMENT,DIRECTOR OF FINANCE PROCUREMENT AND INFORMATICS,STRYKER UK,"152,232.84",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/12/2011,DIAGNOSTIC TESTS OTHER NHS,DIRECTOR OF SERVICE DELIVERY - ONCOLOGY & HAEMATOLOGY,THE LEEDS TEACHING HOSPITAL NHS TRUST,"29,369.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,CPAP MACHINES,DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY BOSTON,THE SNORING DISORDERS CENTRE LTD,"37,133.99",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"33,807.69",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"33,616.29",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"41,093.63",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/12/2011,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"42,130.69",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/12/2011,OIL,DIRECTOR OF FACILITIES MANAGEMENT,TOTAL GAS & POWER LTD,"27,832.75",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/12/2011,MAINTENANCE CONTRACTS AND MATS,DIRECTOR OF NURSING & PATIENT SERVICES,VARIAN MEDICAL SYSTEMS UK LTD,"51,820.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,12/12/2011,MAINTENANCE CONTRACTS AND MATS,DIRECTOR OF NURSING & PATIENT SERVICES,VARIAN MEDICAL SYSTEMS UK LTD,"82,390.00",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/12/2011,CONSULTANCY FEES,DIRECTOR OF NURSING & PATIENT SERVICES,VERITA,"33,441.25",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/12/2011,CONSULTANCY FEES,DIRECTOR OF NURSING & PATIENT SERVICES,VERITA,"40,571.25",Dec-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/12/2011,CONSULTANCY FEES,MEDICAL DIRECTOR,VERITA,"37,498.75",Dec-11
