Newcastle City Council Invoices over £250 paid in August 2013,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,01/08/2013,A WILDERNESS WAY,5958341,Revenue,1MC02,Ind Sector Placements,"14,000.00 ",,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/08/2013,A&J KEITH LTD,5974825,Revenue,1KVWC,Minor Works Contracts,"1,311.00 ",,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,16/08/2013,A&J KEITH LTD,5974826,Revenue,1KVWC,Minor Works Contracts,"2,739.00 ",,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,16/08/2013,A&J KEITH LTD,5974850,Revenue,1KBAA,Building Contracts,"1,450.00 ",,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,14/08/2013,A&J KEITH LTD,5971926,Revenue,1KBRM,Sub Contractors R & M,"75,768.01 ",,,,,,,,,,,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,22/08/2013,AAA CHEMICALS LTD,5980200,Revenue,1KKX1,Civic Centre Direct Costs,322.45 ,,,,,,,,,,,
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Supplies & Services,22/08/2013,AAA CHEMICALS LTD,5980200,Revenue,1KKX1,Civic Centre Direct Costs,15.00 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,15/08/2013,AAA CHEMICALS LTD,5973104,Revenue,3KES1,Fleetmaster Stores Account,476.00 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,ABBEYFIELD CASTLE FARM,5968671,Revenue,1MG20,Ind Res Care Elderly,"-1,147.08 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,ABBEYFIELD CASTLE FARM,5968671,Revenue,1MG20,Ind Res Care Elderly,"3,488.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,ABBEYFIELD THE GROVE,5968657,Revenue,1MG20,Ind Res Care Elderly,"-3,168.58 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,ABBEYFIELD THE GROVE,5968657,Revenue,1MG20,Ind Res Care Elderly,"5,232.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,ABBEYMOOR,5968672,Revenue,1MG10,Ind Nursing Care Elderly,-573.08 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,ABBEYMOOR,5968672,Revenue,1MM10,Ind Nursing Care MH,-315.20 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,ABBEYMOOR,5968672,Revenue,1MG10,Ind Nursing Care Elderly,"3,462.52 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,ABBEYMOOR,5968672,Revenue,1MM10,Ind Nursing Care MH,"2,010.56 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,ABIGAIL HOUSE,5968673,Revenue,1MG20,Ind Res Care Elderly,"-1,231.31 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,ABIGAIL HOUSE,5968674,Revenue,1MG20,Ind Res Care Elderly,"-10,752.99 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,ABIGAIL HOUSE,5968673,Revenue,1MG20,Ind Res Care Elderly,"2,779.71 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,13/08/2013,ABIGAIL HOUSE,5968674,Revenue,1MG20,Ind Res Care Elderly,"34,182.43 ",,,,,,,,,,,
Chief Executive's,CD - Accountancy NOR                   ,Capital Expenditure,22/08/2013,ABOUT TURN CIC,5981633,Capital,2KL01,Leisure Services,"4,981.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",06/08/2013,ACCEPT CARE,5961732,Revenue,1MK54,Dom Care Own Tenancy LD,-290.96 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,ACCEPT CARE,5961732,Revenue,1MK50,Ind Supported Living LD,"1,817.20 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,ACCEPT CARE,5961732,Revenue,1MK54,Dom Care Own Tenancy LD,"4,906.44 ",,,,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,29/08/2013,ACCESS INDEPENDENT,5971679,Revenue,1V123,Blue Badge Applications,"2,339.00 ",,,,,,,,,,,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,14/08/2013,ACCESS INDEPENDENT,5971678,Revenue,1V123,Blue Badge Applications,"1,229.50 ",,,,,,,,,,,
Children's Services,Invoice,Supplies & Services,20/08/2013,ACCESS INDEPENDENT,5977987,Revenue,1V123,Blue Badge Applications,"1,977.50 ",,,,,,,,,,,
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,14/08/2013,ACME,5969121,Revenue,1KF07,Banqueting Suite,"2,834.00 ",,,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,16/08/2013,ACORN TREATMENT AND HOUSING,5975088,Revenue,1MP27,DAT Residential Rehab,"1,980.00 ",,,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,16/08/2013,ACORN TREATMENT AND HOUSING,5975089,Revenue,1MP27,DAT Residential Rehab,"1,980.00 ",,,,,,,,,,,
Chief Executive's,CD - Benefit Centre              ,Employees,22/08/2013,ACS LTD,5958594,Revenue,1CR01,Revenues Management,695.00 ,,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,08/08/2013,ACTION BUILDING MAINTENANCE LTD,5963639,Revenue,1KBAA,Building Contracts,"1,493.80 ",,,,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,01/08/2013,ACTION FOR CHILDREN,5958330,Revenue,1MC22,IND Sector Foster Carer Costs,"6,560.00 ",,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,09/08/2013,ACTION FOR CHILDREN,5965076,Revenue,1EEM6,Woodlands Children's Centre,"7,261.00 ",,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,06/08/2013,ACTION FOR CHILDREN,5943570,Revenue,1EEB1,C&B CC Central Costs,"44,500.00 ",,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,06/08/2013,ACTION FOR CHILDREN,5943570,Revenue,1EEK1,Fenham Childrens Centre,0.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Third Party Payments,06/08/2013,ACTION FOR CHILDREN,5943570,Revenue,1EEM6,Woodlands Children's Centre,0.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,07/08/2013,ACTION FOR CHILDREN,5962749,Revenue,1MF12,Adoption Interagency,"1,194.00 ",,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,12/08/2013,ACTION FOR CHILDREN,5966918,Revenue,1MB04,Childrens Standards Unit,"1,233.45 ",,,,,,,,,,,
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,19/08/2013,ACTION ON HEARING LOSS,5972320,Revenue,1MH70,Phy Disability-Sensory Support,354.81 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",27/08/2013,ACTIVE HORIZONS LTD,5983906,Revenue,1MG20,Ind Res Care Elderly,-486.00 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",27/08/2013,ACTIVE HORIZONS LTD,5983906,Revenue,1MK20,Ind Res Care LD,-485.44 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,ACTIVE HORIZONS LTD,5983906,Revenue,1MG20,Ind Res Care Elderly,"1,648.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,ACTIVE HORIZONS LTD,5983906,Revenue,1MK20,Ind Res Care LD,"2,766.28 ",,,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,30/08/2013,ACTIVE TRAVEL,5972549,Revenue,1E+212,Transport Special,"1,350.00 ",,,,,,,,,,,
Children's Services,Childrens Services Support       ,Transfer Payments,30/08/2013,ACTIVE TRAVEL,5972645,Revenue,1E+212,Transport Special,"1,555.00 ",,,,,,,,,,,
Environment & Regeneration,Cityworks  Eldon           ,Supplies & Services,23/08/2013,AD MERCHANDISE LTD,5962744,Revenue,1KLH0,Sports Dev,577.50 ,,,,,,,,,,,
Chief Executive's,CD - Electoral Reg               ,Supplies & Services,13/08/2013,ADARE LTD,5969674,Revenue,1FL01,Electoral Registration Unit,787.43 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Employees,28/08/2013,ADCS,5974879,Revenue,1MA01,Strategic Management,416.00 ,,,,,,,,,,,
Adult and Culture,Social Services                        ,Supplies & Services,21/08/2013,ADCS,5979286,Revenue,1E317,Management Secretariat,"2,351.25 ",,,,,,,,,,,
Adult and Culture,Social Services                        ,Premises,12/08/2013,ADELPHI HOTEL,5966481,Revenue,1MN30,Asylum Seekers Adults,"1,106.00 ",,,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,23/08/2013,ADL ENVIRONMENTAL LTD,5982553,Revenue,1KEMC,Highways,378.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,22/08/2013,ADOPTION UK,5981612,Revenue,1MF12,Adoption Interagency,435.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,13/08/2013,ADOPTION UK,5969700,Revenue,1MF12,Adoption Interagency,550.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,30/08/2013,ADOPTION UK,5987645,Revenue,1MF12,Adoption Interagency,550.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,12/08/2013,ADOPTION UK,5962368,Revenue,1MF12,Adoption Interagency,700.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,07/08/2013,ADOPTION UK,5962747,Revenue,1MF12,Adoption Interagency,445.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,07/08/2013,ADOPTION UK,5962947,Revenue,1MF12,Adoption Interagency,330.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,14/08/2013,ADOPTION UK,5971493,Revenue,1MF12,Adoption Interagency,550.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,14/08/2013,ADOPTION UK,5971559,Revenue,1MF12,Adoption Interagency,595.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,14/08/2013,ADOPTION UK,5971613,Revenue,1MF12,Adoption Interagency,700.00 ,,,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,14/08/2013,ADOPTION UK,5971718,Revenue,1MF12,Adoption Interagency,685.13 ,,,,,,,,,,,
HRA,HRA Planning QS            ,Capital Expenditure,29/08/2013,ADT FIRE & SECURITY,5986718,Capital,2HE01,Capital Citywide,527.83 ,,,,,,,,,,,
HRA,HRA Planning QS            ,Capital Expenditure,30/08/2013,ADT FIRE & SECURITY,5987572,Capital,2HE01,Capital Citywide,466.42 ,,,,,,,,,,,
Children's Services,Invoice,Premises,19/08/2013,ADT FIRE & SECURITY,5967493,Revenue,1EEE1,East CC Central Costs,436.80 ,,,,,,,,,,,
Chief Executive's,CD - Business Dev Centres        ,Supplies & Services,06/08/2013,ADT FIRE & SECURITY,5961795,Revenue,1DE49,i4- Quayside NEC,505.48 ,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,21/08/2013,ADVANCE INSTALLATIONS LTD,5979396,Revenue,3KS04,Newcastle Warm Zone,885.67 ,,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,23/08/2013,ADVANCE INSTALLATIONS LTD,5981663,Revenue,3KS04,Newcastle Warm Zone,"1,862.00 ",,,,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,28/08/2013,ADVANCE INSTALLATIONS LTD,5984208,Revenue,3KS04,Newcastle Warm Zone,428.33 ,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Supplies & Services,07/08/2013,ADVANCED CALIBRATIONS LTD,5962936,Revenue,1KTDX,Architecture Building Design,254.00 ,,,,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,01/08/2013,ADVANCED CHILDCARE GROUP,5958344,Revenue,1MC02,Ind Sector Placements,"27,200.00 ",,,,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,01/08/2013,ADVANCED CHILDCARE GROUP,5958345,Revenue,1MC02,Ind Sector Placements,"15,800.00 ",,,,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,01/08/2013,ADVANCED CHILDCARE GROUP,5958346,Revenue,1MC02,Ind Sector Placements,"15,000.00 ",,,,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,01/08/2013,ADVANCED CHILDCARE GROUP,5958347,Revenue,1MC12,Section 31A High Care Needs,"13,200.00 ",,,,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,01/08/2013,ADVANCED CHILDCARE GROUP,5958348,Revenue,1MC02,Ind Sector Placements,"13,200.00 ",,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,27/08/2013,ADVANCED CHILDCARE GROUP,5982265,Revenue,1MC22,IND Sector Foster Carer Costs,"5,092.68 ",,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,30/08/2013,ADVANCED CHILDCARE GROUP,5982277,Revenue,1MC22,IND Sector Foster Carer Costs,"4,599.92 ",,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,28/08/2013,ADVANCED CHILDCARE GROUP,5982269,Revenue,1MC22,IND Sector Foster Carer Costs,"5,978.66 ",,,,,,,,,,,
Children's Services,Invoice,Third Party Payments,28/08/2013,ADVANCED CHILDCARE GROUP,5982274,Revenue,1MC22,IND Sector Foster Carer Costs,357.14 ,,,,,,,,,,,
Children's Services,Educ School Planning    ,Third Party Payments,19/08/2013,ADVANCED CHILDCARE GROUP,5975314,Revenue,1MC22,IND Sector Foster Carer Costs,"17,492.99 ",,,,,,,,,,,
Chief Executive's,CD - Legal Services              ,Supplies & Services,27/08/2013,ADVANCED LEGAL LTD,5979409,Revenue,1FA51,Coroner,900.00 ,,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Employees,14/08/2013,ADVANCED PERIMETER SYSTEMS LTD,5960111,Revenue,1KB06,Citybuild Training,960.00 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,21/08/2013,ADVANCED RADIATORS LTD,5958451,Revenue,1KESJ,Hort Workshops Routine Repair,326.90 ,,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Premises,30/08/2013,ADVANCED WATER TECHNOLOGIES,5971479,Revenue,1KR8L,Wide District Heating,"1,365.00 ",,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Premises,08/08/2013,ADVANCED WATER TECHNOLOGIES,5947101,Revenue,1KR8L,Wide District Heating,"1,365.00 ",,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Premises,08/08/2013,ADVANCED WATER TECHNOLOGIES,5964256,Revenue,1KR8L,Wide District Heating,"1,920.00 ",,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Premises,14/08/2013,ADVANCED WATER TECHNOLOGIES,5971765,Revenue,1KR8L,Wide District Heating,"1,365.00 ",,,,,,,,,,,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,14/08/2013,ADVANCED WORKSHOPS LTD,5962780,Revenue,1KENB,Fleet Workshops OH,297.50 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,19/08/2013,AEBI SCHMIDT UK LTD,5957755,Revenue,3KES1,Fleetmaster Stores Account,265.35 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,27/08/2013,AEBI SCHMIDT UK LTD,5973247,Revenue,3KES1,Fleetmaster Stores Account,491.39 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,13/08/2013,AEBI SCHMIDT UK LTD,5950377,Revenue,3KES1,Fleetmaster Stores Account,425.48 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,01/08/2013,AEBI SCHMIDT UK LTD,5944299,Revenue,3KES1,Fleetmaster Stores Account,387.95 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,20/08/2013,AEBI SCHMIDT UK LTD,5958445,Revenue,3KES1,Fleetmaster Stores Account,336.77 ,,,,,,,,,,,
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,23/08/2013,AECOM,5964714,Revenue,1V046,Freight Partnership,"8,262.00 ",,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/08/2013,AGD SYSTEMS LTD,5982550,Revenue,3KIMF,Highways Stock Account,"3,040.00 ",,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/08/2013,AGD SYSTEMS LTD,5982550,Revenue,1KB40,Citybuild Stores O/H,30.00 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,20/08/2013,AGD SYSTEMS LTD,5978037,Revenue,1KELA,Traffic Sig General O/H,180.00 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,20/08/2013,AGD SYSTEMS LTD,5978037,Revenue,3KIMF,Highways Stock Account,"10,920.00 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,22/08/2013,AGE UK NEWCASTLE,5980423,Revenue,1MH50,Ind Home Spot Pur PD,"6,880.13 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,22/08/2013,AGE UK NEWCASTLE,5981081,Revenue,1MH50,Ind Home Spot Pur PD,"1,780.00 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,22/08/2013,AGE UK NEWCASTLE,5981083,Revenue,1MH50,Ind Home Spot Pur PD,"1,118.18 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,22/08/2013,AGE UK NEWCASTLE,5981084,Revenue,1MH50,Ind Home Spot Pur PD,"1,780.00 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,22/08/2013,AGE UK NEWCASTLE,5981085,Revenue,1MH50,Ind Home Spot Pur PD,"4,506.95 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,22/08/2013,AGE UK NEWCASTLE,5981087,Revenue,1MH50,Ind Home Spot Pur PD,"9,150.82 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982185,Revenue,1MH50,Ind Home Spot Pur PD,296.66 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982186,Revenue,1MH50,Ind Home Spot Pur PD,"1,460.48 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982188,Revenue,1MH50,Ind Home Spot Pur PD,"1,460.48 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982189,Revenue,1MH50,Ind Home Spot Pur PD,"1,939.70 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982250,Revenue,1MH50,Ind Home Spot Pur PD,"1,460.48 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982253,Revenue,1MH50,Ind Home Spot Pur PD,513.46 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982254,Revenue,1MH50,Ind Home Spot Pur PD,"2,350.50 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982258,Revenue,1MH50,Ind Home Spot Pur PD,"1,397.75 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982261,Revenue,1MH50,Ind Home Spot Pur PD,"1,506.12 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982266,Revenue,1MH50,Ind Home Spot Pur PD,"1,026.90 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982267,Revenue,1MH50,Ind Home Spot Pur PD,"1,141.00 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982273,Revenue,1MH50,Ind Home Spot Pur PD,"6,846.00 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982275,Revenue,1MH50,Ind Home Spot Pur PD,"1,711.53 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982276,Revenue,1MH50,Ind Home Spot Pur PD,"1,780.00 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982278,Revenue,1MH50,Ind Home Spot Pur PD,"1,369.20 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982280,Revenue,1MH50,Ind Home Spot Pur PD,"1,831.34 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5982473,Revenue,1MH50,Ind Home Spot Pur PD,"7,119.84 ",,,,,,,,,,,
Adult and Culture,Social Services                        ,Third Party Payments,23/08/2013,AGE UK NEWCASTLE,5978464,Revenue,1VH26,Housing & Welfare Rights,"10,992.25 ",,,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,27/08/2013,AGE UK NEWCASTLE,5984325,Revenue,1MG55,Extra Care Housing,"20,404.13 ",,,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,27/08/2013,AGE UK NEWCASTLE,5984002,Revenue,1MG60,Ind Day Care Elderly,"33,820.15 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,AGE UK NEWCASTLE,5961671,Revenue,1MG51,Ind Home Per Care Elderly,"56,515.23 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,AGE UK NEWCASTLE,5961671,Revenue,1MH51,Ind Home Per Care PD,"5,500.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,AGE UK NEWCASTLE,5961671,Revenue,1MK51,Ind Home-Per Care LD,401.14 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,AGE UK NEWCASTLE,5961671,Revenue,1MM51,Ind Home-Per Care MH,"1,628.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,AGE UK NEWCASTLE,5961671,Revenue,3WH96,Continuing Care-Dom Payments,"1,249.44 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,AGE UK NEWCASTLE,5961714,Revenue,1MG50,Ind Home Spot Pur Elderly,"1,935.20 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,AGE UK NEWCASTLE,5961714,Revenue,1MH50,Ind Home Spot Pur PD,"10,572.80 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,06/08/2013,AGE UK NEWCASTLE,5961714,Revenue,1MM50,Ind Home - Spot Pur MH,230.10 ,,,,,,,,,,,
Children's Services,Youth Offending Team       ,Supplies & Services,07/08/2013,AIM PROJECT,5962973,Revenue,1EM10,Youth offending Team,"1,789.75 ",,,,,,,,,,,
