Midlands,,2000,2642,50,11,2752,1307,24,26,30,6843
,,2001,2442,54,10,4794,427,28,9,13,7776
,,2002,2502,61,8,5193,464,28,27,13,8298
,(c),2003,2256,64,11,2815,947,343,3,3,6399
,,2004,2542,40,11,2463,1705,21,6,17,6803
,(d),2005,2731,50,5,1960,1430,16,4,11,6206
,,2006,2598,63,5,2067,1672,25,9,10,6448
,,2007,2466,33,5,2102,1060,12,6,5,5690
,(f),2008,2418,29,4,3507,1493,37,4,10,7501
,,2009,2347,35,3,3179,1756,34,4,25,7382
,,2010,2410,49,4,3574,802,36,3,21,6898
,,,,,,,,,,,
Anglian,,2000,2075,187,27,2063,496,158,4,1,5011
,,2001,1674,137,15,2667,698,174,3,0,5369
,(a),2002,2171,115,15,5243,637,168,3,0,8353
,,2003,2153,159,16,4396,1040,70,4,1,7838
,,2004,2153,126,14,4875,1027,69,5,2,8270
,,2005,2120,119,8,4949,984,71,4,1,8256
,,2006,2166,153,7,4339,984,59,5,2,7715
,,2007,2011,91,7,4535,1005,67,5,1,7722
,(g),2008,2032,97,4,4651,261,56,5,1,7108
,,2009,2007,153,7,3434,255,41,5,2,5905
,,2010,2063,175,6,4471,286,90,4,2,7098
,,,,,,,,,,,
Thames,,2000,4117,11,8,1369,253,356,13,6,6132
,,2001,3963,9,12,1448,219,342,12,8,6011
,,2002,4038,10,10,1383,197,331,11,5,5985
,,2003,4214,13,15,1288,216,300,12,5,6064
,,2004,4191,10,9,1267,181,278,9,5,5951
,,2005,4207,9,8,1351,219,219,8,5,6025
,,2006,4029,9,9,1257,204,208,8,7,5732
,,2007,3928,6,8,1257,182,240,8,13,5642
,,2008,3960,7,7,1270,140,127,7,13,5530
,,2009,3918,9,8,1299,358,155,9,4,5759
,,2010,3981,11,7,1221,339,194,8,5,5766
,,,,,,,,,,,
Southern,,2000,1384,12,18,3175,728,1153,3,47,6520
,,2001,1252,15,5,2728,661,1187,3,33,5884
,(b),2002,1369,13,5,3945,994,1248,2,33,7608
,,2003,1303,18,7,4179,1054,1240,2,30,7834
,,2004,1216,16,5,4496,1102,1249,2,28,8114
,,2005,1334,15,5,4680,1189,1181,2,32,8439
,,2006,1339,17,5,5025,1168,1192,2,42,8788
,,2007,1324,12,7,4910,824,1211,2,33,8323
,,2008,1326,10,3,4866,1196,1205,2,33,8641
,,2009,1327,15,4,3109,1120,1242,2,27,6847
,,2010,1327,18,28,3205,2076,1174,2,16,7845
,,,,,,,,,,,
South West,,2000,1216,4,45,4362,73,2637,31,39,8406
,,2001,1281,5,43,4756,76,2269,34,38,8501
,,2002,1201,4,43,3324,243,751,3,14,5583
,,2003,1249,8,57,2982,372,853,3,21,5545
,,2004,1217,11,52,2327,282,1644,4,10,5547
,,2005,1205,4,22,2327,218,1410,4,0,5189
,,2006,1225,5,11,2144,213,1452,5,13,5068
,,2007,1184,3,31,2344,194,1152,4,45,4956
,,2008,1186,2,10,2552,240,751,3,8,4753
,,2009,1163,4,10,2477,270,662,3,3,4593
,,2010,1125,4,12,2799,221,855,2,4,5022
,,,,,,,,,,,
Wales,,2000,1974,4,10,7435,732,146,20,418,10740
,,2001,1852,6,6,5822,778,179,26,0,8668
,,2002,1962,9,8,6650,478,205,5,0,9318
,,2003,1505,6,8,6218,486,144,13,0,8381
,,2004,2014,6,7,5608,563,218,1,0,8416
,,2005,1892,6,4,5317,437,214,1,0,7870
,(e),2006,1867,11,3,7426,514,179,3,4,10005
,,2007,1770,2,3,7367,493,224,0,6,9864
,(h),2008,1631,2,3,10331,377,165,1,1,12510
,,2009,1557,2,2,7288,495,115,0,5,9466
,,2010,1903,5,2,7017,349,141,0,2,9420
,,,,,,,,,,,
Source:  Environment Agency,,,,,,,,,,,
