Metadata associated with workbook,,MWM_0937,,,,,,,,,,,,,
Title,Document Title,Municipal Waste Statistics - Local Authority data,,,,,,,,,,,,,
Subject,Topic,Municipal Waste Management,,,,,,,,,,,,,
North West,66,Blackburn with Darwen Borough Council,Unitary," 48,354 ", - ," 3,303 "," 16,483 "," 68,140 "," 7,995 "," 4,843 "," 80,977 ",,,,
North West,67,Lancashire County Council,Disposal," 285,924 "," 38,127 "," 48,381 "," 194,429 "," 566,861 "," 39,982 "," 50,445 "," 657,288 ",,,,
North West,73,Merseyside WDA (MBC),Disposal," 508,177 "," 38,000 "," 114,767 "," 140,891 "," 801,835 ", 536 ," 39,689 "," 842,060 ",,,,
Yorkshire/Humber,74,East Riding of Yorkshire Council,Unitary," 108,491 "," 5,875 "," 22,836 "," 43,965 "," 181,168 "," 6,717 "," 16,987 "," 204,872 ",,,,
Yorkshire/Humber,75,Kingston-upon-Hull City Council,Unitary," 84,469 "," 8,083 "," 9,231 "," 22,233 "," 124,016 "," 14,470 "," 6,780 "," 145,266 ",,,,
Yorkshire/Humber,76,North East Lincolnshire Council,Unitary," 54,845 "," 2,188 "," 8,121 "," 20,251 "," 85,405 "," 5,321 "," 2,812 "," 93,537 ",,,,
Yorkshire/Humber,77,North Lincolnshire Council,Unitary," 52,304 "," 3,152 "," 9,687 "," 23,186 "," 88,329 "," 10,340 "," 2,828 "," 101,497 ",,,,
Yorkshire/Humber,78,York City Council,Unitary," 55,424 "," 2,778 "," 15,334 "," 23,783 "," 97,319 "," 15,109 "," 6,892 "," 119,320 ",,,,
Yorkshire/Humber,86,North Yorkshire County Council,Disposal," 182,518 ", - ," 40,745 "," 97,380 "," 320,643 "," 47,386 "," 6,674 "," 374,703 ",,,,
Yorkshire/Humber,87,Sheffield City Council,Unitary," 161,275 "," 9,221 "," 18,243 "," 45,540 "," 234,280 ", 438 ," 14,049 "," 248,766 ",,,,
Yorkshire/Humber,88,Rotherham MBC,Unitary," 86,252 ", 527 ," 6,371 "," 27,021 "," 120,171 "," 7,870 "," 7,548 "," 135,590 ",,,,
Yorkshire/Humber,89,Doncaster MBC,Unitary," 109,623 "," 6,280 "," 13,542 "," 30,982 "," 160,427 "," 19,862 "," 11,747 "," 192,037 ",,,,
Yorkshire/Humber,90,Barnsley MBC,Unitary," 73,700 "," 3,595 "," 10,825 "," 21,949 "," 110,069 "," 16,544 "," 7,503 "," 134,116 ",,,,
Yorkshire/Humber,91,Leeds City Council MBC,Unitary," 229,281 "," 5,806 "," 26,303 "," 65,706 "," 327,097 "," 6,988 "," 32,027 "," 366,113 ",,,,
Yorkshire/Humber,92,Kirklees MBC,Unitary," 115,973 "," 9,962 "," 26,515 "," 31,877 "," 184,327 "," 48,470 "," 6,689 "," 239,486 ",,,,
Yorkshire/Humber,93,Wakefield City MDC,Unitary," 107,116 "," 14,789 "," 12,041 "," 35,780 "," 169,726 "," 25,633 ", 421 ," 195,779 ",,,,
Yorkshire/Humber,94,Bradford City MDC (MBC),Unitary," 147,786 "," 5,208 "," 26,520 "," 38,402 "," 217,916 "," 47,339 ", - ," 265,255 ",,,,
Yorkshire/Humber,95,Calderdale MBC,Unitary," 50,306 "," 1,689 "," 17,203 "," 17,450 "," 86,649 ", 140 ," 4,542 "," 91,332 ",,,,
E Midlands,96,Derby City Council,Unitary," 69,733 "," 6,141 "," 9,079 "," 31,863 "," 116,816 "," 8,559 "," 1,192 "," 126,567 ",,,,
E Midlands,105,Derbyshire County Council,Disposal," 228,838 "," 15,848 "," 19,142 "," 96,244 "," 360,071 "," 29,599 "," 3,060 "," 392,730 ",,,,
E Midlands,106,Rutland County Council,Unitary," 11,994 ", 239 ," 2,427 "," 4,664 "," 19,323 ", 214 ," 1,235 "," 20,773 ",,,,
E Midlands,107,Leicester City Council,Unitary," 87,807 "," 8,743 "," 5,028 "," 19,635 "," 121,213 "," 20,744 "," 5,183 "," 147,140 ",,,,
E Midlands,115,Leicestershire County Council,Disposal," 145,442 "," 6,557 "," 49,689 "," 139,274 "," 340,962 "," 34,011 ", 460 ," 375,434 ",,,,
E Midlands,123,Lincolnshire County Council,Disposal," 190,275 "," 14,593 "," 25,311 "," 116,036 "," 346,215 "," 11,719 "," 9,681 "," 367,615 ",,,,
E Midlands,131,Northamptonshire County Council,Disposal," 187,538 ", 766 ," 31,079 "," 116,109 "," 335,491 "," 24,351 "," 11,327 "," 371,169 ",,,,
E Midlands,133,Nottingham City Council,Unitary," 75,009 "," 23,058 "," 3,231 "," 24,609 "," 125,907 "," 34,574 "," 26,769 "," 187,251 ",,,,
E Midlands,140,Nottinghamshire County Council,Disposal," 232,937 ", - ," 42,208 "," 149,126 "," 424,271 ", - ," 15,248 "," 439,520 ",,,,
W Midlands,148,Herefordshire Council,Unitary," 53,764 "," 1,707 "," 11,727 "," 22,329 "," 89,527 "," 4,096 "," 6,694 "," 100,317 ",,,,
W Midlands,150,Worcestershire County Council,Disposal," 148,953 "," 7,050 "," 44,767 "," 86,291 "," 287,061 "," 13,089 "," 15,352 "," 315,502 ",,,,
W Midlands,151,Telford and Wrekin Council,Unitary," 40,382 "," 2,945 "," 14,864 "," 25,693 "," 83,884 "," 5,810 "," 1,795 "," 91,489 ",,,,
W Midlands,157,Shropshire County Council,Disposal," 76,204 "," 11,154 "," 16,606 "," 52,698 "," 156,662 "," 13,946 "," 4,980 "," 175,589 ",,,,
W Midlands,158,Stoke-on-Trent City Council,Unitary," 72,155 "," 7,098 "," 19,694 "," 22,481 "," 121,429 "," 10,255 "," 9,194 "," 140,878 ",,,,
W Midlands,167,Staffordshire County Council,Disposal," 223,549 "," 16,772 "," 30,052 "," 145,801 "," 416,174 "," 12,274 "," 18,519 "," 446,967 ",,,,
W Midlands,173,Warwickshire County Council,Disposal," 163,040 "," 6,691 "," 31,807 "," 85,090 "," 286,628 "," 19,665 "," 5,861 "," 312,153 ",,,,
W Midlands,174,Wolverhampton MBC,Unitary," 68,690 "," 5,587 "," 21,863 "," 27,688 "," 123,828 "," 27,393 ", 801 ," 152,021 ",,,,
W Midlands,175,Walsall MBC,Unitary," 1,041 "," 97,648 ", - ," 30,052 "," 128,740 "," 17,191 "," 4,418 "," 150,349 ",,,,
W Midlands,176,Solihull MBC,Unitary," 55,685 "," 7,471 "," 12,741 "," 23,424 "," 99,320 ", 55 ," 1,998 "," 101,373 ",,,,
W Midlands,177,Sandwell MBC,Unitary," 78,247 "," 2,729 "," 28,466 "," 21,167 "," 130,609 "," 15,670 "," 4,264 "," 150,543 ",,,,
W Midlands,178,Dudley MBC,Unitary," 84,912 "," 3,030 "," 21,821 "," 24,823 "," 134,585 ", 195 ," 4,892 "," 139,672 ",,,,
W Midlands,179,Coventry City Council,Unitary," 96,020 "," 2,814 "," 15,993 "," 23,187 "," 138,015 "," 35,195 "," 8,566 "," 181,775 ",,,,
W Midlands,180,Birmingham City Council,Unitary," 312,825 "," 18,453 "," 52,032 "," 75,607 "," 458,917 "," 88,324 "," 8,321 "," 555,562 ",,,,
Eastern,181,Luton Borough Council,Unitary," 54,699 "," 4,246 "," 7,836 "," 21,390 "," 88,171 "," 7,039 "," 3,197 "," 98,407 ",,,,
Eastern,185,Bedfordshire County Council,Disposal," 111,034 "," 12,212 "," 13,685 "," 64,560 "," 201,491 "," 18,717 ", 47 ," 220,255 ",,,,
Eastern,187,Peterborough City Council,Unitary," 47,268 "," 2,642 "," 7,650 "," 31,717 "," 89,277 "," 10,890 ", 664 ," 100,831 ",,,,
Eastern,192,Cambridgeshire County Council,Disposal," 133,239 "," 11,206 "," 33,872 "," 130,413 "," 308,730 "," 15,111 ", 500 ," 324,342 ",,,,
Eastern,193,Thurrock Council,Unitary," 49,793 "," 4,463 "," 3,659 "," 13,874 "," 71,789 ", - ," 3,023 "," 74,811 ",,,,
Eastern,194,Southend-on-Sea Borough Council,Unitary," 52,516 ", - ," 9,783 "," 18,885 "," 81,184 "," 2,706 "," 2,752 "," 86,642 ",,,,
Eastern,207,Essex County Council,Disposal," 414,333 ", - ," 51,933 "," 220,255 "," 686,521 "," 26,488 "," 19,052 "," 732,062 ",,,,
Eastern,218,Hertfordshire County Council,Disposal," 299,778 "," 12,043 "," 48,539 "," 179,021 "," 539,381 "," 29,861 ", 433 ," 569,675 ",,,,
Eastern,226,Norfolk County Council,Disposal," 243,122 ", - ," 28,578 "," 138,587 "," 410,287 ", - ," 5,651 "," 415,938 ",,,,
Eastern,234,Suffolk County Council,Disposal," 169,491 "," 10,886 "," 38,712 "," 151,261 "," 370,350 "," 17,060 "," 3,673 "," 391,082 ",,,,
London,235,Bexley LB,Unitary," 47,377 "," 2,311 "," 8,609 "," 41,587 "," 99,883 "," 30,667 "," 4,221 "," 134,771 ",,,,
London,236,Tower Hamlets LB,Unitary," 61,753 "," 8,954 "," 1,233 "," 7,130 "," 79,070 "," 23,693 ", 63 ," 102,826 ",,,,
London,237,City of London,Unitary," 2,239 "," 1,720 ", - , 832 ," 4,792 "," 39,353 ", 168 ," 44,313 ",,,,
London,238,Westminster City Council,Unitary," 41,720 "," 19,231 ", - ," 13,911 "," 74,862 "," 110,804 "," 3,293 "," 188,959 ",,,,
London,243,East London Waste Authority,Disposal," 257,858 "," 59,600 "," 37,029 "," 63,001 "," 417,488 "," 65,417 "," 9,290 "," 492,195 ",,,,
London,251,North London Waste Authority,Disposal," 531,460 "," 41,344 "," 33,612 "," 160,213 "," 766,629 "," 172,113 "," 12,054 "," 950,796 ",,,,
London,252,Southwark LB,Unitary," 72,374 "," 17,349 "," 1,060 "," 16,039 "," 106,822 "," 29,136 "," 2,167 "," 138,124 ",,,,
London,253,Lewisham LB,Unitary," 81,034 "," 19,448 "," 1,171 "," 13,712 "," 115,365 "," 25,496 ", 649 ," 141,510 ",,,,
London,254,Greenwich LB,Unitary," 63,639 "," 13,279 "," 4,459 "," 22,119 "," 103,497 "," 6,606 "," 1,101 "," 111,204 ",,,,
London,255,Sutton LB,Unitary," 47,665 "," 2,873 "," 11,577 "," 23,965 "," 86,080 "," 10,870 "," 3,076 "," 100,027 ",,,,
London,256,Merton LB,Unitary," 40,535 "," 4,633 "," 11,456 "," 16,453 "," 73,076 "," 21,779 "," 1,288 "," 96,143 ",,,,
London,257,Royal Borough of Kingston upon Thames ,Unitary," 40,810 "," 2,556 "," 5,907 "," 17,025 "," 66,299 "," 1,185 "," 11,671 "," 79,155 ",,,,
London,258,Croydon LB,Unitary," 82,457 "," 12,157 "," 21,794 "," 22,364 "," 138,772 "," 38,572 "," 9,436 "," 186,780 ",,,,
London,259,Bromley LB,Unitary," 84,702 "," 6,766 "," 18,185 "," 41,168 "," 150,821 "," 24,204 ", 60 ," 175,086 ",,,,
London,266,West London Waste Authority,Disposal," 406,571 "," 63,840 "," 84,375 "," 155,756 "," 710,541 "," 82,932 "," 15,069 "," 808,542 ",,,,
London,271,Western Riverside Waste Authority,Disposal," 250,000 ", 638 ," 9,468 "," 72,081 "," 332,187 "," 127,518 "," 2,390 "," 462,095 ",,,,
S East,272,Wokingham Council,Unitary," 40,879 "," 1,554 "," 7,670 "," 21,324 "," 71,427 "," 1,247 "," 2,603 "," 75,276 ",,,,
S East,273,Windsor and Maidenhead Borough Council,Unitary," 41,507 "," 3,510 "," 6,239 "," 19,647 "," 70,903 ", 269 ," 1,903 "," 73,075 ",,,,
S East,274,Slough Borough Council,Unitary," 35,702 "," 1,000 "," 4,878 "," 9,753 "," 51,333 "," 9,067 ", - ," 60,400 ",,,,
S East,275,Reading Borough Council,Unitary," 50,094 ", 40 ," 5,357 "," 14,612 "," 70,103 "," 6,919 "," 3,120 "," 80,143 ",,,,
S East,276,West Berkshire District Council,Unitary," 50,039 "," 2,436 "," 12,345 "," 16,067 "," 80,886 ", 842 , 654 ," 82,382 ",,,,
S East,277,Bracknell Forest Borough Council,Unitary," 31,841 "," 2,401 "," 5,478 "," 15,424 "," 55,144 "," 9,754 "," 2,266 "," 67,163 ",,,,
S East,279,Milton Keynes Council,Unitary," 57,344 "," 7,030 "," 14,800 "," 37,130 "," 116,304 "," 6,038 "," 3,435 "," 125,777 ",,,,
S East,284,Buckinghamshire County Council,Disposal," 125,579 "," 2,281 "," 25,178 "," 88,020 "," 241,058 "," 14,741 "," 12,538 "," 268,337 ",,,,
S East,285,Brighton and Hove Council,Unitary," 65,099 "," 6,621 "," 11,471 "," 28,028 "," 111,218 ", 41 ," 1,663 "," 112,922 ",,,,
S East,291,East Sussex County Council,Disposal," 145,791 "," 10,577 "," 33,091 "," 70,543 "," 260,003 "," 8,682 "," 7,943 "," 276,627 ",,,,
S East,292,Southampton City Council,Unitary," 65,035 "," 5,331 "," 10,163 "," 24,149 "," 104,679 "," 13,524 "," 6,786 "," 124,989 ",,,,
S East,293,Portsmouth City Council,Unitary," 54,907 "," 3,891 "," 7,671 "," 17,594 "," 84,063 ", 599 ," 2,811 "," 87,473 ",,,,
S East,305,Hampshire County Council,Disposal," 329,103 "," 19,801 "," 77,440 "," 215,246 "," 641,590 "," 21,721 "," 19,597 "," 682,907 ",,,,
S East,306,Isle of Wight Council,Unitary," 37,093 "," 5,632 "," 14,571 "," 19,276 "," 76,571 ", 525 ," 4,136 "," 81,232 ",,,,
S East,313,Medway Borough Council,Unitary," 71,573 "," 5,695 "," 13,167 "," 42,842 "," 133,276 "," 1,858 "," 5,421 "," 140,555 ",,,,
S East,321,Kent County Council,Disposal," 407,453 "," 26,202 "," 96,119 "," 207,820 "," 737,595 "," 25,295 "," 47,873 "," 810,763 ",,,,
S East,327,Oxfordshire County Council,Disposal," 162,093 "," 9,788 "," 27,759 "," 97,727 "," 297,368 "," 14,397 "," 2,394 "," 314,159 ",,,,
S East,339,Surrey County Council,Disposal," 308,315 "," 17,074 "," 98,734 "," 156,398 "," 580,521 "," 26,710 "," 11,197 "," 618,429 ",,,,
S East,347,West Sussex County Council,Disposal," 191,612 "," 15,124 "," 79,143 "," 124,920 "," 410,799 "," 24,582 "," 21,675 "," 457,056 ",,,,
S West,348,Council of the Isles of Scilly,Unitary," 1,732 ", 5 , 6 , 451 ," 2,194 ", 834 , 586 ," 3,614 ",,,,
S West,349,Bath and North East Somerset Council,Unitary," 37,106 "," 3,009 "," 11,350 "," 30,181 "," 81,646 "," 12,060 "," 5,503 "," 99,208 ",,,,
S West,350,Bristol City Council,Unitary," 128,258 "," 8,088 "," 11,211 "," 31,088 "," 178,645 "," 5,276 "," 6,660 "," 190,580 ",,,,
S West,357,Cornwall County Council,Disposal," 166,087 ", 650 ," 50,660 "," 86,068 "," 303,465 "," 17,606 "," 1,690 "," 322,761 ",,,,
S West,360,Torbay Council,Unitary," 38,062 "," 2,745 "," 7,686 "," 14,919 "," 63,412 "," 6,937 "," 11,450 "," 81,799 ",,,,
S West,363,Plymouth City Council,Unitary," 75,128 "," 8,109 "," 19,493 "," 29,353 "," 132,083 "," 14,488 "," 18,322 "," 164,892 ",,,,
S West,368,Devon County Council,Disposal," 194,264 "," 12,712 "," 31,659 "," 152,966 "," 391,601 "," 12,291 "," 23,299 "," 427,191 ",,,,
S West,369,Poole Borough Council,Unitary," 44,532 "," 3,321 "," 6,683 "," 21,825 "," 76,361 "," 16,789 "," 3,253 "," 96,403 ",,,,
S West,370,Bournemouth Borough Council,Unitary," 58,404 "," 4,192 "," 2,796 "," 21,946 "," 87,338 "," 11,482 "," 3,812 "," 102,632 ",,,,
S West,377,Dorset County Council,Disposal," 108,728 "," 2,174 "," 17,614 "," 79,053 "," 207,568 "," 4,925 "," 11,848 "," 224,342 ",,,,
S West,384,Gloucestershire County Council,Disposal," 183,480 ", - ," 18,855 "," 85,067 "," 287,402 "," 10,805 "," 12,875 "," 311,082 ",,,,
S West,385,North Somerset Council,Unitary," 60,470 "," 3,395 "," 20,796 "," 21,979 "," 106,641 "," 2,009 "," 5,210 "," 113,860 ",,,,
S West,391,Somerset County Council,Disposal," 134,679 "," 3,776 "," 21,940 "," 108,732 "," 269,127 "," 28,369 "," 1,356 "," 298,853 ",,,,
S West,392,South Gloucestershire Council,Unitary," 58,661 "," 5,382 "," 18,998 "," 49,062 "," 132,103 ", 875 ," 11,844 "," 144,821 ",,,,
S West,393,Swindon Borough Council,Unitary," 50,837 ", 243 ," 9,156 "," 23,147 "," 83,384 "," 4,573 "," 4,149 "," 92,106 ",,,,
S West,398,Wiltshire County Council,Disposal," 133,655 "," 2,079 "," 18,325 "," 69,091 "," 223,149 "," 17,169 "," 18,525 "," 258,843 ",,,,
,,,Total," 14,616,482 "," 1,314,387 "," 2,726,333 "," 6,796,414 "," 25,453,616 "," 2,289,028 "," 1,002,838 "," 28,745,482 ",,,,
"Table 2: Management of municipal waste, 2005/6",,,,,,,,,,,,,,,
GOR,Jpp Order,Authority,Authority Type,Landfill,Incineration with EfW,Incineration without EfW,RDF manufacture,Recycled/ composted,Other,Total1,,,,,
North East,1,Stockton-on-Tees Borough Council,Unitary," 9,432 "," 67,096 ", - , - ," 19,193 ", - ," 95,721 ",,,,,
North East,2,Redcar and Cleveland Borough Council,Unitary," 9,440 "," 37,695 ", - , - ," 28,512 ", - ," 75,647 ",,,,,
North East,3,Middlesbrough Borough Council,Unitary," 20,097 "," 46,402 ", - , - ," 10,101 ", - ," 76,599 ",,,,,
North East,4,Hartlepool Borough Council,Unitary," 9,118 "," 32,748 ", - , - ," 11,026 ", 6 ," 52,899 ",,,,,
North East,5,Darlington Borough Council,Unitary," 48,427 ", - , 8 , - ," 15,371 ", - ," 63,806 ",,,,,
North East,13,Durham County Council,Disposal," 203,213 ", - , - , - ," 74,147 "," 28,620 "," 305,980 ",,,,,
North East,20,Northumberland County Council,Disposal," 124,719 "," 2,177 ", - , - ," 56,235 ", - ," 183,130 ",,,,,
North East,21,Sunderland City Council,Unitary," 128,839 ", 4 , - , - ," 32,018 ", 57 ," 160,919 ",,,,,
North East,22,South Tyneside MBC,Unitary," 73,432 ", - , - , - ," 19,122 ", 285 ," 92,840 ",,,,,
North East,23,North Tyneside Council,Unitary," 86,621 "," 18,286 ", - , - ," 29,474 ", - ," 134,381 ",,,,,
North East,24,Newcastle-upon-Tyne City Council MBC,Unitary," 128,590 ", - , - , - ," 23,404 "," 29,327 "," 181,321 ",,,,,
North East,25,Gateshead MBC,Unitary," 90,244 ", 59 , 2 , - ," 23,429 ", - ," 113,733 ",,,,,
North West,26,Warrington Borough Council,Unitary," 87,859 ", - , - , - ," 24,444 ", - ," 112,303 ",,,,,
North West,29,Halton Borough Council,Unitary," 55,085 ", - , - , - ," 18,978 ", - ," 74,063 ",,,,,
North West,34,Cheshire County Council,Disposal," 297,915 ", 53 , 7 , - ," 139,156 ", - ," 437,130 ",,,,,
