Department family,Entity,Date Paid,Expense type,Expense area,Supplier,Transaction number,Amount
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-11,Sterile Services Contract,Environmental Services,Synergy H/Care (Uk) Ltd Decontamination,414926,64882.94,,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-11,IT Support and Maintenance,Computer Services,Bt Global Services,415501,55665.09,,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-11,GP Staff,A&E,Barndoc Healthcare,414941,49434.04,,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-11,Sterile Services Contract,Environmental Services,Synergy H/Care (Uk) Ltd Decontamination,414927,42170.48,,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-11,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,415058,39008.21,,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-11,Drugs,Pharmacy,Gilead Sciences Ltd,414649,26014.80,,
Department of Health,North Middlesex University Hospital NHS Trust,15-Dec-11,Insurance,Nursing and Patient Services,Nhs Litigation Authority,NHSLA09,378148.00,,
Department of Health,North Middlesex University Hospital NHS Trust,19-Dec-11,Software Development,HIV,6pm Ltd,418905,80335.80,,
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,PFI Unitary Payment,New Hospital,Bynorth Ltd,417883,1477989.59,,
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Printing and Copying,Hospital Wide,The Danwood Group Ltd,416818,92468.48,,
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Bank Staff ,Hospital Wide,Nhs Professionals Ltd,411763,74134.01,,
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Patient Transport,Environmental Services,M&L Ambulance Service,417380,71955.87,,
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,416077,49981.13,,
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Bank Staff ,Hospital Wide,Nhs Professionals Ltd,412346,44040.81,,
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Miscellaneous Supplies,Hospital Wide,Nhs Supply Chain,416131,41144.32,,
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Drugs,Pharmacy,Roche Products Ltd,415929,41083.20
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Refurbishment,Hospital Development,PAC Flooring Ltd,417509,30681.61
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Building Lease,Environmental Services,Trustees Ltd,417985,30105.00
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Car Parking,Environmental Services,Mitie Cleaning & Support Service Ltd,418208,2228.05
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Domestic Services,Environmental Services,Mitie Cleaning & Support Service Ltd,418208,252940.91
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Portering Service,Environmental Services,Mitie Cleaning & Support Service Ltd,418208,119406.32
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Security Services,Environmental Services,Mitie Cleaning & Support Service Ltd,418208,60725.71
Department of Health,North Middlesex University Hospital NHS Trust,21-Dec-11,Help Desk,Environmental Services,Mitie Cleaning & Support Service Ltd,418208,3398.71
Department of Health,North Middlesex University Hospital NHS Trust,30-Dec-12,Patient Transport,Environmental Services,M&L Ambulance Service,418259,71955.87
,,,,,,,
,,,,,,,
