Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,MEDISCAN DIAGNOSTIC SERVICES LTD,2817680,"25,299.00",,INV001146
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec NHS Trust-CQUIN,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,2817822,"226,439.00",,106120
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,PENNINE ACUTE HOSPITALS NHS TRUST,2817822,"8,404,666.00",,106120
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,NORTH WEST AMBULANCE SERVICE NHS TRUST,2817834,"553,735.00",,4110007528
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec NHS Trust-Contract Baseline,NON RECURRENT PROGRAMMES,NORTH WEST AMBULANCE SERVICE NHS TRUST,2817843,"29,279.00",,4110007691
Department of Health,NHS Oldham CCG,31/03/2014,Printing Costs,CORPORATE COSTS & SERVICES,DANWOOD GROUP LTD,2818348,"36,134.67",,3612006
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,NHS SALFORD CCG,2829167,"212,909.00",,7012300050
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,NHS COMMISSIONING BOARD,2829529,"490,742.59",,7000004999
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Othe Public Sector,COMMISSIONING SCHEMES,PENNINE MSK PARTNERSHIP,2829550,"396,447.25",,627
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,OUT OF HOURS,GO TO DOC LTD,2829614,"143,760.00",,6313
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,2843119,"194,655.00",,310812
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,WRIGHTINGTON WIGAN & LEIGH NHS FOUNDATION TRUST,2843124,"62,967.00",,2110008829
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,SALFORD ROYAL NHS FOUNDATION TRUST,2843199,"206,176.00",,1000148508
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,PROGRAMME PROJECTS,NHS GREATER MANCHESTER CSU,2843225,"19,605.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,PROCUREMENT,NHS GREATER MANCHESTER CSU,2843225,"6,929.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,PATIENT AND PUBLIC INVOLVEMENT,NHS GREATER MANCHESTER CSU,2843225,"4,701.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,NON RECURRENT PROGRAMMES,NHS GREATER MANCHESTER CSU,2843225,"30,132.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS GREATER MANCHESTER CSU,2843225,"38,850.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,MEDICINES MANAGEMENT,NHS GREATER MANCHESTER CSU,2843225,"5,440.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,IM&T,NHS GREATER MANCHESTER CSU,2843225,"43,648.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,HUMAN RESOURCES,NHS GREATER MANCHESTER CSU,2843225,"6,082.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,FINANCE,NHS GREATER MANCHESTER CSU,2843225,"37,978.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,EQUALITY AND DIVERSITY,NHS GREATER MANCHESTER CSU,2843225,"2,160.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,CORPORATE GOVERNANCE,NHS GREATER MANCHESTER CSU,2843225,"3,810.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,CONTRACT MANAGEMENT,NHS GREATER MANCHESTER CSU,2843225,"43,509.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS GREATER MANCHESTER CSU,2843225,"7,132.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,COMMUNICATIONS & PR,NHS GREATER MANCHESTER CSU,2843225,"10,021.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,COMMISSIONING,NHS GREATER MANCHESTER CSU,2843225,"41,853.00",,7300000684
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,2859756,"251,359.50",,24056
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,2859773,"46,173.00",,40046815
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,OAKLANDS HOSPITAL,2859807,"38,098.80",,1251213
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,PENNINE CARE NHS FOUNDATION TRUST,2884171,"80,292.67",,1010003312
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Cost per Case,COMMUNITY SERVICES,PENNINE CARE NHS FOUNDATION TRUST,2884182,"25,027.00",,1010003313
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,STOCKPORT NHS FOUNDATION TRUST,2884354,"65,916.00",,40046838
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHC ADULT JOINT FUNDED,OLDHAM MBC,2884543,"25,200.00",,10350122D
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,2884706,"43,817.52",,106287
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,CHC ADULT FULLY FUNDED,CHADDERTON TOTAL-CARE UNIT LTD,2884784,"48,779.92",,I0056124
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,FUNDED NURSING CARE,CHADDERTON TOTAL-CARE UNIT LTD,2884795,"33,511.86",,I0056187
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Oth-NHS-Contract Baseline,COMMUNITY SERVICES,ASSURA BLACKPOOL LLP,2884921,"31,990.00",,809Z259
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Variation,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,2905576,"39,264.00",,1010002556
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec NHS Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,2923082,"31,573.23",,5110001358
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,2923160,"19,537.00",,1010003466
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,2923160,"1,562,927.00",,1010003466
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Variation,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,2923160,"52,285.00",,1010003466
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Clinical Other,COMMUNITY SERVICES,PENNINE MSK PARTNERSHIP,2943910,"40,248.00",,598
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE CARE NHS FOUNDATION TRUST,2944675,"1,950,075.00",,1010003483
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec NHS Trust-Contract Baseline,COMMUNITY SERVICES,PENNINE ACUTE HOSPITALS NHS TRUST,2944750,"125,700.00",,106495
Department of Health,NHS Oldham CCG,31/03/2014,Programme Support Costs,NON RECURRENT PROGRAMMES,PENNINE MEDICAL PRACTICE,2988357,"110,600.00",,BD01
Department of Health,NHS Oldham CCG,31/03/2014,Programme Support Costs,NON RECURRENT PROGRAMMES,HILL TOP SURGERY,2988361,"70,000.00",,401
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Oth-NHS,HOSPICES,DR KERSHAWS HOSPICE,2988377,"52,971.17",,G022014
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-CQUIN,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,2988415,"240,982.00",,1010003518
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Drugs,HIGH COST DRUGS,BUPA HOME HEALTHCARE LTD,2988440,"55,055.00",,SINV1323859
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,2988444,"22,500.88",,24288
Department of Health,NHS Oldham CCG,31/03/2014,Basic Sal-Rchgs to-from Oth Non NHS,COMMISSIONING,OLDHAM MBC,3006827,"26,000.00",,10338352J
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHC ADULT JOINT FUNDED,OLDHAM MBC,3006836,"581,498.04",,10346155L
Department of Health,NHS Oldham CCG,31/03/2014,Programme Support Costs,NON RECURRENT PROGRAMMES,CH MEDICAL,3006841,"30,000.00",,4.03201E+11
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHC ADULT JOINT FUNDED,OLDHAM MBC,3006859,"(581,498.04)",,10349479G
Department of Health,NHS Oldham CCG,31/03/2014,Programme Support Costs,NON RECURRENT PROGRAMMES,TAMESIDE OLDHAM AND GLOSSOP MIND,3006871,"59,942.00",,14000602MFD
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHC ADULT JOINT FUNDED,OLDHAM MBC,3006878,"(52,000.00)",,10351852J
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHC ADULT JOINT FUNDED,OLDHAM MBC,3006886,"(26,000.00)",,10351853E
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Drugs,COMMISSIONING SCHEMES,ROCHE DIAGNOSTICS LTD,3033004,"23,009.22",,1321665285
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Oth-NHS-Contract Baseline,LONG TERM CONDITIONS,INTRAHEALTH LTD,3034148,"(37,660.36)",,3354
Department of Health,NHS Oldham CCG,31/03/2014,Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,3035412,"43,107.50",,48309418
Department of Health,NHS Oldham CCG,31/03/2014,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,3035412,"1,120,872.45",,48309418
Department of Health,NHS Oldham CCG,31/03/2014,Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,3035413,"1,857,763.03",,50364777
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,NHS COMMISSIONING BOARD,3055429,"171,897.19",,7000005676
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,NHS COMMISSIONING BOARD,3055436,"321,000.00",,7000005727
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,COMMISSIONING,NHS GREATER MANCHESTER CSU,3055693,"181,114.00",,7300000760
Department of Health,NHS Oldham CCG,31/03/2014,Audit Fees: Statutory,CORPORATE COSTS & SERVICES,GRANT THORNTON UK LLP,3056894,"23,100.00",,6929664
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHC ADULT FULLY FUNDED,OLDHAM MBC,3057335,"299,424.64",,10352876H
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHC ADULT JOINT FUNDED,OLDHAM MBC,3057335,"273,966.74",,10352876H
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,MENTAL HEALTH CONTRACTS,PENNINE CARE NHS FOUNDATION TRUST,3057795,"(28,531.00)",,259
Department of Health,NHS Oldham CCG,31/03/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS GREATER MANCHESTER CSU,3079996,"27,230.00",,7300000739
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Oth-NHS,HOSPICES,DR KERSHAWS HOSPICE,3106634,"52,971.17",,G032014
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,DEMENTIA,OLDHAM MBC,3151235,"26,400.00",,10347595D
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,STOCKPORT NHS FOUNDATION TRUST,3152075,"32,250.00",,40047376
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Oth-NHS-Contract Baseline,LONG TERM CONDITIONS,INTRAHEALTH LTD,3173684,"225,962.16",,3769
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Oth-NHS-Contract Baseline,LONG TERM CONDITIONS,INTRAHEALTH LTD,3173700,"37,660.36",,3792
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Oth-NHS-Contract Baseline,LONG TERM CONDITIONS,INTRAHEALTH LTD,3173709,"37,660.36",,3793
Department of Health,NHS Oldham CCG,31/03/2014,Hcare Srv Rec Oth-NHS-Contract Baseline,LONG TERM CONDITIONS,INTRAHEALTH LTD,3173718,"37,660.36",,3794
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,FUNDED NURSING CARE,ST GEORGES NURSING HOME LTD,3204907,"30,322.75",,4882
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHILD AND ADOLESCENT MENTAL HEALTH,OLDHAM MBC,3204991,"36,850.00",,10353314J
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHC CHILDREN,OLDHAM MBC,3204992,"35,881.00",,10353307D
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHC CHILDREN,OLDHAM MBC,3204993,"50,201.00",,10353308L
Department of Health,NHS Oldham CCG,31/03/2014,Services From Local Authorities,CHC CHILDREN,OLDHAM MBC,3204995,"35,526.00",,10353310C
Department of Health,NHS Oldham CCG,31/03/2014,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,CAMBIAN LEARNING DISABILITIES MIDLANDS LTD,3205021,"21,250.00",,INV0009606
,,,,,,,,,
