Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Technical Advice / Services & Support,Economics & Markets - International Trade & Export Control,CAPITA BUSINESS SERVICES LTD,134910,3275.05,ECO - Non Proliferation Awareness Seminars-Technical Advice / Services & Support,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/04/2016,Hire of Agency Staff,.,CAPITA BUSINESS SERVICES LTD,134966,1291.37,BRE Communications Programme-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Application Support Service,"Finance, Commercial & Digital Transformation - Digital Directorate",TRUSTMARQUE SOLUTIONS LTD,135658,8232.00,FCDT Devolved Admin-Application Support Service,YO32 9GZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Other Professional Services,"Finance, Commercial & Digital Transformation - Digital Directorate",RAINMAKER SOLUTIONS LTD,136482,1250.00,FCDT Devolved Admin-Other Professional Services,MK18 1HB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Other Professional Services,"Finance, Commercial & Digital Transformation - Digital Directorate",RAINMAKER SOLUTIONS LTD,136482,55000.00,FCDT Devolved Admin-Other Professional Services,MK18 1HB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/04/2016,Application Support Service,"Finance, Commercial & Digital Transformation - Digital Directorate",CGI IT UK LTD,136535,1950.39,FCDT Devolved Admin-Application Support Service,CF31 9AP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/04/2016,Consultancy Expenditure,"Skills, Deregulation and Local Growth - Vocational Education Directorate",DR BERI HARE,136554,2400.00,Quality Improvement Reform-Consultancy Expenditure,BS9 3LG,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2016,Clearing Account - Cost - Leasehold Improvements,"Finance, Commercial & Digital Transformation - Estates",ROLFE CONTRACTING LTD,136828,11705.08,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,AL3 7RG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2016,Clearing Account - Cost - Leasehold Improvements,"Finance, Commercial & Digital Transformation - Estates",ROLFE CONTRACTING LTD,136828,12183.86,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,AL3 7RG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2016,Current Grants To Private Sector - NPISH,Business and Science - Research Base,ECONOMIC AND SOCIAL RESEARCH COUNCIL ESRC,136950,48000.00,Science & Society: Science for All-Current Grants To Private Sector - NPISH,SN2 1FF,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/04/2016,Current Grants To Private Sector - NPISH,Business and Science - Research Base,PUBLIC HEALTH ENGLAND,136979,137333.00,Science & Society: Science for All-Current Grants To Private Sector - NPISH,SE1 6LH,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/04/2016,IT Infrastructure Support,"Finance, Commercial & Digital Transformation - Digital Directorate",VISIONIST LTD,137273,18126.00,FCDT Devolved Admin-IT Infrastructure Support,BH31 7PB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/04/2016,Technical Advice / Services & Support,"Skills, Deregulation and Local Growth - Better Regulation Delivery Office",PAGE TIGER LTD,137332,-250.00,RD: Product Development-Technical Advice / Services & Support,TW9 2LH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2016,Learning and Dev - CS Skills,"People, Strategy and Higher Education - Human Resources",CABINET OFFICE,137517,10312.85,PSHE Non Devolved Admin-Learning and Dev - CS Skills,FY5 3TA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2016,Hotel & Accommodation,Government Office for Science -  Government Office for Science,FOREIGN AND COMMONWEALTH OFFICE (FCO),138034,41.88,Other Devolved Admin-Hotel & Accommodation,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2016,Hotel & Accommodation,Government Office for Science -  Government Office for Science,FOREIGN AND COMMONWEALTH OFFICE (FCO),138035,380.47,Other Devolved Admin-Hotel & Accommodation,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138066,7.06,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138067,9.49,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138068,303.61,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138069,5.68,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138070,10.66,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138071,2.42,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138072,304.73,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138073,142.04,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138074,1.25,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138075,1.54,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138076,9.82,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138077,8.71,NEWTON FUND - Brazil-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138083,394.41,IGPF: Dangerous Surface Temperatures-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138084,3179.34,NEWTON FUND - Indonesia-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138085,718.69,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),138086,2165.72,Newton Fund - Singapore-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2016,Taxi Services Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),139251,277.05,PSHE Devolved Admin-Taxi Services Overseas,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2016,Conference and Exhibition Services,Economics & Markets - Business Environment,FOREIGN AND COMMONWEALTH OFFICE (FCO),139252,724.71,Business Environment-Conference and Exhibition Services,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2016,Conference and Exhibition Services,Economics & Markets - Business Environment,FOREIGN AND COMMONWEALTH OFFICE (FCO),139253,180.15,Business Environment-Conference and Exhibition Services,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2016,Fixtures and fittings,Economics & Markets - Europen Reform,"Personal Expense, Name Witheld",139431,69.04,EU Expertise: General Costs-Fixtures and fittings,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2016,Other Professional Services,"People, Strategy and Higher Education - Human Resources",HM REVENUE & CUSTOMS,139433,8800.00,PSHE Non Devolved Admin-Other Professional Services,BN12 4XH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),139512,828.81,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),139513,878.04,NEWTON FUND - Mexico-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/04/2016,Learning and Dev - CS Skills,Business and Science - Small Business,CAPITA BUSINESS SERVICES LTD,139774,265.00,B&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2016,Contributions,Economics & Markets - Labour Market,HM COURTS & TRIBUNALS SERVICE (HMCTS),140312,30978.00,Labour Market Emerging Priorities-Contributions,NP20 9BB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Clearing Account - Cost - Leasehold Improvements,"Finance, Commercial & Digital Transformation - Estates",COFELY LTD,140397,13936.72,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,HP12 3TA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2016,Taxi Services Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),140636,40.98,PSHE Devolved Admin-Taxi Services Overseas,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/04/2016,Taxi Services Overseas,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",FOREIGN AND COMMONWEALTH OFFICE (FCO),140636,147.95,PSHE Devolved Admin-Taxi Services Overseas,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2016,Hire of Interim Managers,"Finance, Commercial & Digital Transformation - Digital Directorate",CABINET OFFICE,140651,151787.00,Grant Funding Programme-Hire of Interim Managers,FY5 3TA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2016,Hire of Interim Managers,"Finance, Commercial & Digital Transformation - Digital Directorate",CABINET OFFICE,140654,65783.35,Grant Funding Programme-Hire of Interim Managers,SW1A 2HQ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2016,Catering Supplies,"Finance, Commercial & Digital Transformation - Estates",BAXTERSTOREY LTD,140706,4750.79,FCDT Devolved Admin-Catering Supplies,SE1 2HU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/04/2016,Catering Supplies,"Finance, Commercial & Digital Transformation - Estates",BAXTERSTOREY LTD,140707,1812.79,FCDT Devolved Admin-Catering Supplies,SE1 2HU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Corporate Event Management and Marketing,Government Office for Science -  Government Office for Science,THE ROYAL SOCIETY,140982,1800.60,Foresight: CSA Priorities & Science Capability-Corporate Event Management and Marketing,SW1Y 5AG,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2016,Business Management Advice,Business and Science - Advanced Manufacturing Services,Planen - Bauen 4.0 GmbH,140995,5884.68,BLG Devolved Admin-Business Management Advice,10787,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2016,Research and Development Expenditure,Business and Science - Advanced Manufacturing Services,Planen - Bauen 4.0 GmbH,140995,30972.00,R&C: Building Information Management-Research and Development Expenditure,10787,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),141071,6810.98,NEWTON FUND - Chile-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/04/2016,Hire of Interim Managers,"Finance, Commercial & Digital Transformation - Digital Directorate",CAPITA BUSINESS SERVICES LTD,141074,3188.45,Grant Funding Programme-Hire of Interim Managers,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2016,Current Grants To Private Sector - NPISH,"Skills, Deregulation and Local Growth - Vocational Education Directorate",OFSTED,141206,25000.00,Quality Improvement Reform-Current Grants To Private Sector - NPISH,M1 2WD,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Stationery,Legal Services - Legal Services,OFFICE DEPOT INTERNATIONAL (UK) LTD T/A VIKING DIRECT,141225,72.67,Legal Services Admin-Stationery,LE41 9GS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/04/2016,Current Grants To Private Sector - NPISH,Business and Science - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),141377,3197.10,NEWTON FUND - Chile-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Learning and Dev - CS Skills,Business and Science - Small Business,FDA,141426,1500.00,B&S Devolved Admin-Learning and Dev - CS Skills,SE1 7NN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Finance Training,"Finance, Commercial & Digital Transformation - Finance Directoreate",CAPITA BUSINESS SERVICES LTD,141439,182.22,FCDT Devolved Admin-Finance Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Finance Training,"Finance, Commercial & Digital Transformation - Finance Directoreate",CAPITA BUSINESS SERVICES LTD,141448,611.89,FCDT Devolved Admin-Finance Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2016,Business Rates,"Finance, Commercial & Digital Transformation - Estates",THE SCOTTISH GOVERNMENT,141490,9332.86,FCDT Devolved Admin-Business Rates,G2 8LU,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2016,Rentals Under Non-PFI Operating Leases - Buildings,"Finance, Commercial & Digital Transformation - Estates",THE SCOTTISH GOVERNMENT,141490,27621.00,FCDT Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,G2 8LU,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2016,Service Charges,"Finance, Commercial & Digital Transformation - Estates",THE SCOTTISH GOVERNMENT,141490,636.51,FCDT Devolved Admin-Service Charges,G2 8LU,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/04/2016,Service Charges,"Finance, Commercial & Digital Transformation - Estates",THE SCOTTISH GOVERNMENT,141490,15234.61,FCDT Devolved Admin-Service Charges,G2 8LU,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/04/2016,Travel Booking,"Skills, Deregulation and Local Growth - Vocational Education Directorate",GOVERNMENT KNOWLEDGE TRAINING LTD,141502,708.00,SDLG Devolved Admin-Travel Booking,WC2N 5BW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Professional Training,Economics & Markets - Analysis Directorate,CAPITA BUSINESS SERVICES LTD,141504,213.00,E&M Non Devolved Admin-Professional Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/04/2016,Application Support Service,"Finance, Commercial & Digital Transformation - Digital Directorate",CGI IT UK LTD,141506,1754.00,FCDT Devolved Admin-Application Support Service,CF31 9AP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Enforcement,Economics & Markets - Labour Market,HM REVENUE & CUSTOMS,141543,306.00,National Minimum Wage: Outsourced-Enforcement,BN12 4XH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2016,Enforcement,Economics & Markets - Labour Market,HM REVENUE & CUSTOMS,141543,2898.00,National Minimum Wage: Outsourced-Enforcement,BN12 4XH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2016,Grant-In-Aid to Arms Length Bodies,Economics & Markets - Labour Market,ACAS,141694,3500000.00,ACAS Non-Budget-Grant-In-Aid to Arms Length Bodies,NW1 3JJ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/04/2016,Learning and Dev - CS Skills,Business and Science - Small Business,CAPITA BUSINESS SERVICES LTD,141750,137.00,B&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2016,Business Rates,Government Office for Science -  Government Office for Science,CABINET OFFICE,141805,12000.00,Foresight: Data Analytics-Business Rates,FY5 3TA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/04/2016,Consultancy Expenditure,Economics & Markets - Regional Growth Fund,OECD ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT,141831,63892.01,Economic Inteligence And Analysis-Consultancy Expenditure,D-60311,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/04/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",LEVEL 3 COMMUNICATIONS UK LTD,141832,196380.00,FCDT Devolved Admin-Central Telecommunications Services,RG24 8NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",VODAFONE LTD,141860,58.50,FCDT Devolved Admin-Central Telecommunications Services,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",VODAFONE LTD,141860,4283.21,FCDT Devolved Admin-Central Telecommunications Services,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/04/2016,Central Telecommunications Services,"Finance, Commercial & Digital Transformation - Digital Directorate",VODAFONE LTD,141860,6256.42,FCDT Devolved Admin-Central Telecommunications Services,RG14 1LA,VENDOR,,,
