Figure 3.2 BBC spend on national / local radio programming 2009-10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Base: Adults aged 15+ who listen to radio (n= 7017 UK, 1034 Scotland, 4476 England, 854 Wales, 825 Scotland urban, 209 Scotland rural, 253 Glasgow, Clyde & Lanarkshire, 239 Lothian & Forth Valley, 284 Grampian Tayside & Fife, 258 other Scotland)",,,,,,,,,,,,,,,
Note: Remaining percentages are Don’t know responses,,,,,,,,,,,,,,,
QP9. How many DAB sets do you have in your household?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Figure 3.9 Intention to purchase DAB radio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Percentage of radio listeners ,,,,,,,,,,,,,,,
,UK,Scotland,England,Wales,N Ireland,,Scot urban,Scot rural,,"Glasgow, Clyde & L'shire",Lothian & Forth,"Grampian, Tayside & Fife",Other Scotland,,
Likely,17,15,17,15,20,,15,14,,22,14,12,11,,
Unlikely,55,45,55,64,69,,45,44,,28,35,62,54,,
Don't know,28,40,28,20,11,,39,42,,50,50,27,35,,
,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,
"Base: Adults aged 15+ who listen to radio and do not have a DAB set (n= 4445 UK, 661 Scotland, 2690 England, 594 Wales, 500 Northern Ireland, 531 Scotland urban, 130 Scotland rural, 142 Glasgow, Clyde & Lanarkshire, 139 Lothian & Forth Valley, 188 Grampian Tayside & Fife, 192 other Scotland)",,,,,,,,,,,,,,,
QP12: How likely is it that your household will get a DAB radio in the next 12 months?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Figure 3.10 Use of either an MP3 player or an iPod (% of adults),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
And do you personally use: An MP3 player / Ipod?,UK,Scotland,England,Northern Ireland,Wales,,Urban Scotland,Rural Scotland,,"Glasgow,Clyde, Lanarkshire",Lothian & Forth,"Grampian, Tayside, Fife",Other Scotland,,
Personally use MP3 / Ipod,32%,26%,33%,37%,27%,,26%,25%,,18%,38%,35%,15%,,
,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 1075 Scotland, 5709 England, 1468 Scotland, 761 Northern Ireland, 810 Scotland urban, 265 Scotland rural, 348 South East Scotland, 360 South West Scotland, 367 North/ Mid Scotland).",,,,,,,,,,,,,,,
QB2. Do you personally use: MP3 player / IPod? ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Figure 3.11 Listening to radio via DTV, internet, mobile phone",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Proportion of respondents (%) who have listened to radio via DTV, internet or mobile phone",,,,,,,,,,,,,,,
How often if at all do you access the rado via….,UK,Scotland,England,Northern Ireland,Wales,,Urban Scotland,Rural Scotland,,"Glasgow,Clyde&Lanarkshire",Lothian & Forth,"Grampian, Tayside, & Fife",Other Scotland,,Glasgow city
Digital TV,32%,32%,32%,24%,33%,,34%,26%,,45%,29%,22%,29%,,69%
Internet,20%,14%,21%,16%,12%,,14%,13%,,14%,17%,14%,11%,,23%
DAB,28%,19%,29%,27%,22%,,17%,28%,,9%,32%,27%,11%,,3%
Mobile Phone,12%,10%,13%,17%,10%,,12%,5%,,13%,10%,9%,8%,,23%
,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,
"Base: Adults aged 15+ who listen to radio (n= 7017 UK, 854 Scotland, 4476 England, 1034 Scotland, 653 Northern Ireland, 623 Scotland urban, 231 Scotland rural, 251 South East Scotland, 277 South West Scotland, 326 North/ Mid Scotland)",,,,,,,,,,,,,,,
"QP3. How often, if at all, do you access the radio via – Digital radio via: TV, Internet, DAB radio, mobile phone?",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Figure 3.12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Share of radio listening hours via digital and analogue platforms,,,,,,,,,,,,,,,
 ,Analogue,Digital,Not Stated,,,,,,,,,,,,
UK,67%,24%,9%,,,,,,,,,,,,
Scotland,70%,22%,8%,,,,,,,,,,,,
England,66%,25%,10%,,,,,,,,,,,,
Wales,74%,22%,5%,,,,,,,,,,,,
Northern Ireland,73%,14%,13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Source: RAJAR/ Octagon, Q1 2010",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Figure 3.13 Use of a mobile phone to listen to audio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,UK,Scotland,England,Wales,N Ireland,,Scot urban,Scot rural,,"Glasgow, Clyde & L'shire",Lothian & Forth,"Grampian, Tayside & Fife",Other Scotland,,
Listened in past week,12,9,12,10,15,,9,7,,6,8,15,6,,
Listen less than weekly,6,4,7,4,9,,3,5,,2,3,7,3,,
,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 1468 Scotland, 5709 England, 1075 Wales, 761 Northern Ireland, 1172 Scotland urban, 296 Scotland rural, 368 Glasgow, Clyde & Lanarkshire, 357 Lothian & Forth Valley , 363 Grampian Tayside & Fife, 380 other Scotland). QD28. Which, if any, of the following activities, other than making and receiving calls, do you use your mobile for?",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Figure 3.14: Proportion of respondents (%) who have listened to online radio,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
(%),UK,Scotland,England,Wales,N Ireland,Scot urban,Scot rural,"Glasgow, Clyde & L'shire",Lothian & Forth,"Grampian, Tayside & Fife",Other Scotland,,,,
Listen online less than weekly,6,4,7,4,6,4,5,3,4,8,3,,,,
Listened online in past week,8,4,8,5,9,4,3,3,7,4,2,,,,
Broadband penetration,71,61,73,64,70,61,60,53,72,68,53,,,,
,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,
"Base: All adults aged 15+ (n = 9013 UK, 1075 Scotland, 5709 England, 1468 Scotland, 761 Northern Ireland, 810 Scotland urban, 265 Scotland rural, 348 South East Scotland, 360 South West Scotland, 367 North/ Mid Scotland). ",,,,,,,,,,,,,,,
"QE5A-B. Which, if any, of these do you or members of your household use the internet for whilst at home?/ And, which, if any, of these activities have you or members of your household used the internet for in the last week?",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Figure 3.15: Use of the internet to listen to streamed music services,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Use (%),UK,Scotland,England,Wales,N Ireland,Scot urban,Scot rural,"Glasgow
Clyde & 
L'shire","Lothian 
& Forth","Grampian 
Tayside 
& Fife","Other 
Scotland",,,,
Use of internet to listen to streamed audio services,6,3,7,3,5,3,3,2,5,5,3,,,,
Broadband penetration (%),71,61,73,64,70,61,60,53,72,68,53,,,,
,,,,,,,,,,,,,,,
"QE10A. Which, if any, of these do you or members of your household use the internet for whilst at home?",,,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2010",,,,,,,,,,,,,,,
"Base: Adults aged 15+ (n= 6682 UK, 5586 England, 582 Scotland, 330 Wales, 184 Northern Ireland)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Figure 3.16 Satisfaction with choice of radio services,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Proportion of radio listeners (%),,,,,,,,,,,,,,,
Q1 2010 satifaction choice,UK,Scotland,England,Northern Ireland,Wales,,Urban Scotland,Rural Scotland,,"Glasgow,Clyde, Lanarkshire",Lothian & Forth,"Grampian, Tayside, Fife",Other Scotland,,
Satisfied,93%,95%,93%,89%,95%,,96%,92%,,100%,94%,93%,90%,,
Dissatisfied,3%,2%,3%,5%,3%,,1%,7%,,0%,2%,2%,6%,,
,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2010",,,,,,,,,,,,,,,
"Base: Adults aged 15+ who listen to radio (n= 7017 UK, 854 Scotland, 4476 England, 1034 Scotland, 653 Northern Ireland, 623 Scotland urban, 231 Scotland rural, 251 South East Scotland, 277 South West Scotland, 326 North/ Mid Scotland).",,,,,,,,,,,,,,,
Note: Remaining percentages in chart are ‘Don’t know’ answers.,,,,,,,,,,,,,,,
QP4: How satisfied are you with the choice of radio stations available in you area?,,,,,,,,,,,,,,,
