Organisation Name,Effective date,Service,Supplier Name,Payment Date,Transaction Number,Net Amount (£),gl Code Desc
ROCHDALE,01/12/2014,ECONOMY AND ENVIRONMENT,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,01/12/2014,V000847405,9464.81,BASIC SALARIES
ROCHDALE,04/12/2014,EARLY HELP AND SCHOOLS,BRIGHOUSE HIGH SCHOOL,04/12/2014,V000847507,2010,OTHER EST - SEN PROVISION
ROCHDALE,02/12/2014,ECONOMY AND ENVIRONMENT,HOPWOOD HALL COLLEGE,02/12/2014,V000847534,600,TRAINING-QUALIFICATION
ROCHDALE,19/12/2014,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,19/12/2014,V000847537,2692.79,PRINTING & STATIONERY
ROCHDALE,30/12/2014,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,30/12/2014,V000847616,1667.5,TRAINING-QUALIFICATION
ROCHDALE,01/12/2014,PHYSICAL DIS & OLDER PEOPLE,HOPWOOD HALL COLLEGE,01/12/2014,V000847647,625,ROOM HIRE
ROCHDALE,02/12/2014,EARLY HELP AND SCHOOLS,HOPWOOD HALL COLLEGE,02/12/2014,V000847661,1667.5,TRAINING-QUALIFICATION
ROCHDALE,09/12/2014,PUBLIC HEALTH,GEORGE HOUSE TRUST,09/12/2014,V000847712,1414.58,PH BUSINESS CASES
ROCHDALE,08/12/2014,ECONOMY AND ENVIRONMENT,GREATER MANCHESTER FIRE AND RESCUE SERVICE,08/12/2014,V000847758,1200,BASIC SALARIES
ROCHDALE,10/12/2014,PUBLIC HEALTH,PENNINE CARE NHS,10/12/2014,V000847765,106845,PH PENNINE CARE CONTRACT
ROCHDALE,10/12/2014,PUBLIC HEALTH,PENNINE CARE NHS,10/12/2014,V000847765,120305,PH PENNINE CARE CONTRACT
ROCHDALE,05/12/2014,CUSTOMERS & CORPORATE SERVICES,TAMESIDE METROPOLITAN BOROUGH COUNCIL,05/12/2014,V000847811,8550,AGMA
ROCHDALE,05/12/2014,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,05/12/2014,V000847956,2360.22,SHORT TERM CARE - RESIDENTIAL
ROCHDALE,11/12/2014,EARLY HELP AND SCHOOLS,ROCHDALE EDUCATION & LEARNING TRUST,11/12/2014,V000848054,726,ROOM HIRE
ROCHDALE,05/12/2014,EARLY HELP AND SCHOOLS,PENNINE CARE NHS,05/12/2014,V000848084,5751.19,HEALTH AUTH - SERVICE LEVEL AGREEMENT
ROCHDALE,03/12/2014,CUSTOMERS & CORPORATE SERVICES,EVERYTHING EVERYWHERE LTD,03/12/2014,V000848180,693.67,TRANSACTIONS-EXPENDITURE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/12/2014,V000848560,1660.64,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/12/2014,V000848561,1494.58,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/12/2014,V000848562,1434.65,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/12/2014,V000848563,1494.43,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/12/2014,V000848564,3217.49,FOSTER PARENTS BASIC ALLOWANCE
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,BEDSPACE RESOURCE,05/12/2014,V000848579,1250,EDB PLACEMENTS
ROCHDALE,05/12/2014,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,05/12/2014,V000848581,12377.99,EDB PLACEMENTS
ROCHDALE,02/12/2014,EARLY HELP AND SCHOOLS,ROSSENDALE SCHOOL PRIORY,02/12/2014,V000848593,915,PUPIL PREMIUM EXPENDITURE-RESOURCES
ROCHDALE,11/12/2014,FINANCE SERVICES,CAPITA BUSINESS SERVICES LIMITED,11/12/2014,V000848751,11500,SOFTWARE
ROCHDALE,15/12/2014,EARLY HELP AND SCHOOLS,DIOCESE OF SALFORD (DFC),15/12/2014,V000848815,114228,IMPROVEMENTS-MODERNISATION
ROCHDALE,01/12/2014,ECONOMY AND ENVIRONMENT,HEPWORTH ACOUSTICS LTD,01/12/2014,V000848816,3200,CONSULTANT FEES
ROCHDALE,15/12/2014,LEARNING DIS & MENTAL HEALTH,KICKSTART GROUP,15/12/2014,V000848912,5626,PHYSICAL & SENSORY IMPAIRMENT
ROCHDALE,16/12/2014,EARLY HELP AND SCHOOLS,DIOCESE OF SALFORD (DFC),16/12/2014,V000848979,8100,IMPROVEMENTS-MODERNISATION
ROCHDALE,16/12/2014,EARLY HELP AND SCHOOLS,BARNARDOS,16/12/2014,V000848982,6250,PROJECT & ACTIVITIES
ROCHDALE,05/12/2014,ECONOMY AND ENVIRONMENT,BUILDING SERVICES DESIGN,05/12/2014,V000848983,2000,ENGINEERS FEES
ROCHDALE,12/12/2014,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,12/12/2014,V000849053,2250,CONSULTANTS FEES
ROCHDALE,11/12/2014,ECONOMY AND ENVIRONMENT,R J & D RAINFORD,11/12/2014,V000849067,600,"TREES, SHRUBS, PLANTS"
ROCHDALE,11/12/2014,ECONOMY AND ENVIRONMENT,R J & D RAINFORD,11/12/2014,V000849068,5640,"TREES, SHRUBS, PLANTS"
ROCHDALE,16/12/2014,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000849095,2703.51,GAS
ROCHDALE,16/12/2014,PROPERTY AND HIGHWAYS,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000849101,3475.18,GAS
ROCHDALE,17/12/2014,CUSTOMERS & CORPORATE SERVICES,STEPPING STONE PROJECT ROCHDALE LTD,17/12/2014,V000849188,4966.24,NEW CONSTRUCTION
ROCHDALE,19/12/2014,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,19/12/2014,V000849269,1580.79,PRINTING
ROCHDALE,12/12/2014,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,12/12/2014,V000849272,2034.06,MISC CHARGES
ROCHDALE,05/12/2014,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,05/12/2014,V000849273,666888.18,PFI SCHEMES
ROCHDALE,15/12/2014,PHYSICAL DIS & OLDER PEOPLE,HEADWAY THE BRAIN INJURY ASSOCIATION,15/12/2014,V000849274,1000,TRAINING
ROCHDALE,05/12/2014,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,05/12/2014,V000849305,1573.48,ASSESSMENT CARE
ROCHDALE,01/12/2014,ECONOMY AND ENVIRONMENT,ENTERPRISE MANCHESTER PARTNERSHIP LTD,01/12/2014,V000849359,1042.36,EQUIPMENT - GENERAL
ROCHDALE,19/12/2014,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,19/12/2014,V000849657,11965.04,SERVICE LEVEL AGREEMENTS
ROCHDALE,17/12/2014,ECONOMY AND ENVIRONMENT,FIRST GROUP PLC,17/12/2014,V000849672,2375,BUS EXPENSES
ROCHDALE,19/12/2014,EARLY HELP AND SCHOOLS,POSITIVE STEPS,19/12/2014,V000849804,50500,EXTERNALLY MANAGED FUNDS
ROCHDALE,02/12/2014,EARLY HELP AND SCHOOLS,HEALTH & SAFETY SOLUTIONS (NW) LTD,02/12/2014,V000849821,700,TRAINING-QUALIFICATION
ROCHDALE,04/12/2014,ECONOMY AND ENVIRONMENT,G4S TOTAL SECURITY LIMITED,04/12/2014,V000850224,742,SECURITY
ROCHDALE,10/12/2014,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,10/12/2014,V000850232,1584.46,POSTAGE
ROCHDALE,10/12/2014,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,10/12/2014,V000850233,1864.4,POSTAGE
ROCHDALE,10/12/2014,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,10/12/2014,V000850234,1638.36,POSTAGE
ROCHDALE,10/12/2014,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,10/12/2014,V000850235,1582.12,POSTAGE
ROCHDALE,02/12/2014,PUBLIC HEALTH,ICE LIMITED,02/12/2014,V000850247,6040,PH BUSINESS CASES
ROCHDALE,02/12/2014,PUBLIC HEALTH,JANIS ATKINSON,02/12/2014,V000850248,600,PROJECT & ACTIVITIES
ROCHDALE,02/12/2014,PUBLIC HEALTH,CO-OPERATIVE PHARMACY,02/12/2014,V000850305,800.43,PH LES PAYMENTS
ROCHDALE,02/12/2014,PUBLIC HEALTH,CO-OPERATIVE PHARMACY,02/12/2014,V000850306,836.78,PH LES PAYMENTS
ROCHDALE,02/12/2014,PUBLIC HEALTH,COHENS CHEMIST,02/12/2014,V000850310,2032.12,PH LES PAYMENTS
ROCHDALE,12/12/2014,ECONOMY AND ENVIRONMENT,ARC4,12/12/2014,V000850314,2273.75,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,PUBLIC HEALTH,THE PENNINE ACUTE HOSPITALS NHS TRUST,01/12/2014,V000850338,15000,PH OTHER CONTRACTS
ROCHDALE,15/12/2014,EARLY HELP AND SCHOOLS,THE UNIVERSITY OF MANCHESTER,15/12/2014,V000850343,1998,TRAINING-QUALIFICATION
ROCHDALE,03/12/2014,ECONOMY AND ENVIRONMENT,AQUABLAST SERVICES LIMITED,03/12/2014,V000850345,645,EQUIPMENT - GENERAL
ROCHDALE,23/12/2014,EARLY HELP AND SCHOOLS,CASTLEMERE COMMUNITY CENTRE,23/12/2014,V000852157,10807.25,RENTS
ROCHDALE,01/12/2014,ECONOMY AND ENVIRONMENT,TREE HEROES LTD,01/12/2014,V000852404,550,EQUIPMENT - GENERAL
ROCHDALE,12/12/2014,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,12/12/2014,V000852429,-2384.22,SHORT TERM CARE - RESIDENTIAL
ROCHDALE,15/12/2014,CHILDREN’S SOCIAL CARE,THE UNIVERSITY OF MANCHESTER,15/12/2014,V000852440,3325,TRAINING-QUALIFICATION
ROCHDALE,12/12/2014,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,12/12/2014,V000852452,1192.11,SHORT TERM CARE - RESIDENTIAL
ROCHDALE,15/12/2014,PHYSICAL DIS & OLDER PEOPLE,THE UNIVERSITY OF MANCHESTER,15/12/2014,V000852466,1995,TRAINING
ROCHDALE,15/12/2014,PHYSICAL DIS & OLDER PEOPLE,THE UNIVERSITY OF MANCHESTER,15/12/2014,V000852467,1330,TRAINING
ROCHDALE,15/12/2014,PHYSICAL DIS & OLDER PEOPLE,THE UNIVERSITY OF MANCHESTER,15/12/2014,V000852504,1330,TRAINING
ROCHDALE,02/12/2014,ECONOMY AND ENVIRONMENT,KILLGERM CHEMICALS LIMITED,02/12/2014,V000852512,593.84,SERVICES - GENERAL
ROCHDALE,17/12/2014,PHYSICAL DIS & OLDER PEOPLE,LANCASHIRE COUNTY COUNCIL,17/12/2014,V000852522,2283.15,RESIDENTIAL LONG TERM
ROCHDALE,23/12/2014,ECONOMY AND ENVIRONMENT,THE BOND BOARD LIMITED,23/12/2014,V000852532,17500,GRANTS TO OTHER BODIES
ROCHDALE,23/12/2014,ECONOMY AND ENVIRONMENT,THE BOND BOARD LIMITED,23/12/2014,V000852533,12500,PROJECT & ACTIVITIES
ROCHDALE,02/12/2014,ECONOMY AND ENVIRONMENT,G AND A TAYLOR HOTELS LTD,02/12/2014,V000852534,952,ACCOMMODATION
ROCHDALE,02/12/2014,ECONOMY AND ENVIRONMENT,KASHMIR YOUTH PROJECT,02/12/2014,V000852535,2653,MISCELLANEOUS CAPITAL EXPENDITURE
ROCHDALE,04/12/2014,ECONOMY AND ENVIRONMENT,HRR SOLUTIONS,04/12/2014,V000852538,7742.5,MINOR BUILDING WORKS
ROCHDALE,04/12/2014,ECONOMY AND ENVIRONMENT,HRR SOLUTIONS,04/12/2014,V000852539,2030,MINOR BUILDING WORKS
ROCHDALE,03/12/2014,CHILDREN’S SOCIAL CARE,EC SAFEGUARDING CONSULTANCY LTD,03/12/2014,V000852596,4767.5,AGENCY STAFF
ROCHDALE,03/12/2014,ECONOMY AND ENVIRONMENT,JPR ASBESTOS SERVICES LTD,03/12/2014,V000852597,2475,DEMOLITION
ROCHDALE,12/12/2014,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,12/12/2014,V000852600,2384.22,SHORT TERM CARE - RESIDENTIAL
ROCHDALE,04/12/2014,PROPERTY AND HIGHWAYS,NPOWER LIMITED,04/12/2014,V000852606,126817.56,ELECTRICITY
ROCHDALE,19/12/2014,ECONOMY AND ENVIRONMENT,ESSENTRA PACKAGING AND SECURITY LTD,19/12/2014,V000852608,569,REPAIRS & ALTS OF BUILDINGS
ROCHDALE,05/12/2014,PUBLIC HEALTH,REACH TRAINING UK LTD,05/12/2014,V000852658,510,TRAINING
ROCHDALE,04/12/2014,EARLY HELP AND SCHOOLS,UNITED UTILITIES WATER LIMITED,04/12/2014,V000852659,1217.58,WATER CHARGES
ROCHDALE,05/12/2014,PHYSICAL DIS & OLDER PEOPLE,LPS TRAINING & CONSULTANCY LTD,05/12/2014,V000852698,525,TRAINING
ROCHDALE,03/12/2014,ECONOMY AND ENVIRONMENT,EMO OIL LIMITED,03/12/2014,V000852727,29348.88,TRANSACTIONS-EXPENDITURE
ROCHDALE,16/12/2014,PROPERTY AND HIGHWAYS,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000852740,709.2,ONGOING DISBURSEMENTS
ROCHDALE,16/12/2014,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000852762,978.86,GAS
ROCHDALE,05/12/2014,ECONOMY AND ENVIRONMENT,HENRY ALTY LIMITED,05/12/2014,V000852776,520.45,EQUIPMENT - GENERAL
ROCHDALE,04/12/2014,ECONOMY AND ENVIRONMENT,PIONEER TREE SERVICES LIMITED,04/12/2014,V000852801,2500,"DEV CAP - NEW CONSTRUCTION,CONVERSION"
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,NISAI LEARNING,03/12/2014,V000852807,1000,OTHER EST - SEN PROVISION
ROCHDALE,05/12/2014,LEARNING DIS & MENTAL HEALTH,DB ROCHDALE LTD,05/12/2014,V000852830,850.16,HOME CARE SPOT PURCHASES
ROCHDALE,16/12/2014,PHYSICAL DIS & OLDER PEOPLE,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000852840,925.26,GAS
ROCHDALE,16/12/2014,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000852846,1013.02,GAS
ROCHDALE,01/12/2014,ECONOMY AND ENVIRONMENT,COMMERCIAL CONTRACT ENGINEERS LIMITED,01/12/2014,V000852885,5330.82,TRANSACTIONS-EXPENDITURE
ROCHDALE,16/12/2014,CUSTOMERS & CORPORATE SERVICES,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000852933,639.05,GAS
ROCHDALE,16/12/2014,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000852937,3132.15,GAS
ROCHDALE,16/12/2014,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000852947,2313.35,GAS
ROCHDALE,17/12/2014,PUBLIC HEALTH,LINK4LIFE (CHARITY),17/12/2014,V000852959,147000,LINK 4 LIFE CONTRACT
ROCHDALE,16/12/2014,ECONOMY AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000852962,543,GAS
ROCHDALE,11/12/2014,CUSTOMERS & CORPORATE SERVICES,UPDATA INFRASTRUCTURE UK LTD,11/12/2014,V000852990,-605.42,COMMUNICATION AND COMPUTING - GENERAL
ROCHDALE,11/12/2014,CUSTOMERS & CORPORATE SERVICES,UPDATA INFRASTRUCTURE UK LTD,11/12/2014,V000852994,-605.42,COMMUNICATION AND COMPUTING - GENERAL
ROCHDALE,11/12/2014,CUSTOMERS & CORPORATE SERVICES,UPDATA INFRASTRUCTURE UK LTD,11/12/2014,V000852999,-605.42,COMMUNICATION AND COMPUTING - GENERAL
ROCHDALE,16/12/2014,PHYSICAL DIS & OLDER PEOPLE,CORONA ENERGY RETAIL 4 LIMITED,16/12/2014,V000853002,773.98,GAS
ROCHDALE,04/12/2014,EARLY HELP AND SCHOOLS,BEVAN BRITTAN LLP,04/12/2014,V000853007,11951.1,CONSULTANTS FEES
ROCHDALE,01/12/2014,CUSTOMERS & CORPORATE SERVICES,RICOH UK LTD,01/12/2014,V000853019,604.88,REPROGRAPHIC EXPENSES
ROCHDALE,01/12/2014,CHILDREN’S SOCIAL CARE,RICOH UK LTD,01/12/2014,V000853019,626.35,REPROGRAPHIC EXPENSES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,RICOH UK LTD,01/12/2014,V000853019,818.95,REPROGRAPHIC EXPENSES
ROCHDALE,01/12/2014,CHILDREN’S SOCIAL CARE,RICOH UK LTD,01/12/2014,V000853019,993.11,REPROGRAPHIC EXPENSES
ROCHDALE,01/12/2014,ECONOMY AND ENVIRONMENT,RICOH UK LTD,01/12/2014,V000853019,1214.96,REPROGRAPHIC EXPENSES
ROCHDALE,01/12/2014,FINANCE SERVICES,RICOH UK LTD,01/12/2014,V000853019,1353.72,REPROGRAPHIC EXPENSES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,RICOH UK LTD,01/12/2014,V000853019,1478.61,REPROGRAPHIC EXPENSES
ROCHDALE,24/12/2014,CUSTOMERS & CORPORATE SERVICES,THE PENNINE ACUTE HOSPITALS NHS TRUST,24/12/2014,V000853020,8499.5,OCCUPATIONAL HEALTH
ROCHDALE,05/12/2014,ECONOMY AND ENVIRONMENT,J S C PLAY SERVICES LIMITED,05/12/2014,V000853033,20940,CAPITAL BUDGET ALLOCATION
ROCHDALE,04/12/2014,LEARNING DIS & MENTAL HEALTH,SPRINGHILL HOSPICE ROCHDALE,04/12/2014,V000853039,1650,END OF LIFE
ROCHDALE,04/12/2014,ECONOMY AND ENVIRONMENT,WINTON FLOORING LIMITED,04/12/2014,V000853040,507.85,FLOORWORKS
ROCHDALE,17/12/2014,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,17/12/2014,V000853076,6340.1,"DEV CAP - NEW CONSTRUCTION,CONVERSION"
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,01/12/2014,V000853079,2458.33,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,CUSTOMERS & CORPORATE SERVICES,ROCHDALE & DIST CITIZENS ADVICE BUREAU,01/12/2014,V000853080,28167,CITIZENS ADVICE BUREAU
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,SKYLIGHT CIRCUS ARTS,01/12/2014,V000853081,854.17,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,ECONOMY AND ENVIRONMENT,ROCHDALE BOROUGHWIDE HOUSING,01/12/2014,V000853082,49833.33,PRIVATE CONTRACTORS
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,RADPAC,01/12/2014,V000853083,4833.42,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),01/12/2014,V000853084,4208.75,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),01/12/2014,V000853085,4313.75,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,THE NATIONAL AUTISTIC SOCIETY,01/12/2014,V000853086,1300,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,FINANCE SERVICES,LINK4LIFE (CHARITY),01/12/2014,V000853087,44925,LINK 4 LIFE CONTRACT
ROCHDALE,01/12/2014,FINANCE SERVICES,LINK4LIFE (TRADING),01/12/2014,V000853088,7300,LINK 4 LIFE CONTRACT
ROCHDALE,01/12/2014,FINANCE SERVICES,LINK4LIFE (CHARITY),01/12/2014,V000853089,301083,LINK 4 LIFE CONTRACT
ROCHDALE,01/12/2014,CUSTOMERS & CORPORATE SERVICES,PENNINE CARE NHS,01/12/2014,V000853090,160051,SERVICES - GENERAL
ROCHDALE,01/12/2014,CHILDREN’S SOCIAL CARE,CHILD ACTION NORTHWEST,01/12/2014,V000853091,15833.33,YOUNG PEOPLES RENTS
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,SHINING STARS SWIMMING SCHEME,01/12/2014,V000853096,4037.5,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,BARNARDOS,01/12/2014,V000853097,5832.17,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,BARNARDOS,01/12/2014,V000853098,2786.25,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,BARNARDOS,01/12/2014,V000853099,1738.67,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,RAINBOW SCENT,01/12/2014,V000853100,2500,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,01/12/2014,V000853101,3508.75,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,01/12/2014,V000853102,695.27,DIRECT PAYMENTS
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,MOSAIC COMMUNITY CARE LTD,01/12/2014,V000853103,4725,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,ENLIGHTENING,01/12/2014,V000853104,1604.17,PROJECT & ACTIVITIES
ROCHDALE,01/12/2014,EARLY HELP AND SCHOOLS,MIDDLETON TRAMPOLINING CLUB,01/12/2014,V000853107,2729.08,PROJECT & ACTIVITIES
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,ROUTES HEALTHCARE (NORTH),03/12/2014,V000853113,773.5,HOME CARE - CHILDRENS SERVICES
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,ROUTES HEALTHCARE (NORTH),03/12/2014,V000853114,569.5,HOME CARE - CHILDRENS SERVICES
ROCHDALE,03/12/2014,EARLY HELP AND SCHOOLS,ROUTES HEALTHCARE (NORTH),03/12/2014,V000853129,578,HOME CARE - CHILDRENS SERVICES
ROCHDALE,24/12/2014,CUSTOMERS & CORPORATE SERVICES,THE PENNINE ACUTE HOSPITALS NHS TRUST,24/12/2014,V000853137,8499.5,OCCUPATIONAL HEALTH
ROCHDALE,24/12/2014,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,24/12/2014,V000853140,24603.23,CONSULTANTS FEES
ROCHDALE,24/12/2014,CUSTOMERS & CORPORATE SERVICES,THE PENNINE ACUTE HOSPITALS NHS TRUST,24/12/2014,V000853141,8499.5,OCCUPATIONAL HEALTH
ROCHDALE,24/12/2014,CUSTOMERS & CORPORATE SERVICES,THE PENNINE ACUTE HOSPITALS NHS TRUST,24/12/2014,V000853142,8499.5,OCCUPATIONAL HEALTH
ROCHDALE,24/12/2014,CUSTOMERS & CORPORATE SERVICES,THE PENNINE ACUTE HOSPITALS NHS TRUST,24/12/2014,V000853143,8499.5,OCCUPATIONAL HEALTH
ROCHDALE,24/12/2014,CUSTOMERS & CORPORATE SERVICES,THE PENNINE ACUTE HOSPITALS NHS TRUST,24/12/2014,V000853144,8499.5,OCCUPATIONAL HEALTH
ROCHDALE,05/12/2014,ECONOMY AND ENVIRONMENT,ROCHDALE & DIST CITIZENS ADVICE BUREAU,05/12/2014,V000853208,4166.67,GRANTS TO THE VOLUNTARY SECTOR
ROCHDALE,01/12/2014,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,01/12/2014,V000853237,1629.68,JOINTLY FINANCED
ROCHDALE,01/12/2014,PHYSICAL DIS & OLDER PEOPLE,BONDCARE,01/12/2014,V000853240,1685.87,JOINTLY FINANCED
ROCHDALE,16/12/2014,EARLY HELP AND SCHOOLS,HAMPSHIRE COUNTY COUNCIL,16/12/2014,V000854012,600,COSTS MET BY SCHOOL
ROCHDALE,19/12/2014,EARLY HELP AND SCHOOLS,NORTH CHADDERTON SCHOOL,19/12/2014,V000854023,1200,COSTS MET BY SCHOOL
ROCHDALE,05/12/2014,PUBLIC HEALTH,MANCHESTER CITY COUNCIL,05/12/2014,V000854058,3935,FEES / COMMISSION
