Department family,Entity,Date,Expense type,Expense area,SUPPLIER,Transaction number,Amount,VAT registration number,Sort,Month,Source
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000521,46314.18,,90000521,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,PINETREE COURT,90000520,30784.5,,90000520,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,ERMINCARE LIMITED,90000517,147960,,90000517,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,CARE PRINCIPLES LTD,90000516,70743,,90000516,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,CARE PRINCIPLES LTD,90000515,261499.5,,90000515,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,ALPHA HOSPITALS (NW) LTD BURY,90000512,256285.2,,90000512,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Mental Illness,Commissioning - Hosted Services,ACORN CARE LTD,90000511,180862.5,,90000511,3,PL
Department of Health,Birmingham East and North PCT,16/06/2010,Free Nursing Care,Commissioning,BERWOOD COURT,90000471,28758.63,,90000471,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Difficulties,Commissioning - Hosted Services,ASPECTS CARE LTD,90000449,39193.54,,90000449,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Difficulties,Commissioning - Hosted Services,MAVERN VIEW (LYDIATE) LTD T/A MAPLELEAF,90000447,25218.84,,90000447,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Difficulties,Commissioning - Hosted Services,ASSISTED LIVING SOLUTIONS,90000445,85904,,90000445,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Difficulties,Commissioning - Hosted Services,CARE THROUGH THE MILLENNIUM,90000444,34929.13,,90000444,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Difficulties,Commissioning - Hosted Services,FUTURE HOME CARE LTD,90000443,38848.71,,90000443,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Difficulties,Commissioning - Hosted Services,CREST HEALTHCARE LTD,90000439,31529.02,,90000439,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Diffs Resettlement,Commissioning - Hosted Services,JAFFRAY CARE SOCIETY,90000436,41031.86,,90000436,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Difficulties,Commissioning - Hosted Services,MIDLAND HEART LTD,90000434,60394.12,,90000434,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Difficulties,Commissioning - Hosted Services,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,90000432,449800.83,,90000432,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Diffs Resettlement,Commissioning - Hosted Services,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,90000431,498898.67,,90000431,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,IVY HOUSE NURSING & RESIDENTIAL HOME,90000429,26868.99,,90000429,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,CAMBIAN HEALTHCARE LIMITED,90000420,35760,,90000420,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,ST ANDREW'S HEALTHCARE,90000417,303650.35,,90000417,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,IVY BANK NURSING HOME,90000416,74098.81,,90000416,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,METHODIST HOMES FOR THE AGED,90000413,25951.41,,90000413,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,DUKERIES HEALTHCARE LTD,90000411,40718.76,,90000411,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,PARTNERSHIPS IN CARE LTD -THE DENE,90000410,82740.9,,90000410,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,OPTIONS FOR CARE LTD - HARRIET TUBMAN,90000409,101791.71,,90000409,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,PARKSIDE HEALTHCARE LTD,90000408,31830.39,,90000408,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,MENTAL HEALTH CARE (UK) LTD,90000407,39278.79,,90000407,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,NEVILLE WILLIAMS HOUSE,90000401,79542.43,,90000401,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,ROBERT HARVEY HOUSE,90000398,29833.63,,90000398,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,YARDLEY GRANGE CARE SERVICES,90000395,57877.97,,90000395,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,HEART OF ENGLAND CARE,90000394,62852.33,,90000394,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,METHODIST HOMES FOR THE AGED,90000392,30552.26,,90000392,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,COMPLETE CARE HOLDINGS LTD,90000391,419982.73,,90000391,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,MARIAN HOUSE-WALMLEY CARE,90000387,35341.5,,90000387,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,LEONARD CHESHIRE FOUNDATION,90000386,67552.24,,90000386,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,BRAIN INJURY REHABILITATION TRUST - BHAM,90000381,32916.13,,90000381,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,THE GREEN NURSING HOME,90000377,28875.29,,90000377,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,HIGHBURY NURSING HOME,90000376,43178.31,,90000376,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,BUPA NURSING HOMES - ASTON COURT,90000370,55284.93,,90000370,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,AMBERLEY COURT NURSING HOME,90000367,87282.17,,90000367,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Community Health Services,Commissioning - Hosted Services,ORCHARD HOUSE NURSING HOME,90000364,29595.56,,90000364,3,PL
Department of Health,Birmingham East and North PCT,09/06/2010,OOHDF,Commissioning,BADGER HEALTHCARE LTD,90000361,63239.6,,90000361,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Mental Illness,Commissioning - Hosted Services,MIND IN BIRMINGHAM (DEERWOOD GRANGE),90000351,50106,,90000351,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Mental Illness,Commissioning - Hosted Services,METHODIST HOMES FOR THE AGED,90000348,37138.58,,90000348,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Mental Illness,Commissioning - Hosted Services,BIRMINGHAM INDUSTRIAL THERAPY ASSOCIATIO,90000335,35876.33,,90000335,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning - Hosted Services,ST GILES HOSPICE,90000328,44015,,90000328,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning - Hosted Services,MARIE CURIE - WARREN PEARL,90000327,42758,,90000327,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning - Hosted Services,MARIE CURIE CANCER CARE,90000326,31477.88,,90000326,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning - Hosted Services,CALTHORPE CLINIC,90000319,77017,,90000319,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning - Hosted Services,BIRMINGHAM BROOK ADVISORY CENTRE,90000317,86405,,90000317,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning - Hosted Services,BPAS (BRITISH PREGNANCY ADVISORY SERVICE,90000316,93345.75,,90000316,3,PL
Department of Health,Birmingham East and North PCT,30/06/2010,Specialist Funds,Commissioning - Hosted Services,KEELE UNIVERSITY,148311,147251.01,,148311,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Stores Issues,PCT Wide,NHS LOGISTICS AUTHORITY,148247,26967.7,,148247,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Contract-Other External,Shared Services,MITIE CLEANING & ENVIRONMENTAL SERVICES,147993,203565.61,,147993,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Rent,Provider,BIRMINGHAM AND SOLIHULL LIFT (FUNDCO 1 ),147810,57820.37,,147810,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Rent,Provider,BIRMINGHAM AND SOLIHULL LIFT (FUNDCO 1 ),147807,66203.25,,147807,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Rent,Provider,BIRMINGHAM AND SOLIHULL LIFT (FUNDCO 1 ),147804,76886.92,,147804,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,CAP Build Main Contract,Estates Planned Program,GRAYBUILD LIMITED,147796,76000,,147796,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Legal & Professional Fees,Corporate,BEVAN BRITTAN,147725,31325.29,,147725,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Legal & Professional Fees,Corporate,BEVAN BRITTAN,147725,166.9,,147725,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Community Health Services,Commissioning - Hosted Services,SCOPE,147716,32050.62,,147716,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Rates,Commissioning,BIRMINGHAM CITY COUNCIL (REVENUE),147714,25715.77,,147714,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Lease Rents,Provider,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,147712,107232.9,,147712,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Lease Rents,Provider,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,147711,109164.9,,147711,3,PL
Department of Health,Birmingham East and North PCT,23/06/2010,Data Lines,Shared Services,BT GLOBAL SERVICES,147622,81805.72,,147622,3,PL
Department of Health,Birmingham East and North PCT,23/06/2010,Data Lines,Shared Services,BT GLOBAL SERVICES,147621,38018.08,,147621,3,PL
Department of Health,Birmingham East and North PCT,23/06/2010,Collaborative Work,Corporate,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,147620,26754,,147620,3,PL
Department of Health,Birmingham East and North PCT,21/06/2010,Prem Improvement Grants,Commissioning,THE OAKS MEDICAL PRACTICE,147548,34816.57,,147548,3,PL
Department of Health,Birmingham East and North PCT,21/06/2010,Community Health Services,Commissioning,BADGER MEDICAL LTD,147354,29961.22,,147354,3,PL
Department of Health,Birmingham East and North PCT,21/06/2010,CAP Build Main Contract,Estates Planned Program,INTERCLASS PLC,147322,130970.27,,147322,3,PL
Department of Health,Birmingham East and North PCT,21/06/2010,Contractual Clinical Services,Provider,B BRAUN STERILOG LTD,147226,27685.35,,147226,3,PL
Department of Health,Birmingham East and North PCT,21/06/2010,General and Acute,Commissioning,BELFAST HSC TRUST,147169,49000,,147169,3,PL
Department of Health,Birmingham East and North PCT,21/06/2010,Community Health Services,Commissioning - Hosted Services,THE RYES SCHOOL LTD,147160,39384,,147160,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Learning Diffs Resettlement,Commissioning - Hosted Services,FAMILY HOUSING ASSOCIATION (B'HAM) LTD,146989,227381.84,,146989,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Rent,Commissioning,ASHCAP (CNC) C/O MASON PHILIPS PM122L,146638,93283.04,,146638,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Rent,Commissioning,ASHCAP (CNC) C/O MASON PHILIPS PM122J,146637,33764.93,,146637,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Rent,Commissioning,ASHCAP (CNC) C/O MASON PHILIPS PM122K,146635,58722.22,,146635,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Rent,Commissioning,ASHCAP (CNC) C/O MASON PHILIPS PM122H,146634,34711.53,,146634,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Rent,Commissioning,ASHCAP (CNC) C/O MASON PHILIPS PM122XZ1,146630,34141.37,,146630,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,CAP Build Main Contract,Estates Planned Program,SPELLER METCALFE MALVERN LTD,146527,170050,,146527,3,PL
Department of Health,Birmingham East and North PCT,14/06/2010,Contract-Other External,Shared Services,MITIE CLEANING & ENVIRONMENTAL SERVICES,146476,191946.48,,146476,3,PL
Department of Health,Birmingham East and North PCT,09/06/2010,Rent,Corporate,BIRMINGHAM AND SOLIHULL LIFT (FUNDCO 1 ),146132,66203.25,,146132,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Other Gen Supplies & Services,Corporate,PFIZER LIMITED,146110,158760,,146110,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Other Gen Supplies & Services,Corporate,PFIZER LIMITED,146110,35253,,146110,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning,PFIZER LIMITED,146108,155491,,146108,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning,PFIZER LIMITED,146108,35251,,146108,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Other Gen Supplies & Services,Corporate,PFIZER LIMITED,146107,150501,,146107,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Other Gen Supplies & Services,Corporate,PFIZER LIMITED,146107,35251,,146107,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Other Gen Supplies & Services,Corporate,PFIZER LIMITED,146106,152993,,146106,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Other Gen Supplies & Services,Corporate,PFIZER LIMITED,146106,35251,,146106,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning - Hosted Services,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,146104,341659.96,,146104,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning - Hosted Services,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,146103,407532.4,,146103,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning - Hosted Services,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,146102,503457.07,,146102,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Community Health Services,Commissioning - Hosted Services,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,146100,284717.23,,146100,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Rates,Provider,BIRMINGHAM CITY COUNCIL (REVENUE),145933,214391.95,,145933,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Contract-Other External,Commissioning,INGEUS UK LTD,145527,79968,,145527,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Rates,Corporate,BIRMINGHAM CITY COUNCIL (REVENUE),145522,28757.61,,145522,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Rates,Corporate,BIRMINGHAM CITY COUNCIL (REVENUE),145519,64880.42,,145519,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Rates,Corporate,BIRMINGHAM CITY COUNCIL (REVENUE),145518,36324.53,,145518,3,PL
Department of Health,Birmingham East and North PCT,01/06/2010,Rates,Provider,BIRMINGHAM CITY COUNCIL (REVENUE),145488,91523.4,,145488,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Rates,Corporate,BIRMINGHAM CITY COUNCIL (REVENUE),145487,40226.35,,145487,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Rates,Corporate,BIRMINGHAM CITY COUNCIL (REVENUE),145486,33741,,145486,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Rates,Corporate,BIRMINGHAM CITY COUNCIL (REVENUE),145485,26082,,145485,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Rates,Shared Services,BIRMINGHAM CITY COUNCIL (REVENUE),145484,32085,,145484,3,PL
Department of Health,Birmingham East and North PCT,01/06/2010,Acute General HIV,Commissioning - Hosted Services,HEALTHCARE AT HOME LTD,145410,214030.7,,145410,3,PL
Department of Health,Birmingham East and North PCT,01/06/2010,Rent,Provider,BIRMINGHAM AND SOLIHULL LIFT (FUNDCO 1 ),145268,90342.13,,145268,3,PL
Department of Health,Birmingham East and North PCT,01/06/2010,Rent,Provider,BIRMINGHAM AND SOLIHULL LIFT (FUNDCO 1 ),145267,67938.93,,145267,3,PL
Department of Health,Birmingham East and North PCT,16/06/2010,Community Health Services,Commissioning,HEALTHCARE AT HOME LTD,145168,202456,,145168,3,PL
Department of Health,Birmingham East and North PCT,01/06/2010,Rates,Commissioning,BIRMINGHAM CITY COUNCIL (REVENUE),145119,40875.71,,145119,3,PL
Department of Health,Birmingham East and North PCT,01/06/2010,Legal & Professional Fees,Corporate,BEVAN BRITTAN,145104,26883.42,,145104,3,PL
Department of Health,Birmingham East and North PCT,01/06/2010,Legal & Professional Fees,Corporate,BEVAN BRITTAN,145104,16,,145104,3,PL
Department of Health,Birmingham East and North PCT,01/06/2010,Legal & Professional Fees,Corporate,BEVAN BRITTAN,145104,15.87,,145104,3,PL
Department of Health,Birmingham East and North PCT,01/06/2010,Recharges - Received,Commissioning,BIRMINGHAM CITY COUNCIL (GENERAL FUND AC,145103,48714.98,,145103,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Rent,Corporate,DR N H BANGASH,144663,41125,,144663,3,PL
Department of Health,Birmingham East and North PCT,09/06/2010,Computer Maintenance,Shared Services,SERVO LIMITED,144163,31581.8,,144163,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Rent,Provider,BIRMINGHAM AND SOLIHULL LIFT (FUNDCO 1 ),143658,67938.93,,143658,3,PL
Department of Health,Birmingham East and North PCT,21/06/2010,Rent,Provider,BIRMINGHAM AND SOLIHULL LIFT (FUNDCO 1 ),143657,76886.92,,143657,3,PL
Department of Health,Birmingham East and North PCT,07/06/2010,Audit Fees - Statutory,Corporate,AUDIT COMMISSION (BRISTOL),143536,26143.75,,143536,3,PL
Department of Health,Birmingham East and North PCT,28/06/2010,Computer Hardware Purchases,Shared Services,EUROPEAN ELECTRONIQUE LTD,140246,144302.25,,140246,3,PL
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,DUDLEY GROUP OF HOSPITALS NHS FOUNDATION TRUST,NHS869,25654,,869,3,NHS
Department of Health,NHS Birmingham East and North,18/06/2010,Other SLA Payments,Commissioning Hosted Services,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,NHS865,26528.75,,865,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,NHS856,26971.5,,856,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS851,28121.5,,851,3,NHS
Department of Health,NHS Birmingham East and North,28/06/2010,Recharges Information Service,Corporate,DUDLEY PRIMARY CARE TRUST,NHS845,28636,,845,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Community Health Services,Commissioning,WALSALL PCT,NHS839,28808,,839,3,NHS
Department of Health,NHS Birmingham East and North,28/06/2010,Recharges - Received,Corporate,SOLIHULL CARE TRUST (NHS),NHS831,30000,,831,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning,MID STAFFORDSHIRE GENERAL HOSPITALS NHS TRUST,NHS826,30425,,826,3,NHS
Department of Health,NHS Birmingham East and North,18/06/2010,Other SLA Payments,Commissioning Hosted Services,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,NHS817,32217.48,,817,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS808,33473,,808,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,NHS798,34693,,798,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,NHS792,35294,,792,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,NOTTINGHAM UNIVERSITY HOSPITAL NHS TRUST,NHS787,35591,,787,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,NHS782,36276,,782,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,NHS766,39226,,766,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,WORCESTERSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST ,NHS754,41216,,754,3,NHS
Department of Health,NHS Birmingham East and North,28/06/2010,Senior Manager,Corporate,HEART OF ENGLAND NHS FOUNDATION TRUST,NHS747,42743,,747,3,NHS
Department of Health,NHS Birmingham East and North,30/06/2010,Acute General Cost per case,Commissioning Hosted Services,LIVERPOOL HEART AND CHEST HOSPITAL NHS TRUST ,NHS746,43068.5,,746,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS742,43631.5,,742,3,NHS
Department of Health,NHS Birmingham East and North,08/06/2010,Community Health Services,Commissioning,SOUTH BIRMINGHAM PRIMARY CARE TRUST (COMMISSIONER),NHS736,43881,,736,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,NHS730,44740,,730,3,NHS
Department of Health,NHS Birmingham East and North,28/06/2010,Acute General Cost per case,Commissioning Hosted Services,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,NHS710,47853,,710,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,OXFORD RADCLIFFE HOSPITALS NHS TRUST,NHS705,48310.5,,705,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,WALSALL HOSPITALS NHS TRUST,NHS699,49010,,699,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,Community Health Services,Commissioning,SOLIHULL CARE TRUST (NHS),NHS687,50792,,687,3,NHS
Department of Health,NHS Birmingham East and North,25/06/2010,Newborn Network,Commissioning Hosted Services,SOUTH WARWICKSHIRE GENERAL HOSPITALS NHS TRUST,NHS684,51439.42,,684,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning,COVENTRY PRIMARY CARE TRUST,NHS683,53458,,683,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,BUCKINGHAMSHIRE HOSPTIALS NHS TRUST ,NHS675,55056,,675,3,NHS
Department of Health,NHS Birmingham East and North,14/06/2010,General and Acute,Commissioning Hosted Services,MID STAFFORDSHIRE GENERAL HOSPITALS NHS TRUST,NHS670,56387,,670,3,NHS
Department of Health,NHS Birmingham East and North,18/06/2010,General and Acute,Commissioning Hosted Services,ROYAL NATIONAL HOSPITAL RHEUMATIC DISEASES,NHS658,59860,,658,3,NHS
