A3131. Expenditure Over Threshold Report (AP) Feb 16,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575149,"-360,266.37",48395547
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575168,"-577,892.61",48395549
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575188,"-94,913.97",48395550
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575224,"-312,572.25",48395555
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575262,"-269,538.09",48395625
Department of Health,Sussex Community NHS Trust,29/02/2016,NonNHS Trade Pybls Curr,Balance Sheet,MEDACS HEALTHCARE SERVICES PLC,17575279,"30,975.52",604820393
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575365,"-269,538.09",48403264
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17575381,"-148,799.28",48403266
Department of Health,Sussex Community NHS Trust,29/02/2016,Commercial Sector,MSK - PCIS (Crawley) WS,SPIRE HEALTHCARE LTD,17576446,"5,600.00",2.71E+11
Department of Health,Sussex Community NHS Trust,29/02/2016,Commercial Sector,MSK - PCIS (Vale) WS,SPIRE HEALTHCARE LTD,17576446,"11,200.00",2.71E+11
Department of Health,Sussex Community NHS Trust,29/02/2016,Commercial Sector,MSK - PCIS (W) WS,SPIRE HEALTHCARE LTD,17576446,"4,200.00",2.71E+11
Department of Health,Sussex Community NHS Trust,29/02/2016,Commercial Sector,MSK Coastal,SPIRE HEALTHCARE LTD,17576446,"8,400.00",2.71E+11
Department of Health,Sussex Community NHS Trust,29/02/2016,Continence Products,Bladder and Bowel Home Delivery,PAUL HARTMANN LTD,17596019,"31,481.15",71379077
Department of Health,Sussex Community NHS Trust,29/02/2016,Continence Products,Bladder and Bowel Home Delivery,PAUL HARTMANN LTD,17596033,"26,501.64",71375702
Department of Health,Sussex Community NHS Trust,29/02/2016,Other Grants Payable,Benjamin legacy Fund,SIEMENS HEALTHCARE,17601444,"175,750.00",1051004149
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17646592,"128,591.61",48377194
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17646601,"207,123.48",48377196
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17646608,"535,954.20",48379978
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17646617,"321,964.05",48380287
Department of Health,Sussex Community NHS Trust,29/02/2016,Rent,NHS Prop Co,NHS PROPERTY SERVICES LTD,17646635,"106,380.45",48383173
Department of Health,Sussex Community NHS Trust,29/02/2016,Res Short Stay Exp,Frail Elderly Pathway Nth,TRUSCOTT MANOR NURSING HOME,17674593,"25,929.29",21181
Department of Health,Sussex Community NHS Trust,29/02/2016,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,17674606,"46,490.90",1016212521
Department of Health,Sussex Community NHS Trust,29/02/2016,Wheelchairs,Mgt & Adm SRCB,AJ MOBILITY LTD,17679412,"27,141.24",BTN1FEB16
Department of Health,Sussex Community NHS Trust,29/02/2016,Continence Products,Bladder and Bowel Home Delivery,PAUL HARTMANN LTD,17722970,"29,760.25",71382126
Department of Health,Sussex Community NHS Trust,29/02/2016,Patients Appl: Repairs,Mgt & Adm SRCB,OTTO BOCK HEALTHCARE PLC,17725935,"32,947.08",233000369
Department of Health,Sussex Community NHS Trust,29/02/2016,AUC Additions,Balance Sheet,PATTENDEN CONSTRUCTION SERVICES LTD,17725957,"24,090.10",115
Department of Health,Sussex Community NHS Trust,29/02/2016,Equip Maint Contracts,Wheelchair Serv Adults WS,AJ MOBILITY LTD,17743967,"42,431.89",B515590
Department of Health,Sussex Community NHS Trust,29/02/2016,NonNHS Trade Pybls Curr,Balance Sheet,SSC DD4715051135 NAT WEST PURG,NULL,"26,267.88",
Department of Health,Sussex Community NHS Trust,29/02/2016,Payroll Ded'ns N/S Curr,Balance Sheet,CHILCARE VOUCHERS,NULL,"37,512.92",
Department of Health,Sussex Community NHS Trust,29/02/2016,Commercial Sector,Deputy Director of Finance,SSC SBS SLA,NULL,"58,440.37",
