Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,13/11/2013,Agency Staff,Innovation Directorate,Michael Page International Recruitment Ltd,5548689,393.22,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Central Support,Acorn Recruitment Ltd,697440,395.03,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,698279,396.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,697439,406.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,698271,408.72,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,698276,409.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,698278,409.69,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,696589,415.01,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,697432,416.53,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,697438,419.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,697424,425.75,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,696601,430.70,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,697427,433.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2013,Agency Staff,Central Support,Acorn Recruitment Ltd,698280,434.52,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/11/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5543839,437.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,697425,438.11,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,699122,438.55,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,697433,452.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,698275,464.16,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,696602,464.32,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,696594,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,696596,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,697426,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,697431,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,699114,465.31,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,697441,471.23,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,698266,471.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,699112,471.60,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,696587,473.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,697430,473.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,698270,473.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,696586,477.89,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,698264,477.89,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,696597,480.16,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,698274,480.17,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,699121,480.17,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,697434,480.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,698281,481.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699128,494.99,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,698272,505.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30149771,507.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,696595,508.70,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,697436,509.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,698267,512.11,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,699120,512.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,698268,515.52,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,696599,517.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699116,518.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/11/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,695647,522.35,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,696591,522.35,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,698265,525.14,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,697428,525.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,696590,529.19,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,698269,532.61,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,696585,535.79,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,07/11/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,696588,538.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/11/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,697422,538.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,699111,538.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699115,546.25,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,699117,546.25,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,696592,549.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,697429,549.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/11/2013,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003713237,551.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Central Support,Acorn Recruitment Ltd,696603,553.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/11/2013,Agency Staff,Business Support Directorate,Hays Specialist Recruitment,1003782423,562.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5545586,750.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30129679,791.70,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30139839,802.62,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5548256,830.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5552111,878.46,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5550540,906.88,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5543590,1096.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5541846,1157.98,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5533934,1191.59,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Agency Staff,Innovation Directorate,Michael Page International Recruitment Ltd,5545628,1376.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/11/2013,Training,Business Support Directorate,Capita Business Services  Ltd,C2391,-1002.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/11/2013,Training,Patents Directorate,Business Language Services Ltd,12976,16.75,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/11/2013,Training,Patents Directorate,Business Language Services Ltd,13035,33.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/11/2013,Training,Patents Directorate,Business Language Services Ltd,13113,33.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/11/2013,Training,Trade Marks Directorate,Business Language Services Ltd,13118,33.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Training,Patents Directorate,ILX Group plc,268973,35.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/11/2013,Training,Patents Directorate,Capita Business Services  Ltd,X20024,40.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/11/2013,Training,Patents Directorate,Business Language Services Ltd,13114,41.87,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/11/2013,Training,Patents Directorate,Business Language Services Ltd,13115,41.87,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/11/2013,Training,Patents Directorate,Business Language Services Ltd,13116,41.87,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Training,Patents Directorate,Business Language Services Ltd,13117,41.87,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/11/2013,Training,International Policy Directorate,Business Language Services Ltd,13111,42.92,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Training,Business Support Directorate,Business Language Services Ltd,13112,67.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/11/2013,Training,Business Support Directorate,Teamworks,2062-13-IPO-SUP-10-13,67.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/11/2013,Training,Finance Directorate,Personal expenses name witheld,52077,94.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Training,Innovation Directorate,ILX Group plc,268973,114.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Training,Copyright and IP Enforcement Directorate,ILX Group plc,268973,114.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Training,Copyright and IP Enforcement Directorate,ILX Group plc,268973,114.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Training,Finance Directorate,ILX Group plc,268973,114.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Training,Business Support Directorate,ILX Group plc,268973,114.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Training,International Policy Directorate,ILX Group plc,268973,114.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Training,Patents Directorate,ILX Group plc,268973,114.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/11/2013,Training,International Policy Directorate,Capita Business Services  Ltd,X21082,126.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/11/2013,Training,Innovation Directorate,Capita Business Services  Ltd,X18237,129.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,14/11/2013,Training,Patents Directorate,Business Language Services Ltd,13097,142.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/11/2013,Training,Finance Directorate,Business Language Services Ltd,13108,150.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/11/2013,Training,Trade Marks Directorate,Business Language Services Ltd,13110,150.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/11/2013,Training,Business Support Directorate,British Red Cross,N847973,216.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Training,Innovation Directorate,ILX Group plc,268973,228.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/11/2013,Training,Innovation Directorate,ILX Group plc,268973,228.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,18/11/2013,Training,Copyright and IP Enforcement Directorate,Business Language Services Ltd,13111,257.48,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,27/11/2013,Training,Business Support Directorate,Business Language Services Ltd,13109,262.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/11/2013,Training,Patents Directorate,Capita Business Services  Ltd,X20025,269.33,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/11/2013,Training,Business Support Directorate,Capita Business Services  Ltd,X19438,281.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/11/2013,Training,Copyright and IP Enforcement Directorate,Trading Standards Institute,38358,304.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/11/2013,Training,Innovation Directorate,Devon County Council,53227843,320.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,21/11/2013,Training,Business Support Directorate,Business Language Services Ltd,13119,368.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/11/2013,Training,Patents Directorate,University of  South Wales,OP/I029927,413.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/11/2013,Training,Patents Directorate,University of  South Wales,OP/I029927,413.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Training,International Policy Directorate,University of Westminster,14721953-001,450.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/11/2013,Training,Business Support Directorate,QA Ltd,IPR123797,453.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,06/11/2013,Training,Business Support Directorate,QA Ltd,IPR124709,453.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,04/11/2013,Training,Business Support Directorate,Verhoef Training Ltd,7662,650.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/11/2013,Training,Innovation Directorate,Whitehall & Industry Group,2130712,650.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/11/2013,Training,Business Support Directorate,Koios Associates,PPO2013-001,820.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/11/2013,Training,Innovation Directorate,Personal expenses name witheld,52074,830.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,20/11/2013,Training,International Policy Directorate,Open University,385548,966.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,01/11/2013,Training,Business Support Directorate,Hands On Technology Transfer Inc,11388,995.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/11/2013,Training,Business Support Directorate,Capita Business Services  Ltd,X21827,1002.28,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/11/2013,Training,Business Support Directorate,IT Security Experts,INV-01280-R9L6B8,2500.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/11/2013,Training,Business Support Directorate,University of  South Wales,28387,2650.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/11/2013,Training,Business Support Directorate,Capita Business Services  Ltd,X21081,3215.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,21/11/2013,Training,Innovation Directorate,Capita Business Services  Ltd,X21083,3215.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,26/11/2013,Training,Business Support Directorate,QA Ltd,ISL117960,6500.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/11/2013,Training,Business Support Directorate,MyCSP Ltd,1979,7035.77,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/11/2013,Training,Business Support Directorate,QA Ltd,ISL117259,7291.25,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/11/2013,Training,Business Support Directorate,Stratum Worldwide,INV-10904,7500.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,28/11/2013,Training,Business Support Directorate,Bray Leino Broadskill,L28213,2498.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/11/2013,Subscription to Professional bodies,Business Support Directorate,Personal expenses name witheld,52090,131.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/11/2013,Childcare costs,Business Support Directorate,Computershare  Voucher Services,C-0001743538,5783.05,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/11/2013,Childcare costs,Business Support Directorate,Childcare Vouchers Ltd,IN079315063,7087.82,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/11/2013,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,52078,37.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,07/11/2013,Relocation Removals & Excess Fare,Business Support Directorate,Personal expenses name witheld,52073,605.80,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/11/2013,Recruitment Advertising,Business Support Directorate,LA International Computer Consultants Ltd,LA256060,114.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,22/11/2013,Recruitment Advertising,Business Support Directorate,Whitehall & Industry Group,2130452,10000.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757204143,-83.01,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757385074,-77.13,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757204148,-34.01,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Business Support Directorate,HRG UK,757451555,-24.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Business Support Directorate,HRG UK,757395037,-9.72,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,06/11/2013,Travel and subsistence UK,International Policy Directorate,Personal expenses name witheld,ER90137,2.10,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,International Policy Directorate,HRG UK,757328341,2.55,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757195856,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757209896,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757224765,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Business Support Directorate,HRG UK,757224899,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757225217,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757225746,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757238910,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Patents Directorate,HRG UK,757254271,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Business Support Directorate,HRG UK,757254316,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,International Policy Directorate,HRG UK,757255443,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Patents Directorate,HRG UK,757268734,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Copyright and IP Enforcement Directorate,HRG UK,757269023,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Trade Marks Directorate,HRG UK,757285103,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757285345,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757285380,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757285563,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757285572,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757312280,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757328470,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,International Policy Directorate,HRG UK,757328554,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757328642,2.57,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,20/11/2013,Travel and subsistence UK,Innovation Directorate,HRG UK,757329573,2.57,Not applicable,
