None/don't receive parcels,18,17,22,26,32,,,,,,,
Less than 1 item,41,41,39,45,34,,,,,,,
1 or 2 items,24,25,21,18,23,,,,,,,
3 or 4 items,10,10,11,8,7,,,,,,,
5-10 items,5,5,5,2,1,,,,,,,
10+ items,1,1,1,0,3,,,,,,,
,,,,,,,,,,,,
"Source: Ofcom omnibus research, December 2011",,,,,,,,,,,,
"Base: All adults aged 16+ with responsibility for post (n = 3615 UK, 3115 England, 232 Scotland, 173 Wales, 95 Northern Ireland)",,,,,,,,,,,,
Q. Approximately how many parcels do you receive in an average month?,,,,,,,,,,,,
,,,,,,,,,,,,
ni-6.5,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 6.5,,,,,,,,,,,,
Use of First and Second class post,,,,,,,,,,,,
,,,,,,,,,,,,
Use of first and second class for letters,,UK,Northern Ireland,,Proportion of letters/ cards that must be at their destination next working day,,UK,Northern Ireland,,,,
,Don't know/ other,4,1,,,Other/ don't know,4,1,,,,
,Second class all of the time,4,7,,,None of them,30,53,,,,
,Second class most of the time,13,18,,,A small proportion of them,21,17,,,,
,First and Second class an equal amount,12,13,,,About half of them,12,4,,,,
,First class most of the time,20,16,,,Most of them,21,16,,,,
,First class all of the time,47,45,,,All of them,12,9,,,,
,,,,,,,,,,,,
"Source: Ofcom omnibus research, December 2011",,,,,,,,,,,,
"Base: All adults aged 16+ with responsibility for post (n = 3615 UK, 95 Northern Ireland)",,,,,,,,,,,,
Q. When sending letters/ cards which do you use? And what proportion of these letters/ cards have to be at their destination the next working day?,,,,,,,,,,,,
,,,,,,,,,,,,
ni-6.6,,,,,,,,,,,,
,,,,,,,,,,,,
Figure 6.6,,,,,,,,,,,,
Agreement with statements about post,,,,,,,,,,,,
,,,,,,,,,,,,
,Nowadays the only things I post to friends and relatives are birthdayor greetings cards rather than letters,I prefer to send emails rather than letters whenever possible,It is worth sending a letter for important communications,I love to send and receive letters and cards,I would feel cut off from society if I can't send/ don’t receive post,I only use post when there is no alternative,SN sites,Maps/ satnav,Look at video clips,Check bank balance,Use IM,I frequently use post even when I can use other methods
UK,41%,38%,34%,33%,21%,21%,22%,21%,16%,14%,13%,13%
England,0.42,0.38,0.36,0.34,0.22,0.21,0.22,0.22,0.16,0.15,0.13,0.14
Scotland,0.4,0.4,0.22,0.26,0.13,0.24,0.17,0.16,0.16,0.13,0.14,0.09
Wales,0.32,0.27,0.28,0.24,0.16,0.16,0.23,0.17,0.12,0.1,0.09,0.13
N Ireland,0.35,0.3,0.14,0.27,0.19,0.24,0.15,0.07,0.11,0.06,0.05,0.14
,,,,,,,,,,,,
"Source: Ofcom omnibus research, December 2011",,,,,,,,,,,,
"Base: All adults aged 16+ with responsibility for post (n = 3615 UK, 3115 England, 232 Scotland, 173 Wales, 95 Northern Ireland)",,,,,,,,,,,,
Q. Which of these statements apply to you?,,,,,,,,,,,,
