Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS
21/04/2016,ZFC253968,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"20,643.42",200159,11662
21/04/2016,ZFC253969,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"35,034.38",200106,11662
21/04/2016,ZFC253970,1,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Corporate and Support Services,SPB Operational Estate,"33,873.84",202002,11662
21/04/2016,ZFC253971,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"21,977.73",200159,11662
21/04/2016,ZFC253972,1,3529,Solutions SK Ltd,192200,Facilities & Management Services Security ,Security,Corporate and Support Services,SPB Operational Estate,"35,570.46",201206,11662
21/04/2016,ZFC253973,1,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Corporate and Support Services,SPB - Investment Estate,"42,442.80",202030,10062
21/04/2016,ZFC254011,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"5,624.28",200160,11662
22/04/2016,ZFC254051,1,3529,Solutions SK Ltd,182000,Environmental Services Waste Management ,Waste Management,Corporate and Support Services,SPB Operational Estate,"74,577.32",201804,11662
22/04/2016,ZFC254052,1,3529,Solutions SK Ltd,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,"642,852.38",201602,11662
27/04/2016,ZFC254343,1,3670,Alliance Disposables,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,"9,266.04",201607,11662
27/04/2016,ZFC254343,2,3670,Alliance Disposables,130000,Cleaning & Janitorial  ,Cleaning,Corporate and Support Services,SPB Operational Estate,346.32,201607,11662
29/04/2016,ZFC254483,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to People,Great Moor Inf Universal Free School Meals,"308,958.00",200311,C.10323.230
03/05/2016,ZFC254640,1,2430,GTM Electrical Services Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Corporate and Support Services,Libraries - install fire alarms,"22,490.00",200311,C.11501.019
03/05/2016,ZFC254641,1,2430,GTM Electrical Services Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Corporate and Support Services,Libraries - install fire alarms,"23,727.00",200311,C.11501.019
03/05/2016,ZFC254642,1,2426,GR Bayley Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Corporate and Support Services,Libraries - install fire alarms,"22,909.91",200311,C.11501.019
10/05/2016,ZFC255063,1,9049,ISG Construction Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,Leisure Emergency PECOS Code,"227,799.73",200311,C.00401
10/05/2016,ZFC255064,1,4685,McGoff and Byrne Co Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,Woodbank Athletics Stadium Clubhouse,"520,750.00",200311,C.10893
13/05/2016,ZFC255225,1,6281,SUDLOWS,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,SPB Operational Estate,"13,972.33",200123,11662
09/06/2016,ZFC256507,1,588,H Jenkinson & Co Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,BSD Emergency PECOS Code,"8,033.20",400100,C.00405
15/06/2016,ZFC256803,1,588,H Jenkinson & Co Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to People,C & YP Emergency PECOS Code,"38,000.00",400100,C.00400
26/04/2016,ZHT254224,1,8760,Holloway Cook Associates Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,Gen-Prim.Essential H&S Works,"5,299.00",200127,C.10523.193
20/06/2016,ZHT257004,1,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Non-General Fund Items,Council House Insurance -Fire Claims,"12,955.00",200102,12065
20/06/2016,ZPP256967,1,2458,Northern Insulation Contractor,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,Gen-Prim.Essential H&S Works,"36,460.00",200120,C.10523.193
10/04/2016,ZSA253367,1,4947,TAMESIDE METROPOLITAN BOROUGH,999999,Fees and Charges,Fees and Charges,Services to People,PH-Programme Management,"50,000.00",401035,12732
21/04/2016,ZSA254036,1,1339,Stockport NHS Foundation Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,PH-Programme Management,"3,541,949.00",500402,12732
22/04/2016,ZSA254056,1,4369,Pennine Care NHS Trust,310000,Healthcare  ,Third party payments - Public Sector,Services to People,PH-Drug and Alcohol,"1,125,000.00",500402,12731
28/04/2016,ZSA254453,1,1640,George House Trust,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,HIV Services,"14,229.00",561704,12746
29/04/2016,ZSA254519,1,8962,DRS ARMSTRONG & BEARDSELL,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"1,672.00",530348,12735
29/04/2016,ZSA254519,2,8962,DRS ARMSTRONG & BEARDSELL,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,534.00",530348,12737
29/04/2016,ZSA254519,3,8962,DRS ARMSTRONG & BEARDSELL,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"1,982.00",530348,12748
29/04/2016,ZSA254520,1,8922,Dr Dean and Partners,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,061.00",530348,12735
29/04/2016,ZSA254520,2,8922,Dr Dean and Partners,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,978.00,530348,12737
29/04/2016,ZSA254520,3,8922,Dr Dean and Partners,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,832.00,561704,12748
29/04/2016,ZSA254520,4,8922,Dr Dean and Partners,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"2,672.00",530348,12748
29/04/2016,ZSA254521,1,8928,Bracondale Medical Centre,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"1,746.00",530348,12735
29/04/2016,ZSA254521,2,8928,Bracondale Medical Centre,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,280.00",530348,12737
29/04/2016,ZSA254521,3,8928,Bracondale Medical Centre,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"1,526.00",561704,12748
29/04/2016,ZSA254521,4,8928,Bracondale Medical Centre,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,991.00,530348,12748
29/04/2016,ZSA254522,1,8953,EASTHOLME SURGERY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"1,710.00",530348,12735
29/04/2016,ZSA254522,2,8953,EASTHOLME SURGERY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,230.00",530348,12737
29/04/2016,ZSA254522,3,8953,EASTHOLME SURGERY,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"2,219.00",561704,12748
29/04/2016,ZSA254522,4,8953,EASTHOLME SURGERY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,905.00,530348,12748
29/04/2016,ZSA254523,1,8914,Heaton Moor Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"10,171.00",530348,12735
29/04/2016,ZSA254523,2,8914,Heaton Moor Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"6,702.00",530348,12737
29/04/2016,ZSA254523,3,8914,Heaton Moor Medical Group,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"7,489.00",561704,12748
29/04/2016,ZSA254523,4,8914,Heaton Moor Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"7,326.00",530348,12748
29/04/2016,ZSA254524,1,8921,Hulme Hall Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"4,027.00",530348,12735
29/04/2016,ZSA254524,2,8921,Hulme Hall Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,142.00",530348,12737
29/04/2016,ZSA254524,3,8921,Hulme Hall Medical Group,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"1,526.00",561704,12748
29/04/2016,ZSA254524,4,8921,Hulme Hall Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"1,767.00",530348,12748
29/04/2016,ZSA254525,1,8929,Gatley Group Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"3,216.00",530348,12735
29/04/2016,ZSA254525,2,8929,Gatley Group Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,576.00",530348,12737
29/04/2016,ZSA254525,3,8929,Gatley Group Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"2,198.00",530348,12748
29/04/2016,ZSA254526,1,8960,DR A WRIGHT,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,267.00",530348,12735
29/04/2016,ZSA254526,2,8960,DR A WRIGHT,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"2,370.00",530348,12748
29/04/2016,ZSA254526,3,8960,DR A WRIGHT,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,322.00",530348,12737
29/04/2016,ZSA254526,4,8960,DR A WRIGHT,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,69.00,561704,12748
29/04/2016,ZSA254527,1,8964,MARPLE MEDICAL PRACTICE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,752.00",530348,12735
29/04/2016,ZSA254527,2,8964,MARPLE MEDICAL PRACTICE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,574.00",530348,12737
29/04/2016,ZSA254527,3,8964,MARPLE MEDICAL PRACTICE,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,624.00,561704,12748
29/04/2016,ZSA254527,4,8964,MARPLE MEDICAL PRACTICE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,991.00,530348,12748
29/04/2016,ZSA254528,1,8948,CHEADLE MEDICAL PRACTICE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"4,239.00",530348,12735
29/04/2016,ZSA254528,2,8948,CHEADLE MEDICAL PRACTICE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,532.00",530348,12737
29/04/2016,ZSA254528,3,8948,CHEADLE MEDICAL PRACTICE,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,624.00,561704,12748
29/04/2016,ZSA254528,4,8948,CHEADLE MEDICAL PRACTICE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"6,033.00",530348,12748
29/04/2016,ZSA254529,1,8945,Park View Group Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,841.00",530348,12735
29/04/2016,ZSA254529,2,8945,Park View Group Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,850.00",530348,12737
29/04/2016,ZSA254529,3,8945,Park View Group Practice,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"4,507.00",561704,12748
29/04/2016,ZSA254529,4,8945,Park View Group Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"4,740.00",530348,12748
29/04/2016,ZSA254530,1,8944,Chadsfield Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,593.00",530348,12735
29/04/2016,ZSA254530,2,8944,Chadsfield Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,518.00",530348,12737
29/04/2016,ZSA254530,3,8944,Chadsfield Medical Practice,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"1,179.00",561704,12748
29/04/2016,ZSA254530,4,8944,Chadsfield Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"2,672.00",530348,12748
29/04/2016,ZSA254531,1,8952,DR ROONEY & PARTNERS,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"4,910.00",530348,12735
29/04/2016,ZSA254531,2,8952,DR ROONEY & PARTNERS,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"3,842.00",530348,12737
29/04/2016,ZSA254531,3,8952,DR ROONEY & PARTNERS,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"3,120.00",561704,12748
29/04/2016,ZSA254531,4,8952,DR ROONEY & PARTNERS,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"3,577.00",530348,12748
29/04/2016,ZSA254532,1,8949,BRAMHALL HEALTH CENTRE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"4,749.00",530348,12735
29/04/2016,ZSA254532,2,8949,BRAMHALL HEALTH CENTRE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,972.00",530348,12737
29/04/2016,ZSA254532,3,8949,BRAMHALL HEALTH CENTRE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,948.00,530348,12748
29/04/2016,ZSA254533,1,8947,CARITAS GP PARTNERSHIP,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"4,819.00",530348,12735
29/04/2016,ZSA254533,2,8947,CARITAS GP PARTNERSHIP,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"3,746.00",530348,12737
29/04/2016,ZSA254533,3,8947,CARITAS GP PARTNERSHIP,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"6,518.00",561704,12748
29/04/2016,ZSA254533,4,8947,CARITAS GP PARTNERSHIP,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"3,318.00",530348,12748
29/04/2016,ZSA254534,1,8950,BEECH HOUSE MEDICAL PRACTICE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"3,069.00",530348,12735
29/04/2016,ZSA254534,2,8950,BEECH HOUSE MEDICAL PRACTICE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,890.00",530348,12737
29/04/2016,ZSA254534,3,8950,BEECH HOUSE MEDICAL PRACTICE,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"2,496.00",561704,12748
29/04/2016,ZSA254534,4,8950,BEECH HOUSE MEDICAL PRACTICE,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"1,896.00",530348,12748
29/04/2016,ZSA254535,1,8963,DR C MARSHALL & PARTNERS,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,314.00",530348,12735
29/04/2016,ZSA254535,2,8963,DR C MARSHALL & PARTNERS,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,834.00",530348,12737
29/04/2016,ZSA254535,3,8963,DR C MARSHALL & PARTNERS,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"2,150.00",561704,12748
29/04/2016,ZSA254535,4,8963,DR C MARSHALL & PARTNERS,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"2,241.00",530348,12748
29/04/2016,ZSA254536,1,8942,Heaton Mersey Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,392.00",530348,12737
29/04/2016,ZSA254536,2,8942,Heaton Mersey Medical Practice,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,624.00,561704,12748
29/04/2016,ZSA254536,3,8942,Heaton Mersey Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,824.00",530348,12735
29/04/2016,ZSA254536,4,8942,Heaton Mersey Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"1,853.00",530348,12748
29/04/2016,ZSA254537,1,8933,Dr RJ Seabrook & Partners,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"4,593.00",530348,12735
29/04/2016,ZSA254537,2,8933,Dr RJ Seabrook & Partners,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"2,930.00",530348,12748
29/04/2016,ZSA254537,3,8933,Dr RJ Seabrook & Partners,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,856.00",530348,12737
29/04/2016,ZSA254537,4,8933,Dr RJ Seabrook & Partners,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"2,219.00",561704,12748
29/04/2016,ZSA254538,1,8939,MARPLE COTTAGE SURGERY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,584.00",530348,12735
29/04/2016,ZSA254538,2,8939,MARPLE COTTAGE SURGERY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,724.00",530348,12737
29/04/2016,ZSA254538,3,8939,MARPLE COTTAGE SURGERY,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,416.00,561704,12748
29/04/2016,ZSA254538,4,8939,MARPLE COTTAGE SURGERY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,819.00,530348,12748
29/04/2016,ZSA254539,1,8956,The Family Surgery,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,939.00",530348,12735
29/04/2016,ZSA254539,2,8956,The Family Surgery,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,998.00",530348,12737
29/04/2016,ZSA254540,1,8926,Manor Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"3,248.00",530348,12735
29/04/2016,ZSA254540,2,8926,Manor Medical Practice,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"1,456.00",561704,12748
29/04/2016,ZSA254540,3,8926,Manor Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"3,092.00",530348,12737
29/04/2016,ZSA254540,4,8926,Manor Medical Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"2,499.00",530348,12748
29/04/2016,ZSA254541,1,8959,MARPLE BRIDGE SURGERY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,514.00",530348,12735
29/04/2016,ZSA254541,2,8959,MARPLE BRIDGE SURGERY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"1,465.00",530348,12748
29/04/2016,ZSA254541,3,8959,MARPLE BRIDGE SURGERY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"1,010.00",530348,12737
29/04/2016,ZSA254541,4,8959,MARPLE BRIDGE SURGERY,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"1,456.00",561704,12748
03/05/2016,ZSA254633,1,8965,DR J JEFFS,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"1,267.00",530348,12735
03/05/2016,ZSA254633,2,8965,DR J JEFFS,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"2,084.00",530348,12737
03/05/2016,ZSA254633,3,8965,DR J JEFFS,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"1,508.00",530348,12748
03/05/2016,ZSA254633,4,8965,DR J JEFFS,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"2,774.00",561704,12748
03/05/2016,ZSA254634,1,8913,The Guywood Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"1,066.00",530348,12735
03/05/2016,ZSA254634,2,8913,The Guywood Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,648.00,530348,12737
03/05/2016,ZSA254634,3,8913,The Guywood Practice,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,347.00,561704,12748
03/05/2016,ZSA254634,4,8913,The Guywood Practice,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"4,439.00",530348,12748
03/05/2016,ZSA254635,1,8986,DRS GILMAN & BILBEY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"2,513.00",530348,12735
03/05/2016,ZSA254635,2,8986,DRS GILMAN & BILBEY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"4,988.00",530348,12737
03/05/2016,ZSA254635,3,8986,DRS GILMAN & BILBEY,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"3,814.00",561704,12748
03/05/2016,ZSA254635,4,8986,DRS GILMAN & BILBEY,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,Sexual Health LES,"2,370.00",530348,12748
03/05/2016,ZSA254646,1,8957,Stockport Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Healthcare,"3,974.00",530348,12735
03/05/2016,ZSA254646,2,8957,Stockport Medical Group,320000,Social Community Care Supplies & Services  ,Care Payments,Services to People,PH-Lifestyles,"4,588.00",530348,12737
03/05/2016,ZSA254646,3,8957,Stockport Medical Group,999999,Social Community Care Supplies & Services  ,Service Contract Payments,Services to People,Sexual Health LES,"9,014.00",561704,12748
