Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,10/11/2010,YOUNG PEOPLES SMS,HEALTHCARE FROM NON NHS BODIES,TAMESIDE MBC,326519,112816,TAM07,400,4697,0,ZE,N,8,2011,A416,A4025,TOT,,112816,3.26519E+12
Department of Health,NHS Tameside & Glossop,17/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,GO TO DOC PRIMARY CARE,329042,36981.09,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,17/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,GO TO DOC PRIMARY CARE,329038,36947.8,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,17/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,GO TO DOC PRIMARY CARE,329028,92904.94,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,17/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,GO TO DOC PRIMARY CARE,329025,32810.91,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Awburn House,P004NOV10,65078.6,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Bedford House Medical Centre,P008NOV10,57237.39,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Chapel Street Medical Centre,P017NOV10,55345.33,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Churchgate Surgery,P019NOV10,67941.24,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Davaar Medical Centre,P021NOV10,43033.36,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Denton Medical Practice ,P018NOV10,51378.39,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Donneybrook Medical Centre,P016NOV10,83060.85,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,ST.ANDREW'S HOUSE,P023NOV10,38708.63,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,MARKET STREET MEDICAL PRACTICE,P029NOV10,49121.09,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Gordon Street Medical Centre,P011NOV10,32229.15,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Grosvenor Medical Centre,P026NOV10,45263.99,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Hattersley Group Practice,P013NOV10,41847.37,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Haughton Thornley Medical,P014NOV10,87107.69,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Howard Medical Practice ,C077NOV10,31832.01,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,King Street Medical Centre,P022NOV10,29195.38,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Lambgates Surgery,C106NOV10,51864.39,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Lockside Medical Centre,P005NOV10,54253.86,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Medlock Vale Medical Practice,P010NOV10,59276.29,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Stamford House ,P609NOV10,25907.01,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Staveleigh Medical Centre,P007NOV10,51265.47,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Tame Valley,P033NOV10,51024.25,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,The Highland Group Practice,P606NOV10,38322.56,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,The Hollies Surgery,P027NOV10,32407.28,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,The Smithy Surgery,P602NOV10,36157.97,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Town Hall Surgery ,P025NOV10,26014.3,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,West End Medical,P030NOV10,49412.35,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Windmill Medical Practice,P015NOV10,90300.18,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Specsavers (Hyde),TG0317NOV10,29974.03,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,01/11/2010,Contract Payment,PRMS INFRASTRUCTURE COSTS,Specsavers (Ashton),TG0325NOV10,53157.3,,,,,,,,,,,,,,
Department of Health,NHS Tameside & Glossop,05/11/2010,GO TO DOC- OUT OF HRS GMS INFA,PRMS INFRASTRUCTURE COSTS,GO TO DOC LTD,327309,144337,GOT01,377,4411,0,ZE,N,8,2011,A401,A4006,TOT,T&GPCT,144337,3.27309E+12
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,1455.58,TAM97,474,4070,0,ZE,N,8,2011,A420,A4007,TNH,,1455.58,3.13715E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,121,TAM97,532,4070,0,ZE,N,8,2011,A420,A4007,TNH,,121,3.13715E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,2029.04,TAM97,532,4070,0,ZE,N,8,2011,A420,A4007,TNH,,2029.04,3.13715E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,1745.56,TAM97,532,4070,0,ZE,N,8,2011,A420,A4007,TNH,,1745.56,3.13715E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,25600.87,TAM97,396,4070,0,ZE,N,8,2011,A420,A4007,TNH,,25600.87,3.13714E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,2349.89,TAM97,396,4070,0,ZE,N,8,2011,A420,A4007,TNH,,2349.89,3.13714E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,8.56,TAM97,165,4070,0,ZE,N,8,2011,A420,A4007,TNH,,8.56,3.13712E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,896.57,TAM97,169,4070,0,ZE,N,8,2011,A420,A4007,TNH,,896.57,3.13712E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,166.41,TAM97,169,4070,0,ZE,N,8,2011,A420,A4007,TNH,,166.41,3.13712E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,106.09,TAM97,170,4070,0,ZE,N,8,2011,A420,A4007,TNH,,106.09,3.13712E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,DRUGS - S&S CLINICAL,SUPPLIES & SERVICES - CLINICAL,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,31371,75.79,TAM97,230,4070,0,ZE,N,8,2011,A420,A4007,TNH,,75.79,3.13712E+11
Department of Health,NHS Tameside & Glossop,03/11/2010,ROOM HIRE - ACCOMM CHARGES,PREMISES,BLACKCLIFFE LTD,327329,36020.57,BLA15,474,4252,0,ZE,N,8,2011,A420,A4011,TOT,,36020.57,3.27329E+12
Department of Health,NHS Tameside & Glossop,05/11/2010,VOLUN SECTOR - GRANTS,OTHER - NON PAY,THE STROKE ASSOCIATION,326492,41876,STR03,474,4342,0,ZE,N,8,2011,A420,A4021,TOT,,41876,3.26492E+12
Department of Health,NHS Tameside & Glossop,12/11/2010,OBESITY SURGERY,HEALTHCARE FROM NON NHS BODIES,SALFORD ROYAL NHS FOUNDATION TRUST,31850,73579.37,SAL05,485,6266,0,ZE,N,8,2011,A419,A4025,TNH,,73579.37,3.18505E+11
Department of Health,NHS Tameside & Glossop,19/11/2010,24HR SUPP'TD ACCOM,HEALTHCARE FROM NON NHS BODIES,TAMESIDE MBC,328998,48449.17,TAM07,438,6329,0,ZE,N,8,2011,A430,A4025,TOT,,48449.17,3.28998E+12
Department of Health,NHS Tameside & Glossop,15/11/2010,BURY PCT - CARDIAC - G&A,G&S OTHER PCTS - HEALTHCARE,STOCKPORT PRIMARY CARE TRUST,31932,500457,STO24,595,6181,0,ZE,N,8,2011,A430,A4031,TNH,,500457,3.19326E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,BURY PCT - GMAS - OC,G&S OTHER PCTS - HEALTHCARE,NHS BURY,31916,111441,BUR23,595,6104,0,ZE,N,8,2011,A430,A4031,TNH,,111441,3.19166E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,BURY PCT - GMAS A&E,G&S OTHER PCTS - HEALTHCARE,BLACKPOOL PCT,31914,452732,BLA04,595,6134,0,ZE,N,8,2011,A430,A4031,TNH,,452732,3.19146E+11
Department of Health,NHS Tameside & Glossop,01/11/2010,CHRISTIE TRUST G&A,G&S FT's - HEALTHCARE,CHRISTIES HOSPITAL NHS TRUST,31656,626491,CHR01,595,6018,0,ZE,N,8,2011,A430,A4037,TNH,,626491,3.16566E+11
Department of Health,NHS Tameside & Glossop,15/11/2010,CMMC FT - G&A,G&S FT's - HEALTHCARE,CENTRAL MANCHESTER CORE CONTRACT,31918,1566682,CEN14,100,6305,0,ZE,N,8,2011,A430,A4037,TNH,,1566682,3.19181E+11
Department of Health,NHS Tameside & Glossop,17/11/2010,CMMC FT - G&A,G&S FT's - HEALTHCARE,CENTRAL MANCHESTER CORE CONTRACT,31891,39231,CEN14,100,6305,0,ZE,N,8,2011,A430,A4037,TNH,,39231,3.18911E+11
Department of Health,NHS Tameside & Glossop,01/12/2010,MAKING IT BETTER INVESTMENTS,G&S OTHER PCTS - HEALTHCARE,MANCHESTER PCT COMMISSIONING,32156,633095,MAN16,646,4996,0,ZE,N,8,2011,A430,A4031,TNH,,633095,3.21566E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,180.14,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,Y586,180.14,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,60.39,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P612,60.39,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,15510.89,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P609,15510.89,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,271.23,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P606,271.23,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,60.39,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P033,60.39,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,60.39,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P030,60.39,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,60.39,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P023,60.39,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,2624.22,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P022,2624.22,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,4777.63,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P020,4777.63,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,60.39,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P015,60.39,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,1080.81,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P014,1080.81,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,89.04,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P012,89.04,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,119.75,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P011,119.75,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,294.77,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,P008,294.77,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,60.39,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,C660,60.39,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,119.75,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,C077,119.75,3.17484E+11
Department of Health,NHS Tameside & Glossop,10/11/2010,NON CONTRACTED ACTV TRUSTS G&A,G&S OTHER NHS - HEALTHCARE,UNIVERSITY HOSPITAL OF MORCAMBE BAY NHS TRUST,31748,776.83,MOR45,441,6198,0,ZE,N,8,2011,A430,A4035,TNH,ALLGPS,776.83,3.17484E+11
Department of Health,NHS Tameside & Glossop,24/11/2010,OVERSEAS VISITORS - TGH FT,G&S FT's - HEALTHCARE,TAMESIDE / GLOSSOP ACUTE FOUNDATION TRUST,32140,97252.32,TAM97,700,6273,0,ZE,N,8,2011,A430,A4037,TNH,,97252.32,3.21407E+11
Department of Health,NHS Tameside & Glossop,12/11/2010,PENNINE ACUTE TRUST G&A,G&S OTHER NHS - HEALTHCARE,PENNINE ACUTE HOSPITAL NHS TRUST,31602,108091,PEN23,100,6025,0,ZE,N,8,2011,A430,A4035,TNH,,108091,3.16021E+11
Department of Health,NHS Tameside & Glossop,12/11/2010,PENNINE ACUTE TRUST G&A,G&S OTHER NHS - HEALTHCARE,PENNINE ACUTE HOSPITAL NHS TRUST,30702,175450,PEN23,100,6025,0,ZE,N,8,2011,A430,A4035,TNH,,175450,3.07021E+11
