Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"4,640.25"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"5,238.09"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"1,626.02"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,"6,111.26"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN AVC GENERAL,General Practioner Payments,HELSBY HEALTH CENTRE,-471.33
Department of Health,Western Cheshire PCT,18/05/2011,LEARING DISABLITY - ASPIRATION,General Practioner Payments,HELSBY HEALTH CENTRE,919.44
Department of Health,Western Cheshire PCT,13/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-5,950.02"
Department of Health,Western Cheshire PCT,13/05/2011,SUPERANN EES GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-3,527.51"
Department of Health,Western Cheshire PCT,13/05/2011,COURIER,General Practioner Payments,BUNBURY MEDICAL CENTRE,-9
Department of Health,Western Cheshire PCT,13/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"1,744.47"
Department of Health,Western Cheshire PCT,13/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,913.93
Department of Health,Western Cheshire PCT,13/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"1,735.07"
Department of Health,Western Cheshire PCT,13/05/2011,ALCOHOL - NEW PATIENT SCREENING,General Practioner Payments,BUNBURY MEDICAL CENTRE,20.1
Department of Health,Western Cheshire PCT,13/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,896.22
Department of Health,Western Cheshire PCT,13/05/2011,MENTAL HEALTH,General Practioner Payments,BUNBURY MEDICAL CENTRE,848.08
Department of Health,Western Cheshire PCT,13/05/2011,RURAL GP NETWORK,General Practioner Payments,BUNBURY MEDICAL CENTRE,200
Department of Health,Western Cheshire PCT,13/05/2011,SUPERANN EES GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,-410.29
Department of Health,Western Cheshire PCT,13/05/2011,SENIORITY PAYMENT GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,832.33
Department of Health,Western Cheshire PCT,13/05/2011,LEVY (STAT),General Practioner Payments,BUNBURY MEDICAL CENTRE,-164.6
Department of Health,Western Cheshire PCT,13/05/2011,SPIROMETRY/ECG,General Practioner Payments,BUNBURY MEDICAL CENTRE,"1,266.32"
Department of Health,Western Cheshire PCT,13/05/2011,LEVY (VOL),General Practioner Payments,BUNBURY MEDICAL CENTRE,-20.94
Department of Health,Western Cheshire PCT,13/05/2011,ADVANCES,General Practioner Payments,BUNBURY MEDICAL CENTRE,-829.2
Department of Health,Western Cheshire PCT,13/05/2011,INTERMEDIATE CARE,General Practioner Payments,BUNBURY MEDICAL CENTRE,414.6
Department of Health,Western Cheshire PCT,13/05/2011,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"5,427.44"
Department of Health,Western Cheshire PCT,13/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-13,177.16"
Department of Health,Western Cheshire PCT,13/05/2011,OOH DEDUCTION GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-1,387.75"
Department of Health,Western Cheshire PCT,13/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"6,030.64"
Department of Health,Western Cheshire PCT,13/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,381.22
Department of Health,Western Cheshire PCT,13/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"2,540.49"
Department of Health,Western Cheshire PCT,13/05/2011,BUDGET GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"50,518.83"
Department of Health,Western Cheshire PCT,20/05/2011,DISP DRS - DRUGS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"68,872.53"
Department of Health,Western Cheshire PCT,20/05/2011,DISP DRS - REMUNERATION GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"15,131.26"
Department of Health,Western Cheshire PCT,20/05/2011,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"34,647.47"
Department of Health,Western Cheshire PCT,20/05/2011,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-52,974.12"
Department of Health,Western Cheshire PCT,20/05/2011,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"3,297.60"
Department of Health,Western Cheshire PCT,20/05/2011,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-3,297.60"
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"31,700.00"
Department of Health,Western Cheshire PCT,18/05/2011,GSUM APR- JUN,General Practioner Payments,HEATH LANE MEDICAL CENTRE,472.58
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"-4,207.47"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"-2,419.24"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"-32,921.10"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,HEATH LANE MEDICAL CENTRE,-6
Department of Health,Western Cheshire PCT,18/05/2011,MENTAL HEALTH,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"1,081.24"
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,778.04
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"1,799.30"
Department of Health,Western Cheshire PCT,18/05/2011,ALCOHOL - NEW PATIENT SCREENING,General Practioner Payments,HEATH LANE MEDICAL CENTRE,112.56
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,827.28
Department of Health,Western Cheshire PCT,18/05/2011,NURSING/RESIDENTIAL HOMES GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"1,383.36"
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,HEATH LANE MEDICAL CENTRE,900.74
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,-232.44
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,-107.92
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,HEATH LANE MEDICAL CENTRE,-29.08
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,HEATH LANE MEDICAL CENTRE,-228.56
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"34,838.27"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"4,450.75"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"7,992.60"
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"6,461.50"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"4,190.84"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,731.32
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,"7,042.06"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN AVC GENERAL,General Practioner Payments,HEATH LANE MEDICAL CENTRE,-282.83
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,ROCK SURGERY,"24,800.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,ROCK SURGERY,"-3,162.49"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,ROCK SURGERY,"-1,596.63"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,ROCK SURGERY,"-25,942.00"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,ROCK SURGERY,-6
Department of Health,Western Cheshire PCT,18/05/2011,MENTAL HEALTH,General Practioner Payments,ROCK SURGERY,931.84
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,ROCK SURGERY,361.86
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,ROCK SURGERY,"1,073.24"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,ROCK SURGERY,55.97
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,ROCK SURGERY,689.4
Department of Health,Western Cheshire PCT,18/05/2011,NURSING/RESIDENTIAL HOMES GENERAL,General Practioner Payments,ROCK SURGERY,"1,949.28"
Department of Health,Western Cheshire PCT,18/05/2011,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,ROCK SURGERY,26.93
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,ROCK SURGERY,42.89
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,ROCK SURGERY,-23.01
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,ROCK SURGERY,-180.88
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,ROCK SURGERY,"28,287.32"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,ROCK SURGERY,"2,718.95"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,ROCK SURGERY,"7,474.90"
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,ROCK SURGERY,"1,283.33"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,ROCK SURGERY,"3,437.61"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,ROCK SURGERY,"1,073.64"
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,ROCK SURGERY,"2,050.22"
Department of Health,Western Cheshire PCT,06/05/2011,ADVANCES,General Practioner Payments,TARPORLEY HEALTH CENTRE,"37,800.00"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN ERS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-5,800.46"
Department of Health,Western Cheshire PCT,18/05/2011,SUPERANN EES GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-3,449.07"
Department of Health,Western Cheshire PCT,18/05/2011,ADVANCES,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-39,308.28"
Department of Health,Western Cheshire PCT,18/05/2011,COURIER,General Practioner Payments,TARPORLEY HEALTH CENTRE,-12
Department of Health,Western Cheshire PCT,18/05/2011,ANTI COAG MONITORING GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"1,114.92"
Department of Health,Western Cheshire PCT,18/05/2011,I U CONTRACEPTIVE GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,555.48
Department of Health,Western Cheshire PCT,18/05/2011,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"1,623.13"
Department of Health,Western Cheshire PCT,18/05/2011,NEAR PATIENT TESTING GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"1,149.00"
Department of Health,Western Cheshire PCT,18/05/2011,STUDENT MMR GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"2,073.00"
Department of Health,Western Cheshire PCT,18/05/2011,NURSING/RESIDENTIAL HOMES GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"4,527.36"
Department of Health,Western Cheshire PCT,18/05/2011,SPIROMETRY/ECG,General Practioner Payments,TARPORLEY HEALTH CENTRE,"1,080.46"
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (VOL),General Practioner Payments,TARPORLEY HEALTH CENTRE,-32.36
Department of Health,Western Cheshire PCT,18/05/2011,LEVY (STAT),General Practioner Payments,TARPORLEY HEALTH CENTRE,-254.34
Department of Health,Western Cheshire PCT,18/05/2011,GLOBAL SUM,General Practioner Payments,TARPORLEY HEALTH CENTRE,"42,800.55"
Department of Health,Western Cheshire PCT,18/05/2011,MPIG,General Practioner Payments,TARPORLEY HEALTH CENTRE,"4,430.69"
Department of Health,Western Cheshire PCT,18/05/2011,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"9,872.41"
Department of Health,Western Cheshire PCT,18/05/2011,PREMISES (RENT) GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"3,489.58"
Department of Health,Western Cheshire PCT,18/05/2011,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"4,714.16"
Department of Health,Western Cheshire PCT,18/05/2011,FLU & PNEU VACCS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,630.18
Department of Health,Western Cheshire PCT,18/05/2011,MINOR SURGERY GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"3,216.29"
