Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport - air,Accommodation/Meals,Mode of transport - rail,Mode of transport - Eurostar,Mode of Transport - taxi,"PURPOSE - DETAIL - Include information on reason for type of ticket bought - eg economy, no further information required,  club class - reason it was required. (Delete from version for publishing)",Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Deborah Bronnert - Director General Economic and Consular,11-May-16,3 days,"Ankara, Turkey, Athens, Greece and Larnaca, Cyprus",Cyprus settlement visit,1054.7,,,,,"All economy flights, two of the flights had to be booked via Expedia as no flights available on HRG",,1055,
Deborah Bronnert - Director General Economic and Consular,27-May-16,1 day,Cambridge,Policy Leaders Conference,,,24.2,,,Standard class,,24,
Deborah Bronnert - Director General Economic and Consular,09-Jun-16,1 day,"Paris, France",Meeting with French Ministry and Business France,,,5,199,,Economy,,204,
Deborah Bronnert - Director General Economic and Consular,15-Jun-16,1 day,"Brussels, Belgium",EU Seniors Leaders' meeting,,,,279,,Economy,,279,
Deborah Bronnert - Director General Economic and Consular,30-Jun-16,1 day,"Dublin, Ireland",Cabinet Office organised programme for Whitehall Perms Secs,212.56,,,,,Economy,,213,
Iain Macleod - Legal Adviser,03-Apr-16,One night,Washington DC,Meeting with US opposite number,2997.25,,,,106.06,Outward flight:  economy.  Return:  business (working on arrival),,3103,
Iain Macleod - Legal Adviser,14-Apr-16,One night,Portsmouth,Seminar,,,23.3,,,No charge for accommodation,,23,
Iain Macleod - Legal Adviser,19-Apr-16,Day trip,The Hague,International Criminal Court events,416.21,,8.01,,45,Economy,,469,
Iain Macleod - Legal Adviser,09-May-16,One night,Washington DC,Meeting with US opposite number,3003.95,,67,,124.1,Outward flight:  economy.  Return:  business (working on arrival),,3195,
Iain Macleod - Legal Adviser,24-May-16,Day trip,Berlin,Meeting with German and French opposite numbers,711.81,,,,20.09,Economy,,732,
Iain Macleod - Legal Adviser,01-Jun-16,One night,Brussels,Meeting with Quint legal advisers; and Public International Law  Working Group (COJUR) ,,,3.36,119,38.08,Economy,,160,
Iain Macleod - Legal Adviser,05-Jun-16,Four nights,"Gatineau, Canada","""West Point XII"" international meeting of government legal advisers",2390,,,,45.27,Outward flight:  economy.  Return:  business (working on arrival),,2435,
Iain Macleod - Legal Adviser,15-Jun-16,Five nights,"Nanjing, China",Meeting of P5 MFA legal advisers,1901.25,,176,,22.9,Flights:  Business (duration),,2100,
Karen Pierce - Chief Operating Officer,Nil return,,,,,,,,,,,,
Robin Grimes - Chief Scientific Adviser,05-Apr-16,N/A,"University of West Indies, Cave Hill Campus, Barbados",Official meeting with Vice Chancellor,0,,,,22.9,Return Taxi fare to attend official meeting whilst visiting Barbados privately. ,,22.9,
Robin Grimes - Chief Scientific Adviser,14-Apr-16,N/A,"French Residence 11 Kensington Palace Garden, London W8 4QP ",Bilateral meeting,,,,,15,Taxi fare from previous meeting in Whitehall.  No time available between meetings  to allow use of public transport.,,15,
Robin Grimes - Chief Scientific Adviser,14-Apr-16,N/A,Embassy of Argentina,Bilateral meeting,,,,,10,Taxi fare to attend meeting.  No time available between academic meeting  to allow use of public transport.,,10,
Robin Grimes - Chief Scientific Adviser,20-Apr-16,3 Days,Argentina (Buenos Aires,Official visit to Argentina ,5355,,,,25,Return business class airfare LHR-Buenos Aires-LHR (flight over 10 hours).   Taxi fare from home to LHR.  Accommodated at the official residence.,,5380,
Robin Grimes - Chief Scientific Adviser,25-Apr-16,1 Day,Belarus (Minsk),Attend Chernobyl Anniversary Conference,738.02,,13,,,"Return economy class airfare LHR-Minsk-LHR.  Single economy class airfare Minsk-LHR.   Second day of programme cancelled at short notice, returned on evening flight.  Single ticket Minsk-LHR rebooked on different carrier at short notice.   ",,751,
Robin Grimes - Chief Scientific Adviser,13-May-16,N/A,University College London,Host UK-Chile Prosperity Event,,,,,12.6,Taxi fare to attend meeting.  No time  between meetings  to allow use of public transport.,,13,
Robin Grimes - Chief Scientific Adviser,16-May-16,4 Days,Occupied Palestinian Territories (OPTs) and Israel (Tel Aviv & Ramallah),Official Visit to OPTs and Israel,466.45,,,,25,Return economy class airfare to Tel Aviv.  Official transport provided by Consul General for onward journey to Jerusalem.   Official transport provided by Tel Aviv for travel from Jerusalem to Tel Aviv.  Taxi from home to LHR for onward flight to Tel Aviv.  Three nights hotel accommodation in Jerusalem.  Official Residence unavailable.   Accommodated in Official Residence in Tel Aviv.,,491,
Robin Grimes - Chief Scientific Adviser,23-May-16,0.5 Day,"Didcot, Oxfordshire","Accompany Minister for Science, BIS to the opening of the National Nuclear User Facility Materials Research Facility",,,60.6,,,Return rail fare London - Didcot Parkway - London.  ,,60.6,
Robin Grimes - Chief Scientific Adviser,06-Jun-16,4 Days,Russia (Moscow and Tomsk),Official Visit to Moscow and Tomsk,747.55,,,,,Return economy class airfare LHR-Moscow-LHR.  Economy class airfare Moscow-Tomsk-Moscow and accommodation paid from Post local budget.  Two nights accommodation in official Residence in Moscow. ,,747.55,
Robin Grimes - Chief Scientific Adviser,13-Jun-16,2 Days,Austria (Vienna),Attend CTBT Technical Preparatory Meeting,302.81,,39.35,,,Return economy class airfare LHR-Vienna-LHR.  Single Economy class airfare Vienna-Amsterdam.  Rail fare from central London to LHR for onward journey to Vienna.  Metro ticket to Vienna airport for onward journey to Amsterdam.,,342,
Robin Grimes - Chief Scientific Adviser,15-Jun-16,1 Day,The Netherlands (The Hague),Speak at the Global Initiative to Combat Nuclear Terrorism Annual Conference,291.6,,9.75,57.93,,Single Economy class airfare Vienna-Amsterdam. Taxi fare from airport to hotel.  Two nights accommodation in The Hague.  Official Residence unavailable  Rail ticket to conference venue.  Rail travel card for journey to airport for onward travel to LHR.,,359,
Robin Grimes - Chief Scientific Adviser,20-Jun-16,3 Days,Canada (Ottawa and Chalk River),Official Visit,2389.65,,,,25,"Economy class airfare LHR-Ottawa, business class airfare Ottawa-LHR.  Early morning flight arrival and required to attend meeting in London that morning.  Transport and accommodation provided from local budget.  Taxi fare from home address to LHR for onward flight to Ottawa.",,2414.65,
Jill Gallard - Director Human Resources,09-May-16,4 days,Santo Domingo and Panama,Pastoral visit to Posts,1043,,,,,Business class for long haul flights ,,1043,
Iain Walker - Director Finance,14-Apr-16,1 night,Portsmouth,Seminar,,,27,,,Standard rail class. Accommodation provided.,,27,
Iain Walker - Director Finance,25-Apr-16,1 day,Milton Keynes,Meetings in Northgate House,,,,,,Mileage as drove + car parking fee.,,76,
Iain Walker - Director Finance,29-May-16,2 days,Berlin,Workshop on MFA reform,,,,,,Economy flight. ,,465,
Iain Walker - Director Finance,13-Jun-16,1 night,Glasgow,DFID Finance Event,,,,,,Economy flight. ,,264,
Iain Walker - Director Finance,24-Jun-16,1 day,London,Post EU referendum meeting,,,,,60,Taxi from home to office to attend early morning meeting post EU referendum,,60,
Iain Walker - Director Finance,27-Jun-16,1 night,Edinburgh,Guest speaker at school event,,,,,,Economy flight.,,194,
Sarah MacIntosh - Director General Defence and Intelligence,14-Apr-16,1 night,Portsmouth,Joint seminar,,,39.8,,,No charge for accommodation,,40,
Sarah MacIntosh - Director General Defence and Intelligence,26-Apr-16,3 nights,Nigeria,Meetings with Nigerian Government ,3417,,3.3,,38,"Business - straight in to meetings on arrival, and in to the office on return.",433.72,3892,
Sarah MacIntosh - Director General Defence and Intelligence,03-May-16,2 nights,Singapore,Shangri-La Dialogue and bilateral meetings,3271,,41,,,Business class flights as over 10 hours.,1021.61,4334,
Sarah MacIntosh - Director General Defence and Intelligence,23-Jun-16,1 night,US - London,Board and other meetings.,2505,,24,,14,Buniness - straight in to an urgent FCO Board meeting.,,2543,
Sarah MacIntosh - Director General Defence and Intelligence,29-Jun-16,1 day,Coventry,Speak at Civil Service Live,,,46,,26.35,"No accommodation required, returned same day",,72,
Matthew Rycroft - UK Permanent Representative to UN,17-May-16,5 Days,"Somalia, Kenya, Egypt",Security Council visit,,,,,,All travel booked and paid for by the UN,,0,
Matthew Rycroft - UK Permanent Representative to UN,20-Jun-16,2 days,Colombia,Part of our work on Colombia resolution in the Security Council,,,,,,"Business class flight ticket booked because of hour of travel (both overnight flights); attended various meetings with Colombian government, including the President of Colombia",None,2333,
Shamik Dhar - Director Economics Unit,Nil return,,,,,,,,,,,,
Peter Hill - Director Strategy,14-Apr-16,1 night,Portsmouth,Joint seminar,,,36.84,,,Accommodation provided free of charge,None,37,
Peter Hill - Director Strategy,12-May-16,1 night,Dorking,High Potential Development Scheme residential course,,,23.99,12,,Standard-class train tickets; accommodation provided free of charge,None,36,
Hugh Elliott - Director Communications,05-Apr-16,1 night,Portsmouth,Joint seminar,,,39.8,,7,Accommodation provided free of charge,4.49,51,
Hugh Elliott - Director Communications,06-Apr-16,1 night,Brussels,Europe Communication Conference,,,,215,41.14,,148.91,405,
Hugh Elliott - Director Communications,16-Jun-16,1 night,"Wilton Park, Steyning",Wilton Park Advisory Council Meeting,,,28.8,,42,Accommodation provided free of charge,,71,
Hugh Elliott - Director Communications,19-Jun-16,3 nights,Miami,Americas Communication Conference,1431.55,,22,,115.62,Accommodation provided free of charge,42.75,1612,
Hugh Elliott - Director Communications,23-Jun-16,2 night,London,EU Referendum,,,,,,,128,128,
Martin Reynolds - Principal Private Secretary,Nil Return,,,,,,,,,,,Nil Return,
Richard Burge - Director Wilton Park,14/05/2016,3 days,WASHINGTON,WASHINGTON HUB,1437.95,,,,,PI / DIVE01X / RDAB 14/5 WASHINGTON DULLES,,1437.95,
Richard Burge - Director Wilton Park,08/03/2016,1 Day,LONDON,VARIOUS MEETINGS,,,53.2,,,PI / BARC02Y / RDAB 8/3 TRAIN LONDON VARIOUS MEETINGS,,53.2,
Richard Burge - Director Wilton Park,09/03/2016,1 Day,,OYSTER CARD TOP UP,,,30,,,PI / BARC02Y / RDAB 9/3 OYSTER CARD TOP UP,,30,
Richard Burge - Director Wilton Park,09/03/2016,1 Day,LONDON,VARIOUS MEETINGS,,,29.9,,,PI / BARC02Y / RDAB 9/3 RETURN FARE TO LONDON FOR VARIOUS M,,29.9,
Richard Burge - Director Wilton Park,23/03/2016,1 Day,LONDON,VARIOUS MEETINGS,,,29.9,,,PI / BARC02Y / RDAB 23/3 TRAIN LONDON VARIOUS MEETINGS,,29.9,
Richard Burge - Director Wilton Park,26/03/2016,3 days,BERNE,TO DISCUSS POTENTIAL WP EVENTS,,,,,,PI / BARC02Y / RDAB 26/3 PARKING AT LHR FOR TRIP TO BERN,,102.93,
Richard Burge - Director Wilton Park,29/03/2016,1 Day ,LONDON,VARIOUS MEETINGS,,,53.2,,,PI / BARC02Y / RDAB 29/3 TRAIN LONDON FOR VARIOUS MEETINGS,,53.2,
Richard Burge - Director Wilton Park,08/03/2016,1 Day ,Shoreham - Wiston,VARIOUS MEETINGS,,,,,22,PI / SPH01X / RDAB 8/3 Taxi Shoreham - Wiston,,22,
Richard Burge - Director Wilton Park,09/03/2016,1 Day ,Wiston - Shoreham,VARIOUS MEETINGS,,,,,22,PI / SPH01X / RDAB 9/3 Taxi Wiston - Shoreham,,22,
Richard Burge - Director Wilton Park,09/03/2016,1 Day ,Wiston - Brighton,VARIOUS MEETINGS,,,,,40,PI / SPH01X / RDAB 10/3 Taxi Wiston - Brighton,,40,
Richard Burge - Director Wilton Park,10/03/2016,1 Day ,Shoreham - Wiston,VARIOUS MEETINGS,,,,,22,PI / SPH01X / RDAB 10/3 Taxi Shoreham - Wiston,,22,
Richard Burge - Director Wilton Park,10/03/2016,1 Day ,Wiston - LHR,WPE1417,,,,,85,PI / SPH01X / RDAB 13/3 Taxi  Wiston - LHR,,85,
Richard Burge - Director Wilton Park,13/03/2016,1 Day ,LHR - Wiston,WPE1417,,,,,90,PI / SPH01X / RDAB 17/3 Taxi  LHR - Wiston,,90,
Richard Burge - Director Wilton Park,17/03/2016,1 Day ,Wiston - Shoreham return,VARIOUS MEETINGS,,,,,44,PI / SPH01X / RDAB 23/3 Taxi Wiston - Shoreham return,,44,
Richard Burge - Director Wilton Park,23/03/2016,1 Day ,Wiston - Shoreham return,VARIOUS MEETINGS,,,,,44,PI / SPH01X / RDAB 29/3 Taxi Wiston - Shoreham return,,44,
Richard Burge - Director Wilton Park,05/04/2016,1 Day ,Wiston -Brighton,VARIOUS MEETINGS,,,,,40,PI / SPH01X / RDAB 6/4 Taxi Wiston -Brighton,,40,
Richard Burge - Director Wilton Park,06/04/2016,1 Day ,Shoreham - Wiston,VARIOUS MEETINGS,,,,,22,PI / SPH01X / RDAB 6/4 Taxi Shoreham - Wiston,,22,
Richard Burge - Director Wilton Park,06/04/2016,1 Day ,Wiston - Shoreham - Wiston,VARIOUS MEETINGS,,,,,44,PI / SPH01X / RDAB 13/4 Taxi Wiston - Shoreham - Wiston,,44,
Richard Burge - Director Wilton Park,13/04/2016,1 Day ,Wiston - Shoreham - Wiston,VARIOUS MEETINGS,,,,,44,PI / SPH01X / RDAB 12/4 Taxi Wiston - Shoreham - Wiston,,44,
Richard Burge - Director Wilton Park,12/04/2016,1 Day ,Wiston - Shoreham - Wiston,VARIOUS MEETINGS,,,,,44,PI / SPH01X / RDAB 19/4 Taxi Wiston - Shoreham - Wiston,,44,
Richard Burge - Director Wilton Park,19/04/2016,1 Day ,Wiston - Shoreham - Wiston,VARIOUS MEETINGS,,,,,44,PI / SPH01X / RDAB 20/4 Taxi Wiston - Shoreham - Wiston,,44,
Richard Burge - Director Wilton Park,20/04/2016,1 Day ,Wiston - Shoreham - Wiston,VARIOUS MEETINGS,,,,,44,PI / SPH01X / RDAB 21/4 Taxi Wiston - Shoreham - Wiston,,44,
Richard Burge - Director Wilton Park,05/06/2016,3 days,LHR-Moscow,TO DISCUSS POTENTIAL WP EVENTS,337.75,,,,,PI/DIVE01X/RDAB LHR-Moscow 05-06-16,,337.75,
Richard Burge - Director Wilton Park,05/06/2016,1 Day ,Wiston - Shoreham,VARIOUS MEETINGS,,,,,44,PI / SPH01X / RDAB 13/5 Wiston - Shoreham,,44,
Richard Burge - Director Wilton Park,13/05/2016,1 Day ,Wiston - LHR T5,WASHINGTON HUB,,,,,85,PI / SPH01X / RDAB 14/5 Wiston - LHR T5,,85,
Richard Burge - Director Wilton Park,21/05/2016,1 Day ,LHR T5 - Wiston,WASHINGTON HUB,,,,,90,PI / SPH01X / RDAB 21/5 LHR T5 - Wiston,,90,
Richard Burge - Director Wilton Park,26/05/2016,1 Day ,Wiston - Brighton,VARIOUS MEETINGS,,,,,40,PI / SPH01X / RDAB 26/5  Wiston - Brighton,,40,
Richard Burge - Director Wilton Park,26/05/2016,1 Day ,Shoreham - Wiston,VARIOUS MEETINGS,,,,,22,PI / SPH01X / RDAB 26/5  Shoreham - Wiston,,22,
Warren Tucker - non Executive Director ,06-Apr-16,1 day,KCS,FCO Board meeting,,,38.05,,,FCO refunds travel for non-executive directors,,38,
Warren Tucker - non Executive Director ,21-Apr-16,1 day,KCS,FCO Board meeting,,,30,,,FCO refunds travel for non-executive directors,,30,
Warren Tucker - non Executive Director ,20-Apr-16,1 day,KCS,FCO Board meeting,,,70.2,,,FCO refunds travel for non-executive directors,,70,
Warren Tucker - non Executive Director ,29-Apr-16,1 day,KCS,FCO Board meeting,,,8,,,FCO refunds travel for non-executive directors,,8,
Warren Tucker - non Executive Director ,01-Jun-16,1 day,KCS,FCO Board meeting,,,38.25,,,FCO refunds travel for non-executive directors,,38,
Warren Tucker - non Executive Director ,06-Jun-16,1 day,KCS,FCO Board meeting,,,38.25,,,FCO refunds travel for non-executive directors,,38,
Warren Tucker - non Executive Director ,07-Jun-16,2 days,Embassy Madrid - Malaga,Board member meeting with embassy staff,80.48,,,,,FCO refunds travel for non-executive directors,,80,
Warren Tucker - non Executive Director ,07-Jun-16,2 days,Embassy Madrid - Malaga,Board member meeting with embassy staff,,,,,,FCO refunds travel for non-executive directors,Accommodation £80.79,81,
Warren Tucker - non Executive Director ,07-Jun-16,2 days,Embassy Madrid - Malaga,Board member meeting with embassy staff,,,43.9,,,FCO refunds travel for non-executive directors,,44,
Warren Tucker - non Executive Director ,09-Jun-16,2 days,Embassy Madrid - Malaga,Board member meeting with embassy staff,105.04,,,,,FCO refunds travel for non-executive directors,,105,
Shamik Dhar - Director Economics Unit,21-Apr-16,1 night,Paris,Meetings with OECD Paris,,,16.1,147.29,18.27,Economy Eurostar and taxi to airport from hotel.  Rail ticket to St Pancras.,N/A,182,
Shamik Dhar - Director Economics Unit,04-May-16,1 night,Nicosia,Cyprus talks,538.31,,,,58.5, Flight to Nicosia and one night hotel.,N/A,597,
Shamik Dhar - Director Economics Unit,19-Jun-16,2 nights,Muscat,Economic Fact finding,469.36,,,,,"Flight to Muscat, and hotel for two nights £199.  To and from airport by Embassy driver.",N/A,469,
