Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum Of Amount
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"3,286.20"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"3,061.32"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"2,628.96"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003627,"2,449.06"
Department for Transport,Department for Transport,01/02/2011,Transport Consultancy,Regional & Local Transport Policy,ATKINS LTD (MANAGEMENT CONSULTANTS),2000024281,"16,297.25"
Department for Transport,Department for Transport,01/02/2011,Transport Consultancy,Regional & Local Transport Policy,ATKINS LTD (MANAGEMENT CONSULTANTS),2000024281,"13,380.90"
Department for Transport,Department for Transport,01/02/2011,Management Consultancy,Procurement,BADENOCH & CLARK,2000003628,"2,275.00"
Department for Transport,Department for Transport,01/02/2011,Management Consultancy,Projects,BOVIS LEND LEASE CONSULTING LTD,2000003632,"7,506.00"
Department for Transport,Department for Transport,01/02/2011,Programme and Project Management Consultancy,Rail Technical & Professional,CAPITA RESOURCING LTD,2000003633,"11,220.96"
Department for Transport,Department for Transport,01/02/2011,Travel Expenses UK,Corporate Support Function,CARLSON WAGONLIT TRAVEL,2000024301,"1,047.69"
Department for Transport,Department for Transport,01/02/2011,Travel Expenses UK,Finance & Planning,CARLSON WAGONLIT TRAVEL,2000003637,"1,735.55"
Department for Transport,Department for Transport,01/02/2011,Travel Expenses UK,Transform Licensing Logistics and Sponsorship,CARLSON WAGONLIT TRAVEL,2000024301,"1,214.84"
Department for Transport,Department for Transport,01/02/2011,Other Advertising,Environment and International,CENTRAL OFFICE OF INFORMATION,2000024283,"-5,200.00"
Department for Transport,Department for Transport,01/02/2011,Storage & Distribution,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000024283,"7,867.55"
Department for Transport,Department for Transport,01/02/2011,Transport Consultancy,Information Management Directorate,CESG,2000024307,628.63
Department for Transport,Department for Transport,01/02/2011,Research,Aviation,CIVIL AVIATION AUTHORITY,2000024284,"61,658.00"
Department for Transport,Department for Transport,01/02/2011,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000024284,"6,242.85"
Department for Transport,Department for Transport,01/02/2011,Contract Cleaning,Accident Investigating Branches,CLEAN SLATE,2000024285,"1,682.45"
Department for Transport,Department for Transport,01/02/2011,Transport Consultancy,Rail Technical & Professional,COLIN BUCHANAN,2000003639,"24,500.00"
Department for Transport,Department for Transport,01/02/2011,Services provided by OGDs,Human Resources,COMMUNITIES AND LOCAL GOVERNMENT,2000024308,812.86
Department for Transport,Department for Transport,01/02/2011,Services provided by OGDs,Human Resources,COMMUNITIES AND LOCAL GOVERNMENT,2000024308,"3,178.90"
Department for Transport,Department for Transport,01/02/2011,Services provided by OGDs,Human Resources,COMMUNITIES AND LOCAL GOVERNMENT,2000024308,812.86
Department for Transport,Department for Transport,01/02/2011,Infrastructure Maintenance,Information Management Directorate,DELL CORPORATION LTD,2000024287,784.5
Department for Transport,Department for Transport,01/02/2011,Support Services,Aviation,ENVIRONMENT AGENCY,2000024305,"220,386.16"
Department for Transport,Department for Transport,01/02/2011,Rent - L&B (non-PFI),Projects,EUROSTAR (UK) LTD,2000003634,"264,375.00"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Aviation,HAYS PERSONNEL SERVICE LTD,2000024274,644.86
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Human Resources,HAYS PERSONNEL SERVICE LTD,2000024274,"-2,462.40"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Human Resources,HAYS PERSONNEL SERVICE LTD,2000024274,"2,411.10"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Human Resources,HAYS PERSONNEL SERVICE LTD,2000024274,"4,089.00"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Human Resources,HAYS PERSONNEL SERVICE LTD,2000024274,"4,104.00"
Department for Transport,Department for Transport,01/02/2011,Medical Advisory Service,Human Resources,HEALTH MANAGEMENT LTD,2000024289,"1,856.00"
Department for Transport,Department for Transport,01/02/2011,Medical Advisory Service,Human Resources,HEALTH MANAGEMENT LTD,2000024289,522.8
Department for Transport,Department for Transport,01/02/2011,Publicity,Road & Vehicle Safety & Standards,INCISIVE INSIGHT LTD,2000024294,"1,620.00"
Department for Transport,Department for Transport,01/02/2011,Investigation Services,Accident Investigating Branches,INTERFLEET TECHNOLOGY LTD,2000024303,"29,550.00"
Department for Transport,Department for Transport,01/02/2011,Room Hire,Aviation,INTERNATIONAL MARITIME ORGANISATION,2000024291,"4,782.06"
Department for Transport,Department for Transport,01/02/2011,Translation Services,Accident Investigating Branches,K INTERNATIONAL PLC,2000024292,893.08
Department for Transport,Department for Transport,01/02/2011,Land & Buildings (excl Dwellings) Capital Cost,Finance & Estates ,KIER REGIONAL LTD,2000024306,"653,677.95"
Department for Transport,Department for Transport,01/02/2011,Support Services,Rail Technical & Professional,LEGAL SERVICES COMMISSION,2000003640,"404,670.05"
Department for Transport,Department for Transport,01/02/2011,Capital Grant to Priv Sector - Companies,Projects,LONDON & SOUTH EASTERN RAILWAY,2000003638,"33,831.83"
Department for Transport,Department for Transport,01/02/2011,PTOC - PTE Grant Payments,Rail Strategy & Stakeholder Relations,MERSEY TRAVEL,2000003635,"5,427,060.46"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Estates ,MICHAEL PAGE INTERNATIONAL,2000024299,"1,046.99"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Estates ,MICHAEL PAGE INTERNATIONAL,2000024299,"2,644.80"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Estates ,MICHAEL PAGE INTERNATIONAL,2000024299,"1,327.28"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003631,"1,110.38"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003631,"-1,586.25"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003631,-634.5
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003631,"-1,110.38"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003631,"2,158.98"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003631,"2,669.94"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003631,"1,567.32"
Department for Transport,Department for Transport,01/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003631,"1,727.18"
Department for Transport,Department for Transport,01/02/2011,Car Hire and Leasing,Accident Investigating Branches,Mr William A West,2000024255,186.24
Department for Transport,Department for Transport,01/02/2011,Transport Consultancy,Projects,OVE ARUP & PARTNERS,2000003630,"109,944.53"
Department for Transport,Department for Transport,01/02/2011,Transport Consultancy,Rail Technical & Professional,OVE ARUP & PARTNERS,2000003630,"34,039.69"
Department for Transport,Department for Transport,01/02/2011,Printing,Standalone Units,TAURUS PRINT & DESIGN LTD,2000024277,"1,360.00"
Department for Transport,Department for Transport,01/02/2011,Data Supply - Transport Direct,Information Management Directorate,TRAFFICLINK (UK) LIMITED,2000024302,"20,000.00"
Department for Transport,Department for Transport,01/02/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000024296,"27,818.61"
Department for Transport,Department for Transport,01/02/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000024296,"27,887.05"
Department for Transport,Department for Transport,01/02/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000024296,"5,487.43"
Department for Transport,Department for Transport,01/02/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000024296,"16,372.20"
Department for Transport,Department for Transport,01/02/2011,Small Software,Rail Service Delivery,TRAVEL INFOSYSTEMS,2000003636,"2,100.00"
Department for Transport,Department for Transport,01/02/2011,Research,Road & Vehicle Safety & Standards,TRL LTD,2000024276,"27,050.40"
Department for Transport,Department for Transport,01/02/2011,Management Consultancy,Road & Vehicle Safety & Standards,WSP DEVELOPMENT LTD,2000024297,"11,338.58"
Department for Transport,Department for Transport,02/02/2011,Legal Consultancy,Maritime and Dangerous Goods,ALLEN & OVERY,2000024388,"67,008.94"
Department for Transport,Department for Transport,02/02/2011,Telephone charges,Accident Investigating Branches,ALTERNATIVE NETWORKS PLC,2000024393,886.06
Department for Transport,Department for Transport,02/02/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000024369,"4,181.86"
Department for Transport,Department for Transport,02/02/2011,Machinery Rental,Accident Investigating Branches,BNP PARIBAS,2000024391,"1,120.00"
Department for Transport,Department for Transport,02/02/2011,Machinery Rental,Transport Analysis and Economics,CANON (UK) LTD,2000024371,266.54
Department for Transport,Department for Transport,02/02/2011,Machinery Rental,Transport Analysis and Economics,CANON (UK) LTD,2000024371,266.54
Department for Transport,Department for Transport,02/02/2011,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport Delivery,CARPLUS TRUST,2000003660,"10,000.00"
Department for Transport,Department for Transport,02/02/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000024372,"100,317.12"
Department for Transport,Department for Transport,02/02/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000024372,"282,854.46"
Department for Transport,Department for Transport,02/02/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000024372,"9,218.51"
Department for Transport,Department for Transport,02/02/2011,PTOC - Other PTE Costs,Rail Service Delivery,CENTRO,2000003663,"1,300,000.00"
Department for Transport,Department for Transport,02/02/2011,Financial Consultancy,Major Projects,CITIGROUP GLOBAL MARKETS LTD,2000024389,"840,000.00"
Department for Transport,Department for Transport,02/02/2011,Travel Expenses Overseas,Accident Investigating Branches,CLYDE TRAVEL,2000024375,"-2,208.30"
Department for Transport,Department for Transport,02/02/2011,Travel Expenses UK,Accident Investigating Branches,CLYDE TRAVEL,2000024375,518.64
Department for Transport,Department for Transport,02/02/2011,Travel Expenses UK,Accident Investigating Branches,CLYDE TRAVEL,2000024375,654.36
Department for Transport,Department for Transport,02/02/2011,Travel Expenses UK,Accident Investigating Branches,CLYDE TRAVEL,2000024375,664.38
Department for Transport,Department for Transport,02/02/2011,PTOC - Basic Franchise Pay,Rail Service Delivery,CROSS COUNTRY TRAINS LTD,2000003662,"14,657,230.14"
Department for Transport,Department for Transport,02/02/2011,PTOC - Cp3 Fixed Track Access,Rail Service Delivery,CROSS COUNTRY TRAINS LTD,2000003662,"-12,897,301.00"
Department for Transport,Department for Transport,02/02/2011,PTOC - SPRS Indexation Pay,Rail Service Delivery,CROSS COUNTRY TRAINS LTD,2000003662,"939,083.56"
Department for Transport,Department for Transport,02/02/2011,RTOC - Deed Of Amendment,Rail Service Delivery,CROSS COUNTRY TRAINS LTD,2000003662,"-15,000.00"
Department for Transport,Department for Transport,02/02/2011,Agents Fees,Finance & Planning,DD ACCRAILWAY PENS TRUSTEE,2000003654,"3,833.77"
Department for Transport,Department for Transport,02/02/2011,Capital Grants to NDPBs & CG,London and Road Demand Management,Dept Culture Media and Sport,2000024365,"19,500,819.24"
Department for Transport,Department for Transport,02/02/2011,RTOC - Basic Franchise Rec,Rail Service Delivery,FIRST GREATER WESTERN,2000003660,"-7,903,250.83"
Department for Transport,Department for Transport,02/02/2011,RTOC - Cp3 Fixed Track Access,Rail Service Delivery,FIRST GREATER WESTERN,2000003660,"-9,629,625.10"
Department for Transport,Department for Transport,02/02/2011,RTOC - Deed Of Amendment,Rail Service Delivery,FIRST GREATER WESTERN,2000003660,"40,000.00"
Department for Transport,Department for Transport,02/02/2011,RTOC - Indexation Receipts,Rail Service Delivery,FIRST GREATER WESTERN,2000003660,"-1,469,541.58"
Department for Transport,Department for Transport,02/02/2011,RTOC - Profit/Revenue Share,Rail Service Delivery,FIRST GREATER WESTERN,2000003660,"19,023,000.00"
Department for Transport,Department for Transport,02/02/2011,Legal Consultancy,Projects,FRESHFIELDS,2000003655,"122,178.91"
Department for Transport,Department for Transport,02/02/2011,Legal Consultancy,Projects,FRESHFIELDS,2000003655,"63,630.69"
Department for Transport,Department for Transport,02/02/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,GB RAILFREIGHT LTD,2000024387,"75,444.00"
Department for Transport,Department for Transport,02/02/2011,Publications for Resale,Regional & Local Transport Delivery,GRAPHICS MATTER 3DW LIMITED,2000024378,800
Department for Transport,Department for Transport,02/02/2011,Agency Staff Costs,Human Resources,HAYS PERSONNEL SERVICE LTD,2000024367,"4,104.00"
Department for Transport,Department for Transport,02/02/2011,Management Consultancy,Regional & Local Transport Policy,J D PAINE LTD,2000024394,"8,760.00"
Department for Transport,Department for Transport,02/02/2011,PTOC - Basic Franchise Pay,Rail Service Delivery,LONDON & SOUTH EASTERN RAILWAY,2000003659,"7,154,878.00"
Department for Transport,Department for Transport,02/02/2011,PTOC - Cp3 Fixed Track Access,Rail Service Delivery,LONDON & SOUTH EASTERN RAILWAY,2000003659,"-7,970,908.00"
Department for Transport,Department for Transport,02/02/2011,PTOC - Other SPRS,Rail Service Delivery,LONDON & SOUTH EASTERN RAILWAY,2000003659,"1,682,539.51"
Department for Transport,Department for Transport,02/02/2011,PTOC - Profit/Revenue Share,Rail Service Delivery,LONDON & SOUTH EASTERN RAILWAY,2000003659,"4,676,548.00"
Department for Transport,Department for Transport,02/02/2011,PTOC - SPRS Indexation Pay,Rail Service Delivery,LONDON & SOUTH EASTERN RAILWAY,2000003659,"-57,315.00"
Department for Transport,Department for Transport,02/02/2011,PTOC - Basic Franchise Pay,Rail Service Delivery,LONDON MIDLAND RAILWAY,2000003661,"13,357,564.81"
Department for Transport,Department for Transport,02/02/2011,PTOC - Cp3 Fixed Track Access,Rail Service Delivery,LONDON MIDLAND RAILWAY,2000003661,"-8,617,361.92"
Department for Transport,Department for Transport,02/02/2011,PTOC - Deed Of Amendment,Rail Service Delivery,LONDON MIDLAND RAILWAY,2000003661,"379,939.36"
Department for Transport,Department for Transport,02/02/2011,PTOC - SPRS Indexation Pay,Rail Service Delivery,LONDON MIDLAND RAILWAY,2000003661,"829,454.23"
Department for Transport,Department for Transport,02/02/2011,Agency Staff Costs,Finance & Planning,MICHAEL PAGE INTERNATIONAL,2000003653,648
Department for Transport,Department for Transport,02/02/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000024390,"3,908.16"
Department for Transport,Department for Transport,02/02/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000024390,"3,715.37"
Department for Transport,Department for Transport,02/02/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000024390,"4,190.04"
Department for Transport,Department for Transport,02/02/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000024390,"2,315.40"
Department for Transport,Department for Transport,02/02/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000024390,"4,856.47"
Department for Transport,Department for Transport,02/02/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000024390,"3,705.95"
Department for Transport,Department for Transport,02/02/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000024390,"1,327.24"
Department for Transport,Department for Transport,02/02/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000024390,"1,741.17"
Department for Transport,Department for Transport,02/02/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000024390,"2,078.23"
Department for Transport,Department for Transport,02/02/2011,Security,Information Management Directorate,MINISTRY OF DEFENCE,2000024390,"2,791.26"
Department for Transport,Department for Transport,02/02/2011,Security,Information Management Directorate,MINISTRY OF DEFENCE,2000024390,"3,115.17"
Department for Transport,Department for Transport,02/02/2011,Security,Information Management Directorate,MINISTRY OF DEFENCE,2000024390,"1,655.98"
Department for Transport,Department for Transport,02/02/2011,Security,Information Management Directorate,MINISTRY OF DEFENCE,2000024390,"4,940.02"
Department for Transport,Department for Transport,02/02/2011,Security,Information Management Directorate,MINISTRY OF DEFENCE,2000024390,"2,762.76"
Department for Transport,Department for Transport,02/02/2011,Security,Information Management Directorate,MINISTRY OF DEFENCE,2000024390,653.39
Department for Transport,Department for Transport,02/02/2011,Security,Information Management Directorate,MINISTRY OF DEFENCE,2000024390,"2,912.81"
Department for Transport,Department for Transport,02/02/2011,Security,Information Management Directorate,MINISTRY OF DEFENCE,2000024390,"1,002.59"
Department for Transport,Department for Transport,02/02/2011,Secondments,Transport Security,MINISTRY OF DEFENCE,2000024390,"6,313.38"
Department for Transport,Department for Transport,02/02/2011,Services provided by OGDs,Transport Security,MINISTRY OF DEFENCE,2000024390,"-117,500.00"
Department for Transport,Department for Transport,02/02/2011,Travel Expenses Overseas,Maritime and Dangerous Goods,Mr Jeffrey M Hart,2000024326,2.25
Department for Transport,Department for Transport,02/02/2011,Property Maintenance,Accident Investigating Branches,NORRIS & GARDINER,2000024379,578.18
Department for Transport,Department for Transport,02/02/2011,PTOC - Basic Franchise Pay,Rail Service Delivery,NORTHERN RAIL LTD,2000003658,"15,377,878.60"
Department for Transport,Department for Transport,02/02/2011,PTOC - Cp3 Fixed Track Access,Rail Service Delivery,NORTHERN RAIL LTD,2000003658,"-5,318,296.35"
Department for Transport,Department for Transport,02/02/2011,PTOC - SPRS Indexation Pay,Rail Service Delivery,NORTHERN RAIL LTD,2000003658,"186,292.95"
Department for Transport,Department for Transport,02/02/2011,PTOC - Variable Mileage,Rail Service Delivery,NORTHERN RAIL LTD,2000003658,"-1,363,965.29"
Department for Transport,Department for Transport,02/02/2011,Contract Cleaning,Accident Investigating Branches,PROGRESS CLEANING SERVICES,2000024368,702
Department for Transport,Department for Transport,02/02/2011,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,SNCF CAISSE GENERALE,2000003645,"4,342,009.41"
Department for Transport,Department for Transport,02/02/2011,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,SNCF TRESORERIE ENC RHT VFE,2000003644,"4,825,339.15"
Department for Transport,Department for Transport,02/02/2011,Transport Consultancy,Projects,STEER DAVIES & GLEAVE LTD,2000003651,"8,696.18"
Department for Transport,Department for Transport,02/02/2011,Management Consultancy,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024383,"1,272.54"
Department for Transport,Department for Transport,02/02/2011,Management Consultancy,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024383,"1,574.50"
Department for Transport,Department for Transport,02/02/2011,Management Consultancy,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024383,"1,658.35"
Department for Transport,Department for Transport,02/02/2011,Management Consultancy,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024383,"1,678.39"
Department for Transport,Department for Transport,02/02/2011,Management Consultancy,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024383,"1,500.43"
Department for Transport,Department for Transport,02/02/2011,Management Consultancy,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024383,"1,533.67"
Department for Transport,Department for Transport,02/02/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000024383,"3,196.00"
Department for Transport,Department for Transport,02/02/2011,PTOC - PTE Grant Payments,Rail Strategy & Stakeholder Relations,TFL GROUP TREASURY,2000003656,"1,965,333.00"
Department for Transport,Department for Transport,02/02/2011,Publications for Resale,Regional & Local Transport Delivery,THE STATIONERY OFFICE LTD,2000024385,"4,583.00"
Department for Transport,Department for Transport,02/02/2011,Legal Consultancy,Rail Strategy & Stakeholder Relations,TIMOTHY MOULD,2000003652,"1,600.00"
Department for Transport,Department for Transport,02/02/2011,PTOC - Basic Franchise Pay,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003657,"7,244,007.64"
Department for Transport,Department for Transport,02/02/2011,PTOC - Cp3 Fixed Track Access,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003657,"-2,280,960.92"
Department for Transport,Department for Transport,02/02/2011,PTOC - Other SPRS,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003657,"21,173.43"
Department for Transport,Department for Transport,02/02/2011,PTOC - Profit/Revenue Share,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003657,"-980,384.53"
Department for Transport,Department for Transport,02/02/2011,PTOC - SPRS Indexation Pay,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003657,"1,991,997.48"
Department for Transport,Department for Transport,02/02/2011,PTOC - Variable Mileage,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003657,"-400,623.58"
Department for Transport,Department for Transport,02/02/2011,RTOC - Pip,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003657,"98,593.28"
Department for Transport,Department for Transport,02/02/2011,RTOC - Schedule 8 Fixed Performance,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003657,"-5,622.91"
Department for Transport,Department for Transport,02/02/2011,Telephone charges,Accident Investigating Branches,VODAFONE LTD,2000024386,"1,434.29"
