Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,British Transport Police,04/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Sungard Public Sector Ltd,231443,"164,193.69"
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233425,87.94
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233570,89.57
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233570,118.99
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233570,129.9
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233425,176.25
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233570,372.42
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233425,409.19
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233570,496.73
Department for Transport,British Transport Police,11/03/2011,FHQ VEHICLE FLEET MANAGER,VEHICLE SERVICING- PLANNED,BT FLEET LIMITED,235394,"1,631.25"
Department for Transport,British Transport Police,11/03/2011,FHQ VEHICLE FLEET MANAGER,VEHICLE SERVICING- PLANNED,BT FLEET LIMITED,235394,"2,012.80"
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233570,"10,598.45"
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233425,"14,981.25"
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233425,"17,625.00"
Department for Transport,British Transport Police,11/03/2011,HR LEGAL ADVISORY SUPPORT,CLAIM - EMPLOYMENT TRIBUNALS,SIMONS MUIRHEAD & BURTON,233570,"17,822.35"
Department for Transport,British Transport Police,11/03/2011,WN CARDIFF STAFF COSTS,SERVICE CHARGES,BNP Paribas Real Estate Clients Account,234654,"23,911.48"
Department for Transport,British Transport Police,11/03/2011,NW LIVERPOOL STAFF COSTS,BUILDING RENTAL,SANDERSON WEATHERALL CLIENT PREMIUM A/C,234956,"27,690.00"
Department for Transport,British Transport Police,11/03/2011,NW LIVERPOOL STAFF COSTS,BUILDING RENTAL,SANDERSON WEATHERALL CLIENT PREMIUM A/C,234957,"31,046.70"
Department for Transport,British Transport Police,11/03/2011,CAPITAL CONTROL ACCOUNT,LH BUILDINGS - ADDITIONS,STRATEGIC TEAM GROUP CO LTD,235446,"57,754.09"
Department for Transport,British Transport Police,11/03/2011,FHQ VEHICLE FLEET MANAGER,VEHICLE SERVICING- PLANNED,BT FLEET LIMITED,235394,"72,941.11"
Department for Transport,British Transport Police,11/03/2011,CAPITAL CONTROL ACCOUNT,IT - ADDITIONS,Software Box Ltd,233550,"80,160.00"
Department for Transport,British Transport Police,11/03/2011,WN CARDIFF STAFF COSTS,BUILDING RENTAL,BNP Paribas Real Estate Clients Account,234654,"81,762.00"
Department for Transport,British Transport Police,11/03/2011,LN FINANCE,BUILDING RENTAL,"MEIR UZAN, MARC LEE & ADAM LEE PARTNERSHIP",235171,"103,500.00"
Department for Transport,British Transport Police,18/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 10 YEARS,KINETIC SPECIAL VEHICLES LTD,232242,"-80,297.15"
Department for Transport,British Transport Police,18/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 10 YEARS,KINETIC SPECIAL VEHICLES LTD,232244,"-80,297.15"
Department for Transport,British Transport Police,18/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Sysop Ltd,235457,36
Department for Transport,British Transport Police,18/03/2011,LS CROYDON STAFF COSTS,ELECTRICITY,KING STURGE LLP,235936,"1,800.00"
Department for Transport,British Transport Police,18/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Sysop Ltd,235457,"1,969.42"
Department for Transport,British Transport Police,18/03/2011,NE AREA COMMAND,SERVICE CHARGES,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,235258,"3,430.19"
Department for Transport,British Transport Police,18/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Sysop Ltd,235457,"3,541.13"
Department for Transport,British Transport Police,18/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Sysop Ltd,235457,"4,919.71"
Department for Transport,British Transport Police,18/03/2011,LS CROYDON STAFF COSTS,SERVICE CHARGES,KING STURGE LLP,235936,"8,662.20"
Department for Transport,British Transport Police,18/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Sysop Ltd,235457,"8,852.18"
Department for Transport,British Transport Police,18/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Sysop Ltd,235457,"9,206.69"
Department for Transport,British Transport Police,18/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Sysop Ltd,235457,"13,019.71"
Department for Transport,British Transport Police,18/03/2011,NE AREA COMMAND,SERVICE CHARGES,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,235258,"15,373.97"
Department for Transport,British Transport Police,18/03/2011,LS CROYDON STAFF COSTS,BUILDING RENTAL,KING STURGE LLP,235936,"21,634.20"
Department for Transport,British Transport Police,18/03/2011,WN SUPPORT SERVICES,SERVICE CHARGES,BRB (RESIDUARY) LTD,235082,"24,879.70"
Department for Transport,British Transport Police,18/03/2011,WN SUPPORT SERVICES,BUILDING RENTAL,BRB (RESIDUARY) LTD,235082,"40,455.00"
Department for Transport,British Transport Police,18/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 10 YEARS,KINETIC SPECIAL VEHICLES LTD,232240,"41,002.80"
Department for Transport,British Transport Police,18/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 10 YEARS,KINETIC SPECIAL VEHICLES LTD,232243,"41,002.80"
Department for Transport,British Transport Police,18/03/2011,LS INNER LONDON TEAM 5,BUILDING RENTAL,BREANSTAR LIMITED,236262,"52,500.00"
Department for Transport,British Transport Police,18/03/2011,NE AREA COMMAND,BUILDING RENTAL,BRUNTWOOD 2000 ALPHA PORTFOLIO LTD,235258,"60,733.20"
Department for Transport,British Transport Police,18/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 10 YEARS,KINETIC SPECIAL VEHICLES LTD,232390,"80,297.15"
Department for Transport,British Transport Police,18/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 10 YEARS,KINETIC SPECIAL VEHICLES LTD,232391,"80,297.15"
Department for Transport,British Transport Police,18/03/2011,LS AREA COMMAND,TEMPORARY STAFF,LONDON UNDERGROUND LTD,236156,"91,200.00"
Department for Transport,British Transport Police,24/03/2011,CAPITAL CONTROL ACCOUNT,IT - ADDITIONS,ANALYSIS MASON,236666,-48.72
Department for Transport,British Transport Police,24/03/2011,CAPITAL CONTROL ACCOUNT,P&M - ADDITIONS,Vibris Ltd,236200,"1,243.20"
Department for Transport,British Transport Police,24/03/2011,CAPITAL CONTROL ACCOUNT,P&M - ADDITIONS,Vibris Ltd,236200,"2,203.20"
Department for Transport,British Transport Police,24/03/2011,CAPITAL CONTROL ACCOUNT,P&M - ADDITIONS,Vibris Ltd,236200,"3,348.00"
Department for Transport,British Transport Police,24/03/2011,CAPITAL CONTROL ACCOUNT,P&M - ADDITIONS,Vibris Ltd,236200,"4,224.00"
Department for Transport,British Transport Police,24/03/2011,CAPITAL CONTROL ACCOUNT,P&M - ADDITIONS,Vibris Ltd,236200,"7,689.60"
Department for Transport,British Transport Police,24/03/2011,CAPITAL CONTROL ACCOUNT,P&M - ADDITIONS,Vibris Ltd,236200,"27,480.00"
Department for Transport,British Transport Police,24/03/2011,MOBILE DATA PROJECT,IT SOFTWARE MAINTENANCE,NORTHGATE INFORMATION SOLUTIONS LTD,232442,"29,850.00"
Department for Transport,British Transport Police,24/03/2011,FHQ TECHNOLOGY MANAGER,COMMS DATA,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,236688,"30,626.00"
Department for Transport,British Transport Police,24/03/2011,CAPITAL CONTROL ACCOUNT,IT - ADDITIONS,ANALYSIS MASON,236666,"34,186.32"
Department for Transport,British Transport Police,24/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 10 YEARS,PACE SYSTEMS INTERNATIONAL LTD,236699,"50,474.40"
Department for Transport,British Transport Police,24/03/2011,FHQ TECHNOLOGY MANAGER,TELEPHONE CALLS,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,236690,"51,793.78"
Department for Transport,British Transport Police,24/03/2011,FHQ PNC BUREAU,DATA CHARGES,NATIONAL POLICING IMPROVEMENT AGENCY,231231,"62,670.66"
Department for Transport,British Transport Police,24/03/2011,FHQ PNC BUREAU,DATA CHARGES,NATIONAL POLICING IMPROVEMENT AGENCY,225262,"106,653.33"
Department for Transport,British Transport Police,24/03/2011,FHQ TECHNOLOGY MANAGER,COMMS DATA,GLOBAL CROSSING (UK) TELECOMMUNICATIONS,236686,"113,343.42"
Department for Transport,British Transport Police,24/03/2011,FHQ CONTROL ROOMS,BUILDING RENTAL,LONDON UNDERGROUND LTD,236314,"186,376.80"
Department for Transport,British Transport Police,25/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Airwave Solutions Limited,231024,"155,163.03"
Department for Transport,British Transport Police,25/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Airwave Solutions Limited,233343,"155,163.03"
Department for Transport,British Transport Police,25/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Airwave Solutions Limited,225811,"172,322.06"
Department for Transport,British Transport Police,25/03/2011,FHQ TECHNOLOGY MANAGER,IT HARDWARE MAINTENANCE,Airwave Solutions Limited,228570,"172,919.02"
Department for Transport,British Transport Police,29/03/2011,FUTURES PROJECT,REDUNDANCY,TRANSACT CLIENT ACCOUNT,22504,"52,372.22"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237082,"-26,284.06"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237083,"-26,284.06"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237085,"-26,284.06"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237086,"-26,284.06"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237084,"-25,974.83"
Department for Transport,British Transport Police,30/03/2011,NE YORK STAFF COSTS,SERVICE CHARGES,LAMBERT SMITH HAMPTON,237502,"-13,030.76"
Department for Transport,British Transport Police,30/03/2011,NE YORK STAFF COSTS,SERVICE CHARGES,LAMBERT SMITH HAMPTON,237502,"-12,500.20"
Department for Transport,British Transport Police,30/03/2011,NE YORK STAFF COSTS,SERVICE CHARGES,LAMBERT SMITH HAMPTON,237502,"-3,327.00"
Department for Transport,British Transport Police,30/03/2011,FHQ FACILITIES,BUILDING RENTAL,Deauville Securites Ltd,236162,-0.01
Department for Transport,British Transport Police,30/03/2011,FHQ MAJOR INCIDENT SUPPORT,SOLICITORS FEES,MARIEL IRVINE SOLICITORS,236259,204
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,LH BUILDINGS - ADDITIONS,PATON PLANT LTD,237642,"2,277.60"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,LH BUILDINGS - ADDITIONS,PATON PLANT LTD,237642,"2,640.00"
Department for Transport,British Transport Police,30/03/2011,FHQ TECHNOLOGY MANAGER,TRAINING-STAFF,SIEMENS ENTERPRISE COMMUNICATIONS LTD,237621,"3,232.80"
Department for Transport,British Transport Police,30/03/2011,FHQ TECHNOLOGY MANAGER,TRAINING-STAFF,SIEMENS ENTERPRISE COMMUNICATIONS LTD,237621,"3,393.60"
Department for Transport,British Transport Police,30/03/2011,FHQ MAJOR INCIDENT SUPPORT,SOLICITORS FEES,MARIEL IRVINE SOLICITORS,236259,"11,356.20"
Department for Transport,British Transport Police,30/03/2011,FHQ MAJOR INCIDENT SUPPORT,SOLICITORS FEES,MARIEL IRVINE SOLICITORS,236259,"15,000.00"
Department for Transport,British Transport Police,30/03/2011,FHQ MAJOR INCIDENT SUPPORT,SOLICITORS FEES,MARIEL IRVINE SOLICITORS,236259,"17,184.40"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,IT - ADDITIONS,SIEMENS ENTERPRISE COMMUNICATIONS LTD,237621,"21,879.10"
Department for Transport,British Transport Police,30/03/2011,FHQ TECHNOLOGY MANAGER,COMMS DATA,SIEMENS ENTERPRISE COMMUNICATIONS LTD,237621,"22,261.60"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,LH BUILDINGS - ADDITIONS,PATON PLANT LTD,237642,"22,852.80"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237084,"25,974.83"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237082,"26,284.06"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237083,"26,284.06"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237085,"26,284.06"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237086,"26,284.06"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237082,"26,316.95"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237083,"26,316.95"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237084,"26,316.95"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237085,"26,316.95"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,VEHICLE OWNED - ADDIT 3 YEARS,HONDA (UK) CARS,237086,"26,316.95"
Department for Transport,British Transport Police,30/03/2011,LS AREA COMMAND,TEMPORARY STAFF,LONDON UNDERGROUND LTD,236855,"36,480.00"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,LH BUILDINGS - ADDITIONS,OVERBURY PLC,236249,"39,324.10"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,INTANG ASSETS LICENCES - ADD,Sungard Public Sector Ltd,237073,"48,000.00"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,IT - ADDITIONS,SIEMENS ENTERPRISE COMMUNICATIONS LTD,237621,"48,771.60"
Department for Transport,British Transport Police,30/03/2011,LN AREA JUSTICE UNIT,SECONDED IN COSTS,LONDON UNDERGROUND LTD,236790,"60,854.77"
Department for Transport,British Transport Police,30/03/2011,FHQ FACILITIES,BUILDING RENTAL,NETWORK RAIL,237360,"81,130.80"
Department for Transport,British Transport Police,30/03/2011,PDU CAMDEN ROAD,BUILDING RENTAL,Elebro Limited,237283,"85,500.00"
Department for Transport,British Transport Police,30/03/2011,LN NO WITNESS NO JUSTICE,SECONDED IN COSTS,LONDON UNDERGROUND LTD,236787,"119,654.77"
Department for Transport,British Transport Police,30/03/2011,FHQ FACILITIES,BUILDING RENTAL,Deauville Securites Ltd,236162,"220,307.25"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,IT - ADDITIONS,SIEMENS ENTERPRISE COMMUNICATIONS LTD,237621,"243,240.00"
Department for Transport,British Transport Police,30/03/2011,LS AREA COMMAND,TEMPORARY STAFF,LONDON UNDERGROUND LTD,236854,"323,835.12"
Department for Transport,British Transport Police,30/03/2011,CAPITAL CONTROL ACCOUNT,IT - ADDITIONS,Sungard Public Sector Ltd,236664,"329,074.80"
Department for Transport,Department for Transport,01/03/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003971,"3,061.32"
Department for Transport,Department for Transport,01/03/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003971,"2,052.00"
Department for Transport,Department for Transport,01/03/2011,Agency Staff Costs,Finance & Planning,ALLEN LANE FINANCIAL RECRUITMENT,2000003971,"3,286.20"
Department for Transport,Department for Transport,01/03/2011,Financial Consultancy,Finance & Planning,KPMG,2000003972,"23,482.59"
Department for Transport,Department for Transport,01/03/2011,Management Consultancy,Finance & Planning,BOVIS LEND LEASE CONSULTING LTD,2000003973,"7,560.00"
Department for Transport,Department for Transport,01/03/2011,Management Consultancy,Rail Technical & Professional,BOVIS LEND LEASE CONSULTING LTD,2000003973,"53,889.00"
Department for Transport,Department for Transport,01/03/2011,Management Consultancy,Rail Technical & Professional,BOVIS LEND LEASE CONSULTING LTD,2000003973,"-53,889.00"
Department for Transport,Department for Transport,01/03/2011,Agents Fees,Finance & Planning,DD ACCRAILWAY PENS TRUSTEE,2000003974,"3,840.91"
Department for Transport,Department for Transport,01/03/2011,PTOC - PTE Grant Payments,Rail Strategy & Stakeholder Relations,MERSEY TRAVEL,2000003975,"4,170,866.46"
Department for Transport,Department for Transport,01/03/2011,MAA Proceeds Paid,+++ CHECK PROFIT CENTRE +++,HM TREASURY-CFER,2000026792,500
Department for Transport,Department for Transport,01/03/2011,Agency Staff Costs,Finance & Estates ,HAYS PERSONNEL SERVICE LTD,2000026794,"1,440.00"
Department for Transport,Department for Transport,01/03/2011,Contract Cleaning,Accident Investigating Branches,PROGRESS CLEANING SERVICES,2000026795,702
Department for Transport,Department for Transport,01/03/2011,Research,Transform Licensing Logistics and Sponsorship,AEA TECHNOLOGY PLC,2000026796,"9,550.00"
Department for Transport,Department for Transport,01/03/2011,Training,Transport Security,ATKINS LTD (TRANSPORT PLANNING),2000026797,759.64
Department for Transport,Department for Transport,01/03/2011,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000026798,"12,385.72"
Department for Transport,Department for Transport,01/03/2011,Computer equipment,Accident Investigating Branches,DELL CORPORATION LTD,2000026800,867
Department for Transport,Department for Transport,01/03/2011,Agency Staff Costs,Information Management Directorate,ELAN COMPUTING LTD,2000026801,"1,630.14"
Department for Transport,Department for Transport,01/03/2011,Transport Consultancy,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000026802,"54,266.40"
Department for Transport,Department for Transport,01/03/2011,Agency Staff Costs,Finance & Estates ,KELLY SERVICES (UK) LTD,2000026803,956
Department for Transport,Department for Transport,01/03/2011,Data Supply - Transport Direct,Information Management Directorate,RAIL SETTLEMENT PLAN,2000026804,"2,400.00"
Department for Transport,Department for Transport,01/03/2011,IT Services  Running Costs,Information Management Directorate,TRAPEZE GROUP (UK) LTD,2000026806,"18,559.20"
Department for Transport,Department for Transport,01/03/2011,Curr Grant to Priv Sect-Persons & NPISH,London and Road Demand Management,DUNHAM BRIDGE CO,2000026809,"31,415.21"
Department for Transport,Department for Transport,01/03/2011,Current Grant to other CG body,Aviation,EQUALITY AND HUMAN RIGHTS,2000026811,"49,122.15"
Department for Transport,Department for Transport,01/03/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000026815,"2,419.67"
Department for Transport,Department for Transport,01/03/2011,Services provided by OGDs,Transform Licensing Logistics and Sponsorship,DEPARTMENT FOR WORK & PENSIONS,2000026817,"33,703.57"
Department for Transport,Department for Transport,02/03/2011,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,SNCF TRESORERIE ENC RHT VFE,2000003988,"4,716,554.84"
Department for Transport,Department for Transport,02/03/2011,Eurotunnel Admin Payment,Rail Strategy & Stakeholder Relations,SNCF CAISSE GENERALE,2000003989,"4,280,925.34"
Department for Transport,Department for Transport,02/03/2011,Agents Fees,Finance & Planning,EXEL PLC,2000003990,"440,000.00"
Department for Transport,Department for Transport,02/03/2011,PTOC - PTE Grant Payments,Rail Strategy & Stakeholder Relations,TFL GROUP TREASURY,2000003991,"1,965,333.00"
Department for Transport,Department for Transport,02/03/2011,PTOC - Basic Franchise Pay,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003992,"7,244,007.64"
Department for Transport,Department for Transport,02/03/2011,PTOC - Cp3 Fixed Track Access,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003992,"-2,280,960.92"
Department for Transport,Department for Transport,02/03/2011,PTOC - Other SPRS,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003992,"21,173.43"
Department for Transport,Department for Transport,02/03/2011,PTOC - PIP,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003992,"511,157.83"
Department for Transport,Department for Transport,02/03/2011,PTOC - Profit/Revenue Share,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003992,"-980,384.53"
Department for Transport,Department for Transport,02/03/2011,PTOC - Sch8 Variable Perf,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003992,"2,398.23"
Department for Transport,Department for Transport,02/03/2011,PTOC - SPRS Indexation Pay,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003992,"1,991,997.48"
Department for Transport,Department for Transport,02/03/2011,PTOC - Variable Mileage,Rail Service Delivery,TRANSPENNINE EXPRESS,2000003992,"-400,623.58"
Department for Transport,Department for Transport,02/03/2011,PTOC - Basic Franchise Pay,Rail Service Delivery,NORTHERN RAIL LTD,2000003993,"15,377,878.60"
Department for Transport,Department for Transport,02/03/2011,PTOC - Cp3 Fixed Track Access,Rail Service Delivery,NORTHERN RAIL LTD,2000003993,"-5,318,296.35"
Department for Transport,Department for Transport,02/03/2011,PTOC - SPRS Indexation Pay,Rail Service Delivery,NORTHERN RAIL LTD,2000003993,"186,292.95"
Department for Transport,Department for Transport,02/03/2011,PTOC - Variable Mileage,Rail Service Delivery,NORTHERN RAIL LTD,2000003993,"-1,363,965.29"
Department for Transport,Department for Transport,02/03/2011,PTOC - Basic Franchise Pay,Rail Service Delivery,LONDON MIDLAND RAILWAY,2000003994,"13,357,564.81"
Department for Transport,Department for Transport,02/03/2011,PTOC - Cp3 Fixed Track Access,Rail Service Delivery,LONDON MIDLAND RAILWAY,2000003994,"-8,617,361.92"
Department for Transport,Department for Transport,02/03/2011,PTOC - Deed Of Amendment,Rail Service Delivery,LONDON MIDLAND RAILWAY,2000003994,"379,939.36"
Department for Transport,Department for Transport,02/03/2011,PTOC - SPRS Indexation Pay,Rail Service Delivery,LONDON MIDLAND RAILWAY,2000003994,"829,454.23"
Department for Transport,Department for Transport,02/03/2011,PTOC - Basic Franchise Pay,Rail Service Delivery,CROSS COUNTRY TRAINS LTD,2000003995,"14,657,230.14"
