Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,03/11/2016,0000203382,336.00,Revenue,Phillips Accomodation Ltd,01284
Rushmoor Borough Council,Community,2540,Temporary Traffic Order Advertisements,17/11/2016,0000203386,427.00,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Legal,1210,Contract Staff,03/11/2016,0000203388,683.76,Revenue,Hays,02287
Rushmoor Borough Council,Community,2556,Payment to Contractor,10/11/2016,0000203396,675.00,Revenue,Tag Environmental Solutions Ltd,13259
Rushmoor Borough Council,Community,2518,Equipment Maintenance,03/11/2016,0000203400,677.61,Revenue,Stage Electrics,07262
Rushmoor Borough Council,Community,2510,Catering and Refreshments,03/11/2016,0000203401,637.50,Revenue,H H Clark (Caterers) Ltd,01393
Rushmoor Borough Council,Legal,1202,Temporary Staff,03/11/2016,0000203402,1012.50,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Democratic Services,1302,Postages,03/11/2016,0000203407,4012.72,Revenue,Electoral Reform Services,06506
Rushmoor Borough Council,Environmental Health and Housing,2218,Housing Medical Reports,10/11/2016,0000203413,280.10,Revenue,Corporate Medical Services,10281
Rushmoor Borough Council,Legal,1208,Temporary Staff,03/11/2016,0000203437,307.16,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1209,Temporary Staff,03/11/2016,0000203437,512.00,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,03/11/2016,0000203439,630.00,Revenue,Hays,02287
Rushmoor Borough Council,Information Technology,3302,Application Software,10/11/2016,0000203456,20600.00,Revenue,Esri (Uk) Ltd,02631
Rushmoor Borough Council,Community,2549,Materials,03/11/2016,0000203459,830.00,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Legal,1202,Counsels Fees,03/11/2016,0000203463,2721.50,Revenue,Veale Wasbrough Vizards Llp,13820
Rushmoor Borough Council,Information Technology,3300,Conferences and Seminars,03/11/2016,0000203472,540.00,Revenue,Dods Parliamentary Communications Ltd,09410
Rushmoor Borough Council,Community,2526,Rents,03/11/2016,0000203474,-463.03,Revenue,Savills (Uk) Ltd,12411
Rushmoor Borough Council,Community,2526,Rents,03/11/2016,0000203475,2354.00,Revenue,Savills (Uk) Ltd,12411
Rushmoor Borough Council,Legal,1210,Contract Staff,03/11/2016,0000203476,700.04,Revenue,Hays,02287
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,03/11/2016,0000203477,331.58,Revenue,Running Imp International,00833
Rushmoor Borough Council,Community,6528,Contract Costs,03/11/2016,0000203503,2142.30,Capital,Adas Uk Ltd,08774
Rushmoor Borough Council,Community,6571,Contract Costs,03/11/2016,0000203503,1969.00,Capital,Adas Uk Ltd,08774
Rushmoor Borough Council,Democratic Services,1310,Conferences and Seminars,03/11/2016,0000203504,1350.00,Revenue,Chris Kelly,00229
Rushmoor Borough Council,Information Technology,3307,Mobile Phones,03/11/2016,0000203505,442.67,Revenue,Vodafone Limited,08864
Rushmoor Borough Council,Legal,1204,Operational Equipment,03/11/2016,0000203511,3097.58,Revenue,Valuation Office Agency,01073
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,03/11/2016,0000203514,927.33,Revenue,Wesson Fencing,07143
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,03/11/2016,0000203516,400.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,03/11/2016,0000203516,1300.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,03/11/2016,0000203517,600.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,03/11/2016,0000203517,1200.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Community,2517,Tree Maintenance,03/11/2016,0000203519,450.00,Revenue,Alderwood Tree Services,01218
Rushmoor Borough Council,Democratic Services,1313,Hampshire and Isle of Wight Subscription,03/11/2016,0000203521,400.00,Revenue,Hampshire & Isle Of Wight Localgov Assoc,03107
Rushmoor Borough Council,Democratic Services,1327,Postages,03/11/2016,0000203522,1586.66,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2518,Refreshment Purchases,03/11/2016,0000203523,289.20,Revenue,Bentons,12526
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,03/11/2016,0000203525,331.00,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Community,2517,Playground Apparatus,03/11/2016,0000203526,275.00,Revenue,Wesson Fencing,07143
Rushmoor Borough Council,Community,2517,Maintenance of Pavilions and Buildings,03/11/2016,0000203532,285.00,Revenue,Crowthorne Heating Co Ltd,10551
Rushmoor Borough Council,Community,2517,Tree Maintenance,03/11/2016,0000203537,1000.00,Revenue,P A Searle,00699
Rushmoor Borough Council,Community,2517,Tree Maintenance,03/11/2016,0000203538,850.00,Revenue,P A Searle,00699
Rushmoor Borough Council,Information Technology,3305,Temporary Staff,03/11/2016,0000203539,395.00,Revenue,Spring Telecommunications,08672
Rushmoor Borough Council,Information Technology,3307,Temporary Staff,03/11/2016,0000203539,395.00,Revenue,Spring Telecommunications,08672
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,03/11/2016,0000203540,1500.00,Revenue,Profectus Group Ltd,14309
Rushmoor Borough Council,Democratic Services,1302,External Printing,03/11/2016,0000203541,1622.38,Revenue,Electoral Reform Services,06506
Rushmoor Borough Council,Legal,1202,Counsels Fees,03/11/2016,0000203542,5640.00,Revenue,Mr Scott Stemp,13867
Rushmoor Borough Council,Holding Accounts,9404,Pensions Advice,03/11/2016,0000203543,1245.00,Holding Accounts,Aon Hewitt,11804
Rushmoor Borough Council,Legal,1202,Books and Publications,03/11/2016,0000203545,408.00,Revenue,Thomson Reuters,00955
Rushmoor Borough Council,Community,2517,Playground Apparatus,03/11/2016,0000203547,1900.00,Revenue,Bounceback Safety Surfaces Ltd,12149
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,03/11/2016,0000203549,336.00,Revenue,Phillips Accomodation Ltd,01284
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,03/11/2016,0000203551,877.00,Revenue,Site Equip Ltd,00886
Rushmoor Borough Council,Customer Services,3807,Temporary Staff,03/11/2016,0000203553,1000.88,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Customer Services,3807,Temporary Staff,03/11/2016,0000203554,994.50,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Legal,1208,Temporary Staff,10/11/2016,0000203555,395.70,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1209,Temporary Staff,10/11/2016,0000203555,659.50,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,03/11/2016,0000203557,576.00,Revenue,Hays,02287
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,10/11/2016,0000203559,500.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,10/11/2016,0000203559,400.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,10/11/2016,0000203559,600.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Community,2518,Payment to Artistes,03/11/2016,0000203561,3000.00,Revenue,Derek Block Concert Promotions Ltd,02720
Rushmoor Borough Council,Democratic Services,1327,Postages,10/11/2016,0000203572,452.81,Revenue,Royal Mail,00821
Rushmoor Borough Council,Community,2561,Marrowbrook Repairs and Maintenance,03/11/2016,0000203574,480.00,Revenue,Mack Trading (Heaton Park) Ltd,11108
Rushmoor Borough Council,Community,6552,Contract Costs,03/11/2016,0000203575,9500.00,Capital,Crowthorne Heating Co Ltd,10551
Rushmoor Borough Council,Community,6518,Contract Costs,03/11/2016,0000203576,2970.00,Capital,Straight Manufacturing Ltd,10472
Rushmoor Borough Council,Planning,2612,Microfilimg,03/11/2016,0000203579,285.00,Revenue,Response Technical Services Limited,13359
Rushmoor Borough Council,Community,2561,General Repairs and Maintenance,03/11/2016,0000203580,1435.00,Revenue,Mack Trading (Heaton Park) Ltd,11108
Rushmoor Borough Council,Community,6573,Contract Costs,17/11/2016,0000203581,6959.00,Capital,Wyg Environment Planning Transport Ltd,11470
Rushmoor Borough Council,Information Technology,3304,Internet,10/11/2016,0000203582,12000.00,Revenue,Virgin Media Payments,09920
Rushmoor Borough Council,Legal,1210,Contract Staff,10/11/2016,0000203584,1131.46,Revenue,Hays,02287
Rushmoor Borough Council,Community,2538,NPAS Fees,10/11/2016,0000203585,3534.00,Revenue,Patrol,05572
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,03/11/2016,0000203586,1772.26,Revenue,Branded Concept Security Ltd,06117
Rushmoor Borough Council,Community,2518,Payment to Artistes,03/11/2016,0000203591,6652.68,Revenue,Brian Shaw,13388
Rushmoor Borough Council,Community,2555,Payment to Contractor,10/11/2016,0000203592,13883.40,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Car Parks,10/11/2016,0000203593,7280.83,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Highways,10/11/2016,0000203593,65715.90,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Parks,10/11/2016,0000203593,9644.94,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Contract Variations Highways,10/11/2016,0000203594,1814.30,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2556,Payment to Contractor,10/11/2016,0000203595,772.46,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Payment to Contractor,10/11/2016,0000203596,106502.59,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,10/11/2016,0000203596,703.66,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Payment to Contractor,10/11/2016,0000203596,64612.28,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Wheeled Bin Delivery/Assembly,17/11/2016,0000203597,771.30,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Bulky Waste Collection,17/11/2016,0000203597,2155.87,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2553,Clinical Waste,17/11/2016,0000203597,1029.00,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Wheeled Bin Delivery/Assembly,17/11/2016,0000203597,2231.58,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2554,Payment to Contractor,17/11/2016,0000203597,352.16,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grave Digging and Maintenance,10/11/2016,0000203598,742.56,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,03/11/2016,0000203599,2108.86,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2517,Tree Maintenance,03/11/2016,0000203599,319.37,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,03/11/2016,0000203599,664.59,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Base,03/11/2016,0000203599,16286.39,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Variations,03/11/2016,0000203599,1385.16,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,03/11/2016,0000203599,14914.08,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Maintenance,03/11/2016,0000203599,261.87,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,03/11/2016,0000203599,9252.64,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Prospect Estate Base,03/11/2016,0000203599,2484.16,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,03/11/2016,0000203599,30183.57,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance,03/11/2016,0000203599,1029.76,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Amenity Base,03/11/2016,0000203599,8096.99,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Information Technology,3305,Routine Grounds Maintenance,03/11/2016,0000203599,1133.19,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,6564,Contract Costs,03/11/2016,0000203599,1783.06,Capital,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2517,Tree Survey Works,03/11/2016,0000203600,2280.00,Revenue,Sapling Arboriculture Limited,09448
Rushmoor Borough Council,Customer Services,3808,Conferences and Seminars,03/11/2016,0000203604,650.00,Revenue,Airey Consultancy Services,08608
Rushmoor Borough Council,Community,2518,Publicity and Advertising,03/11/2016,0000203608,251.30,Revenue,Families Surrey West,10045
Rushmoor Borough Council,Community,2555,General Repairs and Maintenance,03/11/2016,0000203613,306.10,Revenue,Wallgate Ltd,05846
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,03/11/2016,0000203615,4375.00,Revenue,Auron Media Limited,12877
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,03/11/2016,0000203615,1400.00,Holding Accounts,Auron Media Limited,12877
Rushmoor Borough Council,Information Technology,3305,Cleaning Materials,03/11/2016,0000203617,717.15,Revenue,Source Office Supplies Ltd,14253
Rushmoor Borough Council,Community,2518,Payment to Artistes,03/11/2016,0000203620,2632.08,Revenue,Joe Brown Productions Ltd,05885
Rushmoor Borough Council,Legal,1208,Building Maintenance,10/11/2016,0000203621,1059.60,Revenue,Sgn Connections,10419
Rushmoor Borough Council,Strategy and Communiations,1413,Farnborough Christmas Events,24/11/2016,0000203622,3250.00,Revenue,Fuse Projects Ltd,14353
Rushmoor Borough Council,Information Technology,3306,Temporary Staff,03/11/2016,0000203625,763.29,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Information Technology,3306,Temporary Staff,03/11/2016,0000203626,983.03,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,17/11/2016,0000203632,493.75,Revenue,Spring Telecommunications,08672
Rushmoor Borough Council,Information Technology,3307,Temporary Staff,17/11/2016,0000203632,493.75,Revenue,Spring Telecommunications,08672
Rushmoor Borough Council,Information Technology,3304,Internet,17/11/2016,0000203635,764.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Customer Services,3805,Tracing Fees,10/11/2016,0000203639,1620.00,Revenue,Experian Ltd,05686
Rushmoor Borough Council,Environmental Health and Housing,2228,Fuel Costs,10/11/2016,0000203641,289.51,Revenue,Allstar Business Solutions Ltd,00721
Rushmoor Borough Council,Community,2518,Publicity and Advertising,10/11/2016,0000203643,2411.00,Revenue,Sign-Fx,04242
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,10/11/2016,0000203647,2800.00,Revenue,Jigsaw Promotions,09240
Rushmoor Borough Council,Information Technology,3306,Photocopiers,10/11/2016,0000203649,292.61,Revenue,Canon (Uk) Ltd,06665
Rushmoor Borough Council,Community,6573,Contract Costs,17/11/2016,0000203651,950.00,Capital,Rp Austin,13681
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,10/11/2016,0000203655,3080.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,10/11/2016,0000203659,385.30,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Democratic Services,1304,Mayors Charity Golf,10/11/2016,0000203660,1145.50,Revenue,The Pantry,11786
Rushmoor Borough Council,Community,2533,Fireworks Event Expenditure,17/11/2016,0000203662,830.00,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,6573,Contract Costs,10/11/2016,0000203664,2450.00,Capital,Cooper And Withycombe,13479
Rushmoor Borough Council,Information Technology,3305,Canteen Subsidy,10/11/2016,0000203665,1878.42,Revenue,Abm Catering Limited,13822
Rushmoor Borough Council,Control Accounts,9362,Local Enterprise Partnership,10/11/2016,0000203666,712.60,Control Accounts,Cyan Solutions Ltd,13258
Rushmoor Borough Council,Community,2518,Cleaning,10/11/2016,0000203669,332.26,Revenue,Jms Janitorial Supplies,00521
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,17/11/2016,0000203671,1500.00,Revenue,Profectus Group Ltd,14309
Rushmoor Borough Council,Information Technology,3306,Photocopiers,10/11/2016,0000203672,414.07,Revenue,Datasharp Independent Solutions,00281
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,10/11/2016,0000203675,8928.83,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,10/11/2016,0000203676,492.20,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Environmental Health and Housing,2204,Kennel/Feed Stray Dogs,10/11/2016,0000203680,794.00,Revenue,Bowenhurst Kennels,00167
Rushmoor Borough Council,Information Technology,7500,Cash Receipting,10/11/2016,0000203681,500.00,Capital,Bottomline Technologies,05191
Rushmoor Borough Council,Community,6542,Contract Costs,10/11/2016,0000203682,1600.00,Capital,Carrington - Bywayter Ltd,14152
Rushmoor Borough Council,Community,6573,Contract Costs,24/11/2016,0000203683,600.00,Capital,Stilwell Partnership,12427
Rushmoor Borough Council,Community,2518,Refreshment Purchases,10/11/2016,0000203695,324.52,Revenue,Bentons,12526
Rushmoor Borough Council,Financial Services,3404,External Audit Fee,17/11/2016,0000203696,12460.00,Revenue,Ernst And Young Llp,01838
Rushmoor Borough Council,Customer Services,3811,External Audit Fee,17/11/2016,0000203696,1878.00,Revenue,Ernst And Young Llp,01838
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,10/11/2016,0000203697,649.70,Revenue,Wesson Fencing,07143
Rushmoor Borough Council,Legal,1208,Temporary Staff,17/11/2016,0000203698,385.29,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1209,Temporary Staff,17/11/2016,0000203698,642.14,Revenue,Hays,02287
Rushmoor Borough Council,Customer Services,3807,Temporary Staff,10/11/2016,0000203700,1007.25,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Legal,1202,Temporary Staff,17/11/2016,0000203701,945.00,Revenue,Venn Group Ltd,10133
Rushmoor Borough Council,Community,2534,Grant to Dial a Ride,10/11/2016,0000203703,16780.74,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Planning,2604,Publicity and Advertising,10/11/2016,0000203704,593.80,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Community,2540,Temporary Traffic Order Advertisements,24/11/2016,0000203706,427.00,Revenue,Hampshire Media Ltd,12446
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,10/11/2016,0000203707,975.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,10/11/2016,0000203709,550.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Storage,10/11/2016,0000203711,300.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,10/11/2016,0000203712,2090.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,10/11/2016,0000203713,3600.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Storage,10/11/2016,0000203714,520.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Information Technology,3304,Network Software,17/11/2016,0000203715,1690.00,Revenue,Heat Software Uk Limited,11878
Rushmoor Borough Council,Community,2537,Grounds Maintenance,10/11/2016,0000203718,850.00,Revenue,P A Searle,00699
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,10/11/2016,0000203721,361.00,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Information Technology,3305,Office Security,10/11/2016,0000203722,402.00,Revenue,Adt Fire And Security Plc,03782
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,10/11/2016,0000203723,296.34,Revenue,Adt Fire And Security Plc,03782
Rushmoor Borough Council,Environmental Health and Housing,2212,Payment to Contractor,10/11/2016,0000203724,1078.00,Revenue,Sdk Environmental,12590
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,10/11/2016,0000203725,400.00,Revenue,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,10/11/2016,0000203725,600.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,10/11/2016,0000203725,800.00,Holding Accounts,Austin Fraser,09925
Rushmoor Borough Council,Community,2526,Electricity,10/11/2016,0000203732,423.25,Revenue,Total Gas & Power Limited,13301
Rushmoor Borough Council,Control Accounts,9361,Supporting Families Initiative,10/11/2016,0000203733,303.00,Control Accounts,Westfields Pre School Playgroup,14358
Rushmoor Borough Council,Community,2518,Payment to Artistes,10/11/2016,0000203734,2139.05,Revenue,Housefull Productions Ltd,04765
Rushmoor Borough Council,Community,2518,Publicity and Advertising,10/11/2016,0000203735,300.00,Revenue,New Life Magazines Ltd,12882
Rushmoor Borough Council,Community,2551,Memorial Vaults,17/11/2016,0000203740,257.50,Revenue,The Columbaria Company,00993
Rushmoor Borough Council,Information Technology,3304,Disaster Recovery,17/11/2016,0000203741,1790.00,Revenue,Daisy It Business Continuity & Resilianc,09349
Rushmoor Borough Council,Legal,1208,Building Maintenance,10/11/2016,0000203744,745.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Information Technology,3306,Paper,10/11/2016,0000203749,292.61,Revenue,Canon (Uk) Ltd,06665
Rushmoor Borough Council,Community,2517,Tree Maintenance,17/11/2016,0000203754,1220.30,Revenue,Lotus Landscapes Limited,12000
Rushmoor Borough Council,Community,2517,Prospect Trees,10/11/2016,0000203755,1420.94,Revenue,Lotus Landscapes Limited,12000
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,17/11/2016,0000203763,1705.00,Revenue,Cedar Court,12803
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,17/11/2016,0000203768,270.00,Revenue,Brand Pest Control,03284
Rushmoor Borough Council,Planning,2609,Public Relations,17/11/2016,0000203769,5053.92,Revenue,East Hampshire District Council,00323
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,10/11/2016,0000203770,312.85,Revenue,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Web Developments,10/11/2016,0000203770,938.55,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Cash Receipting Upgrade/IT Server Virtualisation Work,10/11/2016,0000203770,297.50,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Information Technology,7500,Cash Receipting Upgrade/IT Server Virtualisation Work,10/11/2016,0000203770,297.50,Capital,Uk Transform Ltd,11773
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,10/11/2016,0000203770,1251.40,Holding Accounts,Uk Transform Ltd,11773
Rushmoor Borough Council,Legal,1208,Devereux House External Redecorations/Repairs,10/11/2016,0000203771,4460.00,Revenue,Jenkins & Falvey,03370
Rushmoor Borough Council,Community,2518,Publicity and Advertising,10/11/2016,0000203775,300.00,Revenue,Trinity Mirror Publishing Ltd,00947
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,17/11/2016,0000203779,470.00,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Community,2517,Playground Apparatus,17/11/2016,0000203781,1360.00,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,17/11/2016,0000203783,437.44,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Community,2517,Cove Brook,17/11/2016,0000203784,436.60,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Community,2518,Payment to Artistes,10/11/2016,0000203785,317.66,Revenue,Riviera Entertainments,13132
Rushmoor Borough Council,Community,2518,Payment to Artistes,17/11/2016,0000203788,2721.34,Revenue,Mark Lundquist,14359
Rushmoor Borough Council,Community,2518,Payment to Artistes,17/11/2016,0000203789,1286.41,Revenue,Derek Block Concert Promotions Ltd,02720
Rushmoor Borough Council,Financial Services,3401,Temporary Staff,17/11/2016,0000203791,306.24,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Information Technology,3306,Temporary Staff,17/11/2016,0000203792,994.59,Revenue,Wendy B Employment Consultancy,01743
Rushmoor Borough Council,Legal,1210,Contract Staff,17/11/2016,0000203795,700.04,Revenue,Hays,02287
Rushmoor Borough Council,Customer Services,3811,Stationery,17/11/2016,0000203802,1145.00,Revenue,System Cell Ltd,09586
