Unique Reference Number,Transaction Date,Merchant Category Code Description,Location,Merchant Category Group Description,Amount,Supplier
FCOGPC2016030036,01/03/2016,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),NGA,Professional Services,809.19,BONITECH COMPUTERS LIM
FCOGPC2016030037,01/03/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",ZMB,Utilities and Non Automotive Fuel,823.48,ZESCO MANDA HIL
FCOGPC2016030038,01/03/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",ZMB,Utilities and Non Automotive Fuel,823.49,ZESCO MANDA HIL
FCOGPC2016030039,01/03/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,FIN,Miscellaneous Industrial/Commercial Supplies,835.1,IZ SAHKO-HAKALA O
FCOGPC2016030040,01/03/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",ZMB,Utilities and Non Automotive Fuel,842.01,ZESCO MANDA HIL
FCOGPC2016030041,01/03/2016,HOTELS/MOTELS/RESORTS ,JAM,Hotels,849.05,ACCOMODATION PROVIDER
FCOGPC2016030042,01/03/2016,HOUSEHOLD APPLIANCE STORES,CYP,General Retail and Wholesale,849.52,A.STEPHANIS & CO LTD
FCOGPC2016030043,01/03/2016,ELECTRONIC SALES,ROM,General Retail and Wholesale,862.92,MEDIAGALAXY BUCUREST
FCOGPC2016030044,01/03/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,863.78,ACCOMODATION PROVIDER
FCOGPC2016030045,01/03/2016,TELEGRAPH SERVICES,GBR,Telecommunication Services,910,WP-GIBTELECOM LTD
FCOGPC2016030046,01/03/2016,"ROOFING AND SIDING, SHEET METAL WORK CONTRACTORS",UGA,Building Services,910.5,HARDWARE WORLD-NTINDA
FCOGPC2016030047,01/03/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,FIN,Miscellaneous Industrial/Commercial Supplies,918.43,IZ SAHKO-HAKALA O
FCOGPC2016030048,01/03/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,FIN,Miscellaneous Industrial/Commercial Supplies,928.63,IZ SAHKO-HAKALA O
FCOGPC2016030049,01/03/2016,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",ARE,Computer Equipment & Services,930.19,COMPUTER CARE LLC BR 1
FCOGPC2016030050,01/03/2016,LAWN AND GARDEN SUPPLY STORES,ITA,Estate and garden Services,955.7,UNOPIU'
FCOGPC2016030051,01/03/2016,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,JAM,General Retail and Wholesale,956.47,PERRY'S MANUFACTURING
FCOGPC2016030052,01/03/2016,"BUILDING MATERIALS, LUMBER STORES",GBR,Building Materials,969.4,CITY ELECTRICAL FA
FCOGPC2016030053,01/03/2016,MISCELLANEOUS GENERAL MERCHANDISE,ISL,General Retail and Wholesale,976,KAFFIT R SKRIFSTOFA
FCOGPC2016030054,01/03/2016,LIMOUSINES AND TAXICABS,GBR,Travel - Air/Rail/Road,"1,000",PRESTIGE CHAUFFEUR SER
FCOGPC2016030055,01/03/2016,"SANITATION, POLISHING & SPECIALITY CLEANING PREP",JAM,Cleaning Services and Supplies,"1,015.80",C & R ENTERPRISE
FCOGPC2016030056,01/03/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,USA,Miscellaneous Industrial/Commercial Supplies,"1,021.20",FLA INTL BANKERS ASSOC
FCOGPC2016030057,01/03/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",NGA,General Retail and Wholesale,"1,055.18",2033FC000003558
FCOGPC2016030058,01/03/2016,BICYCLE SHOPS-SALES AND SERVICE,IDN,General Retail and Wholesale,"1,068.87",MJ BIKE
FCOGPC2016030059,01/03/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,TUN,Professional Services,"1,076.57",B S B
FCOGPC2016030060,01/03/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",HRV,Utilities and Non Automotive Fuel,"1,080.17",FINA 30101 ZAGREB
FCOGPC2016030061,01/03/2016,TRAVEL,NLD,Airline,"1,086.13",AIRLINE
FCOGPC2016030062,01/03/2016,"ORGANIZATIONS, POLITICAL",USA,Clubs/Associations/Organisations,"1,212.22",ALLIANCEREGENMED
FCOGPC2016030063,01/03/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Professional Services,"1,217.40",ESSENTRA PACKAGING
FCOGPC2016030064,01/03/2016,TRAVEL AGENCIES,LAO,Travel Agencies,"1,233.44","LAO AIR BOOKING CO., L"
FCOGPC2016030065,01/03/2016,TRAVEL AGENCIES,LAO,Travel Agencies,"1,233.44","LAO AIR BOOKING CO., L"
FCOGPC2016030066,01/03/2016,TRAVEL AGENCIES,LAO,Travel Agencies,"1,233.44","LAO AIR BOOKING CO., L"
FCOGPC2016030067,01/03/2016,TRAVEL AGENCIES,LAO,Travel Agencies,"1,233.44","LAO AIR BOOKING CO., L"
FCOGPC2016030068,01/03/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",NGA,General Retail and Wholesale,"1,270.38",2033FC000003558
FCOGPC2016030069,01/03/2016,COMPUTER SOFTWARE STORES,QAT,Computer Equipment & Services,"1,284.83",NATIONAL COMPUTER CENT
FCOGPC2016030070,01/03/2016,HOTELS/MOTELS/RESORTS ,IRL,Hotels,"1,291.43",ACCOMODATION PROVIDER
FCOGPC2016030071,01/03/2016,FAST FOOD RESTAURANTS,EGY,Restuarants and Bars,"1,296.39",CRAVE
FCOGPC2016030072,01/03/2016,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",ARE,Computer Equipment & Services,"1,305.27",INSPIRE COMPUTERS LLC
FCOGPC2016030073,01/03/2016,COSMETIC STORES,ISR,General Retail and Wholesale,"1,327.57",HAMERKAZ LHOMREY NIKOY
FCOGPC2016030074,01/03/2016,MISCELLANEOUS GENERAL MERCHANDISE,NGA,General Retail and Wholesale,"1,407.38",SIMCARE NIG LTD
FCOGPC2016030075,01/03/2016,INFORMATION RETRIEVAL SERVICES,GBR,Professional Services,"1,410",CROSS-BORDER INFOR
FCOGPC2016030076,01/03/2016,TRAVEL,CHN,Airline,"1,422.10",AIRLINE
FCOGPC2016030077,01/03/2016,ELECTRICAL PARTS AND EQUIPMENT,GBR,Building Materials,"1,444",WILTS ELECTRICAL BRITS
FCOGPC2016030078,01/03/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",NGA,General Retail and Wholesale,"1,456.54",TENNYSON MEGA VENTURES
FCOGPC2016030079,01/03/2016,"EATING PLACES, RESTAURANTS",UKR,Restuarants and Bars,"1,490.49",FIGARO-KEYTERING
FCOGPC2016030080,01/03/2016,TOURIST ATTRACTIONS AND EXHIBITS,GBR,Leisure Activities,"1,500",EAST20
FCOGPC2016030081,01/03/2016,DEPARTMENT STORES,GBR,General Retail and Wholesale,"1,500",JOHN LEWIS
FCOGPC2016030082,01/03/2016,DEPARTMENT STORES,GBR,General Retail and Wholesale,"1,500",JOHN LEWIS
FCOGPC2016030083,01/03/2016,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",ZWE,"Vehicles, servicing and spares","1,571.85",PREMIER AUTO SERVICES
FCOGPC2016030084,01/03/2016,"AUTOMOTIVE PARTS, ACCESSORIES STORES",MAR,"Vehicles, servicing and spares","1,638.76",RYAD AUTO
FCOGPC2016030085,01/03/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,"2,030",ACCOMODATION PROVIDER
FCOGPC2016030086,02/03/2016,DEPARTMENT STORES,GBR,General Retail and Wholesale,500,JOHN LEWIS
FCOGPC2016030087,02/03/2016,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",ESP,"Office Stationery, equipment and supplies",506.88,BAETICA
FCOGPC2016030088,02/03/2016,MISCELLANEOUS PUBLISHING AND PRINTING,GBR,Print and advertising,513.29,G4S SECURE
FCOGPC2016030089,02/03/2016,"FREEZER, LOCKER MEAT PROVISIONERS",CAN,General Retail and Wholesale,519.17,SASLOVE'S MEAT MARKET
FCOGPC2016030090,02/03/2016,TRAVEL AGENCIES,ROM,Travel Agencies,528.2,GO TRAVEL
FCOGPC2016030091,02/03/2016,DIRECT MARKETING-CATALOG MERCHANTS,TUR,Mail Order / Direct Selling,530.64,AVRASYA IS GUVENLIGI
FCOGPC2016030092,02/03/2016,LIMOUSINES AND TAXICABS,GBR,Travel - Air/Rail/Road,535,GREYS OF ELY LTD
FCOGPC2016030093,02/03/2016,BOOK STORES,LUX,Books and Periodicals,536.37,AMAZON UK MARKETPLACE
FCOGPC2016030094,02/03/2016,HOTELS/MOTELS/RESORTS ,JAM,Hotels,548.68,ACCOMODATION PROVIDER
FCOGPC2016030095,02/03/2016,"PAINTS,VARNISHES AND SUPPLIES",USA,Miscellaneous Industrial/Commercial Supplies,550.68,MERIT-KAPLAN PAINT
FCOGPC2016030096,02/03/2016,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,USA,General Retail and Wholesale,559.05,CRATE & BARREL
FCOGPC2016030097,02/03/2016,ELECTRICAL PARTS AND EQUIPMENT,USA,Building Materials,588.51,CISE ELECTRONICS
FCOGPC2016030098,02/03/2016,SHOE STORES,KWT,General Retail and Wholesale,603.42,AL- JAWAREH CO.OLD SHO
FCOGPC2016030099,02/03/2016,DEPARTMENT STORES,IND,General Retail and Wholesale,611.05,ICE CUBE
FCOGPC2016030100,02/03/2016,"AUTOMOTIVE PARTS, ACCESSORIES STORES",BRA,"Vehicles, servicing and spares",625.22,VG EXTINTORES
FCOGPC2016030101,02/03/2016,"COMMERCIAL ART, GRAPHICS, PHOTOGRAPHY",GBR,Print and advertising,630.65,INKIE
FCOGPC2016030102,02/03/2016,"EATING PLACES, RESTAURANTS",KEN,Restuarants and Bars,640.16,HIGHPORT MERCHA
FCOGPC2016030103,02/03/2016,OFFICE PHOTOGRAPHIC PHOTOCOPY & MICROFILM EQUIPMT.,GBR,"Office Stationery, equipment and supplies",644.69,THE COLOR COMPANY
FCOGPC2016030104,02/03/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,660,ACCOMODATION PROVIDER
FCOGPC2016030105,02/03/2016,"ARCHITECTURAL, ENGINEERING, AND SURVEYING SERVICES",GBR,Professional Services,687,WWW.COVASECURITYGATES.
FCOGPC2016030106,02/03/2016,"GROCERY STORES, SUPERMARKETS",KEN,General Retail and Wholesale,687.55,CAMP SUPPLIES L
FCOGPC2016030107,02/03/2016,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",PAK,Professional Services,689.33,SAJCO GROUP OF COMPA
FCOGPC2016030108,02/03/2016,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",JPN,Catering and Catering Supplies,691.94,SQ BANGIT FLORDELIZA
FCOGPC2016030109,02/03/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,PAN,Professional Services,698.87,ACCESS SOUND & LANGUAG
FCOGPC2016030110,02/03/2016,"EATING PLACES, RESTAURANTS",GBR,Restuarants and Bars,701.47,LOCALE
FCOGPC2016030111,02/03/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",UGA,General Retail and Wholesale,708.02,NINA INTERIORS
FCOGPC2016030112,02/03/2016,DUTY FREE STORES,DNK,General Retail and Wholesale,731.88,INCO CC KOPENHAVN
FCOGPC2016030113,02/03/2016,ELECTRICAL PARTS AND EQUIPMENT,MAR,Building Materials,780,ELECTRACTIF
FCOGPC2016030114,02/03/2016,WHOLESALE CLUBS,NGA,General Retail and Wholesale,782.33,2214LA178468035
FCOGPC2016030115,02/03/2016,ELECTRONIC SALES,KGZ,General Retail and Wholesale,783.9,SVETOFOR
FCOGPC2016030116,02/03/2016,"EATING PLACES, RESTAURANTS",BRA,Restuarants and Bars,785.02,JAMIES ITALIAN
FCOGPC2016030117,02/03/2016,TRAVEL AGENCIES,ROM,Travel Agencies,785.12,GO TRAVEL
FCOGPC2016030118,02/03/2016,TELECOM INCL PREPAID/RECURRING PHONE SVCS,ISR,Telecommunication Services,792.2,BEZEQ BILLING MIZDAMNI
FCOGPC2016030119,02/03/2016,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",ESP,"Office Stationery, equipment and supplies",795.02,BAETICA
FCOGPC2016030120,02/03/2016,ELECTRICAL PARTS AND EQUIPMENT,GBR,Building Materials,797.68,WILTS ELECTRICAL BRITS
FCOGPC2016030121,02/03/2016,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,IDN,Telecommunication Services,799.21,FANTASY PHONE
FCOGPC2016030122,02/03/2016,TRAVEL AGENCIES,IND,Travel Agencies,809.51,DNATA
FCOGPC2016030123,02/03/2016,HOTELS/MOTELS/RESORTS ,ROM,Hotels,810.15,ACCOMODATION PROVIDER
FCOGPC2016030124,02/03/2016,HOTELS/MOTELS/RESORTS ,QAT,Hotels,813.77,ACCOMODATION PROVIDER
FCOGPC2016030125,02/03/2016,LEATHER GOODS AND LUGGAGE STORES,PHL,General Retail and Wholesale,820.21,ROX-BHS
FCOGPC2016030126,02/03/2016,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,RUS,Telecommunication Services,824.95,MTS C125
FCOGPC2016030127,02/03/2016,"MUSIC STORES-INSTRUMENTS, PIANOS, SHEET MUSIC",GBR,General Retail and Wholesale,827,THE SOUND GARDEN LTD
FCOGPC2016030128,02/03/2016,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",PAK,Professional Services,834.8,SAJCO GROUP OF COMPA
FCOGPC2016030129,02/03/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",JAM,Utilities and Non Automotive Fuel,847.27,SHAW HAULAGE LIMITED
FCOGPC2016030130,02/03/2016,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,CZE,General Retail and Wholesale,852.91,MASO-PROFIT SRO
FCOGPC2016030131,02/03/2016,"GROCERY STORES, SUPERMARKETS",KEN,General Retail and Wholesale,857.92,CAMP SUPPLIES L
FCOGPC2016030132,02/03/2016,CAMERA AND PHOTOGRAPHIC SUPPLY STORES,NOR,General Retail and Wholesale,868.34,SCANDINAVIAN PHOTO AS
FCOGPC2016030133,02/03/2016,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,IDN,Telecommunication Services,870.57,FANTASY PHONE
FCOGPC2016030134,02/03/2016,HOTELS/MOTELS/RESORTS ,DZA,Hotels,882.07,ACCOMODATION PROVIDER
FCOGPC2016030135,02/03/2016,HOTELS/MOTELS/RESORTS ,DZA,Hotels,884.6,ACCOMODATION PROVIDER
FCOGPC2016030136,02/03/2016,MISCELLANEOUS PUBLISHING AND PRINTING,NGA,Print and advertising,892.22,AROWOLO NIGERIA ENT
FCOGPC2016030137,02/03/2016,TRAVEL AGENCIES,FRA,Travel Agencies,896.49,EXPEDIA 
FCOGPC2016030138,02/03/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,ARG,General Retail and Wholesale,898.47,CASA NEUMANN
FCOGPC2016030139,02/03/2016,"SCHOOLS, ELEMENTARY AND SECONDARY",MEX,Training and Educational,908.85,ESC SECUNDARIA CIU
FCOGPC2016030140,02/03/2016,"SCHOOLS, ELEMENTARY AND SECONDARY",MEX,Training and Educational,908.85,ESC SECUNDARIA CIU
FCOGPC2016030141,02/03/2016,HOTELS/MOTELS/RESORTS ,FRA,Hotels,913.49,ACCOMODATION PROVIDER
FCOGPC2016030142,02/03/2016,COMPUTER SOFTWARE STORES,SLV,Computer Equipment & Services,921.72,INKJET PRINT
FCOGPC2016030143,02/03/2016,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",ARG,"Office Stationery, equipment and supplies",922.74,LIBRERIA INTEGRAL MAYA
FCOGPC2016030144,02/03/2016,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",SGP,Professional Services,958.18,GLOBAL KNOWLEDGE NETWO
FCOGPC2016030145,02/03/2016,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",SGP,Professional Services,958.18,GLOBAL KNOWLEDGE NETWO
FCOGPC2016030146,02/03/2016,LIMOUSINES AND TAXICABS,USA,Travel - Air/Rail/Road,959.94,THG TRANSPORT INC
FCOGPC2016030147,02/03/2016,HARDWARE STORES,PAK,General Retail and Wholesale,967.08,QURESHI HARDWARE
FCOGPC2016030148,02/03/2016,WHOLESALE CLUBS,NGA,General Retail and Wholesale,980.39,2214LA331842016
FCOGPC2016030149,02/03/2016,"EATING PLACES, RESTAURANTS",GBR,Restuarants and Bars,984.72,FCO RESTAURANT
FCOGPC2016030150,02/03/2016,"EATING PLACES, RESTAURANTS",GBR,Restuarants and Bars,984.78,FCO RESTAURANT
FCOGPC2016030151,02/03/2016,ELECTRICAL PARTS AND EQUIPMENT,GBR,Building Materials,993.75,WWW.FELTECH.CO.UK
FCOGPC2016030152,02/03/2016,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",PAK,Professional Services,"1,049.82",SAJCO GROUP OF COMPA
FCOGPC2016030153,02/03/2016,CAMERA AND PHOTOGRAPHIC SUPPLY STORES,NOR,General Retail and Wholesale,"1,054.52",SCANDINAVIAN PHOTO AS
FCOGPC2016030154,02/03/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",LTU,General Retail and Wholesale,"1,061.83",IKEA STORE
FCOGPC2016030155,02/03/2016,HOTELS/MOTELS/RESORTS ,SGP,Hotels,"1,103.26",ACCOMODATION PROVIDER
FCOGPC2016030156,02/03/2016,PLUMBING AND HEATING EQUIPMENT,GBR,Building Materials,"1,110",WWW.UK-WATER-FILTERS.C
FCOGPC2016030157,02/03/2016,HARDWARE STORES,BLZ,General Retail and Wholesale,"1,130.44",CARIBBEAN TIRE BELMOPA
FCOGPC2016030158,02/03/2016,GENERAL CONTRACTORS/RESIDENTIAL BUILDINGS,UKR,Building Services,"1,157.81",DANICA
FCOGPC2016030159,02/03/2016,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.,NLD,"Office Stationery, equipment and supplies","1,167.35",WWW.VIKING.DE/
FCOGPC2016030160,02/03/2016,"CLUBS-CNTRY,MBRSHIP(ATHLET,REC,SPRTS,PRIVATE GOLF",MYS,Leisure Activities,"1,194.81",BRITISH MALAYSIAN CHAM
FCOGPC2016030161,02/03/2016,MISCELLANEOUS PUBLISHING AND PRINTING,GBR,Print and advertising,"1,221.78",G4S SECURE
FCOGPC2016030162,02/03/2016,MEN'S AND BOY'S CLOTHING AND ACCESSORIES STORES,GTM,General Retail and Wholesale,"1,263.21",SAUL E MENDEZ ZONA 10
FCOGPC2016030163,02/03/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,POL,Professional Services,"1,294.04",MIX OFFICE
FCOGPC2016030164,02/03/2016,"COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES",USA,Training and Educational,"1,305.77",COLUMBIA EXECUTIVE EDU
FCOGPC2016030165,02/03/2016,BOOK STORES,ITA,Books and Periodicals,"1,353.90",OPEN MORE THAN BOOKS
FCOGPC2016030166,02/03/2016,TRAVEL,GBR,Airline,"1,357.01",AIRLINE
FCOGPC2016030167,02/03/2016,GENERAL CONTRACTORS/RESIDENTIAL BUILDINGS,UKR,Building Services,"1,358.24",DANICA
FCOGPC2016030168,02/03/2016,REAL ESTATE AGENTS AND MANAGERS-RENTALS,GBR,Uncategorised,"1,374",REGUS MANAGEMENT UK LT
FCOGPC2016030169,02/03/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,POL,Professional Services,"1,374.04",MIX OFFICE
FCOGPC2016030170,02/03/2016,BOOK STORES,LUX,Books and Periodicals,"1,390",AMAZON UK MARKETPLACE
FCOGPC2016030171,02/03/2016,"DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS",VGB,Personal Services,"1,445.54",S&D SECURITY & ALARM
FCOGPC2016030172,02/03/2016,BOOK STORES,ESP,Books and Periodicals,"1,475.66",FNAC CASTELLANA
FCOGPC2016030173,02/03/2016,BICYCLE SHOPS-SALES AND SERVICE,AUT,General Retail and Wholesale,"1,490.88",IG FAHRRAD
FCOGPC2016030174,02/03/2016,HOTELS/MOTELS/RESORTS ,KEN,Hotels,"1,496.72",ACCOMODATION PROVIDER
FCOGPC2016030175,02/03/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,POL,Professional Services,"1,511.93",MIX OFFICE
FCOGPC2016030176,02/03/2016,HOTELS/MOTELS/RESORTS ,THA,Hotels,"1,515.09",ACCOMODATION PROVIDER
FCOGPC2016030177,02/03/2016,HOUSEHOLD APPLIANCE STORES,USA,General Retail and Wholesale,"1,853.70",PC RICHARD AND SON
FCOGPC2016030178,02/03/2016,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",GBR,Professional Services,"2,060",WWW.EMFIELDS-SOLUTION.
FCOGPC2016030179,02/03/2016,HOUSEHOLD APPLIANCE STORES,USA,General Retail and Wholesale,"2,248.43",A J MADISON
FCOGPC2016030180,02/03/2016,REAL ESTATE AGENTS AND MANAGERS-RENTALS,BRA,Uncategorised,"2,336.39",GREEN DESENVOLVIMENTO
FCOGPC2016030181,02/03/2016,TRAVEL,MEX,Airline,"2,501.35",AIRLINE
FCOGPC2016030182,03/03/2016,MISCELLANEOUS GENERAL MERCHANDISE,BLZ,General Retail and Wholesale,513.46,JAMES BRODIE AND CO
FCOGPC2016030183,03/03/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,AUT,General Retail and Wholesale,520.2,SECA SECURITIY
FCOGPC2016030184,03/03/2016,TRAVEL,ESP,Airline,524.8,AIRLINE
FCOGPC2016030185,03/03/2016,BUS LINES,GBR,Travel - Air/Rail/Road,526.37,STANLEY TRAVEL
