Breakdown, Level,Level Description,3.11 Percentage,3.11 Denominator,3.11 Numerator,3.12 Percentage,3.12 Denominator,3.12 Numerator,3.13 Percentage,3.13 Denominator,3.13 Numerator,3.5i Percentage,3.5i Denominator,3.5i Numerator,3.5ii Percentage,3.5ii Denominator,3.5ii Numerator,Best practice Percentage,Best practice Denominator,Best Practice Numerator,Mortality Percentage,Mortality Denominator,Pressure ulcer percentage,Pressure ulcer Denominator
CCG,01V,NHS Southport and Formby CCG,40.5, 158 , 64 ,70.6, 153 , 108 ,82.4, 142 , 117 ,13.7,51,7,36.4,44,16,12.1,173,21,11.4,166,2, * 
CCG,01W,NHS Stockport CCG,98.4, 319 , 314 ,81.1, 322 , 261 ,99.3, 297 , 295 ,25, * , * ,50, * , * ,70.4,334,235,7,329,2.3,298
CCG,01X,NHS St Helens CCG,92.6, 188 , 174 ,77.5, 187 , 145 ,95.8, 168 , 161 ,6.3, * , * ,53.8,13,7,55.7,212,118,9.5,189,3.5,170
CCG,01Y,NHS Tameside and Glossop CCG,97.9, 234 , 229 ,55.3, 235 , 130 ,97.2, 215 , 209 ,0, * , * ,0, * , * ,50.9,234,119,9.6,239,0.5, * 
CCG,02A,NHS Trafford CCG,91.0, 210 , 191 ,70.5, 207 , 146 ,97.4, 191 , 186 ,23.1,26,6,33.3, * , * ,50.7,207,105,6.1,213,2.1, * 
CCG,02D,NHS Vale Royal CCG,85.0, 80 , 68 ,65.9, 82 , 54 ,90.8, 76 , 69 ,33.3, * , * ,50, * , * ,26.7,86,23,9.4,85,9.2,76
CCG,02E,NHS Warrington CCG,92.0, 200 , 184 ,78.9, 199 , 157 ,98.9, 189 , 187 ,15.5,84,13,47.1,51,24,40.7,194,79,8.4,202,3.7,189
CCG,02F,NHS West Cheshire CCG,86.4, 279 , 241 ,81.4, 280 , 228 ,90.1, 243 , 219 ,27.6,105,29,34.7,72,25,53.5,275,147,10.7,291,3.2,248
CCG,02G,NHS West Lancashire CCG,43.4, 106 , 46 ,66.7, 105 , 70 ,83.5, 97 , 81 ,8.8, * , * ,34.3,35,12,18.5,124,23,8.3,109,1,99
CCG,02H,NHS Wigan Borough CCG,91.7, 229 , 210 ,82.5, 223 , 184 ,97.0, 203 , 197 ,10.8, * , * ,46.4,56,26,71.3,307,219,13.3,240,1.4, * 
CCG,02M,NHS Fylde & Wyre CCG,94.8, 173 , 164 ,64.4, 174 , 112 ,100.0, 161 , 161 ,0, -   , -   ,0, -   , -   ,37.9,195,74,6.3,175,0,162
CCG,02N,"NHS Airedale, Wharfedale and Craven CCG",97.3, 186 , 181 ,78.0, 186 , 145 ,100.0, 164 , 164 ,0, * , * ,0, * , * ,76.6,188,144,11.1,189,3.6,165
CCG,02P,NHS Barnsley CCG,99.2, 264 , 262 ,79.1, 263 , 208 ,100.0, 245 , 245 ,75, * , * ,60, * , * ,78.9,261,206,10.1,268,2, * 
CCG,02Q,NHS Bassetlaw CCG,100.0, 119 , 119 ,79.0, 119 , 94 ,100.0, 111 , 111 ,17.9, * , * ,47.1,34,16,68.7,134,92,9.8,122,0,111
CCG,02R,NHS Bradford Districts CCG,95.4, 237 , 226 ,77.4, 239 , 185 ,96.8, 216 , 209 ,20.8,53,11,47.7,44,21,77.2,285,220,13.2,243,0.5, * 
CCG,02T,NHS Calderdale CCG,38.5, 218 , 84 ,59.6, 218 , 130 ,28.0, 207 , 58 ,25.5,55,14,20, * , * ,8.8,228,20,7.6,224,0.5, * 
CCG,02V,NHS Leeds North CCG,96.5, 200 , 193 ,63.4, 202 , 128 ,98.9, 185 , 183 ,12.5, * , * ,100, * , * ,57.9,202,117,10.6,208,3.8,185
CCG,02W,NHS Bradford City CCG,100.0, 27 , 27 ,92.9, 28 , 26 ,100.0, 26 , 26 ,16.7, * , * ,42.9, * , * ,85.7,28,24,10.7, * ,0,26
CCG,02X,NHS Doncaster CCG,98.8, 341 , 337 ,64.0, 342 , 219 ,100.0, 316 , 316 ,19,63,12,37.1,97,36,55.9,392,219,8.3,350,0.9, * 
CCG,02Y,NHS East Riding Of Yorkshire CCG,97.6, 334 , 326 ,69.3, 336 , 233 ,99.0, 312 , 309 ,57.1, * , * ,33.3, * , * ,69.3,345,239,9.4,339,1.3, * 
CCG,03A,NHS Greater Huddersfield CCG,43.3, 233 , 101 ,69.9, 236 , 165 ,33.2, 217 , 72 ,21.4,56,12,40, * , * ,12.9,233,30,10.7,243,2.8,218
CCG,03C,NHS Leeds West CCG,95.2, 248 , 236 ,63.2, 250 , 158 ,96.9, 228 , 221 ,8.3, * , * ,80, * , * ,57.9,254,147,11.7,256,5.7,230
CCG,03D,"NHS Hambleton, Richmondshire and Whitby CCG",99.4, 163 , 162 ,74.4, 164 , 122 ,100.0, 156 , 156 ,0, * , * ,0, -   , -   ,66.7,165,110,7.2,167,3.2, * 
CCG,03E,NHS Harrogate and Rural District CCG,95.2, 166 , 158 ,80.4, 163 , 131 ,97.4, 156 , 152 ,15.4, * , * ,0, * , * ,65.6,209,137,7.6,170,2.5, * 
CCG,03F,NHS Hull CCG,97.7, 298 , 291 ,58.5, 301 , 176 ,99.7, 287 , 286 ,0, -   , -   ,100, * , * ,62.4,306,191,8.6,303,0.3,287
CCG,03G,NHS Leeds South and East CCG,93.4, 213 , 199 ,62.1, 214 , 133 ,96.5, 198 , 191 ,10.6, * , * ,33.3, * , * ,53.1,211,112,11.1,226,6,199
CCG,03H,NHS North East Lincolnshire CCG,99.3, 147 , 146 ,57.8, 147 , 85 ,100.0, 132 , 132 ,25.7,35,9,57.1,35,20,49.7,169,84,11.8,152,13.5,133
CCG,03J,NHS North Kirklees CCG,92.7, 137 , 127 ,75.6, 135 , 102 ,93.5, 124 , 116 ,10.5, * , * ,50,26,13,64.5,172,111,8.5,141,4,126
CCG,03K,NHS North Lincolnshire CCG,100.0, 142 , 142 ,66.9, 142 , 95 ,100.0, 134 , 134 ,30.4,46,14,67.5,40,27,61.7,180,111,12,150,0,135
CCG,03L,NHS Rotherham CCG,98.0, 253 , 248 ,82.9, 252 , 209 ,100.0, 230 , 230 ,11.9, * , * ,45,40,18,70.8,284,201,12.7,260,2.1, * 
CCG,03M,NHS Scarborough and Ryedale CCG,98.0, 149 , 146 ,82.0, 150 , 123 ,100.0, 142 , 142 ,11.1, * , * ,50, * , * ,78.7,155,122,9.9,152,2.8, * 
CCG,03N,NHS Sheffield CCG,98.0, 556 , 545 ,84.6, 565 , 478 ,99.6, 514 , 512 ,30, * , * ,60,10,6,78.5,563,442,7.7,569,4.5,514
CCG,03Q,NHS Vale Of York CCG,98.0, 256 , 251 ,72.7, 256 , 186 ,99.2, 240 , 238 ,25.8,124,32,53.8,65,35,69.2,328,227,9.5,263,0.8, * 
CCG,03R,NHS Wakefield CCG,100.0, 260 , 260 ,71.9, 263 , 189 ,99.6, 250 , 249 ,5.6, * , * ,29.4,68,20,69.1,337,233,6,266,4.4,250
CCG,03T,NHS Lincolnshire East CCG,98.9, 268 , 265 ,88.8, 276 , 245 ,100.0, 247 , 247 ,42.7,89,38,61.8,89,55,82.6,327,270,10.8,277,2.4,248
CCG,03V,NHS Corby CCG,92.1, 63 , 58 ,85.7, 63 , 54 ,100.0, 62 , 62 ,0, -   , -   ,0, -   , -   ,64.4,59,38,1.6, * ,1.6,62
CCG,03W,NHS East Leicestershire and Rutland CCG,80.5, 338 , 272 ,76.4, 339 , 259 ,93.2, 323 , 301 ,29.6,27,8,40, * , * ,54.8,347,190,7.2,347,2.1,326
CCG,03X,NHS Erewash CCG,97.9, 96 , 94 ,83.7, 86 , 72 ,98.7, 79 , 78 ,0, -   , -   ,0, -   , -   ,77.3,110,85,8,100,2.2, * 
CCG,03Y,NHS Hardwick CCG,97.9, 146 , 143 ,65.1, 146 , 95 ,98.5, 132 , 130 ,100, * , * ,100, * , * ,58.1,148,86,8.1,149,3, * 
CCG,04C,NHS Leicester City CCG,76.0, 283 , 215 ,64.7, 283 , 183 ,95.5, 265 , 253 ,20, * , * ,50, * , * ,42.5,287,122,8.3,288,1.9,266
CCG,04D,NHS Lincolnshire West CCG,97.8, 225 , 220 ,82.5, 223 , 184 ,98.5, 206 , 203 ,21.4,70,15,40.5,74,30,56.5,253,143,10.5,229,1.9, * 
CCG,04E,NHS Mansfield and Ashfield CCG,95.2, 207 , 197 ,76.2, 206 , 157 ,99.5, 191 , 190 ,100, * , * ,0, * , * ,75.1,229,172,5.3,208,0.5,192
CCG,04F,NHS Milton Keynes CCG,90.3, 176 , 159 ,69.3, 176 , 122 ,94.0, 166 , 156 ,25, * , * ,40, * , * ,48.9,186,91,9,178,6.6,167
CCG,04G,NHS Nene CCG,86.4, 560 , 484 ,72.7, 557 , 405 ,94.8, 515 , 488 ,25.7,74,19,36.5,85,31,43.3,619,268,7.2,571,4,521
CCG,04H,NHS Newark & Sherwood CCG,95.0, 119 , 113 ,73.9, 119 , 88 ,95.2, 104 , 99 ,10, * , * ,0,8, -   ,72.1,122,88,8.3,120,0,105
CCG,04J,NHS North Derbyshire CCG,97.7, 344 , 336 ,70.6, 344 , 243 ,99.4, 323 , 321 ,0, * , * ,0, * , * ,56.7,360,204,2.9,344,2.5,324
CCG,04K,NHS Nottingham City CCG,95.3, 192 , 183 ,80.0, 200 , 160 ,98.3, 175 , 172 ,0, -   , -   ,0, -   , -   ,72.5,222,161,12.6,199,2.3, * 
CCG,04L,NHS Nottingham North and East CCG,95.3, 148 , 141 ,78.5, 149 , 117 ,99.3, 137 , 136 ,0, * , * ,100, * , * ,73.4,154,113,9.3,150,2.2, * 
CCG,04M,NHS Nottingham West CCG,91.9, 111 , 102 ,88.3, 111 , 98 ,94.0, 100 , 94 ,100, * , * ,100, * , * ,80.2,116,93,11.4,114,1, * 
CCG,04N,NHS Rushcliffe CCG,95.2, 104 , 99 ,79.4, 107 , 85 ,96.8, 94 , 91 ,100, * , * ,50, * , * ,68.4,117,80,15.6,109,3.2, * 
CCG,04Q,NHS South West Lincolnshire CCG,66.3, 95 , 63 ,83.3, 96 , 80 ,73.9, 92 , 68 ,7.7, * , * ,36.4, * , * ,50.5,101,51,4.1, * ,3.3, * 
CCG,04R,NHS Southern Derbyshire CCG,99.0, 406 , 402 ,86.5, 288 , 249 ,100.0, 283 , 283 ,0, * , * ,0, * , * ,79.5,409,325,5.3,412,0.7, * 
CCG,04V,NHS West Leicestershire CCG,86.8, 364 , 316 ,70.1, 355 , 249 ,97.6, 335 , 327 ,26.2,42,11,50, * , * ,52.9,374,198,9.4,374,2,347
CCG,04X,NHS Birmingham South and Central CCG,97.4, 156 , 152 ,65.3, 150 , 98 ,100.0, 138 , 138 ,0, * , * ,0, -   , -   ,54.5,154,84,8.7,161,9.6,146
CCG,04Y,NHS Cannock Chase CCG,95.4, 130 , 124 ,71.3, 122 , 87 ,94.1, 118 , 111 ,15.4, * , * ,55.6,18,10,57.5,153,88,8.2,134,0.8,124
CCG,05A,NHS Coventry and Rugby CCG,90.6, 361 , 327 ,86.0, 358 , 308 ,100.0, 323 , 323 ,19.9,156,31,42.7,117,50,63.8,428,273,10,370,1.8,329
CCG,05C,NHS Dudley CCG,98.7, 384 , 379 ,83.0, 383 , 318 ,99.7, 352 , 351 ,27.8, * , * ,100, * , * ,79.6,387,308,9.7,390,3.4,357
CCG,05D,NHS East Staffordshire CCG,95.6, 137 , 131 ,84.7, 131 , 111 ,100.0, 121 , 121 ,100, * , * ,0, * , * ,73.4,143,105,10,140,0,128
CCG,05F,NHS Herefordshire CCG,89.7, 224 , 201 ,71.1, 225 , 160 ,91.2, 205 , 187 ,50, * , * ,100, * , * ,32.7,220,72,11.5,235,1.9, * 
CCG,05G,NHS North Staffordshire CCG,97.2, 248 , 241 ,64.5, 248 , 160 ,99.6, 237 , 236 ,66.7, * , * ,100, * , * ,56.5,248,140,5.2,249,2.1, * 
CCG,05H,NHS Warwickshire North CCG,98.7, 231 , 228 ,57.0, 200 , 114 ,99.5, 184 , 183 ,37.7,53,20,66.7, * , * ,53.5,243,130,6.8,234,9.8,215
CCG,05J,NHS Redditch and Bromsgrove CCG,98.9, 183 , 181 ,66.7, 180 , 120 ,99.4, 162 , 161 ,0, * , * ,100, * , * ,61.5,174,107,9.1,186,1.2, * 
CCG,05L,NHS Sandwell and West Birmingham CCG,99.3, 401 , 398 ,75.6, 398 , 301 ,100.0, 366 , 366 ,13.1,61,8,66.7, * , * ,62.7,415,260,8.8,411,5.6,373
CCG,05N,NHS Shropshire CCG,72.9, 336 , 245 ,47.0, 332 , 156 ,88.3, 326 , 288 ,22.5,40,9,20, * , * ,4.1,320,13,5.8,344,0.6, * 
CCG,05P,NHS Solihull CCG,84.0, 312 , 262 ,55.0, 311 , 171 ,96.3, 294 , 283 ,7.7, * , * ,80,15,12,43,314,135,3.5,313,2,296
CCG,05Q,NHS South East Staffs and Seisdon Peninsular CCG,92.8, 195 , 181 ,74.5, 196 , 146 ,96.2, 186 , 179 ,17.6, * , * ,44.4, * , * ,53.7,203,109,5.5,199,5.9,186
CCG,05R,NHS South Warwickshire CCG,95.1, 307 , 292 ,76.6, 299 , 229 ,100.0, 281 , 281 ,22,118,26,50.5,107,54,69.4,317,220,6.5,307,1, * 
CCG,05T,NHS South Worcestershire CCG,90.1, 314 , 283 ,59.3, 290 , 172 ,98.5, 272 , 268 ,20, * , * ,50, * , * ,48.9,313,153,6.2,321,1.7,296
CCG,05V,NHS Stafford and Surrounds CCG,95.0, 139 , 132 ,77.2, 136 , 105 ,96.9, 127 , 123 ,25,48,12,39.5,38,15,60.8,171,104,8.5,141,1.5, * 
CCG,05W,NHS Stoke On Trent CCG,98.6, 289 , 285 ,64.7, 292 , 189 ,98.6, 282 , 278 ,100, * , * ,50, * , * ,56,298,167,6.8,295,2.8,283
CCG,05X,NHS Telford and Wrekin CCG,**, * , * ,53.8, 78 , 42 ,74.0, 73 , 54 ,0, * , * ,0, -   , -   ,1.3, * , * ,7.3,82,0,76
CCG,05Y,NHS Walsall CCG,88.0, 275 , 242 ,65.8, 275 , 181 ,99.2, 251 , 249 ,20, * , * ,33.3, * , * ,49.8,277,138,9.9,284,1.2, * 
CCG,06A,NHS Wolverhampton CCG,94.9, 253 , 240 ,81.6, 250 , 204 ,94.8, 231 , 219 ,3.6, * , * ,20.5,44,9,68.2,280,191,9.3,259,7.7,233
CCG,06D,NHS Wyre Forest CCG,93.5, 139 , 130 ,54.8, 126 , 69 ,100.0, 109 , 109 ,100, * , * ,0, -   , -   ,49,143,70,12.3,146,1.6, * 
CCG,06F,NHS Bedfordshire CCG,92.2, 332 , 306 ,77.3, 330 , 255 ,99.0, 315 , 312 ,16.1, * , * ,25, * , * ,64.9,350,227,5.3,339,1.6,321
CCG,06H,NHS Cambridgeshire and Peterborough CCG,98.2, 905 , 889 ,75.5, 910 , 687 ,99.1, 871 , 863 ,25, * , * ,66.7, * , * ,62.7,895,561,6.3,915,1.9,877
CCG,06K,NHS East and North Hertfordshire CCG,99.4, 536 , 533 ,70.5, 512 , 361 ,99.8, 480 , 479 ,10.7,121,13,35.7,28,10,73.1,546,399,8.3,544,2,508
CCG,06L,NHS Ipswich and East Suffolk CCG,91.8, 473 , 434 ,70.9, 477 , 338 ,99.6, 450 , 448 ,27.6,58,16,47.4,19,9,59.7,494,295,6.6,485,0.9, * 
CCG,06M,NHS Great Yarmouth and Waveney CCG,94.4, 266 , 251 ,64.8, 264 , 171 ,100.0, 243 , 243 ,24.1,79,19,55.7,70,39,54.7,320,175,8.4,273,5.6,248
CCG,06N,NHS Herts Valleys CCG,98.3, 576 , 566 ,81.3, 541 , 440 ,99.6, 495 , 493 ,33,100,33,66.7,18,12,80.3,595,478,10.6,587,1.7,534
CCG,06P,NHS Luton CCG,98.7, 154 , 152 ,74.3, 152 , 113 ,99.3, 142 , 141 ,17.9, * , * ,100, * , * ,72.9,144,105,7.6,157,2.8, * 
CCG,06Q,NHS Mid Essex CCG,97.2, 461 , 448 ,71.2, 458 , 326 ,98.9, 445 , 440 ,16.7, * , * ,50, * , * ,43.2,472,204,6.6,467,1.1, * 
CCG,06T,NHS North East Essex CCG,89.3, 429 , 383 ,66.0, 429 , 283 ,90.9, 407 , 370 ,0, * , * ,50, * , * ,50.9,422,215,9.3,439,0.7, * 
CCG,06V,NHS North Norfolk CCG,88.7, 309 , 274 ,78.1, 311 , 243 ,98.6, 294 , 290 ,25, * , * ,40, * , * ,64.2,307,197,7,316,2,294
CCG,06W,NHS Norwich CCG,92.9, 212 , 197 ,81.3, 214 , 174 ,98.0, 198 , 194 ,50, * , * ,100, * , * ,66.5,206,137,7.9,216,2.5, * 
CCG,06Y,NHS South Norfolk CCG,86.3, 292 , 252 ,79.2, 293 , 232 ,98.2, 274 , 269 ,55.6, * , * ,77.8,9,7,60.7,303,184,7.4,296,3.3,275
CCG,07G,NHS Thurrock CCG,98.5, 135 , 133 ,66.7, 135 , 90 ,99.2, 127 , 126 ,20,45,9,45.7,35,16,63.2,136,86,8,137,3.1, * 
CCG,07H,NHS West Essex CCG,98.6, 347 , 342 ,79.1, 350 , 277 ,99.7, 327 , 326 ,32.9,85,28,52.4,42,22,69.9,349,244,7.6,356,4,329
CCG,07J,NHS West Norfolk CCG,96.8, 247 , 239 ,71.7, 247 , 177 ,94.5, 235 , 222 ,0, * , * ,0, * , * ,49.2,240,118,8,251,2.1, * 
CCG,07K,NHS West Suffolk CCG,98.3, 238 , 234 ,79.5, 239 , 190 ,99.1, 212 , 210 ,38.6,57,22,36.4,44,16,77.6,290,225,9.1,241,4.7,213
CCG,07L,NHS Barking and Dagenham CCG,99.2, 119 , 118 ,69.4, 121 , 84 ,99.1, 106 , 105 ,0,24, -   ,25, * , * ,63.3,128,81,12.2,123,3.7, * 
CCG,07M,NHS Barnet CCG,99.1, 228 , 226 ,79.3, 169 , 134 ,99.4, 155 , 154 ,0, * , * ,37.5, * , * ,72.6,248,180,6.9,233,3.8,213
CCG,07N,NHS Bexley CCG,97.2, 216 , 210 ,74.0, 200 , 148 ,100.0, 179 , 179 ,16.1,56,9,33.3,33,11,58.7,235,138,7.8,219,0.5,195
CCG,07P,NHS Brent CCG,100.0, 99 , 99 ,53.8, 93 , 50 ,100.0, 87 , 87 ,0, -   , -   ,0, -   , -   ,48,98,47,8.7,104,4.2, * 
CCG,07Q,NHS Bromley CCG,96.1, 307 , 295 ,74.3, 257 , 191 ,100.0, 226 , 226 ,14.3, * , * ,66.7, * , * ,43,316,136,12,325,1.8, * 
CCG,07R,NHS Camden CCG,98.0, 50 , 49 ,75.0, 48 , 36 ,97.9, 47 , 46 ,0, * , * ,0, -   , -   ,52.9,51,27,0,50,4.1, * 
CCG,07T,NHS City and Hackney CCG,95.9, 73 , 70 ,73.2, 71 , 52 ,100.0, 60 , 60 ,26.7, * , * ,46.2,13,6,44.9,89,40,14.7,75,9.8,61
CCG,07V,NHS Croydon CCG,98.0, 293 , 287 ,74.0, 288 , 213 ,99.6, 270 , 269 ,0, * , * ,50, * , * ,62.5,304,190,4.7,299,14.3,279
CCG,07W,NHS Ealing CCG,93.2, 190 , 177 ,62.1, 177 , 110 ,93.9, 163 , 153 ,0, * , * ,0, -   , -   ,52.8,178,94,5.7,192,3.4,175
CCG,07X,NHS Enfield CCG,99.5, 203 , 202 ,75.6, 78 , 59 ,100.0, 72 , 72 ,12.5, * , * ,33.3, * , * ,81.2,202,164,10.2,206,4.8,188
CCG,07Y,NHS Hounslow CCG,96.9, 162 , 157 ,51.3, 160 , 82 ,98.6, 147 , 145 ,25, * , * ,100, * , * ,37.2,156,58,8.5,164,6,150
CCG,08A,NHS Greenwich CCG,98.5, 132 , 130 ,76.1, 117 , 89 ,99.1, 107 , 106 ,16.1, * , * ,30.8,26,8,58.5,142,83,3, * ,0.8,123
CCG,08C,NHS Hammersmith and Fulham CCG,99.1, 106 , 105 ,71.6, 102 , 73 ,100.0, 95 , 95 ,0, * , * ,50, * , * ,64.3,112,72,8.3,108,5.9,101
CCG,08D,NHS Haringey CCG,97.3, 110 , 107 ,88.9, 108 , 96 ,100.0, 102 , 102 ,50, * , * ,100, * , * ,68.2,107,73,4.5, * ,2.9, * 
CCG,08E,NHS Harrow CCG,97.5, 161 , 157 ,55.0, 140 , 77 ,97.7, 131 , 128 ,0, * , * ,0, * , * ,49.4,156,77,8.5,165,2, * 
CCG,08F,NHS Havering CCG,100.0, 241 , 241 ,70.1, 241 , 169 ,100.0, 226 , 226 ,16.4,67,11,39.1,46,18,65.1,269,175,5.4,241,0.9, * 
CCG,08G,NHS Hillingdon CCG,95.1, 162 , 154 ,87.3, 157 , 137 ,97.3, 148 , 144 ,66.7,21,14,77.8,9,7,80.2,182,146,7.2,166,3.2, * 
CCG,08H,NHS Islington CCG,94.5, 109 , 103 ,84.4, 109 , 92 ,99.0, 104 , 103 ,50, * , * ,0, * , * ,40,115,46,3.7, * ,1, * 
CCG,08J,NHS Kingston CCG,90.6, 149 , 135 ,84.4, 147 , 124 ,99.2, 132 , 131 ,0, -   , -   ,0, -   , -   ,71.9,146,105,9.3,151,2.2, * 
CCG,08K,NHS Lambeth CCG,69.7, 132 , 92 ,73.9, 119 , 88 ,99.1, 116 , 115 ,55.6, * , * ,41.4,29,12,36.3,135,49,2.2, * ,3.8, * 
