Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department for Transport,Department for Transport,02/09/2011,Eurotunnel Admin Payment,Rail Commercial Contracts,EUROTUNNEL (EURO PAYMENTS),2000011437,"5,770,907.04",OPEX AND USAGE CHARGES FOR AUG 2011,CT18 8X
Department for Transport,Department for Transport,02/09/2011,Eurotunnel Admin Payment,Rail Commercial Contracts,SNCF CAISSE GENERALE,2000011396,"5,298,054.74",SNCF Funds - August 2011 GBP Exc plus TVA,75008
Department for Transport,Department for Transport,02/09/2011,Eurotunnel Admin Payment,Rail Commercial Contracts,SNCF TRESORERIE ENC RHT VFE,2000011397,"6,362,893.94",SNCF Funds - August 2011 EUR Exc plus TVA,75014
Department for Transport,Department for Transport,02/09/2011,Financial Consultancy,Business Transformation,PRGX UK LIMITED,2000011434,"4,023.80",2011 August Spend analysis,LU1 3LU
Department for Transport,Department for Transport,02/09/2011,Grant in Aid to NDPBs,Group Finance,"HSBC BANK PLC, LONDON",2000011384,"28,050,000.00",XS0150670551- ISV OPS LCR Finance PLC,E14 5HQ
Department for Transport,Department for Transport,02/09/2011,Other Advertising,Local,PENNA COMMUNICATIONS,2000011432,"5,476.23",Advertising 417965,EC4M 7RD
Department for Transport,Department for Transport,02/09/2011,Publicity,Roads,CENTRAL OFFICE OF INFORMATION,2000011426,"75,226.32",DFT Thinkbike talksport CM Radio,SE1 7DU
Department for Transport,Department for Transport,02/09/2011,Removal Costs,Regional & Local Transport Delivery,MOD DGFM SSC,2000011429,"37,340.79",Temporary Bridge removal In Cumbria,L2 7PX
Department for Transport,Department for Transport,02/09/2011,Research,Greener Transport & International,WSP DEVELOPMENT LTD,2000011430,"29,294.89",R181 Base Yr Freight Matrices 04/003/014,RG21 4HJ
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"10,011.00",July 2011 count data,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"19,958.00",July 2011 count data area 16,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"13,943.00",July 2011 count data area 7,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"16,710.00",July 2011 count data area  8,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"17,511.00",July 2011 count data area  4,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"16,376.00",July 2011 count data area  17,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"4,310.00",July 2011 count data area 7 additional counts,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"2,880.00",July 2011 count data area 5 additional counts,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"11,645.00",July 2011 count data area  2,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"15,237.00",July 2011 count data area  11,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"16,084.00",July 2011 count data area  1,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011428,"5,175.00",July 2011 count data area  6,G2 7HX
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,SKY HIGH PLC,2000011435,"17,885.00",SRF2 enumeration - Sky High PLC,LS24 9AB
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,SKY HIGH PLC,2000011435,"-17,885.00",credit for inv 11634,LS24 9AB
Department for Transport,Department for Transport,02/09/2011,Traffic Survey & Counting Equipment,Roads,SKY HIGH PLC,2000011435,"17,807.50",SRF2 enumeration - Sky High PLC.9_Jul11,LS24 9AB
Department for Transport,Department for Transport,05/09/2011,Computer Consumables,Rail and Road Projects,SUPPLIES TEAM,2000011548,802.68,,S9 1XU
Department for Transport,Department for Transport,05/09/2011,Research,Roads,TRANSPORT RESEARCH LABORATORY,2000011552,"2,704.15",Jul-11,RG40 3GA
Department for Transport,Department for Transport,05/09/2011,Secondments,Rail Technical & Professional,ALSTOM TRANSPORT,2000011557,"1,815.62",May-11,CV21 2NH
Department for Transport,Department for Transport,05/09/2011,Stationery (Non-stock),Local,BANNER BUSINESS SERVICES LTD,2000011546,503.89,order date 07.04.2011,NR3 1PD
Department for Transport,Department for Transport,05/09/2011,Traffic Survey & Counting Equipment,Roads,HIGHWAYS AGENCY (14272),2000011545,"5,570.28",Cost Recoveries OGD,HP2 4XW
Department for Transport,Department for Transport,05/09/2011,Traffic Survey & Counting Equipment,Roads,LEEDS CITY COUNCIL,2000011555,"17,275.00",SRF2 enumeration Leeds NRP10002B,LS2 8JR
Department for Transport,Department for Transport,05/09/2011,Training,Greener Transport & International,OPP Ltd,2000011547,"2,700.00",Level B personality,0X2 8EP
Department for Transport,Department for Transport,05/09/2011,Travel Expenses UK,Group Finance,RAIL STAFF TRAVEL LTD,2000011556,"3,032.54",we 19.08.2011,WC1N 1BY
Department for Transport,Department for Transport,05/09/2011,Travel Expenses UK,Marine Accident Investigation Branch,CLYDE TRAVEL,2000011549,659.02,travel expenses,G51 1HJ
Department for Transport,Department for Transport,05/09/2011,Your Rewards - Synergy Prepay card,Human Resources,P & MM LIMITED,2000011519,"3,265.00",3rd Party Payments August/2011,MK14 6LD
Department for Transport,Department for Transport,06/09/2011,Agency Staff Costs,Business Transformation,BADENOCH & CLARK,2000011602,929.58,,W1T 5AE
Department for Transport,Department for Transport,06/09/2011,Agency Staff Costs,Information Management Directorate,MONARCH RECRUITMENT LTD,2000011613,"8,550.41",Jun-11,B2 4UW
Department for Transport,Department for Transport,06/09/2011,Agency Staff Costs,Rail Accident Investigation Branch,SPRING TECHNOLOGY LIMITED,2000011612,732.6,,B37 7YE
Department for Transport,Department for Transport,06/09/2011,BUS FDR Wales,Local,HARDING EVANS,2000011595,"4,911.29",Harding Evans Solicitors,NP20 1TE
Department for Transport,Department for Transport,06/09/2011,Contract Cleaning,Rail Accident Investigation Branch,CLIENTCARE CLEANING LTD,2000011603,658,RAIB Cleaning Service Sept 11,CR0 2HQ
Department for Transport,Department for Transport,06/09/2011,Current Grants to LAs within AEF/AEG,London and Olympics,GREATER LONDON AUTHORITY,2000011593,"107,845,000.00",GLA GRANT PAYMENT,SE1 2UT
Department for Transport,Department for Transport,06/09/2011,Data Supply - Transport Direct,Transport Direct and Travel information,ATKINS LTD (TRANSPORT PLAN),2000011601,"8,127.80",National Coach Database - August 2011,WR5 1WS
Department for Transport,Department for Transport,06/09/2011,Data Supply - Transport Direct,Transport Direct and Travel information,LANDMARK INFORMATION GROUP LTD,2000011605,"9,630.00",Landmark Car Park Register,EX2 7HY
Department for Transport,Department for Transport,06/09/2011,Data Supply - Transport Direct,Transport Direct and Travel information,TRAFFICLINK (UK) LIMITED,2000011611,"18,499.20",Trafficlink Live Travel News Feed,EC1M 6H
Department for Transport,Department for Transport,06/09/2011,Management Consultancy,Local,LANDMARK INFORMATION GROUP LTD,2000011605,"7,285.21",Cycle Data Management- Journey Planner,EX2 7HY
Department for Transport,Department for Transport,06/09/2011,Printing,Transport Security,TAURUS PRINT & DESIGN LTD,2000011598,448,job 84867,KT14 7LF
Department for Transport,Department for Transport,06/09/2011,Publicity,Roads,ABBOTT MEAD VICKERS BBDO LTD,2000011600,"53,896.97",THINK BIKER 2011 AMV agency commission,NW1 5QE
Department for Transport,Department for Transport,06/09/2011,Rent - L&B (non-PFI),Rail Accident Investigation Branch,TRUSTEES OF MAJOR & BARNES LTD,2000011592,"36,600.00",29.09 - 24.12.2011,BS8 2BJ
Department for Transport,Department for Transport,06/09/2011,Room Hire,Roads,THE EMMANUEL CENTRE,2000011610,"2,443.20",Hire costs 20.06.2011,SW1P 3DW
Department for Transport,Department for Transport,06/09/2011,Secondments,Commercial & Technical Services,MINISTRY OF DEFENCE,2000011609,"40,164.58",Loan 01.05.11 - 31.07.11,L2 3YL
Department for Transport,Department for Transport,06/09/2011,Stationery (Non-stock),DASH,BANNER BUSINESS SERVICES LTD,2000011596,508.28,4650 fuser uniit,NR3 1PD
Department for Transport,Department for Transport,06/09/2011,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000011617,"41,873.46",GROUP JUNE 11,SW1E 5DU
Department for Transport,Department for Transport,06/09/2011,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000011617,"45,470.00",GROUP MAY 11,SW1E 5DU
Department for Transport,Department for Transport,06/09/2011,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000011617,"14,802.37",Overheads June 11,SW1E 5DU
Department for Transport,Department for Transport,06/09/2011,Subsidies to Private Sector,Roads,FREIGHTLINER LTD,2000011608,"701,977.00",MSRS(I) PD5 2011/12 REF MI04 - FRIEGHTLINER,NW1 2FL
Department for Transport,Department for Transport,06/09/2011,Subsidies to Private Sector,Roads,MANCHESTER SHIP CANAL COMPANY,2000011615,"6,336.54",WWaterborne Freight Grant - MSC,WA7 4UY
Department for Transport,Department for Transport,06/09/2011,Traffic Survey & Counting Equipment,Roads,JACOBS ENGINEERING U.K. LTD,2000011604,"9,439.00",July 2011 count data area  6,G2 7HX
Department for Transport,Department for Transport,06/09/2011,Transport Consultancy,Local,CYCLE CITY GUIDES,2000011614,"29,395.20",work package CDCP3_110323,BA11 2LE
Department for Transport,Department for Transport,06/09/2011,Transport Consultancy,Rail and Road Projects,OVE ARUP & PARTNERS,2000011606,"86,071.94",thames link june - july 2011,NE1 3PL
Department for Transport,Department for Transport,07/09/2011,Building Service Charges,Rail Accident Investigation Branch,MAX INDUSTRIAL GP LTD,2000011649,191,Unit 10 BBC Garage Service Charge,EH3 1BB
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,KENT COUNTY COUNCIL,2000011692,"7,695,842.00",S31 Q1 2011-12 Grant Payments,ME14 1XQ
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,BLACKPOOL BC,2000011687,"7,109,336.89",S31 Q1 2011-12 Grant Payments,FY1 1LZ
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,LEEDS CITY COUNCIL,2000011665,"1,150,548.00",S31 Q1 2011-12 Grant Payments,LS2 8JR
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,LUTON BOROUGH COUNCIL,2000011693,"4,931,259.00",S31 Q1 2011-12 Grant Payments,LU1 2BQ
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,BIRMINGHAM CITY COUNCIL,2000011662,"3,218,367.88",S31 Q1 2011-12 Grant Payments,B1 1BB
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,HERTFORDSHIRE CC,2000011691,"1,720.04",S31 Q1 2011-12 Grant Payments,SG13 8TN
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,HALTON BC,2000011690,"79,866.23",S31 Q1 2011-12 Grant Payments,WA8 6NB
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,GREATER MANCHESTER ITA,2000011683,"26,801,051.91",S31 Q1 2011-12 Grant Payments,M60 2JR
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,STOCKPORT MBC,2000011696,"3,142,108.00",S31 Q1 2011-12 Grant Payments,SK1 3XE
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,CHESHIRE EAST BOROUGH COUNCIL,2000011680,"162,636.00",S31 Q1 2011-12 Grant Payments,CW11 1HZ
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,NOTTINGHAMSHIRE CC,2000011668,"292,760.00",S31 Q1 2011-12 Grant Payments,NG2 7LA
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,BARNSLEY MBC,2000011661,"106,448.51",S31 Q1 2011-12 Grant Payments,S70 2AQ
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,NEXUS,2000011667,"139,213.68",S31 Q1 2011-12 Grant Payments,NE1 4AX
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,DORSET COUNTY COUNCIL,2000011689,"2,478,778.49",S31 Q1 2011-12 Grant Payments,DT1 1XJ
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,DEVON COUNTY COUNCIL,2000011688,"1,031,188.00",S31 Q1 2011-12 Grant Payments,EX2 4QJ
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,SOUTH GLOUCESTERSHIRE COUNCIL,2000011695,"2,664,020.00",S31 Q1 2011-12 Grant Payments,BS15 9DW
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,SANDWELL MBC,2000011669,"1,559,771.93",S31 Q1 2011-12 Grant Payments,B69 3BS
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,WARWICKSHIRE CC,2000011698,960,S31 Q1 2011-12 Grant Payments,CV34 4SX
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,POOLE BC,2000011694,"3,670,097.11",S31 Q1 2011-12 Grant Payments,BH15 2RZ
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,DUDLEY MBC,2000011664,"891,063.00",S31 Q1 2011-12 Grant Payments,DY1 1HF
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,ESSEX COUNTY COUNCIL,2000011681,"3,142,323.00",S31 Q1 2011-12 Grant Payments,CH1 1QH
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,SURREY COUNTY COUNCIL,2000011697,"2,627,946.00",S31 Q1 2011-12 Grant Payments,KT1 1AB
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,LIVERPOOL CITY COUNCIL,2000011666,"1,108,571.00",S31 Q1 2011-12 Grant Payments,L2 2DH
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,WOLVERHAMPTON CITY COUNCIL,2000011671,"1,643,968.69",S31 Q1 2011-12 Grant Payments,WRV 1RL
Department for Transport,Department for Transport,07/09/2011,Capital Grants to Local Authorities,Local,DONCASTER MBC,2000011663,"4,249.26",S31 Q1 2011-12 Grant Payments,DN1 1ER
Department for Transport,Department for Transport,07/09/2011,Curr Grant to Priv Sect-Persons & NPISH,Local,DULWICH ESTATE,2000011675,"5,191.61",A2000-200076 COMPENSATION-PRIVATE TOLLD UNDERTAKIN,SE21 7AE
Department for Transport,Department for Transport,07/09/2011,Curr Grant to Priv Sect-Persons & NPISH,Local,YOUTH SPORT TRUST,2000011674,"60,000.00",Youth Sport Trust April 2011-March 2012,LE11 3TU
Department for Transport,Department for Transport,07/09/2011,Curr Grant to Priv Sect-Persons & NPISH,Local,SUSTRANS LTD,2000011670,"774,527.00",2nd Payment - Active Travel Consortium 2011-12,BS1 5DD
Department for Transport,Department for Transport,07/09/2011,Curr Grant to Priv Sect-Persons & NPISH,Local,SHREWSBURY (KINGSLAND) BRIDGE CO,2000011677,"1,884.57",A2000-200076 COMPENSATION-PRIVATE TOLLD UNDERTAKIN,SY2 6LG
Department for Transport,Department for Transport,07/09/2011,Curr Grant to Priv Sect-Persons & NPISH,Local,DUNHAM BRIDGE CO,2000011676,"56,451.83",A2000-200076 COMPENSATION-PRIVATE TOLLD UNDERTAKIN,LN2 5RU
Department for Transport,Department for Transport,07/09/2011,IT Services  Running Costs,Rail Commercial Contracts,METHODS CONSULTING LTD,2000011650,"39,506.35",Support & Maintenance of PERCY,WC2H 8AD
Department for Transport,Department for Transport,07/09/2011,Management Consultancy,Rail and Road Projects,STEER DAVIES & GLEAVE LTD,2000011655,"19,366.33",04-29 JUL 11,SE1 9PD
Department for Transport,Department for Transport,07/09/2011,Other Current Grants to NDPBs (in budgets),Roads,GWENT POLICE,2000011682,"31,879.00",Payment to Gwent Police ,NP44 2XJ
Department for Transport,Department for Transport,07/09/2011,Other Current Grants to NDPBs (in budgets),Roads,GWENT POLICE,2000011682,"6,482.00",Payment to Gwent Police ,NP44 2XJ
Department for Transport,Department for Transport,07/09/2011,Printing,Air Accident Investigation Branch,MWL PRINT GROUP LTD,2000011653,"1,672.00",Printing of AAIB Bulletin 9-2011,NP4 0DQ
Department for Transport,Department for Transport,07/09/2011,Publicity,Roads,CENTRAL OFFICE OF INFORMATION,2000011646,"114,286.46",12CDRS03120 VOD MC Media and fees June,SE1 7DU
Department for Transport,Department for Transport,07/09/2011,Publicity,Roads,CENTRAL OFFICE OF INFORMATION,2000011646,"50,400.00",Motorcycle partnership marketing,SE1 7DU
Department for Transport,Department for Transport,07/09/2011,Publicity,Roads,CENTRAL OFFICE OF INFORMATION,2000011646,"3,762.00","12CDRS03125 PM COI FEE 11/12 jun, jul, aug",SE1 7DU
Department for Transport,Department for Transport,07/09/2011,Rent - L&B (non-PFI),Business Transformation,BERALA SARL,2000011645,"1,703,910.00",Q3 Rent 11-12 @ GMH North 29/09/11 - 24/12/11,B4 6AJ
Department for Transport,Department for Transport,07/09/2011,Rent - L&B (non-PFI),Business Transformation,GREAT MINSTER EAST LONDON A/S,2000011648,"803,400.00",Q3 Rent @ GMH East 29/09/11 - 24/12/11,SS1 1AB
Department for Transport,Department for Transport,07/09/2011,Rent - L&B (non-PFI),Business Transformation,SAVILLS COMMERCIAL LTD,2000011660,"411,849.43",Rent & SC @ 5th Floor STH 29/9/11 - 24/12/11,EC2M 7EE
Department for Transport,Department for Transport,07/09/2011,Rent - L&B (non-PFI),Business Transformation,SAVILLS COMMERCIAL LTD,2000011660,"98,820.60",Rent & SC @ 9th Floor STH 29/09/11 - 24/12/11,EC2M 7EE
Department for Transport,Department for Transport,07/09/2011,Rent - L&B (non-PFI),Business Transformation,WORKMAN & PARTNERS,2000011658,"690,000.00",Q3 11-12 Rent @ 55VS 29/9/11 - 24/12/11,BS1 4AB
Department for Transport,Department for Transport,07/09/2011,Rent - L&B (non-PFI),Rail Accident Investigation Branch,MAX INDUSTRIAL GP LTD,2000011649,"3,225.00",Unit 10 BBC Garage Service Charge,EH3 1BB
Department for Transport,Department for Transport,07/09/2011,Research,Air Accident Investigation Branch,TRANSPORT RESEARCH LABORATORY,2000011656,"29,847.29",TASK E4110,RG40 3GA
Department for Transport,Department for Transport,07/09/2011,Research,Aviation,INSTITUTE OF OCCUPATIONAL MEDICINE,2000011679,"1,285.69",Institute of Occupational Medicine,EH14 4AP
Department for Transport,Department for Transport,07/09/2011,Room Hire,Centrally held prog,CONFERENCE CENTRE AT CHURCH HOUSE,2000011647,"1,098.00",Hatfield ISE Group Away Day,SW1P 3NZ
Department for Transport,Department for Transport,07/09/2011,Services provided by OGDs,Group HR,DEPARTMENT FOR WORK & PENSIONS,2000011685,"37,567.20",Pension Charges September 2011,FY5 3TA
Department for Transport,Department for Transport,07/09/2011,Services provided by OGDs,Human Resources,FOREIGN & COMMONWEALTH OFFICE,2000011678,"4,413.65",Accommodation and Utilities,MK10 1PX
Department for Transport,Department for Transport,07/09/2011,Small Software,Business Transformation,PROCSERVE SHARED SERVICES LTD,2000011684,"1,431.38",Expenses relating to Zanzibar P2P,SW1W 9SR
Department for Transport,Department for Transport,07/09/2011,Small Software,Transport Direct and Travel information,TRAPEZE GROUP (UK) LTD,2000011657,"18,240.00",ETNA AUG 11,BA14 6PH
Department for Transport,Department for Transport,07/09/2011,Storage & Distribution,Roads,CENTRAL OFFICE OF INFORMATION,2000011646,"2,961.70",THINK! Mobile Exhibition Services,SE1 7DU
Department for Transport,Department for Transport,07/09/2011,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000011686,"10,184.77",,SW1E 5DU
Department for Transport,Department for Transport,07/09/2011,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000011686,"14,802.42",,SW1E 5DU
Department for Transport,Department for Transport,07/09/2011,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000011686,"14,802.37",O/HEADS MAY 11,SW1E 5DU
Department for Transport,Department for Transport,07/09/2011,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000011686,"44,575.79",GROUP - APRIL 11,SW1E 5DU
Department for Transport,Department for Transport,07/09/2011,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000011686,"16,605.38",Corporate charges April 11,SW1E 5DU
Department for Transport,Department for Transport,07/09/2011,Storage & Distribution charges,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000011686,"15,034.58",Corporate charges June 11,SW1E 5DU
Department for Transport,Department for Transport,07/09/2011,Traffic Survey & Counting Equipment,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000011654,"33,189.00",National Travel Survey,EC1V 0AX
Department for Transport,Department for Transport,07/09/2011,Traffic Survey & Counting Equipment,Local,NATIONAL CENTRE FOR SOCIAL RESEARCH,2000011654,"203,538.00",National Travel Survey,EC1V 0AX
Department for Transport,Department for Transport,07/09/2011,Training,Transport Security,DODS PARLIAMENTARY COMS,2000011672,576,Westminster Explained ,SW1H 9BP
Department for Transport,Department for Transport,07/09/2011,Transport Consultancy,Rail and Road Projects,MOTT MACDONALD,2000011651,"133,202.79",IEP - Technical & Business Case,CR9 2UL
Department for Transport,Department for Transport,07/09/2011,Transport Consultancy,Rail and Road Projects,MOTT MACDONALD,2000011651,"-1,000.00",credit invoice IN00221273 (5105903215),CR9 2UL
