Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
Engineering & Physical Sciences Research Council,EPSRC,"Department for Business, Innovation & Skills",32,30.66,34,31.47,135,126.73,28,26.51,3,3,,,232,218,1,1,,,3,3,,,4,4,236,222,"£586,491.00","£12,649.00",£225.00,"£1,131.00","£150,274.00","£43,184.00","£793,954.00","£26,154.00",,"£26,154.00","£820,108.00",,
Engineering Construction Industry Training Board,ECITB,"Department for Business, Innovation & Skills",21,18,32,28,19,19,5,5,,,2,0.012,79,70,0,0,,,,,,,0,0,79,70,"£240,553.00","£18,188.00",£0.00,£0.00,"£62,170.00","£22,911.00","£343,822.00",£0.00,,£0.00,"£343,822.00",,
Higher Education Funding Council for England,HEFCE,"Department for Business, Innovation & Skills",27,22.38,15,13.53,147,128.41,69,62.73,33,31.64,,,291,259,4,4,,,3,3,,,7,7,298,266,"£849,586.26","£2,068.75",,"£1,672.95","£161,163.95","£73,192.32","£1,087,684.23","£45,750.88",,"£45,750.88","£1,133,435.11",,
Insolvency Service,IS,"Department for Business, Innovation & Skills",543,506.0486,255,240.5868,670,642.5997,87,86.8378,7,6.7838,,,"1,562","1,483",124,124,,,23,23,,,147,147,"1,709","1,630","£3,797,410.93","£7,290.98",£0.00,"£2,885.56","£716,608.60","£300,529.70","£4,824,725.77","£425,148.52",£0.00,"£425,148.52","£5,249,874.29",,
Medical Research Council,MRC,"Department for Business, Innovation & Skills",331,310.4,468,445.8,1412,1386.2,178,171.4,105,101.1,51,26.5,"2,545","2,441",18,18,21,21,3,3,0,0,42,42,"2,587","2,483","£7,035,000.00","£473,000.00",£0.00,"£26,500.00","£855,500.00","£636,500.00","£9,026,500.00","£488,998.00","£33,397.00","£522,395.00","£9,548,895.00",Payroll Staff Costs are estimated due to an unresolved payroll reporting system failure,
National Measurement Office,NMO,"Department for Business, Innovation & Skills",3,2.89,19,18.76,39,38.01,19,17.07,,,,,80,77,,,,,,,,,0,0,80,77,"£257,530.32",£146.25,"£2,450.00",,"£48,028.61","£21,066.03","£329,221.21",,"£8,647.52","£8,647.52","£337,868.73",,
Natural Environment Research Council,NERC,"Department for Business, Innovation & Skills",260,236.5,445,419.7,1178,1128.2,370,357.7,22,21.5,303,297.5,"2,578","2,461",10,9.4,,,1,1,,,11,10.4,"2,589","2,472","£6,723,119.78","£268,254.25","£40,030.00","£29,580.48","£1,680,176.80","£559,465.75","£9,300,627.06","£65,827.70",£0.00,"£65,827.70","£9,366,454.76",,
Office for Fair Access,OFA,"Department for Business, Innovation & Skills",0,0,1,0,14,12.68,4,3.3,2,1.6,0,0,21,18,2,2,0,0,0,0,3,3,5,5,26,23,"£62,577.56",£0.00,£0.00,£0.00,"£11,442.75","£5,201.55","£79,221.86","£4,411.44","£2,243.80","£6,655.24","£85,877.10",,
Science & Technology Facilities Council,STFC,"Department for Business, Innovation & Skills",131,126.21,260,246.4,1067,1041.74,356,345.04,30,27.28,36,36,"1,880","1,823",14,14,0,0,69,69,0,0,83,83,"1,963","1,906","£5,369,481.20","£186,128.88",£960.00,"£95,888.37","£1,375,071.64","£468,087.25","£7,495,617.34","£258,214.18",£0.00,"£258,214.18","£7,753,831.52",,
Skills Funding Agency ,SFA,"Department for Business, Innovation & Skills",82,77.65,15,14.88,656,638.98,103,102.65,26,25,,,882,859,20,20,0,0,0,0,52,52,72,72,954,931,"£2,858,865.21","£69,764.37",£0.00,"£1,056.05","£579,315.92","£256,978.73","£3,765,980.28","£586,006.00",,"£586,006.00","£4,351,986.28",,
Student Loans Company Ltd,SLCL,"Department for Business, Innovation & Skills",1863,1739.9496,728,693.83024,106,102.98,19,19,7,7,6,0.853333333,"2,729","2,564",41,41,0,0,16,16,0,0,57,57,"2,786","2,621","£4,562,121.04","£158,925.00","£11,316.50","£107,364.31","£526,707.60","£347,942.46","£5,714,376.91","£253,569.74","-£8,175.00","£245,394.74","£5,959,771.65",,
Technology Strategy Board,TSB,"Department for Business, Innovation & Skills",,,62,62,56,56,186,186,7,7,6,6,317,317,12,12,,,,,,,12,12,329,329,"£1,209,481.63","£158,395.92",,,"£296,620.21","£133,255.75","£1,797,753.51","£37,141.46",,"£37,141.46","£1,834,894.97",Now Innovate UK,
UK Commission for Employment & Skills,UKCES,"Department for Business, Innovation & Skills",28,27.3,9,8.8,65,62.5,13,12.6,6,6,,,121,117,,,,,,,,,0,0,121,117,"£252,994.57",,,,"£70,139.41","£31,478.80","£354,612.78",,,£0.00,"£354,612.78",,
UK Intellectual Property Office,UKIPO,"Department for Business, Innovation & Skills",244,218.54,283,269.01,301,293.58,242,228.39,27,26.55,,,"1,097","1,036",6,6,,,18,18,,,24,24,"1,121","1,060","£2,708,960.00","£118,100.00","£8,361.00","£68,354.00","£570,739.00","£253,301.00","£3,727,815.00","£384,375.00",,"£384,375.00","£4,112,190.00",,
UK Space Agency,UKSA,"Department for Business, Innovation & Skills",1,1,5,5,25,25,28,27.2,5,4.7,0,0,64,63,0,0,0,0,1,0.4,0,0,1,0.4,65,63,"£215,862.63","£1,998.16","£3,950.00",£0.00,"£43,667.66","£19,324.77","£284,803.22","£1,500.00",£0.00,"£1,500.00","£286,303.22",,"Within the staff on payroll are included 1.4 FTE inward secondees from industry and academia (whose pay costs are met by UKSA). There are two members of staff, who are on loan to UKSA from other government department from January 2015, whose pay costs are in the process of being recharged to UKSA. In addition, UKSA benefited from further 5 FTE inward secondees provided at nil cost as part of their personal development - these FTEs were excluded from this return to avoid double counting by home departments."
United Kingdom Atomic Energy Authority,UKAEA,"Department for Business, Innovation & Skills",51,48.72,95,92.91,375,370.95,127,125.02,11,10.6,20,20,679,668,4,4,0,0,457,457,0,0,461,461,"1,140","1,129","£2,334,867.00",£0.00,"-£84,236.00","£33,650.00","£371,476.00","£207,881.00","£2,863,638.00","£1,735,688.00",£0.00,"£1,735,688.00","£4,599,326.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.,Performance is -ve this month due to a change in the acrural rate for reduced projected performance payment.
Ordnance Survey ,OS,"Department for Business, Innovation & Skills",28,24.35135135,557,543.5243243,453,444.3,174,171.5972973,4,4,4,0.972972973,"1,220","1,189",55,55,5,5,74,74,,,134,134,"1,354","1,323","£3,313,206.00","£81,338.00","£37,324.00","£15,188.00","£642,626.00","£278,509.00","£4,368,191.00","£950,713.13",,"£950,713.13","£5,318,904.13",,
Met Office,MO,"Department for Business, Innovation & Skills",,,,,,,,,1,1,2062,1984.5,"2,063","1,986",73,73,,,,,16,16,89,89,"2,152","2,075","£5,385,349.00","£319,968.00",£0.00,"£164,578.00","£1,104,027.00","£460,822.00","£7,434,744.00","£518,393.00",,"£518,393.00","£7,953,137.00",,
