Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number,
"Department for Business, Innovation and Skills",Intellectual Property Office,25/04/2013,India Project,International Policy Directorate,Arvi Designs and Prints,312 & 319,229.25,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,India Project,International Policy Directorate,Anshika Jha,51816,231.03,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/04/2013,India Project,International Policy Directorate,C Reid & ID Massey,51821,234.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,India Project,International Policy Directorate,"Skyquest Technology Consulting Pvt, LTD",51815,258.17,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,India Project,International Policy Directorate,Taj Mahal Hotel,51812,3029.70,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/04/2013,India Project,International Policy Directorate,SKS Law Associates,51820,3500.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672136,25.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670549,107.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670546,157.15,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671346,163.88,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671343,204.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672134,218.27,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671355,235.73,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669733,273.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/04/2013,Agency Staff,IMPROVE Project,Acorn Recruitment Ltd,669728,287.29,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669745,293.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671349,297.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,672133,301.64,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671348,303.85,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670539,307.26,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670540,312.42,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,665302,327.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/04/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,669734,333.97,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670534,338.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670528,363.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670537,372.13,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672123,372.14,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,671353,377.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,670538,384.14,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671341,392.62,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671352,395.02,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,671358,402.85,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671351,409.68,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670536,413.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670547,416.56,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,671344,423.74,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670531,426.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,671354,427.34,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,671345,430.93,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,670533,430.94,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670542,436.50,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,15/04/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,670535,445.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672135,445.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,672128,448.15,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,671347,456.07,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,672125,456.88,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669746,457.88,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,24/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5452101,458.66,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671357,459.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670529,464.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,672132,473.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672127,474.55,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/04/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,667405,480.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,672129,480.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672130,481.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669739,484.78,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,672137,484.79,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,671350,486.58,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,669732,487.09,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672120,491.63,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669736,498.44,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669738,501.86,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670541,512.17,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30735005,518.70,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672131,520.72,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669735,529.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,672121,531.47,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Acorn Recruitment Ltd,672122,538.67,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,664602,539.41,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,670532,544.49,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Business Support Directorate,Acorn Recruitment Ltd,672124,553.03,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,669743,576.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672118,580.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/04/2013,Agency Staff,Patents Directorate,Acorn Recruitment Ltd,669737,582.61,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,672126,587.22,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,670544,589.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,669749,607.69,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,671356,623.06,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,669731,627.89,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669726,654.25,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,05/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,669744,660.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,670545,660.77,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670548,660.96,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30753461,677.04,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Finance Directorate,Acorn Recruitment Ltd,670550,677.09,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,670543,679.28,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669747,687.84,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,03/04/2013,Agency Staff,Finance Directorate,Hays Specialist Recruitment,1003057431,720.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Agency Staff,Finance Directorate,Hays Specialist Recruitment,1003087557,720.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5445525,727.54,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669748,741.23,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669740,752.10,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669729,763.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,26/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30762328,769.86,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5443271,774.98,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669730,785.24,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,30/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Brook Street (UK) Ltd,30724942,835.38,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669741,874.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,10/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669742,918.79,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/04/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5448685,927.18,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Agency Staff,Finance Directorate,Hays Specialist Recruitment,1003087556,960.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,19/04/2013,Agency Staff,Finance Directorate,Hays Specialist Recruitment,1003111297,960.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,669727,1010.76,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,02/04/2013,Agency Staff,Trade Marks Directorate,Acorn Recruitment Ltd,668914,1055.15,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,17/04/2013,Agency Staff,Copyright and IP Enforcement Directorate,Michael Page International Recruitment Ltd,5447928,1186.20,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,30/04/2013,Agency Staff,Finance Directorate,Hays Specialist Recruitment,1003140125,1200.00,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/04/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5443558,1236.24,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5445218,1236.24,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,29/04/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5452100,1545.30,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,08/04/2013,Agency Staff,Finance Directorate,Michael Page International Recruitment Ltd,5442044,2108.88,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,09/04/2013,Overtime,Innovation Directorate,Department For Business Innovation & Skills,10038800,206.39,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,12/04/2013,Training,Patents Directorate,Business Language Services Ltd,12539,25.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,16/04/2013,Training,Patents Directorate,Business Language Services Ltd,12540,25.12,Not applicable,
"Department for Business, Innovation and Skills",Intellectual Property Office,11/04/2013,Training,Patents Directorate,Business Language Services Ltd,12542,25.12,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/04/2013,Training,Patents Directorate,Business Language Services Ltd,12543,25.12,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/04/2013,Training,Patents Directorate,Business Language Services Ltd,12450,33.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/04/2013,Training,Central Support,Business Language Services Ltd,12560,37.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/04/2013,Training,Business Support Directorate,Business Language Services Ltd,12538,50.25,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/04/2013,Training,Business Support Directorate,Teamworks,1921/13/PatentOffice/SUP/3-13,67.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/04/2013,Training,Patents Directorate,Business Language Services Ltd,12544,71.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/04/2013,Training,Patents Directorate,Personal expenses name witheld,ER66832,80.68,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/04/2013,Training,Finance Directorate,Business Language Services Ltd,12427,112.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/04/2013,Training,Finance Directorate,Business Language Services Ltd,12559,112.50,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2013,Training,Innovation Directorate,Capita Business Services  Ltd,I8227,144.67,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2013,Training,Copyright and IP Enforcement Directorate,Capita Business Services  Ltd,I8227,144.67,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2013,Training,Patents Directorate,Capita Business Services  Ltd,I8227,144.67,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/04/2013,Training,Copyright and IP Enforcement Directorate,Capita Business Services  Ltd,I7090,197.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/04/2013,Training,Business Support Directorate,Capita Business Services  Ltd,I7740,197.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/04/2013,Training,International Policy Directorate,Business Language Services Ltd,12443,268.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/04/2013,Training,International Policy Directorate,Business Language Services Ltd,12537,268.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2013,Training,Finance Directorate,Capita Business Services  Ltd,I8227,289.33,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2013,Training,International Policy Directorate,Capita Business Services  Ltd,I8227,289.33,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2013,Training,Trade Marks Directorate,Capita Business Services  Ltd,I8227,289.33,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2013,Training,Trade Marks Directorate,Capita Business Services  Ltd,I8227,289.33,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/04/2013,Training,Central Support,Solace,B0002,350.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,11/04/2013,Training,Business Support Directorate,British Red Cross,N803949,360.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/04/2013,Training,Business Support Directorate,Business Language Services Ltd,12561,413.62,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,08/04/2013,Training,Patents Directorate,Whitehall & Industry Group,2130169,450.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/04/2013,Training,Finance Directorate,Whitehall & Industry Group,2130186,450.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/04/2013,Training,Finance Directorate,Whitehall & Industry Group,2130188,450.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,18/04/2013,Training,IMPROVE Project,Organisational Efficiency Solutions Ltd,002/2013,570.60,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,09/04/2013,Training,Copyright and IP Enforcement Directorate,Capita Business Services  Ltd,I8227,578.67,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,05/04/2013,Training,Innovation Directorate,Devon County Council,52987238,630.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/04/2013,Training,Patents Directorate,University of Wales Newport,10021682,780.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,10/04/2013,Training,Innovation Directorate,Alliance IP Training,Symonds/Smith 4/13,800.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/04/2013,Training,Copyright and IP Enforcement Directorate,Alliance IP Training,IPOENFX42013,950.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/04/2013,Training,Copyright and IP Enforcement Directorate,Altia Solutions Ltd,INV2012-202,1050.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/04/2013,Training,Innovation Directorate,Red Ochre,N99262,1500.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,12/04/2013,Training,Business Support Directorate,Quantum of Value,1102216,1600.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/04/2013,Training,Business Support Directorate,E Academy Ltd,INV-10278,1645.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,02/04/2013,Training,Patents Directorate,University of Wales Newport,10021682,1820.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/04/2013,Training,Finance Directorate,Hawksmere Ltd,221555/KF,2021.75,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,04/04/2013,Training,Finance Directorate,Ultima Risk Management,URM/103531,3120.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,16/04/2013,Training,Business Support Directorate,ChangeQuest Ltd,335,1495.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,23/04/2013,Training,Business Support Directorate,Capita Business Services  Ltd,I8523,1925.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,24/04/2013,Training,Business Support Directorate,Capita Business Services  Ltd,I9266,1925.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,19/04/2013,Training,Business Support Directorate,NAS Services,PRP2141777,2174.00,Not applicable,
Department for Business Innovation and Skills,Intellectual Property Office,17/04/2013,Training,Business Support Directorate,Transformation Partners,PH3520,2724.60,Not applicable,
