Merchant Category,Supplier Name,Service  ,Summary of Purpose of Expenditure ,Date,Net Amount
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,136.00
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,170.00
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,445.40
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,"4,318.00"
Social Care Services,Absolute Care and Support (UK) Ltd,Services to People,Care Payments,21/12/2016,"1,635.40"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,07/12/2016,"1,887.00"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,07/12/2016,200.60
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,07/12/2016,"1,023.40"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,07/12/2016,"1,679.60"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,07/12/2016,102.00
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,12/12/2016,"2,203.20"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,12/12/2016,200.60
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,12/12/2016,"1,037.00"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,12/12/2016,"1,679.60"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,12/12/2016,102.00
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,21/12/2016,"1,771.40"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,21/12/2016,200.60
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,21/12/2016,"1,013.20"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,21/12/2016,"1,652.40"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,21/12/2016,122.40
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,21/12/2016,"1,771.40"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,21/12/2016,200.60
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,21/12/2016,618.80
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,21/12/2016,"1,686.40"
Social Care Services,Absolute Care At Home Ltd,Services to People,Care Payments,21/12/2016,136.00
Digital / Media Services,ACCESS POINT LTD,Corporate and Support Services,Publicity and Promotion,08/12/2016,"1,315.00"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.37"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,19/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,19/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,19/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,19/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,19/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,19/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,19/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,19/12/2016,"2,799.33"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.37"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.37"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.37"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.37"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.37"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.37"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,799.37"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,332.78"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,332.78"
Childcare Provision,Acorn Care and Education,Services to People,Fees and Charges,15/12/2016,"2,146.16"
Environmental Services,ACORN ENVIRONMENT SERVICES LTD,Corporate and Support Services,Cleaning,19/12/2016,550.00
Counselling Services,Acorn Recovery Projects,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"3,375.00"
Health Advice / Awareness,Action on Hearing Loss,Services to People,Professional Fees,06/12/2016,777.36
Health Advice / Awareness,Action on Hearing Loss,Services to People,Professional Fees,12/12/2016,"1,391.60"
Social Care Services,Activecare Ltd,Services to People,Care Payments,05/12/2016,"-1,215.00"
Social Care Services,Activecare Ltd,Services to People,Care Payments,05/12/2016,"3,395.00"
Social Care Services,Activecare Ltd,Services to People,Care Payments,05/12/2016,"2,216.21"
Transport and Travel,Adams Travel,Services to People,Leasing /Transport Hire,08/12/2016,"1,540.00"
Transport and Travel,Adams Travel,Services to People,Leasing /Transport Hire,08/12/2016,"3,498.00"
Transport and Travel,Adams Travel,Services to People,Leasing /Transport Hire,08/12/2016,"2,992.00"
Transport and Travel,Adams Travel,Services to People,Leasing /Transport Hire,08/12/2016,850.67
Transport and Travel,Adams Travel,Services to People,Leasing /Transport Hire,08/12/2016,"1,701.33"
Construction / Building Services,ADAPTACARE LTD,Capital Expenditure,Capital Expenditure - Works,13/12/2016,634.00
Construction / Building Services,ADAPTACARE LTD,Capital Expenditure,Capital Expenditure - Works,19/12/2016,"3,666.00"
Social Care Services,ADLINGTON MANOR LTD,Services to People,Care Payments,05/12/2016,-725.30
Social Care Services,ADLINGTON MANOR LTD,Services to People,Care Payments,05/12/2016,-631.50
Social Care Services,ADLINGTON MANOR LTD,Services to People,Care Payments,05/12/2016,-769.30
Social Care Services,ADLINGTON MANOR LTD,Services to People,Care Payments,05/12/2016,"-1,263.15"
Social Care Services,ADLINGTON MANOR LTD,Services to People,Care Payments,05/12/2016,"2,174.00"
Social Care Services,ADLINGTON MANOR LTD,Services to People,Care Payments,05/12/2016,"5,806.00"
Social Care Services,ADLINGTON MANOR LTD,Services to People,Care Payments,05/12/2016,"2,631.00"
Social Care Services,ADLINGTON MANOR LTD,Services to People,Care Payments,05/12/2016,"4,920.00"
Social Care Services,ADLINGTON MANOR LTD,Services to People,Care Payments,05/12/2016,"-4,826.14"
Child / Family Support,ADOPTION MATTERS NORTHWEST,Services to People,Professional Fees,06/12/2016,797.30
Financial Services,Advanced Payment Solutions Ltd,Corporate and Support Services,Fees and Charges,01/12/2016,576.55
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,08/12/2016,700.00
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,08/12/2016,"8,040.00"
Professional / Consultancy Services,AECOM,Capital Expenditure,Professional Fees,29/12/2016,"3,000.00"
Professional / Consultancy Services,AECOM Infrastructure & Environment,Capital Expenditure,Professional Fees,29/12/2016,"3,274.79"
Welfare Services,Age Concern Manchester,Services to People,Care Payments,05/12/2016,792.54
Welfare Services,AGE UK STOCKPORT,Services to People,Third party payments - Private/Voluntary Sector,07/12/2016,"75,000.00"
Social Care Services,Agricultural Rural Centre CIC,Services to People,Care Payments,08/12/2016,500.00
Mobility Equipment / Supplies,AIDSERVICE LTD,Services to People,Furniture and Equipment,08/12/2016,577.00
Mobility Equipment / Supplies,AIDSERVICE LTD,Services to People,Furniture and Equipment,08/12/2016,45.00
Digital / Media Services,AK Products Peartree Print,Services to People,Furniture and Equipment,12/12/2016,737.50
Mobility Equipment / Supplies,AKW MEDI-CARE LTD,Services to People,Furniture and Equipment,14/12/2016,281.34
Mobility Equipment / Supplies,AKW MEDI-CARE LTD,Services to People,Furniture and Equipment,14/12/2016,28.70
Mobility Equipment / Supplies,AKW MEDI-CARE LTD,Services to People,Furniture and Equipment,14/12/2016,251.00
Mobility Equipment / Supplies,AKW MEDI-CARE LTD,Services to People,Furniture and Equipment,14/12/2016,360.00
Mobility Equipment / Supplies,AKW MEDI-CARE LTD,Services to People,Furniture and Equipment,14/12/2016,576.00
Mobility Equipment / Supplies,AKW MEDI-CARE LTD,Services to People,Furniture and Equipment,14/12/2016,828.00
Mobility Equipment / Supplies,AKW MEDI-CARE LTD,Services to People,Furniture and Equipment,14/12/2016,209.80
Mobility Equipment / Supplies,AKW MEDI-CARE LTD,Services to People,Furniture and Equipment,14/12/2016,314.70
Professional / Consultancy Services,Alcumus ISOQAR LTD,Services to Place,Professional Fees,09/12/2016,"1,590.00"
Professional / Consultancy Services,Alcumus ISOQAR LTD,Services to Place,Professional Fees,09/12/2016,"1,590.00"
Professional / Consultancy Services,Alcumus ISOQAR LTD,Services to Place,Professional Fees,21/12/2016,755.00
Professional / Consultancy Services,Alcumus ISOQAR LTD,Services to Place,Professional Fees,21/12/2016,755.00
Education Services,ALEXANDRA PARK PRE-SCHOOL,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"13,714.50"
Social Care Services,Alice Chilton In-Home Care Services,Services to People,Care Payments,21/12/2016,668.25
Professional / Consultancy Services,Alison Sackville-Ford - Consultant,Services to People,Professional Fees,09/12/2016,693.00
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Corporate and Support Services,Cleaning,07/12/2016,772.17
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Corporate and Support Services,Cleaning,07/12/2016,82.72
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Corporate and Support Services,Cleaning,20/12/2016,919.25
Catering / Food / Beverages,ALLIANCE DISPOSABLES LTD,Corporate and Support Services,Cleaning,20/12/2016,82.72
Facilities / Room Hire,ALMA LODGE HOTEL,Services to People,Office Expenses,29/12/2016,549.99
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,-653.50
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,"-8,771.95"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,"-9,631.28"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,"3,057.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,"32,487.86"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,"2,197.25"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,"3,240.43"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,"46,464.62"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,"2,045.50"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,639.43
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,05/12/2016,"31,922.86"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,08/12/2016,468.00
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,08/12/2016,780.00
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,"1,346.43"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,"1,216.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,18.96
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,88.50
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,-14.29
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,207.14
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,"4,034.57"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,"2,100.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,"1,346.43"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,82.14
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,21/12/2016,"1,150.00"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,16/12/2016,"2,678.57"
Social Care Services,Altruistic Care Ltd t/a Plane Tree,Services to People,Care Payments,16/12/2016,"12,000.00"
Childcare Provision,Redact - Personal Information,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,"1,728.00"
Legal Services,Analysis Legal LLP,Corporate and Support Services,Publicity and Promotion,29/12/2016,"1,000.00"
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,-631.50
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,177.44
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,"-1,298.50"
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,"-1,379.60"
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,-666.65
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,"2,353.50"
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,-427.63
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,334.93
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,"2,314.50"
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,"4,698.00"
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,05/12/2016,"2,164.50"
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,21/12/2016,"1,090.50"
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,21/12/2016,"1,526.70"
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,21/12/2016,-141.43
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,21/12/2016,"1,496.70"
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,21/12/2016,945.10
Social Care Services,Anchor Care Homes(Hatton Grange),Services to People,Care Payments,21/12/2016,"2,860.86"
Social Care Services,Angel Home Care Services,Services to People,Care Payments,07/12/2016,649.40
Social Care Services,Angel Home Care Services,Services to People,Care Payments,07/12/2016,"1,115.20"
Social Care Services,Angel Home Care Services,Services to People,Care Payments,07/12/2016,"1,309.00"
Social Care Services,Angel Home Care Services,Services to People,Care Payments,07/12/2016,68.00
Social Care Services,Angel Home Care Services,Services to People,Care Payments,07/12/2016,795.60
Social Care Services,Angel Home Care Services,Services to People,Care Payments,07/12/2016,"1,516.40"
Social Care Services,Angel Home Care Services,Services to People,Care Payments,07/12/2016,761.60
Social Care Services,Angel Home Care Services,Services to People,Care Payments,07/12/2016,64.60
Social Care Services,Angel Home Care Services,Services to People,Care Payments,21/12/2016,530.40
Social Care Services,Angel Home Care Services,Services to People,Care Payments,21/12/2016,"1,751.00"
Social Care Services,Angel Home Care Services,Services to People,Care Payments,21/12/2016,744.60
Social Care Services,Angel Home Care Services,Services to People,Care Payments,21/12/2016,68.00
Social Care Services,Angel Home Care Services,Services to People,Care Payments,21/12/2016,527.00
Social Care Services,Angel Home Care Services,Services to People,Care Payments,21/12/2016,"1,689.80"
Social Care Services,Angel Home Care Services,Services to People,Care Payments,21/12/2016,754.80
Social Care Services,Angel Home Care Services,Services to People,Care Payments,21/12/2016,57.80
Childcare Provision,Redact - Personal Information,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,891.00
Social Care Services,Angels Healthcare,Services to People,Care Payments,01/12/2016,"3,900.00"
Social Care Services,Angels Healthcare,Services to People,Care Payments,29/12/2016,"4,680.00"
Forensics / Laboratories,Anna Morris,Corporate and Support Services,Professional Fees,29/12/2016,800.00
Forensics / Laboratories,Anna Morris,Corporate and Support Services,Professional Fees,29/12/2016,"1,200.00"
Childcare Provision,Annie's Childminding,Services to People,Third party payments - Private/Voluntary Sector,29/12/2016,837.00
Legal Services,ANTHONY COLLINS SOLICITORS LLP,Corporate and Support Services,Professional Fees,21/12/2016,500.00
Financial Services,APS Financial Ltd,Services to People,Care Payments,01/12/2016,"1,590.00"
Digital / Media Services,APS GROUP,Corporate and Support Services,Professional Fees,13/12/2016,"7,500.00"
Further and Higher Education,AQUINAS COLLEGE,Services to People,Fees and Charges,21/12/2016,"72,666.81"
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,75.57
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,75.57
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,151.14
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,10.87
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,10.87
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,10.87
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,21.74
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,9.97
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,29.91
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,18.93
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,47.19
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,141.57
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to Place,Clothing Uniforms and Laundry,14/12/2016,47.19
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to People,Furniture and Equipment,19/12/2016,63.50
Clothing/Workwear/Safety Equipt,ARCO MANCHESTER LTD,Services to People,Furniture and Equipment,19/12/2016,63.50
