Scheme Ref Number,Ward,Decision made by,Date of decision,Detail & Cost,Outcome/Ward priority met
CL-15-06,Clifton,Cllr Danny Myers and Cllr Margaret Wells ,18/02/2016,"We would like to help support a project involving over 50 families in the Clifton Area. Each year we join forces with the local school to pay for 3 coaches to take families on a day out to Scarborough. They have a wonderful day at the beach, and for many it is their only day away from York in the year","This will benefit a number of families living in Clifton Ward. The trip means that families get to have a rare day out away from home without the high cost of travel. 
Families can also enjoy the company of other families – sharing the experience with their friends too.
"
CL-15-1,Clifton,Cllr Myers and Cllr Wells,08/12/2015,"Clifton Elderberries - To provide coach outings for senior members of the ward, applying for money for the hire of coaches £200",An Inclusive ward
CO-15-01,Copmanthorpe,Cllr Carr      ,06/01/2016,A grant to Copmanthorpe Communicare to cover the premium for the combined liability insurance policy for one year.  Amount: £577,"Outcome: The project supports residents with limited access to personal or public transport to access appointments using the volunteer-run social car scheme, thereby enabling community care."
DW-15-01,Dringhouses and Woodthorpe,"Cllr A Reid
Cllr S Fenton
Cllr A Mason
",25/11/2015,A grant of £383 to Woodthorpe Community Group to pay for ‘carols by candlelight’ Christmas events.,"To increase community involvement, promote the group and recruit new members"
DW-15-02,Dringhouses and Woodthorpe,"Cllr A Reid
Cllr S Fenton
Cllr A Mason
",25/11/2015,A grant of £750 to West Thorpe Methodist Church to pay for a new kitchenette.,To enhance the social nature of meetings and encourage community involvement.  
DW-15-03,Dringhouses and Woodthorpe,"Cllr A Reid
Cllr S Fenton
Cllr A Mason
",25/11/2015,A grant of £3300 to St James the Deacon Parochial Church Council for an automated door system to the church hall.,To increase inclusiveness of the venue and community involvement.
DW-15-04,Dringhouses and Woodthorpe,"Cllr A Reid
Cllr S Fenton
Cllr A Mason
",25/11/2015,A grant of £270 to Mayfields Community Trust to pay for the gazebo.,To serve as a focal centre during volunteer activities and make them less weather dependant
DW-15-05,Dringhouses and Woodthorpe,"Cllr A Reid
Cllr S Fenton
Cllr A Mason
",25/11/2015,A grant of £150 to Craft and Chat group to pay for craft and advertising materials,To increase community involvement and address the social isolation issue.
DW-15-06,Dringhouses and Woodthorpe,"Cllr A Reid
Cllr S Fenton
Cllr A Mason
",25/11/2015,A grant of £150 to Craft and Chat group to pay for craft and advertising materials,To increase community involvement and address the social isolation issue.
DW-15-07,Dringhouses and Woodthorpe,"Cllr A Reid
Cllr S Fenton
Cllr A Mason
",25/11/2015,"A grant of £2125.81 to Friends of Chapman’s Pond to pay for water testing equipment, PPE and insurance for volunteers, new fence and a cycle rack.",To increase community involvement and improve local environment knowledge in the history of the area
DW-15-08,Dringhouses and Woodthorpe,"Cllr A Reid
Cllr S Fenton
Cllr A Mason
",25/11/2015,A grant of £552.32 to Friends of Hob Moor to pay for a new bench and leaflets.,To improve the local environment and increase community involvement.
DW-15-08,Dringhouses and Woodthorpe ,Cllr Reid and Fenton,25/11/2015,A grant of £552.32 to Friends of Hob Moor to pay for a new bench and leaflets,To improve the local environment and increase community involvement.
DW-15-09,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Renew CCTV licence for Wains Grove - £900,Ward priority: Improving the local environment. Outcome: the scheme will improve community safety and deter ASB
DW-15-10,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Repaint barrier on snicket between Carrfield and Teal Drive - £180,Ward priority: Improve the local environment. Outcome: the scheme will improve appearance of the barrier 
DW-15-11,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Clear moss from the paved area behind the Ganton Place flats - £360,Ward priority: Improve the local environment. Outcome: the scheme will improve the site appearance
DW-15-12,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Install litter bin at Woodthorpe green play area - £850,Ward priority: Improve the local environemnt. Outcome: the scheme will tackle the problem of litter in the area
DW-15-13,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Install litter bin on St Helens Road at junction with Tadcaster Road near bus stop - £850,Ward priority: Improve the local environemnt. Outcome: the scheme will tackle the problem of litter in the area
DW-15-14,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Install litter bin on Chaloners Road at junction with Sandcroft Road - £850,Ward priority: Improve the local environemnt. Outcome: the scheme will tackle the problem of litter in the area
DW-15-15,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,"Install litter bin on Chaloners Road at junction with Moor Lane, outside no 2 Chaloners Road - £850",Ward priority: Improve the local environemnt Outcome: the scheme will tackle the problem of litter in the area
DW-15-16,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Install litter bin on Revival estate at the junction with Tadcaster Road - £850,Ward priority: Improve the local environemnt. Outcome: the scheme will tackle the problem of litter in the area
DW-15-17,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,"Install litter bin on Little Hob Moor, near the underpass - £850",Ward priority: Improve the local environemnt. Outcome: the scheme will tackle the problem of litter in the area
DW-15-18,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Replace damaged litter bin outside shops on Middlethorpe Grove - £350,Ward priority: Improve the local environemnt. Outcome: the scheme will tackle the problem of litter in the area
DW-15-19,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Repaint cycle hoops outside shops on Middlethorpe Grove. - £180,Ward priority: Improve the local environemnt. Outcome:  the scheme will tackle the problem of litter in the area
DW-15-20,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Install a community notice board at Middlethorpe Grove shops - £880,Ward priority: Increase community involvement           Improving access to services. Outcome: enhanced  means of communication to local residents to make them aware of local issues
DW-15-21,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,"Install a community notice board in Woodthorpe, perhaps on Girvan Close near Lomond Ginnel - £880",Ward priority: Increase community involvement           Improving access to services. Outcome: enhanced  means of communication to local residents to make them aware of local issues
DW-15-21a,Dringhouses and Woodthorpe,Cllr Ann Reid          Cllr Stephen Fenton   Cllr Ashley Mason,22/03/2016,Delivery of 2x ward notice boards from the manufacturer to Hazel Court - £17.50,Ward priority: Increase community involvement           Improving access to services. Outcome: enhanced  means of communication to local residents to make them aware of local issues
DW-15-22,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Stickers for litter bins stating that it is an offence to dispose of household rubbish in public litter bins - £15,Ward priority: Improve the local environment. Outcome:  the scheme is aimed to deter misuse of street litter bins
DW-15-22a,Dringhouses and Woodthorpe,Cllr Ann Reid          Cllr Stephen Fenton   Cllr Ashley Mason,11/03/2016,Water proof/ outdoor stickers for litter bins stating that it is an offence to dispose of household rubbish in public litter bins - £60,Ward priority: Improve the local environment. Outcome:  the scheme is aimed to deter misuse of street litter bins
DW-15-23,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Remove shrubs from Girvan Close play area - £720. Work not to be undertaken until outcome of consultation with residents immediately adjacent to the site.,Ward priority: Improve the local environemnt. Outcome: the scheme will reduce annual spending on grounds maintenance. Flower bulbs and turf is to be planted in place of shrubs
DW-15-24,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Remove shrubs from Silverdale Court -£720. Work not to be undertaken until outcome of consultation with residents immediately adjacent to the site.,Ward priority: Improve the local environemnt. Outcome:  the scheme will reduce annual spending on grounds maintenance. Flower bulbs and turf is to be planted in place of shrubs
DW-15-25,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Training for Chapmans Pond volunteer bailiffs - £232,Ward priority: Improve the local environment              Increase community involvement Outcome: to help support environmental improvements by volunteers in the ward.
DW-15-26,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Purchase 30 litter grabbers ad refuse bag holders to distribute to volunteer litter pickers - £810,Ward priority: Improve the local environment              Increase community involvement. Outcome: to help support environmental improvements by volunteers in the ward.
DW-15-27,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Stephen Fenton,09/03/2016,"Resurface part of Old Moor Lane footpath, near junction with Tadcaster Road  - £7119",Ward highways fund     Ward priority: Improve the local environment             Outcome: deterioriating pavement resurfaced 
DW-15-28,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Part-fund a parking layby with the space for 6 cars outside the flats on Wains Road -  part funding (up to £7k) with Housing EIG.,Ward highways fund Outcome@ to provide much needed parking space in the area
DW-15-30,Dringhouses and Woodthorpe,Cllr Ann Reid         Cllr Ashley Mason  Cllr Stephen Fenton,20/01/2016,Install grit bin at the junction of Hillcrest Gardens and Hob Moor Terrace -£355,Ward priority: Improve the local environment. Outcome: there are no grit bins in the vicinity and installation of one will provide residents with a grit supply to sprinkle on pavements in the vicinity to make them passable and reduce risk of falls and injuries in winter months.
DW-15-31,Dringhouses and Woodthorpe,Cllr Ann Reid          Cllr Stephen Fenton,10/03/2016,A grant of £239.94 to West Thorpe Preschool to putchase child friendly IT equipment.,Ward priority: Increasing community involvement. Outcome: provision of tablets  will ensure that  disadvantaged children who have no access to IT equipment at home will have access to the same standards as their friends in preparation for school
FH-15-01,Fulford and Heslington,Cllr Aspden,27/07/2015,A grant of £200 to Fulford Show,To hire the York City Knights giant inflatable for the Fulford Show on 31st August 2015   
FH-15-02,Fulford and Heslington,Cllr Aspden,30/11/2015,Grant of £840 to Heslington Village Trust to purchase and install a ‘Welcome to Heslington – a conservation area’ sign on Field Lane ,Environmental Improvements - To emphasise the sense of place and community by properly identifying Heslington Village.
FH-15-03,Fulford and Heslington,Cllr Aspden,30/11/2015,"Grant of £150 to Fishergate, Fulford and Heslington Local History Society to purchase display materials ",Support for community activity and involvement - Help to promote the work of the Society and increase local knowledge in the history of the area
FH-15-04,Fulford and Heslington,Cllr Aspden,30/11/2015,Grant of £500 to Heslington Parish Council towards the cost of restoring three bench seats in the village,Environmental improvements - improves the appearance of public amenities 
FH-15-05,Fulford and Heslington ,Cllr Aspden,30/11/2015,Grant of £165 to Friends of Fulford Community Orchard to design and print information leaflets ,Environmental Improvements – aids  Friends of the orchard to promote their work and build capacity 
FH-15-06,Fulford and Heslington,Cllr Aspden,30/11/2015,"Grant of £900 to Fulford in Bloom to purchase plants, bulbs and rejuvenate the phone box on Fulford Road",Environmental Improvements
FH-15-07,Fulford and Heslington,Cllr Aspden,30/11/2015,Grant of £1000 to TIMEOUT to enable them to expand their activities ,Reducing social isolation and loneliness – provides an opportunity to elderly citizens in the community to meet together for an afternoon of fun and entertainment
FH-15-08,Fulford and Heslington ,Cllr Aspden,30/11/2015,Grant of £1892 to Fulford Scout Group towards the repair and resurfacing of the Scout Hut floor,Support for community activity and involvement  – create a smarter and safer facility for the group to use.
FH-15-09,Fulford and Heslington,Cllr Aspden,30/11/2015,Grant of £869 for purchase of gardening tools and equipment to enable the group to help with environmental community activity ,Environmental Improvements –helps to increase voluntary capacity 
FH-15-10,Fulford and Heslington,Cllr Aspden,30/11/2015,Grant of £1008 to Heslington Scout Group to replace their climbing equipment ,Support for community activity and involvement 
FH-15-11,Fulford and Heslington ,Cllr Aspden,30/11/2015,Grant of £1128 to Fulford Parish Council towards the cost of installing a wheelchair friendly gate on the sports field on School Lane ,Environmental Improvements and support for community activity and involvement 
FH-15-12,Fulford and Heslington,Cllr Aspden,30/11/2015,Grant of £211 to Fulford Parish Council toward the refurbishment of 2 existing notice boards and the purchase of one new one.,Support for community activity and Involvement
FH-15-14,Fulford and Heslington,Cllr Aspden ,03/03/2016,A grant to Heslington Sportsfield Management Committee to purchase and install a safety sign in the new playground area.   Amount: £250                              ,Outcome: Will encourage safe use of the new play equipment.    Priority: Support for community activity and involvement 
FH-15-15,Fulford and Heslington,Cllr Aspden ,03/03/2016,A grant to Heslington Parish Council to purchase a replacement polyethelene hopper for the lengthsmans barrow.  Amount: £104,Outcome: Enables the barrowman to effectively carry out duties of removal of waste/litter/leaves  Priority: Improving the environment 
FH-15-16,Fulford and Heslington,Cllr Aspden ,03/03/2016,A grant to Heslington Village Meeting Room Committee to purchase and install an aluminium finger sign to advertise the location of the meeting rooms.  Amount: £139.75,Outcome: Increase awareness of the meeting room for community use and activities.   Priority: Support community activity and involvement 
FS-15-01,Fishergate ,"Cllr D'Agorne, Cllr Taylor               ",22/01/2016,A grant to the Melbourne Centre towards the building of a new workshop.  Amount: £2500   ,The workshop will be used to offer craft based activities for the community in an evening therefore supports community activity in the ward and helps to reduce social isolation
FS-15-02,Fishergate ,"Cllr D'Agorne, Cllr Taylor               ",22/01/2016,"A grant  to St Lawrence PCC towards the the cost of a new kitchen in the community hall, as part of a wider refurbishment and modernisation programme.  Amount: £1000","Outcome: The project enables the church to continue and develop  activities offered to the community, including a lunch club for the elderly, so therefore helps to reduce social isolation in the ward "
FS-15-03,Fishergate ,"Cllr D'Agorne, Cllr Taylor               ",22/01/2016,A grant to St Lawrence PCC towards the cost of a new floor Amount: £500,"Outcome: The project enables the church to continue and develop  activities offered to the community, including a lunch club for the elderly, so therefore helps to reduce social isolation in the ward "
GU-15-01,Guildhall,"Cllr Craghill, Flinders and Looker",04/08/2015,A grant of £1260 to The Arts Barge Project,To provide a contribution to the cost of the 2015 Riverside Festival
GU-15-03,Guildhall,"Cllr Craghill, Cllr Flinders, Cllr Looker",07/12/2015,A grant to York Irish Association towards the costs of the St Patrick's Day Festival to be held in the city centre.  Amount: £500 ,Outcome: the grant will support the festival's varied contribution to the ward priority of an inclusive and user-friendly ward.
GU-15-04,Guildhall,"Cllr Craghill, Cllr Flinders, Cllr Looker        ",07/12/2015,A grant to All Saints' Church (Pavement) to fund a new public seat as part of the churchyard refurbishment project.  Amount: £840 ,"Outcome: The grant will contribute to creating an attractive public space, thereby addressing the ward priotites of an inclusive and user-friendly city centre and well-maintained ward."
GU-15-05,Guildhall,"Cllr Craghill, Cllr Flinders, Cllr Looker              ",07/12/2015,A grant to the Arts Barge Project to provide an inter-generational community dance project at the National Centre for Early Music.  Amount: £730 ,"Outcome: The grant contributes to the costs of an event which addresses the ward priorities of an inclusive and user-friendly ward, by bringing local people together for community arts."
GU-15-A1,Guildhall,"Cllr Craghill, Cllr Flinders, Cllr Looker    ",16/02/2016,"A supplement to the existing budget for hire of the National Centre for Early Music (including refreshments) for a Ward Committee meeting with a target community of Navigation Road, Walmgate and vicinity, in order to follow-up on local flooding and encourage the formation of a new residents' association.  Amount: £200","Outcome: The room hire will facilitate greater resident engagement and involvement in the Walmgate area, contributing to the three ward priorities."
HE-15-02,Heworth  ,"Cllr Boyce, Cllr Funnell, Cllr Williams",22/03/2016,Grant to G2 to support an Easter party for Tang Hall residents at Burnholme Community Hub.  Amount:  £725,Outcome:  Provide activity and entertainment for families over the Easter holidays.  Promote activities on offer for local people at Burnholem Community Hub.  Priority:  Supporting community activity and involvement 
HN-15-01,Huntington & New Earswick,"Cllr Cullwick, Cllr Orrell, Cllr Runciman    ",03/12/2015,"A grant to St Andrew's Church to further refurbish the community facilities so as to develop services, in particular for the young and older population.  Amount: £5600 ",Outcome: The refurbished facilities will facilitate the reduction of social isolation and deprivation in the ward.  The project will contribute to all three ward priorites and community care.
HN-15-02,Huntington & New Earswick,"Cllr Cullwick, Cllr Orrell, Cllr Runciman             ",03/12/2015,A grant to All Saints' Church (Huntington) to install lighting on the publicly-accessible footpath between Huntington and New Earswick via the churchyard.  Amount: £4250 ,Outcome: The project will improve the safety of people and property by lighting a footpath which is currently unlit and therefby contributing to the priority of community safety.
HN-15-03,Huntington & New Earswick,"Cllr Cullwick, Cllr Orrell, Cllr Runciman                 ",03/12/2015,A grant to St Andrew's Church to provide a year's transport to young people to access the youth club and for materials for youth club activities.  Amount: £405,Outcome: The grant will enable young people to attend the youth club safely and will also increase the resources available at the youth club.  The grant will address the ward priority for improving young people's provision.
HN-15-04,Huntington & New Earswick,"Cllr C Runciman, Cllr Cullwick, Cllr Orrell ",02/03/2016,a grant of £3150 to the tool box project to pay towards staffing costs and project parts whilst working with young people.,"Outcome: Toolbox provides  a fully functional motorcycle, bicycle and car mechanics workshop working with hard to reach, NEET, socially excluded, ethnic minorities and disadvantaged young people from ages 10 upwards. "
HN-15-05,Huntington & New Earswick,"Cllr C Runciman, Cllr Cullwick, Cllr Orrell ",02/03/2016,"A grant of £2000 to purchase a lawnmower to assist with the grasscutting within the ward alongside JRHT. The grass cutting is undertaken by Community Action for Nature, a group of volunteers improving the local area",Outcome: To improve resources for a local environmental group to help maintain and improve the ward
HO-15-01,Holgate,"Cllr Crisp, Cannon and Derbyshire",29/07/2015,Grant to Poppleton Road Out of School Club £880,"Grant towards funding a summer activities programme to include visits from Park Ranger, nature based activities, dance and sport classes and weekly trips. Scholarship places to be offered to pupils in receipt of Pupil Premium funding"
HO-15-02,Holgate,"Cllr Crisp, Cannon and Derbyshire",29/07/2015,Grant to the Poppy Road Poppy Project £470,Grant to pay for a Holgate Community Celebration event in September
HO-15-04,Holgate,"Cllr Crisp, Cannon and Derbyshire",29/07/2015,Grant to York Railway Institute Rugby Union Junior Football Club,Grant towards the cost of employing  a coach to enable more children and young people to take up the sport of Rugby.
HO-15-05,Holgate,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,A grant to Friends of West Bank Park to organise and run West bank Park summer fair 2016 and to fund a junk Percussion Workshop. Amount: £805,Outcome: The project aims to provide opportunities for all age groups in the local community to interact with each other. Priority: • Supporting and encouraging efforts of local people and groups to continue to improve Holgate and provide activities for people of all ages.
HO-15-06,Holgate,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,"A grant to Friends  of West bank Park to improve pond, bird tables and planting, as well as decking for children to safely observe wildlife. Amount: £750","Outcome: encourage more environmentally friendly habitats for wildlife, whilst encouraging more people to view the park. Priority: • Supporting and encouraging strong, safe and friendly communities"
HO-15-08,Holgate,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,A grant to West Bank Park Heritage Project to produce a leaflet about the backhouse cafe and heritage centre. Amount: £880,"Outcome: To provide a short history of the backhouse nurseries,  as well as provide a place to create links for disperate groups. Priority: Supporting and encouraging efforts of local people and groups to continue to improve Holgate and provide activities for people of all ages "
HO-15-09,Holgate,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,A grant to Holgate Methodist Church to help refurbish Room One at Holgate Church. Amount: £2522,"Outcome: Improvements to a community space used by a wide range of people. Priority: Supporting and encouraging strong, safe and friendly communities."
HO-15-11,Holgate,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,"A grant to Holgate Community Garden for purchasing items such as benches, dog litter bins, hoses etc. Amount: £772.87",Outcome:  Improvement to facilities to enable more residents to enjoy the Community Garden. Proirity: Supporting and encouraging efforts of local people and groups to continue to improve Holgate and provide activities for people of all ages. 
HO-15-12 ,Holgate,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,A grant to The PCC of The Parish of St Paul's Holgate for 'Young At Heart' - a monthly lunch club for older people. Amount: £600  ,Outcome: To provide a space for elderly members to come and spend time with other members of the community. To alleviate social isolation. Priority: Working with communities to reduce social isolation
HO-15-13,Holgate,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,A grant to Poppleton Road Out of School Club for an educational trip for children attending their club over Easter holidays. Amount: £619,Outcome: To provide an educational trip and experiecnce for children that they may not otherwise get. Priority: Supporting and encouraging efforts of local people and groups to continue to improve Holgate and provide activities for people of all ages.
HO-15-14,Holgate,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,"A grant to Holgate Allotment Association for renovating a currently vacant plot to create a shared space shelter with basic amenities where plot holders can meet and build relationships and where community groups and members can be invited to attend activities held by the allotment. Amount: £2,500","Outcome: To create a space for communities to come together and share ideas asd well as encoraging more people to potentially use the allotment. Priority: Working with communities to reduce social isolation; Supporting and encouraging strong, safe and friendly communities."
HO-15-15,Holgate ,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,"A grant  to Poppy Road Poppy Project for ensuring the soil quality is right for Flanders poppies to grow, as well as general maintainance and upkeep. Planning to run a scything competition and other ways of engaging with residents. Amount: £2,585","Outcome: To encourage more people to come to events ran by the project and increasing community involement, and making Holgate have a friendlier environement. Priority: Supporting and encouraging strong, safe and friendly communities"
HO-15-16,Holgate ,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,"A grant to Poppleton Road Memorial Hall for supply and installation of two new room thermostats made by Inspire Home Automation. They can become remotely controlled via the Hall’s internet, and managed automatically with an electronic booking diary. Amount:  £400","Outcomes: to enable people using the memorial halls to be comfortable within their group meetings. Priority: Supporting and encouraging strong, safe and friendly communities."
HO-15-17,Holgate ,Cllr Mary Cannon        Cllr Sonja Crisp              Cllr Fiona Derbyshire,24/02/2016,"A grant to Friends of Leeman Park to enable them to take on some of the tasks that would be maintained under the Grounds Maintainance - lawn mowing, bins, anti-graffiti paint, etc. Amount: £6,337. ","Outcome: To look after the environment to make sure that it is maintained at the highest quality to ensure safety of all that use it. Priority: Supporting and encouraging strong, safe and friendly communities"
HR-15-01,Hull Road,"Cllr Barnes, Cllr Levene, Cllr Shepherd ",14/03/2016,A grant to Heslington Village Trust to purchase and install one oak 'Welcome to Heslington' sign on Heslington Lane.  Amount:  £840,"Outcome: Heslington village will be properly identfied to those passing through and visiting, emphasising the sense of place and community.  Priority:  Improving the environment "
HW-15-01,Heworth Without,Cllr Ayre,27/11/2015,Grant of £2000 towards the cost of disabled toilet facility at  Heworth Cricket Club,Enhanced inclusiveness of the community sports club. 
HW-15-02,Heworth Without,Cllr Nigel Ayre,22/01/2016,A grant to Heworth Without Community Association for purchase and installation of a defibrilator. - £635,"Ward priority: community project, community care fund. Outcome: the unit will benefit everyone in the immediate vicinity of the community centre."
HW-15-02a,Heworth Without,Cllr Nigel Ayre,07/02/2016,A grant to Heworth Without Community Association for purchase and installation of a defibrilator. The VAT amount of £127 that has been ommited from the original grant HW-15-02,"Ward priority: community project, community care fund. Outcome: the unit will benefit everyone in the immediate vicinity of the community centre."
HW-15-03,Heworth Without,Cllr Nigel Ayre,22/01/2016,A grant to Heworth Without Parish Council to revitalise Stray Road allotments site - £400.,"Wrd priority: community project, community care fund. Outcome: the project will enhance the local environemnt and result in improved health and wellbeing of future allotment holders."
HW-15-05,Heworth Without,Cllr Nigel Ayre,22/01/2016,"To relocate the existing dog bin from from Stockton Lane, not far from the Christ Church, to over the road/top end of Ashley Park Road - £150",Ward priority: environmental project. Outcome: the project aims to tackle the litter problem in the area
Hw-15-06,Haxby and Wigginton,"Cllr Ian Cuthbertson, Cllr John Gates and Cllr Tony Richardson  ",03/02/2016,"A grant of £875 to Vale Radio to buy equipment, advertising and room hire","Priority - Working with the community to improve provision                   Outcome -  to engage residents and promote communioty groups with the work within the ward, whilst also training individuals in broadcasting skills."
HW-15-08,Haxby and Wigginton,"Cllr Cuthbertson, Cllr Gates, Cllr Richardson ",09/03/2016,a grant to Activ8 learning to run a weekly support group for those seeking work in Haxby & Wigginton for £1050,"Outcome: will provide those in the ward on JSA, ESA, people who for various reasons needing to change career with support back into work "
HW-15-1,Haxby and Wigginton,"Cllr Richardson, Gates and Cuthbertson",04/12/2015,The Wonder Years - A door curtain to provide free flow play between the outdoors and indoors £311.88,Supporting children and young people
HW-15-10,Haxby and Wigginton,"Cllr Cuthbertson, Cllr Gates, Cllr Richardson ",09/03/2016,A grant to Wigginton Parochial church for £1500 to purchase 20 new chairs for use in both the church and church hall ,outcome: this will help replace the current chairs whilst providing a comfortable alternative for the elderly members who currently struggle with the seats
