Newcastle City Council Invoices over £250 paid in June 2014,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ABEL ALARM COMPANY LTD,6263043,Revenue,1KJ94,Security Services Delegated,"1,082.00 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",18/06/2014,ABIGAIL HOUSE,6275556,Revenue,1MG20,Ind Res Care Elderly,"-9,914.81 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,18/06/2014,ABIGAIL HOUSE,6275556,Revenue,1MG20,Ind Res Care Elderly,"36,195.00 "
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,27/06/2014,ABLE 2 OCCUPATIONAL THERAPY SERVICES LTD,6272266,Revenue,1V123,Blue Badge Applications,900.90 
Adult and Culture,Social Services-Care Support           ,Supplies & Services,19/06/2014,ABOUT TURN VETERANS SUPPORT SERVICE,6276896,Revenue,1MX19,Domestic Violence,"4,387.44 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/06/2014,ACCEPT CARE,6268587,Revenue,1MK51,Ind Home-Per Care LD,-290.96 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/06/2014,ACCEPT CARE,6268587,Revenue,1MK50,Ind Supported Living LD,"1,817.20 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/06/2014,ACCEPT CARE,6268587,Revenue,1MK51,Ind Home-Per Care LD,"4,906.44 "
Chief Executive's,Exchequer Accounts Payable             ,Supplies & Services,19/06/2014,ACME,6251898,Revenue,1KF04,Staff Restaurant,281.23 
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,16/06/2014,ACME,6272382,Revenue,1KF07,Banqueting Suite,"1,381.19 "
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,09/06/2014,ACME,6223205,Revenue,1KF07,Banqueting Suite,303.75 
Environment & Regeneration,Cityworks Clean E/C        ,Supplies & Services,23/06/2014,ACP,6271732,Revenue,1KELA,Traffic Sig General O/H,"2,200.00 "
Environment & Regeneration,NS: Resources              ,Supplies & Services,03/06/2014,ACP,6247766,Revenue,1KSCD,External Vehicle Tracking,"4,274.00 "
Environment & Regeneration,NS: Resources              ,Supplies & Services,18/06/2014,ACP,6270773,Revenue,1KSCD,External Vehicle Tracking,"4,479.00 "
Environment & Regeneration,NS: Asset Man              ,Premises,19/06/2014,ACROL AIR CONDITIONING CO LTD,6276634,Revenue,1KKX1,Civic Centre Direct Costs,"1,128.00 "
Environment & Regeneration,NS: Asset Man              ,Premises,19/06/2014,ACROL AIR CONDITIONING CO LTD,6276704,Revenue,1KKX1,Civic Centre Direct Costs,"1,735.20 "
Environment & Regeneration,NS: Asset Man              ,Premises,16/06/2014,ACROL AIR CONDITIONING CO LTD,6267490,Revenue,1FRAW,Premises Contracts,"8,543.00 "
Environment & Regeneration,NS: Asset Man              ,Premises,16/06/2014,ACROL AIR CONDITIONING CO LTD,6272280,Revenue,1KKX1,Civic Centre Direct Costs,274.50 
Environment & Regeneration,NS: Asset Man              ,Premises,16/06/2014,ACROL AIR CONDITIONING CO LTD,6272346,Revenue,1KKX1,Civic Centre Direct Costs,756.00 
Environment & Regeneration,NS: Asset Man              ,Premises,16/06/2014,ACROL AIR CONDITIONING CO LTD,6272395,Revenue,1KKX1,Civic Centre Direct Costs,541.40 
Environment & Regeneration,NS: Asset Man              ,Premises,16/06/2014,ACROL AIR CONDITIONING CO LTD,6272447,Revenue,1KKX1,Civic Centre Direct Costs,453.60 
Environment & Regeneration,NS: Asset Man              ,Premises,16/06/2014,ACROL AIR CONDITIONING CO LTD,6272514,Revenue,1KKX1,Civic Centre Direct Costs,844.00 
Environment & Regeneration,NS: Asset Man              ,Premises,11/06/2014,ACROL AIR CONDITIONING CO LTD,6269013,Revenue,1FRA3,CSC Denton,452.00 
Environment & Regeneration,NS: Asset Man              ,Premises,09/06/2014,ACROL AIR CONDITIONING CO LTD,6264814,Revenue,1KEWA,Newington Road East Depot,405.00 
Chief Executive's,CD - Revenues & Benefits         ,Employees,09/06/2014,ACS LTD,6265087,Revenue,1CR01,Revenues & Benefits Managemnt,"1,390.00 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/06/2014,ACTION FOR CHILDREN,6278411,Revenue,1MD72,Troubled Families Funding,"6,386.40 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,03/06/2014,ACTION FOR CHILDREN,6259515,Revenue,1MC22,IND Sector Foster Carer Costs,"14,456.00 "
Adult and Culture,Social Services-Care Support           ,Supplies & Services,19/06/2014,ACTION FOUNDATION,6276894,Revenue,1MG91,Grants To Vol Orgs Elderly,"3,739.46 "
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,19/06/2014,ACTION ON HEARING LOSS,6270584,Revenue,1MH70,Phy Disability-Sensory Support,"1,630.90 "
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",03/06/2014,ACTIVE HORIZONS LTD,6259388,Revenue,1MG20,Ind Res Care Elderly,-495.80 
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",03/06/2014,ACTIVE HORIZONS LTD,6259388,Revenue,1MK20,Ind Res Care LD,-212.79 
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/06/2014,ACTIVE HORIZONS LTD,6259388,Revenue,1MG20,Ind Res Care Elderly,"1,648.00 "
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/06/2014,ACTIVE HORIZONS LTD,6259388,Revenue,1MK20,Ind Res Care LD,910.71 
Adult and Culture,Adult Serv Finance         ,Supplies & Services,24/06/2014,ADASS TREASURY,6281093,Revenue,1MA01,Strategic Management,"1,661.00 "
Children's Services,Childrens Services Support       ,Third Party Payments,16/06/2014,ADOPTION UK,6272372,Revenue,1MF12,Adoption Interagency,422.75 
Children's Services,Childrens Services Support       ,Third Party Payments,16/06/2014,ADOPTION UK,6272419,Revenue,1MF12,Adoption Interagency,426.75 
Environment & Regeneration,NS: Asset Man              ,Premises,05/06/2014,ADT FIRE & SECURITY,6262502,Revenue,1KKX1,Civic Centre Direct Costs,814.87 
Environment & Regeneration,NS: Asset Man              ,Premises,09/06/2014,ADT FIRE & SECURITY,6264953,Revenue,1FRAN,Callerton House,612.68 
Environment & Regeneration,CW School Security                     ,Premises,26/06/2014,ADT FIRE & SECURITY,6283646,Revenue,1KJ94,Security Services Delegated,"1,128.06 "
Environment & Regeneration,CW School Security                     ,Premises,26/06/2014,ADT FIRE & SECURITY,6283647,Revenue,1KJ94,Security Services Delegated,"1,112.06 "
Environment & Regeneration,CW School Security                     ,Premises,26/06/2014,ADT FIRE & SECURITY,6283672,Revenue,1KJ94,Security Services Delegated,"1,871.35 "
Environment & Regeneration,CW School Security                     ,Premises,26/06/2014,ADT FIRE & SECURITY,6283673,Revenue,1DQ98,S&M Pendower Hall,"1,779.70 "
Environment & Regeneration,CW School Security                     ,Premises,26/06/2014,ADT FIRE & SECURITY,6283674,Revenue,1KJ94,Security Services Delegated,"1,469.84 "
Environment & Regeneration,CW School Security                     ,Premises,26/06/2014,ADT FIRE & SECURITY,6283681,Revenue,1KJ94,Security Services Delegated,731.95 
Environment & Regeneration,CW School Security                     ,Premises,26/06/2014,ADT FIRE & SECURITY,6283684,Revenue,1KJ94,Security Services Delegated,283.37 
Environment & Regeneration,CW School Security                     ,Premises,26/06/2014,ADT FIRE & SECURITY,6283686,Revenue,1KJ94,Security Services Delegated,468.74 
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266397,Revenue,1KJ94,Security Services Delegated,"1,019.81 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266398,Revenue,1KJ94,Security Services Delegated,"1,563.36 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266399,Revenue,1KJ94,Security Services Delegated,"2,402.10 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266400,Revenue,1KJ94,Security Services Delegated,"1,134.10 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266401,Revenue,1KJ94,Security Services Delegated,"1,093.25 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266402,Revenue,1KJ94,Security Services Delegated,"1,534.71 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266404,Revenue,1KJ94,Security Services Delegated,"1,394.95 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266405,Revenue,1KJ94,Security Services Delegated,503.12 
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266406,Revenue,1KJ94,Security Services Delegated,308.28 
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266407,Revenue,1KJ94,Security Services Delegated,"1,120.34 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266408,Revenue,1KJ94,Security Services Delegated,"1,217.24 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266409,Revenue,1KJ94,Security Services Delegated,"1,342.10 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266455,Revenue,1KJ94,Security Services Delegated,"1,219.87 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266456,Revenue,1KJ94,Security Services Delegated,"1,841.59 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266457,Revenue,1KJ94,Security Services Delegated,"1,412.36 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6266514,Revenue,1KJ94,Security Services Delegated,"2,356.27 "
Environment & Regeneration,CW School Security                     ,Premises,10/06/2014,ADT FIRE & SECURITY,6267399,Revenue,1KJ94,Security Services Delegated,"1,116.20 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263041,Revenue,1KJ94,Security Services Delegated,548.49 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263044,Revenue,1KJ94,Security Services Delegated,250.47 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263045,Revenue,1KJ94,Security Services Delegated,"1,409.71 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263046,Revenue,1KJ94,Security Services Delegated,328.06 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263047,Revenue,1KJ94,Security Services Delegated,"1,513.41 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263048,Revenue,1KJ94,Security Services Delegated,448.38 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263050,Revenue,1KJ94,Security Services Delegated,"1,394.07 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263052,Revenue,1KJ94,Security Services Delegated,369.26 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263053,Revenue,1KJ94,Security Services Delegated,389.48 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263054,Revenue,1KJ94,Security Services Delegated,753.55 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263056,Revenue,1KJ94,Security Services Delegated,"1,083.83 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263057,Revenue,1KJ94,Security Services Delegated,"1,091.86 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263058,Revenue,1KJ94,Security Services Delegated,"1,254.86 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263059,Revenue,1KJ94,Security Services Delegated,"2,651.19 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263060,Revenue,1KJ94,Security Services Delegated,925.58 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263061,Revenue,1KJ94,Security Services Delegated,"1,145.08 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263062,Revenue,1KJ94,Security Services Delegated,409.19 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263063,Revenue,1KJ94,Security Services Delegated,"1,200.26 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263064,Revenue,1KJ94,Security Services Delegated,628.81 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263065,Revenue,1KJ94,Security Services Delegated,850.94 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263066,Revenue,1KJ94,Security Services Delegated,596.52 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263067,Revenue,1KJ94,Security Services Delegated,413.99 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263068,Revenue,1KJ94,Security Services Delegated,895.65 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263069,Revenue,1KJ94,Security Services Delegated,518.23 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263070,Revenue,1KJ94,Security Services Delegated,657.92 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263071,Revenue,1KJ94,Security Services Delegated,908.45 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263072,Revenue,1KJ94,Security Services Delegated,971.22 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263073,Revenue,1KJ94,Security Services Delegated,665.27 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263077,Revenue,1KJ94,Security Services Delegated,290.13 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263078,Revenue,1KJ94,Security Services Delegated,636.51 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263079,Revenue,1KJ94,Security Services Delegated,365.01 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263087,Revenue,1KJ94,Security Services Delegated,254.84 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263090,Revenue,1KJ94,Security Services Delegated,622.29 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263144,Revenue,1KJ94,Security Services Delegated,501.13 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263145,Revenue,1KJ94,Security Services Delegated,"1,313.66 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263148,Revenue,1KJ94,Security Services Delegated,"1,197.39 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263149,Revenue,1KJ94,Security Services Delegated,"1,520.46 "
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263150,Revenue,1KJ94,Security Services Delegated,316.50 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263155,Revenue,1KJ94,Security Services Delegated,537.92 
Environment & Regeneration,CW School Security                     ,Premises,06/06/2014,ADT FIRE & SECURITY,6263156,Revenue,1KJ94,Security Services Delegated,738.58 
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,30/06/2014,ADVANCED CALIBRATIONS LTD,6285565,Revenue,1KR1W,Response West,289.00 
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,03/06/2014,ADVANCED CHILDCARE GROUP,6259525,Revenue,1MC02,Ind Sector Placements,"12,540.00 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,03/06/2014,ADVANCED CHILDCARE GROUP,6259526,Revenue,1MC02,Ind Sector Placements,"5,520.00 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,03/06/2014,ADVANCED CHILDCARE GROUP,6259527,Revenue,1MC12,Section 31A High Care Needs,"12,540.00 "
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,03/06/2014,ADVANCED CHILDCARE GROUP,6259528,Revenue,1MC02,Ind Sector Placements,"12,540.00 "
Adult and Culture,Adult Serv Scrogg Road     ,Premises,25/06/2014,ADVANCED CLEANING & MAINTENANCE LTD,6280808,Revenue,1MM23,Community Mntl Hlth was Scrogg,513.00 
Environment & Regeneration,EEC Housing                ,Premises,20/06/2014,ADVANCED CLEANING & MAINTENANCE LTD,6269674,Revenue,1D568,Work in Default Recoverable,896.00 
HRA,HRA Tenancy Svs            ,Premises,20/06/2014,ADVANCED CLEANING & MAINTENANCE LTD,6278511,Revenue,1HE01,HRA NHD Mngmnt - Citywide,595.00 
Environment & Regeneration,NS: District Heating       ,Premises,27/06/2014,ADVANCED WATER TECHNOLOGIES,6263026,Revenue,1KR05,District Heating,"1,365.00 "
Environment & Regeneration,Fleet Management System                ,Supplies & Services,04/06/2014,AEBI SCHMIDT UK LTD,6257956,Revenue,3KES1,Fleetmaster Stores Account,678.48 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,04/06/2014,AEBI SCHMIDT UK LTD,6257957,Revenue,1KESJ,Hort Workshops Routine Repair,578.09 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,26/06/2014,AEBI SCHMIDT UK LTD,6273277,Revenue,3KES1,Fleetmaster Stores Account,284.68 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,11/06/2014,AEBI SCHMIDT UK LTD,6257962,Revenue,1KESJ,Hort Workshops Routine Repair,452.03 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,09/06/2014,AEBI SCHMIDT UK LTD,6257961,Revenue,3KES1,Fleetmaster Stores Account,472.07 
Environment & Regeneration,Fleet Management System                ,Supplies & Services,13/06/2014,AEBI SCHMIDT UK LTD,6257963,Revenue,1KESK,Hort Workshops Code 5 Repairs,251.87 
