Parent Department,Organisation,Unit,Reporting SCS post reference,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE
Department for Education,Becta,Marketing & Campaigns,BECTA-SP04,Tier 4,21112,26979,,6
Department for Education,Becta,Marketing & Campaigns,BECTA-SP04,Tier 5a,17901,22874,,1
Department for Education,Becta,Marketing & Campaigns,BECTA-SP04,Tier 5b,14688,18768,,2

Department for Education,Becta,Communication,BECTA-MC56,Tier 2a,45951,62169,,1
Department for Education,Becta,Communication,BECTA-MC56,Tier 2b,37281,50439,,2
Department for Education,Becta,Communication,BECTA-MC56,Tier 3b,29131,39413,,4.2
Department for Education,Becta,Communication,BECTA-MC56,Tier 4,21112,26979,,1
Department for Education,Becta,Communication,BECTA-MC56,Tier 5a,17901,22874,,0.71


Department for Education,Becta,Universal Home Access,BECTA-DUHA,Tier 2a,45951,62169,,2
Department for Education,Becta,Universal Home Access,BECTA-DUHA,Tier 2b,37281,50439,,5
Department for Education,Becta,Universal Home Access,BECTA-DUHA,Tier 3a,34364,46492,,2
Department for Education,Becta,Universal Home Access,BECTA-DUHA,Tier 3b,29131,39413,,17.71
Department for Education,Becta,Universal Home Access,BECTA-DUHA,Tier 4,21112,26979,,2
Department for Education,Becta,Universal Home Access,BECTA-DUHA,Tier 5a,17901,22874,,2
Department for Education,Becta,Universal Home Access,BECTA-DUHA,Tier 5b,14688,18768,,3
