,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,Grand Total (workforce numbers),,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,,,,
National Measurement and Regulation Office,Executive Agency,"Department for Business, Innovation and Skills",4,3.29,29,28.50,39,37.19,15,13.90,0,0.00,0,0.00,87,82.88,5,5.00,0,0.00,0,0.00,0,0.00,5,5,92,88,"£302,583.69",£442.75,"£6,600.00",£100.24,"£62,220.98","£25,770.76","£397,718.42","£13,282.46",£0.00,"£13,282.46","£411,000.88",,,,
Natural Environment Research Council,Executive Non-Departmental Public Body,Dept for Business Innovation & Skills,256,226.00,450,420.00,"1,191","1,140.00",376,357.60,21,20.50,257,256.00,"2,551","2,420.10",6,6.00,0,0.00,2,2.00,0,0.00,8,8,"2,559","2,428","£6,801,399.72","£437,951.85","£61,300.00","£57,316.77","£1,719,436.25","£571,943.20","£9,649,347.79","£152,636.76","£1,657.34","£154,294.10","£9,803,641.89",,,,
OFFICE FOR FAIR ACCESS,NDPB,BIS,0,0.00,1,1.00,14,12.60,5,5.00,2,1.60,0,0.00,22,20.20,1,1.00,0,0.00,0,0.00,0,0.00,1,1,23,21,"£81,871.61",£0.00,£0.00,£0.00,"£13,537.64","£7,557.76","£102,967.01","£4,457.88",£0.00,"£4,457.88","£107,424.89",,,,
Science and Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",147,141.21,274,262.74,"1,100","1,076.81",379,365.84,36,34.78,44,44.00,"1,980","1,925.38",6,6.00,0,0.00,0,0.00,70,70.00,76,76,"2,056","2,001","£5,877,204.00","£227,059.96","£950,251.77","£89,300.76","£1,782,685.00","£785,329.70","£9,711,831.19","£521,249.92",£0.00,"£521,249.92","£10,233,081.11",,,,
Skills Funding Agency,Executive Agency,"Department for Business, Innovation and Skills",87,83.19,0,0.00,659,640.67,88,87.62,22,22.00,0,0.00,856,833.48,8,8.00,0,0.00,37,37.00,0,0.00,45,45,901,878,"£2,747,962.88","£73,588.69",£0.00,£807.28,"£591,501.21","£243,684.77","£3,657,544.83","£467,901.00",£0.00,"£467,901.00","£4,125,445.83",,,,
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills","2,041","1,920.13",688,655.57,121,117.94,17,16.87,5,5.00,6,0.85,"2,878","2,716.36",4,4.00,0,0.00,25,25.00,0,0.00,29,29,"2,907","2,745","£5,058,375.80","£170,737.16","£10,327.50","£113,943.59","£535,862.31","£393,462.14","£6,282,708.50","£92,380.49",£0.00,"£92,380.49","£6,375,088.99",,,,
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",0,0.00,51,51.00,55,55.00,192,192.00,7,7.00,0,0.00,305,305.00,9,9.00,0,0.00,0,0.00,0,0.00,9,9,314,314,"£1,592,702.70","£150,752.62",£0.00,£0.00,"£304,179.26","£137,438.34","£2,185,072.92","£50,618.47",£0.00,"£50,618.47","£2,235,691.39",,,,
UK Atomic Energy Authority,Executive NDPB,BIS,52,48.66,83,79.97,373,367.46,142,138.60,9,9.00,21,21.00,680,664.69,4,4.00,0,0.00,366,366.00,0,0.00,370,370,"1,050","1,035","£2,413,019.08",£0.00,£640.90,"£44,935.01","£346,506.24","£229,768.00","£3,034,869.23","£1,351,426.00",£0.00,"£1,351,426.00","£4,386,295.23",Allowances included within salary costs. Non-consolidated performance accrued during year.,,,
UK Commission for Employment and Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",13,13.00,18,17.60,52,49.50,12,12.00,4,4.00,0,0.00,99,96.10,0,0.00,0,0.00,3,2.60,0,0.00,3,3,102,99,"£318,026.22",£0.00,£0.00,£0.00,"£63,449.56","£27,629.90","£409,105.68","£13,082.00",£0.00,"£13,082.00","£422,187.68",,,,
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation and Skills",228,204.36,347,328.49,309,300.63,258,241.83,27,26.55,0,0.00,"1,169","1,101.86",11,11.00,0,0.00,18,18.00,0,0.00,29,29,"1,198","1,131","£3,005,151.00","£136,826.00","£12,127.00","£88,766.00","£667,891.00","£350,105.00","£4,260,866.00","£68,018.00",£0.00,"£68,018.00","£4,328,884.00",,"Our Finance Directorate have asked me to advise that as the year end accounts are being compiled, some figures may be subject to adjustment in future months.",,
UK Space Agency,Executive Agency,"Department for Business, Innovation and Skills",3,3.00,5,5.00,30,30.00,35,33.24,5,4.70,0,0.00,78,75.94,3,3.00,0,0.00,3,1.30,0,0.00,6,4,84,80,"£269,742.86","£3,036.15","£1,300.00",£0.00,"£55,382.41","£23,215.40","£352,676.82","£35,257.30",£0.00,"£35,257.30","£387,934.12",,Within staff on payroll are 1.9FTE inward secondees paid for by UKSA. Excluded are 5 inward secondees provided free.,,
UK Trade and Investment (BIS),Non-Ministerial Department,"Department for Business, Innovation and Skills",35,33.70,78,77.10,265,261.64,194,191.74,24,22.98,0,0.00,596,587.16,19,19.00,2,2.00,93,93.00,11,11.00,125,125,721,712,"£2,075,666.56","£69,105.34","£40,050.00","£8,158.68","£454,643.44","£195,646.67","£2,843,270.68","£352,572.00","£164,007.00","£516,579.00","£3,359,849.68",,,,
