"#","Page","Popularity","Impressions","Sessions","Re-Visits"
"48","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018926 housing benefit : directgov - money, tax and benefits",0.00,"33,699","26,398",0.22
"49","education and learning > en > 14to19/moneytolearn/ema/  ema : directgov - education and learning",0.00,"31,627","23,277",0.27
"50","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/  tax credits : directgov - money, tax and benefits",0.00,"31,344","23,121",0.27
"51","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/  medical a-z : directgov - motoring",0.00,"30,972","7,117",0.77
"52","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018708 income support : directgov - money, tax and benefits",0.00,"30,449","23,283",0.24
"53","motoring > en > motoringtransactions/ dg_10032681 driver licensing online : directgov - motoring",0.00,"30,427","22,770",0.26
"54","disabled people > en >   disabled people : directgov",0.00,"28,741","19,368",0.33
"55","travel and transport > en > passports/renewingorextendingyourpassport/  renewing or extending your adult passport : directgov - travel and transport",0.00,"28,566","22,089",0.23
"56","other directgov subsite > en > other   cota result page : directgov",0.00,"28,394","24,886",0.13
"57","education and learning > en > universityandhighereducation/studentfinance/ dg_183342 student finance forms and guides 2010/11 : directgov - education and learning",0.00,"27,980","16,194",0.43
"58","motoring > en > learnerandnewdrivers/practicaltest/ dg_4022540 practical test for cars explained : directgov - motoring",0.00,"27,193","19,958",0.27
"59","motoring > en > motoringtransactions/beforeyouapplyd/ dg_174546 what you need to know : directgov - motoring",0.00,"27,155","21,835",0.20
"60","motoring > en > driverlicensing/  driver licensing : directgov - motoring",0.00,"26,992","19,901",0.27
"61","pensions and retirement planning > en > statepension/  state pension : directgov - pensions and retirement planning",0.00,"26,561","18,934",0.29
"62","employment > en > employees/  employment terms and conditions : directgov - employment",0.00,"24,701","15,142",0.39
"63","directories > en > usefulcontactsbycategory/motoringcontacts/ dg_10012974 driver and vehicle licensing agency (dvla) contacts : directgov - directories",0.00,"24,504","17,705",0.28
"64","newsroom > en > other  dg_178175 new £5.93 minimum wage rate from october : directgov - newsroom",0.00,"24,394","23,116",0.06
"65","motoring > en > motoringtransactions/beforeyouapplyd/ dg_172559 what you need to know : directgov - motoring",0.00,"23,680","19,905",0.17
"66","pensions and retirement planning > en > statepension/basicstatepension/ dg_10014671 qualifying for a basic state pension : directgov - pensions and retirement planning",0.00,"23,619","17,236",0.28
"67","directories > en > a-zofcentralgovernment/  a-z of central government : directgov - directories",0.00,"23,512","8,895",0.63
"68","other directgov subsite error page . error messages : directgov",0.00,"23,340","18,661",0.21
"69","education and learning > en > universityandhighereducation/studentfinance/gettingstarted/  student finance: a quick guide : directgov - education and learning",0.00,"23,287","17,028",0.28
"70","do it online > en > doitonlinemotoring/ dg_10031642 motoring : directgov - do it online",0.00,"23,073","19,135",0.18
"71","motoring > en > learnerandnewdrivers/learningtodriveorride/ dg_4022530 driving test fees : directgov - motoring",0.00,"23,047","20,884",0.10
"72","employment > en > employees/pay/ dg_10027201 the national minimum wage rates : directgov - employment",0.00,"22,815","21,342",0.07
"73","travel and transport > en > passports/howlongittakesandurgentappplications/  fees, how long it takes and urgent applications : directgov - travel and transport",0.00,"22,517","16,801",0.26
"74","money tax and benefits > en > benefitstaxcreditsandothersupport/expectingorbringingupchildren/ dg_10018741 statutory maternity pay : directgov - money, tax and benefits",0.00,"22,206","17,294",0.23
"75","directories > en >  dg_10011018 jobcentre plus : directgov - directories",0.00,"21,928","19,117",0.14
"76","money tax and benefits > en > benefitstaxcreditsandothersupport/illorinjured/ dg_10018786 statutory sick pay : directgov - money, tax and benefits",0.00,"21,825","17,068",0.23
"77","pensions and retirement planning > en > pensioncredit/ dg_180167 get a pension credit estimate : directgov - pensions and retirement planning",0.00,"21,583","13,698",0.37
"78","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_4022118 the cost of vehicle tax : directgov - motoring",0.00,"21,558","16,860",0.23
"79","government citizens and rights > en > other   registering life events : directgov - government, citizens and rights",0.00,"21,296","15,119",0.30
"80","pensions and retirement planning > en > statepension/ dg_184319 state pension profiler : directgov - pensions and retirement planning",0.00,"21,225","18,444",0.14
"81","employment > en > jobseekers/helpapplyingforajob/ dg_173655 writing a cv : directgov - employment",0.00,"20,987","11,244",0.47
"82","parents > en >   parents : directgov",0.00,"20,823","15,731",0.25
"83","travel and transport > en > highwaycode/signsandmarkings/  signs and markings : directgov - travel and transport",0.00,"20,766","7,419",0.65
"84","money tax and benefits > en > benefitstaxcreditsandothersupport/beginnersguidetobenefits/ dg_4016805 how to find out if you qualify for benefits : directgov - money, tax and benefits",0.00,"20,494","16,688",0.19
"85","disabled people > en > financialsupport/disabilitylivingallowance/ dg_10011925 disability living allowance - rates and how to claim : directgov - disabled people",0.00,"19,891","15,857",0.21
"86","pensions and retirement planning > en > pensioncredit/ dg_10018692 pension credit - introduction : directgov - pensions and retirement planning",0.00,"19,684","14,070",0.29
"87","other directgov subsite > other dg_187179 car theory test two: directgov - practical theory test",0.00,"19,487","17,366",0.12
"88","money tax and benefits > en > benefitstaxcreditsandothersupport/beginnersguidetobenefits/  beginner's guide to benefits : directgov - money, tax and benefits",0.00,"18,976","15,145",0.21
"89","young people > en >   young people : directgov",0.00,"18,915","15,049",0.21
"90","do it online > en >  dg_4017972 calculate your redundancy payout : directgov - do it online",0.00,"18,772","15,885",0.16
"91","health and well-being > en >   health and well-being : directgov",0.00,"18,708","16,165",0.14
"92","travel and transport > en > passports/applyingforaneworrenewedchildpassport/ dg_174107 the application form, fee and supporting documents for a child passport : directgov - travel and transport",0.00,"18,656","14,408",0.24
"93","employment > en > employees/timeoffandholidays/ dg_10029788 holiday entitlements: the basics : directgov - employment",0.00,"18,594","13,886",0.26
"94","money tax and benefits > en > benefitstaxcreditsandothersupport/expectingorbringingupchildren/ dg_10018854 sure start maternity grant : directgov - money, tax and benefits",0.00,"18,485","14,898",0.20
"95","other directgov subsite > other  directgov: maternity, paternity and adoption rights",0.00,"18,125","4,840",0.74
"96","travel and transport > en > highwaycode/  the highway code : directgov - travel and transport",0.00,"17,941","12,656",0.30
"97","directories > en > localcouncils/  local councils : directgov - directories",0.00,"17,908","13,508",0.25
"98","travel and transport > en >   travel and transport : directgov",0.00,"17,701","14,717",0.18
"99","disabled people > en > financialsupport/ dg_10011731 disability living allowance - introduction : directgov - disabled people",0.00,"17,693","13,578",0.24
"100","employment > en > jobseekers/helpapplyingforajob/ dg_174460 where to look for jobs : directgov - employment",0.00,"17,551","16,382",0.08
"101","employment > en > redundancyandleavingyourjob/  redundancy and leaving your job : directgov - employment",0.00,"17,478","12,957",0.27
"102","education and learning > en > universityandhighereducation/studentfinance/applyingforthefirsttime/  new students : directgov - education and learning",0.00,"17,327","12,713",0.27
"103","government citizens and rights > en > other   government, citizens and rights : directgov",0.00,"17,289","13,089",0.25
"104","disabled people > en > financialsupport/esa/  employment and support allowance : directgov - disabled people",0.00,"17,269","10,733",0.38
"105","money tax and benefits > en > benefitstaxcreditsandothersupport/expectingorbringingupchildren/ dg_10018869 maternity allowance : directgov - money, tax and benefits",0.00,"16,632","13,844",0.18
"106","caring for someone > en >   caring for someone : directgov",0.00,"16,557","11,757",0.30
"107","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_10034732 tax your vehicle online or by phone : directgov - motoring",0.00,"16,366","15,291",0.08
"108","employment > en > redundancyandleavingyourjob/redundancy/ dg_174330 calculating your redundancy pay : directgov - employment",0.00,"16,365","12,571",0.24
"109","money tax and benefits > en > taxes/beginnersguidetotax/nationalinsurance/introductiontonationalinsurance/ dg_190048 national insurance - the basics : directgov - money, tax and benefits",0.00,"16,331","13,552",0.18
"110","motoring > en > owningavehicle/changestoyourregistrationcertificate/ dg_4022055 change of name and address on your registration certificate : directgov - motoring",0.00,"16,302","13,373",0.19
"111","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018856 crisis loans : directgov - money, tax and benefits",0.00,"16,057","13,051",0.20
"112","motoring > en > driverlicensing/whatcanyoudriveandyourobligations/ dg_4022547 the vehicles you can drive or ride and minimum ages : directgov - motoring",0.00,"15,858","12,224",0.24
"113","crime justice and the law > en >   crime and justice : directgov",0.00,"15,726","11,619",0.27
"114","employment > en > redundancyandleavingyourjob/redundancy/ dg_10029836 entitlement to redundancy pay : directgov - employment",0.00,"15,673","12,251",0.23
"115","disabled people > en > rightsandobligations/disabilityrights/ dg_4001068 disability and the equality act 2010 : directgov - disabled people",0.00,"15,443","12,401",0.21
"116","employment > en > redundancyandleavingyourjob/redundancy/ dg_10026616 your rights if made redundant : directgov - employment",0.00,"15,330","10,715",0.31
"117","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018905 budgeting loans : directgov - money, tax and benefits",0.00,"15,040","11,435",0.25
"118","home and community > en >   home and community : directgov",0.00,"14,961","11,631",0.23
"119","other directgov subsite > other dg_186301 check, change or cancel your dsa driving theory test online : directgov - motoring",0.00,"14,690","13,573",0.09
"120","motoring > en > motoringtransactions/beforeyouapplyd/ dg_10034732 tax your vehicle online or by phone : directgov - motoring",0.00,"14,672","13,524",0.09
"121","motoring > en > motoringtransactions/beforeyouapplyd/ dg_172840 what you need to know : directgov - motoring",0.00,"14,570","11,622",0.21
"122","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/  on a low income : directgov - money, tax and benefits",0.00,"14,446","9,153",0.37
"123","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_069680 how to tax your vehicle without a reminder : directgov - motoring",0.00,"14,443","11,969",0.18
"124","pensions and retirement planning > en > benefits/benefitsinretirement/ dg_179916 winter fuel payment - getting paid : directgov - pensions and retirement planning",0.00,"14,397","12,087",0.17
"125","motoring > en > buyingandsellingavehicle/adviceonbuyingandsellingavehicle/ dg_4022404 replacing a lost or stolen registration certificate : directgov - motoring",0.00,"14,297","11,757",0.19
"126","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_078070 renewing the photo on your driving licence : directgov - motoring",0.00,"14,234","11,267",0.22
"127","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_10012526 applying for a refund of vehicle tax : directgov - motoring",0.00,"14,222","11,677",0.19
"128","employment > en > employees/timeoffandholidays/ dg_10034642 calculating holiday entitlement : directgov - employment",0.00,"14,183","11,427",0.20
"129","travel and transport > en > passports/howlongittakesandurgentappplications/ dg_174149 urgent passport applications : directgov - travel and transport",0.00,"14,177","11,089",0.23
"130","motoring > en > owningavehicle/howtotaxyourvehicle/ dg_4022117 how to tax your vehicle with a reminder : directgov - motoring",0.00,"14,165","12,972",0.09
"131","travel and transport > en > passports/renewingorextendingyourpassport/ dg_174096 who can apply to renew an adult passport and when : directgov - travel and transport",0.00,"13,997","11,502",0.19
"132","britons living abroad > en >   britons living abroad : directgov",0.00,"13,824","9,999",0.28
"133","motoring > en > learnerandnewdrivers/practicaltest/ dg_189979 independent driving and riding section of the practical test : directgov - motoring",0.00,"13,406","12,146",0.10
"134","disabled people > en > financialsupport/disabilitylivingallowance/  disability living allowance : directgov - disabled people",0.00,"13,368","9,250",0.31
"135","travel and transport > en > passports/howlongittakesandurgentappplications/ dg_174148 timetable for passport applications : directgov - travel and transport",0.00,"13,328","10,914",0.19
"136","employment > en > employees/thenationalminimumwage/ dg_10027201 the national minimum wage rates : directgov - employment",0.00,"13,262","11,577",0.14
"137","pensions and retirement planning > en > pensioncredit/  pension credit : directgov - pensions and retirement planning",0.00,"13,251","9,836",0.27
"138","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/gettingstarted/whoqualifies/  tax credits - who qualifies? : directgov - money, tax and benefits",0.00,"13,125","9,798",0.26
"139","travel and transport > en > passports/applyingforaneworrenewedchildpassport/  applying for a new or renewed child passport : directgov - travel and transport",0.00,"13,025","9,644",0.27
"140","motoring > en > motoringtransactions/beforeyouapplyd/ dg_066956 apply online to renew your driving licence at age 70 or over : directgov - motoring",0.00,"13,001","9,653",0.26
"141","home and community > en > yourlocalcouncilandcounciltax/counciltax/ dg_10037383 council tax - who pays and how much : directgov - home and community",0.00,"12,983","11,220",0.14
"142","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022089 the cost of a driving licence : directgov - motoring",0.00,"12,669","11,332",0.11
"143","money tax and benefits > en > benefitstaxcreditsandothersupport/employedorlookingforwork/ dg_10014402 benefits and help when looking for work : directgov - money, tax and benefits",0.00,"12,665","10,028",0.22
"144","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_185670 income support - how to claim and how much you can get : directgov - money, tax and benefits",0.00,"12,540","10,748",0.15
"145","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/paymentsandentitlement/entitlement/ dg_181270 tax credits calculator - find out how much you can get : directgov - money, tax and benefits",0.00,"12,399","10,919",0.13
"146","government citizens and rights > en > other  dg_175464 using the general register office to research family history : directgov - government, citizens and rights",0.00,"12,234","8,917",0.28
"147","do it online > en >  dg_189931 important information about your state pension forecast : directgov - do it online",0.00,"12,220","10,824",0.12
"148","employment > en > employees/workinghoursandtimeoff/ dg_10029451 rest breaks : directgov - employment",0.00,"12,200","9,369",0.24
"149","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022091 identity documents and photograph criteria : directgov - motoring",0.00,"12,184","10,010",0.19
"150","money tax and benefits > en > taxcreditsandchildbenefit/  tax credits and child benefit : directgov - money, tax and benefits",0.00,"12,146","8,762",0.29
"151","employment > en > employees/employmentcontractsandconditions/ dg_10027905 employment contracts : directgov - employment",0.00,"11,951","8,573",0.29
"152","motoring > en > owningavehicle/untaxedvehicle/ dg_4022058 how to make a sorn (statutory off road notification) : directgov - motoring",0.00,"11,898","10,567",0.12
"153","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018923 council tax benefit : directgov - money, tax and benefits",0.00,"11,867","10,273",0.14
"154","travel and transport > en > highwaycode/ dg_070202 full contents : directgov - travel and transport",0.00,"11,856","5,693",0.52
"155","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/gettingstarted/whoqualifies/ dg_181268 check if you qualify for tax credits - quick questionnaire : directgov - money, tax and benefits",0.00,"11,818","9,730",0.18
"156","money tax and benefits > en > benefitstaxcreditsandothersupport/caringforsomeone/ dg_10018921 community care grants : directgov - money, tax and benefits",0.00,"11,586","9,641",0.18
"157","money tax and benefits > en > benefitstaxcreditsandothersupport/expectingorbringingupchildren/  expecting or bringing up children : directgov - money, tax and benefits",0.00,"11,509","6,770",0.42
"158","employment > en > employees/workinghoursandtimeoff/ dg_10029426 working time limits (the 48-hour week) : directgov - employment",0.00,"11,503","9,378",0.19
"159","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018928 local housing allowance : directgov - money, tax and benefits",0.00,"11,338","9,223",0.19
"160","money tax and benefits > en > benefitstaxcreditsandothersupport/employedorlookingforwork/  employed or looking for work : directgov - money, tax and benefits",0.00,"11,156","8,438",0.25
"161","employment > en > redundancyandleavingyourjob/redundancy/  redundancy : directgov - employment",0.00,"11,134","8,019",0.29
"162","motoring > en > buyingandsellingavehicle/adviceonbuyingandsellingavehicle/ dg_4022107 vehicle identity check : directgov - motoring",0.00,"11,106","8,603",0.23
"163","newsroom > en > other  dg_192159 proposed changes to state pension age : directgov - newsroom",0.00,"11,057","8,768",0.21
"164","motoring > en > owningavehicle/changestoyourregistrationcertificate/  changes to your registration certificate : directgov - motoring",0.00,"11,017","8,550",0.23
"165","disabled people > en > financialsupport/disabilitylivingallowance/ dg_10011816 disability living allowance - eligibility : directgov - disabled people",0.00,"10,959","8,575",0.23
"166","government citizens and rights > en > other  dg_175628 order a birth, marriage or death certificate : directgov - government, citizens and rights",0.00,"10,798","7,811",0.28
"167","money tax and benefits > en > taxcreditsandchildbenefit/childbenefits/  child benefit : directgov - money, tax and benefits",0.00,"10,757","7,613",0.30
"168","money tax and benefits > en > benefitstaxcreditsandothersupport/on_a_low_income/ dg_10018668 cold weather payment : directgov - money, tax and benefits",0.00,"10,497","8,575",0.19
"169","newsroom > en > other  dg_183037 income tax and national insurance rates for 2010-11 : directgov - newsroom",0.00,"10,475","9,117",0.14
"170","money tax and benefits > en > benefitstaxcreditsandothersupport/employedorlookingforwork/ dg_10013908 benefits and help when going back to work : directgov - money, tax and benefits",0.00,"10,270","7,625",0.26
"171","directories > en > usefulcontactsbycategory/moneytaxandbenefitscontacts/  money, tax and benefits contacts : directgov - directories",0.00,"10,152","7,873",0.23
"172","motoring > en > driverlicensing/endorsementsanddisqualifications/ dg_4022550 endorsements and penalty points : directgov - motoring",0.00,"10,103","7,462",0.27
"173","disabled people > en > financialsupport/esa/ dg_171894 employment and support allowance - introduction : directgov - disabled people",0.00,"10,082","8,135",0.20
"174","education and learning > en > adultlearning/financialhelpforadultlearners/adultlearninggrant/  adult learning grant : directgov - education and learning",0.00,"9,910","7,193",0.28
"175","money tax and benefits > en > taxes/workingandpayingtax/ dg_10016783 employee tax and national insurance : directgov - money, tax and benefits",0.00,"9,888","8,055",0.19
"176","education and learning > en > universityandhighereducation/studentfinance/applyingforthefirsttime/ dg_171523 finance for new full-time students : directgov - education and learning",0.00,"9,883","7,852",0.21
"177","education and learning > en > 14to19/moneytolearn/ema/ dg_066955 apply for ema : directgov - education and learning",0.00,"9,777","7,872",0.20
"178","travel and transport > en > publictransport/busandcoachtravel/ dg_10036264 free bus travel and concessions : directgov - travel and transport",0.00,"9,668","7,837",0.20
"179","education and learning > en > 14to19/moneytolearn/ema/ dg_066951 ema: how much, and how often? : directgov - education and learning",0.00,"9,610","8,305",0.14
"180","employment > en > jobseekers/programmesandservices/  jobcentre plus programmes and services : directgov - employment",0.00,"9,598","7,583",0.22
"181","disabled people > en > financialsupport/  financial support : directgov - disabled people",0.00,"9,505","6,155",0.36
"182","motoring > en > owningavehicle/mot/  mot : directgov - motoring",0.00,"9,397","6,992",0.26
"183","travel and transport > en > passports/loststolenordamagedpassports/ dg_174163 replace a lost, stolen or damaged passport : directgov - travel and transport",0.00,"9,391","6,756",0.29
"184","pensions and retirement planning > en > statepension/ dg_183111 claiming the basic state pension : directgov - pensions and retirement planning",0.00,"9,366","7,270",0.23
"185","caring for someone > en > moneymatters/ dg_10012522 carer's allowance - introduction : directgov - caring for someone",0.00,"9,229","7,312",0.22
"186","travel and transport > en > passports/applyingforyourfirstadultpassport/  applying for your first adult passport : directgov - travel and transport",0.00,"9,110","6,528",0.29
"187","motoring > en > learnerandnewdrivers/learningtodriveorride/ dg_4022661 minimum ages and rules for learner drivers and riders : directgov - motoring",0.00,"9,089","7,723",0.16
"188","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_283 need a new or updated licence : directgov - motoring",0.00,"9,074","7,100",0.23
"189","disabled people > en > financialsupport/esa/ dg_171896 employment and support allowance - rates : directgov - disabled people",0.00,"9,071","7,411",0.19
"190","motoring > en > driverlicensing/medicalrulesfordrivers/  medical rules for all drivers : directgov - motoring",0.00,"9,070","5,964",0.35
"191","pensions and retirement planning > en > statepension/additionalstatepension/ dg_4017827 additional state pension : directgov - pensions and retirement planning",0.00,"9,050","6,518",0.29
"192","travel and transport > en > passports/applyingforyourfirstadultpassport/ dg_174100 the application form, fee and supporting documents for a first adult passport : directgov - travel and transport",0.00,"8,977","6,867",0.24
"193","motoring > en > motoringtransactions/beforeyouapplyb/ dg_10033635 view your online driver licence applications : directgov - motoring",0.00,"8,934","7,192",0.20
"194","caring for someone > en > moneymatters/carersallowance/  carer's allowance : directgov - caring for someone",0.00,"8,904","6,138",0.32
"195","do it online > en > doitonlinebycategory/ dg_171309 paying your court fine online : directgov - do it online",0.00,"8,873","7,762",0.13
"196","money tax and benefits > en > benefitstaxcreditsandothersupport/expectingorbringingupchildren/healthinpregnancygrant/ dg_173502 help with the health in pregnancy grant : directgov - money, tax and benefits",0.00,"8,834","7,875",0.12
"197","education and learning > en > universityandhighereducation/studentfinance/applyingforthefirsttime/ dg_171539 student loans : directgov - education and learning",0.00,"8,826","6,695",0.25
"198","newsroom > en > other   newsroom : directgov - newsroom",0.00,"8,815","7,169",0.19
"199","travel and transport > en > passports/applicationinformation/ dg_174157 online passport application form explained : directgov - travel and transport",0.00,"8,727","7,215",0.18
"200","education and learning > en > universityandhighereducation/  university and higher education : directgov - education and learning",0.00,"8,700","6,853",0.22
"201","motoring > en > driverlicensing/drivingingbonaforeignlicence/ dg_4022562 exchanging your foreign driving licence : directgov - motoring",0.00,"8,686","5,503",0.37
"202","travel and transport > en > publictransport/airtravelintheuk/ dg_078179 air travel hand baggage rules : directgov - travel and transport",0.00,"8,674","7,299",0.17
"203","do it online > en > doitonlinemotoring/ dg_10031645 motoring forms : directgov - do it online",0.00,"8,665","6,837",0.22
"204","motoring > en > learnerandnewdrivers/theorytest/ dg_4022534 the theory test explained : directgov - motoring",0.00,"8,658","7,550",0.14
"205","motoring decisiontrees > en > howtoimportorexportavehicle/  can you exchange your driving licence for one issued in great britain (gb)? : directgov - do it online",0.00,"8,653","1,547",0.82
"206","education and learning > en > universityandhighereducation/studentfinance/gettingstarted/ dg_171574 eligibility for student finance : directgov - education and learning",0.00,"8,652","6,095",0.30
"207","motoring > en > personalisedregandnumberplates/ dg_4022576 transferring a registration mark and how to apply : directgov - motoring",0.00,"8,644","6,321",0.28
"208","other directgov subsite > other  do it online : directgov",0.00,"8,642","3,787",0.57
"209","directories > en >  dg_10011368 tax credit helpline : directgov - directories",0.00,"8,551","7,529",0.13
"210","pensions and retirement planning > en > statepension/ dg_180132 who to contact at the pension service : directgov - pensions and retirement planning",0.00,"8,520","5,951",0.31
"211","motoring > en > driverlicensing/needaneworupdatedlicence/ dg_4022086 renewing your driving licence at 70 plus : directgov - motoring",0.00,"8,497","6,461",0.25
"212","money tax and benefits > en > benefitstaxcreditsandothersupport/inretirement/ dg_10018657 winter fuel payment : directgov - money, tax and benefits",0.00,"8,450","6,652",0.22
"213","motoring > en > driverlicensing/whatcanyoudriveandyourobligations/  what you can drive and your obligations : directgov - motoring",0.00,"8,434","5,612",0.34
