Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,ARJO HUNTLEIGH,"73,436.75",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,PATHOLOGY SERVICES,DIRECTOR OF SERVICE DELIVERY,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"798,614.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,SW SUPPORT,DIRECTOR OF NURSING & PATIENT SERVICES,ACCENTURE UK LTD,"76,884.23",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,RESUS STOCK CONSUMABLES,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NHS SUPPLY CHAIN (DERBY),"229,160.65",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,"53,818.97",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,"86,875.20",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,RESUS STOCK CONSUMABLES,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NHS SUPPLY CHAIN (DERBY),"230,533.35",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"89,871.12",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,COMPUTER PURCHASE ACCESSORIES,DIRECTOR OF PERFORMANCE IMPROVEMENT,BT GLOBAL SERVICES,"79,059.87",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,INTERNAL AUDIT,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,PARKHILL AUDIT AGENCY,"25,602.75",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,COST OF FP 10 PRESCRIPTIONS,DIRECTOR OF NURSING & PATIENT SERVICES,BUSINESS SERVICES AUTHORITY,"25,391.17",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,RESUS STOCK CONSUMABLES,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NHS SUPPLY CHAIN (DERBY),"232,398.97",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,TELEPHONES,DIRECTOR OF PERFORMANCE IMPROVEMENT,BT PLC,"21,810.01",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"114,142.82",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/08/2013,BLOOD PRODUCTS,DIRECTOR OF SERVICE DELIVERY,NHS BLOOD AND TRANSPLANT,"79,884.09",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,VISITING CONSULTANTS,DIRECTOR OF SERVICE DELIVERY - MEDICAL SPECIALTIES,SHEFFIELD TEACHING HOSPITALS NHS TRUST,"43,530.21",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/08/2013,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,"31,137.22",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,AGENCY STAFF CONSULTANTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,"140,352.87",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,AGENCY STAFF CONSULTANTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,NL MANAGED SERVICES LTD,"41,378.18",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,RESUS STOCK CONSUMABLES,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,NHS SUPPLY CHAIN (DERBY),"235,770.38",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,FINANCIAL LEDGER,DIRECTOR OF PERFORMANCE IMPROVEMENT,MCKESSON INFORMATION SOLUTIONS,"81,100.75",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,08/08/2013,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,"68,085.60",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,"86,875.20",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,TRAINING PROVISION,CHIEF EXECUTIVE,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,"35,000.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF FACILITIES MANAGEMENT,THE SUNLIGHT SERVICE GROUP LTD,"43,871.32",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,05/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,ROCHE DIAGNOSTICS LIMITED,"41,911.20",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,EXTERNAL CONTRACTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"93,362.81",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,CONS FEE CHOOSE AND BOOK,DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY BOSTON,THE SNORING DISORDERS CENTRE LTD,"21,715.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,CPAP MACHINES,DIRECTOR OF SERVICE DELIVERY - GENERAL SURGERY BOSTON,THE SNORING DISORDERS CENTRE LTD,"99,713.27",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,EQUIPMENT >5K,CAPITAL PROGRAM,PHYSIO- CONTROL UK SALES LTD,"34,440.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,ENGIN AND MAINT EXT CONTRACTS,DIRECTOR OF FACILITIES MANAGEMENT,SCHNEIDER ELECTRIC  LTD,"29,000.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,AGENCY STAFF CONSULTANTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,"235,262.41",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,SERVICES FROM NON-NHS BODIES,DIRECTOR OF SERVICE DELIVERY,SYNERGY HEALTH (UK) LTD,"238,375.37",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,EXTERNAL CONTRACTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"28,428.50",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,ARJO HUNTLEIGH,"82,964.64",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,"52,385.52",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,"36,885.67",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,ELECTRICITY,DIRECTOR OF FACILITIES MANAGEMENT,EDF ENERGY 1 LIMITED,"38,296.36",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,HIRE OF CLINICAL EQUIPMENT,DIRECTOR OF NURSING & PATIENT SERVICES,ARJO HUNTLEIGH,"72,830.62",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,FUEL - STEAM,DIRECTOR OF FACILITIES MANAGEMENT,COFELY LTD,"32,635.74",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2013,STRUCTURE,CAPITAL PROGRAM,MOWBRAY & SON LTD,"24,126.79",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,AGENCY STAFF CONSULTANTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,"150,946.36",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,COMPUTER PURCHASE ACCESSORIES,DIRECTOR OF PERFORMANCE IMPROVEMENT,BT GLOBAL SERVICES,"75,947.51",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,EXTERNAL CONTRACTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"39,471.82",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,EXTERNAL CONTRACTS,DIRECTOR OF HUMAN RESOURCES,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"1,091.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,AGENCY STAFF CONSULTANTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,NL MANAGED SERVICES LTD,"24,835.27",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,RENTS,DIRECTOR OF FACILITIES MANAGEMENT,PROGRESS CARE HOUSING ASSOCIATION LTD,"83,606.85",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,AGENCY STAFF CONSULTANTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,NL MANAGED SERVICES LTD,"28,108.79",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,19/08/2013,CHILDCARE VOUCHERS,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,KIDDIVOUCHERS LTD,"38,567.16",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,AGENCY STAFF CONSULTANTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,"190,388.63",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, LINCOLN & LOUTH",NHS LITIGATION AUTHORITY,"151,580.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,CNST CONTRIBUTIONS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,NHS LITIGATION AUTHORITY,"668,210.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,CNST CONTRIBUTIONS,"DIRECTOR OF SERVICE DELIVERY - WOMENS & CHILDRENS, BOSTON & GRANTHAM",NHS LITIGATION AUTHORITY,"218,140.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/08/2013,CNST CONTRIBUTIONS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,NHS LITIGATION AUTHORITY,"32,573.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,"25,464.18",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,EQUIPMENT >5K,CAPITAL PROGRAM,MINDRAY (UK) LTD,"61,656.01",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"71,764.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,PHARMACY,DIRECTOR NURSING AND PATIENT SERVICES - DIAGNOSTICS,HEALTHCARE AT HOME,"53,034.40",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,POSTAGE,DIRECTOR OF FACILITIES MANAGEMENT,NEOPOST (FRANKING MACHINE),"50,000.00",Aug-13
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/08/2013,SUBSTRUCTURE,CAPITAL PROGRAM,TRENT VALLEY CONSTRUCTION LTD,"56,555.58",Aug-13
