Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Book through
"Montgomery, Sir Charles Percival",13/01/2016,,,TFL: College of Policing - 2ms,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Rapson, Ms. Sarah Oonagh",13/01/2016,,,Travel to IPT event - Fleet Street,Taxis,,,,12.00,,
"Robbins, Mr. Oliver",13/01/2016,,Brussels Midi,EXTERNAL MEETING,Air Tickets,Economy,,,252.21,,Redfern
"Storr, Mr. Peter Richard",13/01/2016,,Brussels Midi,EXTERNAL MEETING,Air Tickets,Economy,,,827.83,,Redfern
"Thomson, Mr. Mark David",13/01/2016,,,Breakfast and snack in Durham (breakfast receipt included),T&S - Subsistence,,,,20.00,,
"Williams, Mr. Glyn",13/01/2016,,,Over 5 hours worldwide travel subsistence (FCO),T&S - Overseas Expenses,,,,20.80,,
"Williams, Mr. Glyn",13/01/2016,,,charged to change to earlier time of travel,T&S - Overseas Expenses,,,,108.65,,
"Williams, Mr. Glyn",13/01/2016,,,Taxi from home to Kingscross for very early travel,T&S - Overseas Expenses,,,,60.00,,
"Williams, Mr. Glyn",13/01/2016,,Brussels Midi,EXTERNAL MEETING,Air Tickets,Economy,,,206.95,,Redfern
"Williams, Mr. Glyn",13/01/2016,,London Terminals,EXTERNAL MEETING,Rail,Standard,,,11.29,,Redfern
"Kershaw, Mr. Stephen Edward",14/01/2016,,,Travel back from visit to Morton Hall,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,56.80,,
"Martin, Mr. Ian Richard",14/01/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.96,,Redfern
"Otter, Mr. Stephen Anthony",14/01/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,56.04,,Redfern
"Storr, Mr. Peter Richard",14/01/2016,,,Metro ticket to SCIFA meeting,"T&S - Planes, Trains and Automobiles",,,,1.64,,
"Storr, Mr. Peter Richard",14/01/2016,,Brussels,EXTERNAL MEETING,,,Hotel (Foreign) Standard- One- Queen Size,,128.26,,Redfern
"Storr, Mr. Peter Richard",14/01/2016,,Brussels Midi,EXTERNAL MEETING,Air Tickets,Economy,,,282.39,,Redfern
"Storr, Mr. Peter Richard",14/01/2016,,,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Campbell, Ms. Mandie Jane",15/01/2016,,,speaking at leadership event,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.90,,
"Otter, Mr. Stephen Anthony",15/01/2016,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,20.90,,Redfern
"Parsons, Mr. Michael John",15/01/2016,,,Liv station to Capitol,Taxis,,,,4.80,,
"Parsons, Mr. Michael John",15/01/2016,,,Capitol to Liv station,Taxis,,,,4.60,,
"Parsons, Mr. Michael John",15/01/2016,,,to Euston,Taxis,,,,6.86,,
"Parsons, Mr. Michael John",15/01/2016,,,from Euston,Taxis,,,,7.74,,
"Parsons, Mr. Michael John",15/01/2016,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,47.59,,Redfern
"Robbins, Mr. Oliver",15/01/2016,,Folkestone West,EXTERNAL MEETING,Rail,Standard,,,42.82,,Redfern
"Storr, Mr. Peter Richard",16/01/2016,,,INTERNAL MEETING,,,Hotel Fee ,,1.40,,Redfern
"Cunningham, Mr. Michael Bernard",18/01/2016,,London City,INTERNAL MEETING,,,Hotel Room,,250.71,,Redfern
"Cunningham, Mr. Michael Bernard",18/01/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,209.73,,Redfern
"Hayes, Mr. Simon Thomas",18/01/2016,,,Taxi to LHR.,T&S - Overseas Expenses,,,,44.00,,
"Hayes, Mr. Simon Thomas",18/01/2016,,Nairobi,INTERNAL MEETING,Air Tickets,World Traveller Plus,,,"7,948.26",,Redfern
"Martin, Mr. Ian Richard",18/01/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.96,,Redfern
"Oppenheim, Mr. Jeremy",18/01/2016,,,personal mobile used for business calls - 70% of bill claimed,Miscellaneous,,,,57.40,,
"Otter, Mr. Stephen Anthony",18/01/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,25.31,,Redfern
"Dottridge, Mr. Adrian Yme",19/01/2016,,Earlsfield,INTERNAL MEETING,Rail,Standard,,,8.84,,Redfern
"Dottridge, Mr. Adrian Yme",19/01/2016,,Sheffield,INTERNAL MEETING,,,Hotel Standard,,76.40,,Redfern
"Dottridge, Mr. Adrian Yme",19/01/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,115.39,,Redfern
"Hayes, Mr. Simon Thomas",19/01/2016,,,Taxi to Johannesburg airport for internal flight.,T&S - Overseas Expenses,,,,21.40,,
"Hayes, Mr. Simon Thomas",19/01/2016,,Johannesburg,INTERNAL MEETING,Air Tickets,Premium Economy,,,630.56,,Redfern
"Oppenheim, Mr. Jeremy",19/01/2016,,,taxi taken to attend extenal meeting wuith John Vine,Taxis,,,,7.70,,
"Oppenheim, Mr. Jeremy",19/01/2016,,,taxi taken on return to office following external meeting with John Vine,Taxis,,,,10.34,,
"Otter, Mr. Stephen Anthony",19/01/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,61.41,,Redfern
"Storr, Mr. Peter Richard",19/01/2016,,,UK/France Migration Talks lunch,T&S - Subsistence,,,,132.80,,
"Campbell, Ms. Mandie Jane",20/01/2016,,,tube to station for visit to Liverpool,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.80,,
"Campbell, Ms. Mandie Jane",20/01/2016,,Liverpool Lime Street,INTERNAL MEETING,Rail,Standard,,,197.20,,Redfern
"Dottridge, Mr. Adrian Yme",20/01/2016,,London St Pancras,INTERNAL MEETING,Rail,Standard,,,27.00,,Redfern
"Dottridge, Mr. Adrian Yme",20/01/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,71.00,,Redfern
"Hayes, Mr. Simon Thomas",20/01/2016,,,Lunch 20/01,T&S - Overseas Expenses,,,,3.47,,
"Hayes, Mr. Simon Thomas",20/01/2016,,,Breakfast 20/01,T&S - Overseas Expenses,,,,12.03,,
"Martin, Mr. Ian Richard",20/01/2016,,,Car parking at Bedford en route to visiting Vulcan House.,"T&S - Planes, Trains and Automobiles",,,,8.20,,
"Martin, Mr. Ian Richard",20/01/2016,,,Taxis to and from Vulcan House/Train station for visit ton Sheffield. Hard copy receipts held.,Taxis,,,,9.20,,
"Martin, Mr. Ian Richard",20/01/2016,,,Lunch purchased during visit to Sheffield office.  Hard copy receipt held.,T&S - Subsistence,,,,5.70,,
"Martin, Mr. Ian Richard",20/01/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,106.01,,Redfern
"Martin, Mr. Ian Richard",20/01/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,53.30,,Redfern
"O'brien, Mr. John",20/01/2016,,,Cobham Station to hotel. No public transport,Taxis,,,,10.00,,
"O'brien, Mr. John",20/01/2016,,,Hotel to Cobham Station.No public transport,Taxis,,,,12.00,,
"O'brien, Mr. John",20/01/2016,,Cobham & Stoke D'Abernon,CONFERENCE/EVENT,Rail,Standard,,,17.69,,Redfern
"Oppenheim, Mr. Jeremy",20/01/2016,,,taxi to Kings Cross for onward travel to Wakefield,Taxis,,,,20.68,,
"Oppenheim, Mr. Jeremy",20/01/2016,,,Excess fare incurred on train to Wakefield. Standard fare booked via Refern but no standard seating available. Cost is for upgrade to first class plus penalty fare..,"T&S - Planes, Trains and Automobiles",First,,,72.50,,
"Oppenheim, Mr. Jeremy",20/01/2016,,Leeds,EXTERNAL MEETING,Rail,Standard,,,224.00,,Redfern
"Otter, Mr. Stephen Anthony",20/01/2016,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,115.55,,Redfern
"Pratt, Mr. Alan Palaic",20/01/2016,,,Travel to Defence solution centre and return,T&S - Employee Reimbursed Mileage,,,,39.20,,
"Robbins, Mr. Oliver",20/01/2016,,East Croydon,EXTERNAL MEETING,Rail,Standard,,,11.10,,Redfern
"Storr, Mr. Peter Richard",20/01/2016,,,Working lunch for French/UK Migration Talks,T&S - Subsistence,,,,132.80,,
"Storr, Mr. Peter Richard",20/01/2016,,,Heathrow Express return ticket,"T&S - Planes, Trains and Automobiles",,,,36.00,,
"Storr, Mr. Peter Richard",20/01/2016,,Berlin Tegel,EXTERNAL MEETING,Air Tickets,Business,,,"1,081.47",,Redfern
"Thomson, Mr. Mark David",20/01/2016,,London Zones 1-4,CONFERENCE/EVENT,Rail,Standard,,,12.10,,Redfern
"Wells, Mr. Michael Charles",20/01/2016,,,Travel from station,Taxis,,,,5.00,,
"Wells, Mr. Michael Charles",20/01/2016,,,Travel back to train station,Taxis,,,,6.00,,
"Wells, Mr. Michael Charles",20/01/2016,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,148.12,,Redfern
"Williams, Mr. Glyn",20/01/2016,,Heathrow Express 4,EXTERNAL MEETING,Rail,Standard,,,42.00,,Redfern
"Williams, Mr. Glyn",20/01/2016,,London Terminals,EXTERNAL MEETING,Rail,Standard,,,4.90,,Redfern
"Cunningham, Mr. Michael Bernard",21/01/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,138.15,,Redfern
"Cunningham, Mr. Michael Bernard",21/01/2016,,,INTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Foy, Mr. Timothy John",21/01/2016,,,Drink on train between meetings,T&S - Subsistence,,,,2.95,,
"Foy, Mr. Timothy John",21/01/2016,,,Taxi,Taxis,,,,5.00,,
"Foy, Mr. Timothy John",21/01/2016,,,Meal for external meeting between Minister and groups in Bradford.,T&S - Subsistence,,,,120.00,,
"Hayes, Mr. Simon Thomas",21/01/2016,,,Dinner 21/01,T&S - Overseas Expenses,,,,23.54,,
"Hayes, Mr. Simon Thomas",21/01/2016,,,Breakfast 21/01,T&S - Overseas Expenses,,,,12.84,,
"Hepple, Mr. Tyson Julian",21/01/2016,,Middlesbrough,EXTERNAL MEETING,Rail,Standard,,,203.90,,Redfern
"Martin, Mr. Ian Richard",21/01/2016,,,"Extra ticket required to return to 2MS for pm meeting from visit to Croydon.  Ticket already held only covered travel to and from East Croydon to Flitwick, no extra travel transit stops allowed. Hard copy receipt held.","T&S - Planes, Trains and Automobiles",Standard/Economy,,,6.10,,
"Martin, Mr. Ian Richard",21/01/2016,,East Croydon,INTERNAL MEETING,Rail,Standard,,,48.04,,Redfern
"Morrison, Mr. Paul Noble Wilson",21/01/2016,,,travel from taunton station to venue,Taxis,,,,9.00,,
"Spencer, Dr. Fiona Margaret",21/01/2016,,,Project Delivery Profession Steering Group Away Day,T&S - Hotels,,,,112.80,,
"Spencer, Dr. Fiona Margaret",21/01/2016,,,Project Delivery Profession Steering Board Away Day,Taxis,,,,11.00,,
"Spencer, Dr. Fiona Margaret",21/01/2016,,Oxford,EXTERNAL MEETING,Rail,Standard,,,55.50,,Redfern
"Sutton, Mr. Kenneth David",21/01/2016,,Warrington Bank Quay,EXTERNAL MEETING,Rail,Standard,,,363.00,,Redfern
"Sutton, Mr. Kenneth David",21/01/2016,,,EXTERNAL MEETING,,,Hotel Fee ,,1.40,,Redfern
"Arnott, Dr. Robert Henry",22/01/2016,,,2MS to TottCtRd awayday,Taxis,,,,23.00,,
"Cunningham, Mr. Michael Bernard",22/01/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,185.78,,Redfern
"Cunningham, Mr. Michael Bernard",22/01/2016,,Poulton-Le-Fylde,INTERNAL MEETING,Rail,Standard,,,173.00,,Redfern
"Foy, Mr. Timothy John",22/01/2016,,,Tea for 2 officials and Minister on route to meeting,T&S - Subsistence,,,,7.17,,
"Foy, Mr. Timothy John",22/01/2016,,,Taxi between meetings,Taxis,,,,10.00,,
"Foy, Mr. Timothy John",22/01/2016,,,tea,T&S - Subsistence,,,,3.50,,
"Hepple, Mr. Tyson Julian",22/01/2016,,Cardiff Central,EXTERNAL MEETING,Rail,Standard,,,153.40,,Redfern
"Oppenheim, Mr. Jeremy",22/01/2016,,,hire car whilst attending external meeting in Wakefield,T&S - Subsistence,,,,75.89,,
"Otter, Mr. Stephen Anthony",22/01/2016,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,55.56,,Redfern
"Otter, Mr. Stephen Anthony",22/01/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,82.87,,Redfern
"Williams, Mr. Glyn",22/01/2016,,London Terminals,EXTERNAL MEETING,Rail,Standard,,,4.90,,Redfern
"Hayes, Mr. Simon Thomas",24/01/2016,,,Taxi from LHR.,T&S - Overseas Expenses,,,,55.00,,
"Storr, Mr. Peter Richard",24/01/2016,,,2 x 24 hrs Subsistence for trip to Amsterdam with Home Secretary,T&S - Subsistence,,,,109.09,,
"Storr, Mr. Peter Richard",24/01/2016,,Amsterdam,EXTERNAL MEETING,Air Tickets,Business,,,519.87,,Redfern
"Campbell, Ms. Mandie Jane",25/01/2016,,,bus and train to awayday,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,8.00,,
"Campbell, Ms. Mandie Jane",25/01/2016,,,station to Selsdon Pk Hotel,Taxis,,,,13.00,,
"Cunningham, Mr. Michael Bernard",25/01/2016,,Coventry,EXTERNAL MEETING,Rail,Standard,,,18.10,,Redfern
"Eastaugh, Mr. Tony",25/01/2016,,London,EXTERNAL MEETING,,,Hotel Room,,0.60,,Redfern
"Martin, Mr. Ian Richard",25/01/2016,,,"Car parking en route to 2MS, Liverpool and Birmingham from 25 Jan to 14 March 2016. 17 occasions.  Receipt statement uploaded","T&S - Planes, Trains and Automobiles",,,,97.20,,
"Martin, Mr. Ian Richard",25/01/2016,,ZONE U12* LONDN,EXTERNAL MEETING,Rail,Standard,,,-32.00,,Redfern
"Martin, Mr. Ian Richard",25/01/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Montgomery, Sir Charles Percival",25/01/2016,,,DG away day travel: To croydon,"T&S - Planes, Trains and Automobiles",,,,6.50,,
"Montgomery, Sir Charles Percival",25/01/2016,,,Travel to DG away day: Croydon station - Selsdon Hotel,Taxis,,,,9.85,,
"Otter, Mr. Stephen Anthony",25/01/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,13.02,,Redfern
"Robbins, Mr. Oliver",25/01/2016,,East Croydon,EXTERNAL MEETING,Rail,Standard,,,12.20,,Redfern
"Shipley, Mr. Gordon Michael",25/01/2016,,Southampton,EXTERNAL MEETING,,,Hotel Standard,,252.71,,Redfern
"Shipley, Mr. Gordon Michael",25/01/2016,,Southampton Central,EXTERNAL MEETING,Rail,Standard,,,41.23,,Redfern
"Silverman, Mr. Bernard Walter",25/01/2016,,St Albans Station,EXTERNAL MEETING,Rail,Standard,,,15.30,,Redfern
"Calam, Ms. Mary-Jane",26/01/2016,,,2MS to 2-6 Salisbury Sq EC4Y 8JX,Taxis,,,,11.00,,
"Calam, Ms. Mary-Jane",26/01/2016,,,2-6 Salisbury Sq to 2MS,Taxis,,,,13.00,,
"Campbell, Ms. Mandie Jane",26/01/2016,,,Selsdon Pk to station,Taxis,,,,11.00,,
"Campbell, Ms. Mandie Jane",26/01/2016,,,return from awayday,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.20,,
"Cunningham, Mr. Michael Bernard",26/01/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Cunningham, Mr. Michael Bernard",26/01/2016,,London Heathrow,INTERNAL MEETING,,,Hotel Standard- One- Queen Size,,127.33,,Redfern
"Cunningham, Mr. Michael Bernard",26/01/2016,,,INTERNAL MEETING,,,Hotel Fee ,,1.40,,Redfern
"Eastaugh, Mr. Tony",26/01/2016,,Manchester,EXTERNAL MEETING,,,Hotel Room,,43.20,,Redfern
"Eastaugh, Mr. Tony",26/01/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,89.50,,Redfern
"Martin, Mr. Ian Richard",26/01/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Montgomery, Sir Charles Percival",26/01/2016,,,DG away day travel: Croydon - 2ms,"T&S - Planes, Trains and Automobiles",,,,3.20,,
"Otter, Mr. Stephen Anthony",26/01/2016,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,66.29,,Redfern
"Otter, Mr. Stephen Anthony",26/01/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,64.60,,Redfern
"Sedwill, Mr. Mark",26/01/2016,,Aylesbury,EXTERNAL MEETING,Rail,Standard,,,31.60,,Redfern
"Sedwill, Mr. Mark",26/01/2016,,London Marylebone,EXTERNAL MEETING,Rail,Standard,,,9.80,,Redfern
"Storr, Mr. Peter Richard",26/01/2016,,,Heathrow Express single ticket,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,22.00,,
"Storr, Mr. Peter Richard",26/01/2016,,,Attend JHA Council with Home Secretary,T&S - Hotels,,,,407.62,,
"Thomson, Mr. Mark David",26/01/2016,,,DG Away Day at Selsdon Park Hotel,"T&S - Planes, Trains and Automobiles",,,,5.10,,
"Thomson, Mr. Mark David",26/01/2016,,,DG Away Day,T&S - Employee Reimbursed Mileage,,,,4.80,,
"Arnott, Dr. Robert Henry",27/01/2016,,,2MS to RAC - CG dinner,Taxis,,,,10.00,,
"Arnott, Dr. Robert Henry",27/01/2016,,,RAC to Victoria - CG dinner,Taxis,,,,9.00,,
"Eastaugh, Mr. Tony",27/01/2016,,Birmingham,CONFERENCE/EVENT,,,Hotel Room,,51.05,,Redfern
"Eastaugh, Mr. Tony",27/01/2016,,Birmingham New St,CONFERENCE/EVENT,Rail,Standard,,,43.20,,Redfern
"Martin, Mr. Ian Richard",27/01/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"O'brien, Mr. John",27/01/2016,,,Meeting with Weslh Govt. Tube from Charing Cross and Returmn,"T&S - Planes, Trains and Automobiles",,,,4.80,,
"O'brien, Mr. John",27/01/2016,,Cardiff Central,EXTERNAL MEETING,Rail,Standard,,,67.00,,Redfern
"O'brien, Mr. John",27/01/2016,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,111.00,,Redfern
"Oppenheim, Mr. Jeremy",27/01/2016,,,senior railcard purchased to enable cheaper rail travel throughout the year.,T&S - Subsistence,,,,30.00,,
"Parsons, Mr. Michael John",27/01/2016,,Birmingham International,CONFERENCE/EVENT,Rail,Standard,,,52.46,,Redfern
"Parsons, Mr. Michael John",27/01/2016,,,CONFERENCE/EVENT,Billback Fee,,,,0.60,,Redfern
"Robbins, Mr. Oliver",27/01/2016,,,Taxi from station to Residence,Taxis,,,,9.65,,
"Campbell, Ms. Mandie Jane",28/01/2016,,,bus and tube for visit to Bham,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.90,,
"Campbell, Ms. Mandie Jane",28/01/2016,,Birmingham New St,INTERNAL MEETING,Rail,Standard,,,43.60,,Redfern
"Hills, Mr. Gareth David",28/01/2016,,Gatwick Airport,EXTERNAL MEETING,Rail,Standard,,,30.80,,Redfern
"Ind, Mr. Hugh Timothy",28/01/2016,,,Attendance of Senior Managmement Meeting in Birmingham.  Travel to station,"T&S - Planes, Trains and Automobiles",,,,4.80,,
"Ind, Mr. Hugh Timothy",28/01/2016,,Birmingham New St,INTERNAL MEETING,Rail,Standard,,,43.60,,Redfern
"Kershaw, Mr. Stephen Edward",28/01/2016,,Birmingham New St,INTERNAL MEETING,Rail,Standard,,,43.60,,Redfern
"Martin, Mr. Ian Richard",28/01/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Parsons, Mr. Michael John",28/01/2016,,,Breakfast,T&S - Hotels,,,,11.00,,
"Robbins, Mr. Oliver",28/01/2016,,,Taxi from St Pancras to home,Taxis,,,,8.07,,
"Shipley, Mr. Gordon Michael",28/01/2016,,Edinburgh,EXTERNAL MEETING,Air Tickets,Economy,,,270.57,,Redfern
"Shipley, Mr. Gordon Michael",28/01/2016,,London Waterloo,EXTERNAL MEETING,Rail,Standard,,,40.50,,Redfern
"Sutton, Mr. Kenneth David",28/01/2016,,London St Pancras,INTERNAL MEETING,Rail,Standard,,,72.20,,Redfern
"Sutton, Mr. Kenneth David",28/01/2016,,London Zones 1-4,INTERNAL MEETING,Rail,Standard,,,13.10,,Redfern
"Campbell, Ms. Mandie Jane",29/01/2016,,,return from Bham,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Cunningham, Mr. Michael Bernard",29/01/2016,,London Euston,CONFERENCE/EVENT,Rail,Standard,,,213.00,,Redfern
