Oct-16,Arrest/Detention > Assault,Arrest/Detention > Assault with Weapon,Arrest/Detention > Child Pornography,Arrest/Detention > Child Sex,Arrest/Detention > Drugs,Arrest/Detention > Fraud,Arrest/Detention > General,Arrest/Detention > Immigration,Arrest/Detention > Missing,Arrest/Detention > Modern Slavery / Human Trafficking,Arrest/Detention > Murder / Manslaughter,Arrest/Detention > None,Arrest/Detention > Sex (not Child),Arrest/Detention > Terrorism,Arrest/Detention > Theft,Child Welfare > Child Abandonment,Child Welfare > Child Custody,Child Welfare > Child Safeguarding,Child Welfare > Missing,Child Welfare > None,Child Welfare > Parental Child Abduction,Commercial Dispute,Coroner Request,Death > Accidental,Death > Drowning,Death > Execution,Death > Hospital Death,Death > Missing,Death > Murder or Manslaughter,Death > Natural Death,Death > None,Death > RTA,Death > Suicide,Death > Unknown,Death in Custody > Missing,Death in Custody > Natural Death,Death in Custody > Suicide,Death in Custody > Unknown,Diplomatic Claim,Female Genital Mutilation,Forced Marriage,Forced Marriage - Reluctant Sponsor,Hospitalisation > Dementia,Hospitalisation > Disability,Hospitalisation > Mental Health,Hospitalisation > Missing,Hospitalisation > None,Hospitalisation > Physical Health,Missing Persons,Missing Persons > None,Property > Fraud,Property > Government,Property > Missing,Property > None,Property > Other,Travel Ban,Travel Documents > Lost/Stolen Passport,Travel Documents > Recovered Passport,Victim of Crime > Assault,Victim of Crime > Domestic Abuse,Victim of Crime > Held Against Will,Victim of Crime > Missing,Victim of Crime > Modern Slavery/Human Trafficking,Victim of Crime > None,Victim of Crime > Rape & Sexual Assault,Victim of Crime > Theft,Welfare,Whereabouts,Accident/Emergency > Air Incident,Accident/Emergency > Coach Crash,Accident/Emergency > Missing,Accident/Emergency > Natural Disaster,Accident/Emergency > None,Accident/Emergency > Not Set,Accident/Emergency > Road Traffic Accident,Accident/Emergency > Terrorist Incident,ETDs,Complaints,Compliments,Consular enquiries,Fee bearing services
Chongqing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,25,<=5
Guangzhou,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,101,<=5
Shanghai,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,186,<=5
Wuhan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,<=5,#N/A
Dili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,15,<=5
Hong Kong,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,53,<=5,0,450,57
Bali,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,6,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,9,0,<=5,33,9
Jakarta,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,72,7
Medan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surabaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagoya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Tokyo,<=5,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,11,0,<=5,225,15
Vientiane,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,<=5,14,<=5
Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,<=5,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,10,0,0,257,9
Ulaanbaatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0
Auckland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,61,20
Christchurch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,25,10,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,12,0,<=5,149,11
Port Moresby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,6,<=5
Manila,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,<=5,<=5,270,21
Singapore,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,<=5,12,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,22,0,0,257,21
Honiara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0
Seoul,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,90,<=5
Taipei,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,40,<=5
Bangkok,0,0,0,0,<=5,<=5,<=5,<=5,<=5,0,0,<=5,0,0,<=5,<=5,0,<=5,0,0,0,0,0,<=5,0,0,<=5,<=5,0,14,0,0,0,10,0,0,0,0,0,0,0,0,<=5,0,<=5,0,0,15,<=5,<=5,0,0,0,0,0,0,28,25,<=5,0,0,0,0,0,0,0,27,<=5,0,0,0,0,0,0,0,0,38,<=5,6,838,83
Chiang Mai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pattaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuku'alofa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Vila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hanoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,76,28
Ho Chi Minh City,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,8,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,116,21
Yerevan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vienna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,<=5,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,10,0,<=5,129,9
Baku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,31,0
Minsk,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Antwerp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brussels,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,20,16,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,26,0,0,236,24
Liege,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prague,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,10,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,12,0,0,71,11
Copenhagen,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,19,8,0,0,0,<=5,0,0,0,8,<=5,0,0,0,0,0,0,0,0,0,22,0,0,126,22
Tallinn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,6,<=5
Helsinki,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,<=5
Bordeaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,<=5,6,0,0,0,0,0,0,0,0,0,25,0,<=5,143,24
Lille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marseille,0,0,<=5,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,<=5,0,0,0,0,<=5,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,30,0,0,0,0,<=5,0,<=5,0,<=5,<=5,0,0,<=5,0,0,0,0,0,0,33,0,0,152,24
Paris,0,0,0,0,<=5,<=5,<=5,0,0,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,<=5,<=5,0,<=5,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,<=5,<=5,0,0,0,0,0,0,69,<=5,0,<=5,0,<=5,0,0,0,0,17,<=5,<=5,0,0,0,0,0,<=5,0,80,0,9,976,73
Strasbourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tbilisi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Berlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,<=5,<=5,0,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,37,9,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,46,0,<=5,330,43
Dusseldorf,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,27,<=5,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,196,18
Frankfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munich,<=5,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,12,0,<=5,115,12
Budapest,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,11,<=5,0,0,0,0,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,0,12,<=5,0,30,12
Reykjavik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,23,<=5
Dublin,0,0,0,<=5,0,<=5,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,<=5,15,15,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,18,0,<=5,167,18
Almaty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astana,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
Bishkek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Riga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,18,<=5
Vilnius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,<=5
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
Macao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chisinau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0
Amsterdam,<=5,0,0,0,<=5,0,<=5,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,<=5,<=5,<=5,0,0,0,0,0,0,96,10,0,0,0,0,0,0,0,0,10,<=5,0,0,0,0,0,0,0,0,105,0,<=5,280,96
Pyongyang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0
Oslo,<=5,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,<=5,0,0,0,0,0,0,0,0,0,7,0,0,109,7
Warsaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<=5,<=5,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,<=5,<=5,<=5,0,0,0,0,0,0,0,0,15,0,0,101,16
Ekaterinburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
