PlaceRef,PropDesc,RateableVal,AccountName,LiabStart,PropAddress1,PropAddress2,PropAddress3,PropAddress4,PropAddress5,PropPostCode,Address1,Address2,Address3,Address4,Address5,PostCode,MandRlfCd,DiscRlfCd,AddRlfCd,MandRlf,DiscRlf,AdditionalRlf,SBRRlf,TRDisc/SSBCd,TRDisc/SSBAmt
0787005009,WAREHOUSE AND PREMISES,4200,AUGMENTED AGENTS LTD,01/04/1990,5 BOURNE STREET,STOCKPORT,,,,SK4 1PZ,5 BOURNE STREET,STOCKPORT,,,,SK4 1PZ,,,,0,0,0,0,,0
0825229009,BANK AND PREMISES,10750,ROYAL BANK OF SCOTLAND PLC,01/04/1990,229-231 BRAMHALL LANE,DAVENPORT,STOCKPORT,,,SK2 6JD,C/O BILFINGER GVA,PO BOX  6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
0826007009,SHOP AND PREMISES,18250,CANCER RESEARCH UK,01/04/1990,7 BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,,SK7 1AL,C/O RATE ACCOUNT MANAGMENT,COLLIERS INTERNATIONAL PROPERTY ADVISERS,12TH FLOOR ELEVEN BRINDLEYYPLACE,2 BRUNSWICK SQUARE,BRINDLEY PLACE BIRMINGHHAM,B1 2LP,MAN,,,7197.8,0,0,0,,0
0826021009,BANK AND PREMISES,38000,NATIONAL WESTMINSTER BANK PLC,01/04/1990,21 BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,,SK7 1AL,C/O GVA,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
0826029009,OFFICES AND PREMISES,17000,THE HUMANE RESEARCH TRUST,01/04/1990,29 BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,,SK7 2DN,29 BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,,SK7 2DN,MAN,,,6704.8,0,0,0,,0
0826050009,BANK AND PREMISES,25500,ROYAL BANK OF SCOTLAND PLC,01/04/1990,50 BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,,SK7 1AH,C/O BILFINGER GVA,PO BOX  6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
0827095049,STORE OFFICE AND PREMISES,7800,AIROWING ENGINEERING LTD,01/02/1998,UNIT 4,NATIONAL TRADING ESTATE,BRAMHALL MOOR LANE,HAZEL GROVE,STOCKPORT,SK7 5AA,UNIT 4,NATIONAL TRADING ESTATE,BRAMHALL MOOR LANE,HAZEL GROVE,STOCKPORT,SK7 5AA,,,,0,0,0,3386.36,,0
0827095209,WAREHOUSE OFFICE AND PREMISES,9900,GROVE PLUMBING & HEATING SUPPLIES LTD,01/04/1990,UNIT 11A,NATIONAL TRADING ESTATE,BRAMHALL MOOR LANE,HAZEL GROVE,STOCKPORT,SK7 5AA,UNIT 11A,NATIONAL TRADING ESTATE,BRAMHALL MOOR LANE,HAZEL GROVE,STOCKPORT,SK7 5AA,,LDS,,0,66.64,0,0,,0
0872013009,CLUB AND PREMISES,23000,BROOKDALE GROUP LTD,01/04/1990,COMMUNITY CENTRE,13 BRIDGE LANE,BRAMHALL,STOCKPORT,,SK7 3AB,COMMUNITY CENTRE,13 BRIDGE LANE,BRAMHALL,STOCKPORT,,SK7 3AB,,DR,,0,5520,0,0,,0
0888103019,WORKSHOP AND PREMISES,6400,D & S SHOPFITTERS LTD,01/04/1990,103 BRINKSWAY,STOCKPORT,,,,SK3 0BZ,103 BRINKSWAY,STOCKPORT,,,,SK3 0BZ,,,,0,0,0,3072,,0
5098129029,SHOP AND PREMISES,12250,CANCER RESEARCH UK,18/10/1991,129B LONDON ROAD,HAZEL GROVE,STOCKPORT,,,SK7 4HH,C/O RATE ACCOUNT MANAGMENT,COLLIERS INTERNATIONAL PROPERTY ADVISERS,12TH FLOOR ELEVEN BRINDLEYYPLACE,2 BRUNSWICK SQUARE,BRINDLEY PLACE BIRMINGHHAM,B1 2LP,MAN,,,4831.4,0,0,0,,0
1007002019,SHOP AND PREMISES,3250,SHORT'N' CURLY LTD,01/04/1990,2A BUXTON ROAD,HAZEL GROVE,STOCKPORT,,,SK7 6AD,2A BUXTON ROAD,HAZEL GROVE,STOCKPORT,,,SK7 6AD,,,,0,0,0,1560,,0
2513009009,SHOP AND PREMISES,7200,C D INTERIORS LTD,19/07/2002,9 DORCHESTER PARADE,HAZEL GROVE,STOCKPORT,,,SK7 5HA,9 DORCHESTER PARADE,HAZEL GROVE,STOCKPORT,,,SK7 5HA,,,,0,0,0,3214.17,,0
1009033009,SHOP AND PREMISES,11750,CITY LOCK & SAFE LTD,01/04/1990,33 BUXTON ROAD,STOCKPORT,,,,SK2 6LS,33 BUXTON ROAD,STOCKPORT,,,,SK2 6LH,,,,0,0,0,5640,,0
1737001029,OFFICE AND PREMISES,14500,DUSCOVENT ENGINEERING LTD,16/04/1990,2ND FLOOR CHURCH ROAD,HEATON NORRIS,STOCKPORT,,,SK4 1HW,86 WELLINGTON ROAD NORTH,HEATON NORRIS,STOCKPORT,,,SK4 1HT,,,,0,0,0,1160,,0
1009070009,SHOP AND PREMISES,14000,A R HURST (LITHAPRINT) LTD,01/04/1990,70-72 BUXTON ROAD,STOCKPORT,,,,SK2 6NB,70-72 BUXTON ROAD,STOCKPORT,,,,SK2 6NB,,,,0,0,0,2240,,0
1009121009,SHOP OFFICES AND PREMISES,12000,GS SYSTEMS LTD,01/04/1990,119-121 BUXTON ROAD,STOCKPORT,,,,SK2 6LR,119-121 BUXTON ROAD,STOCKPORT,,,,SK2 6LR,,,,0,0,0,5760,,0
1009128009,OFFICES CAR SPACE AND PREMISES,10750,DAVID E HANLEY & CO,01/04/1990,128 BUXTON ROAD,STOCKPORT,,,,SK2 6PL,128 BUXTON ROAD,STOCKPORT,,,,SK2 6PL,,,,0,0,0,5160,,0
1009224009,VEHICLE REPAIR WORKSHOP AND PREMISES,48000,DAVENPORT GARAGES LTD,01/04/1990,224 BUXTON ROAD,STOCKPORT,,,,SK2 7AE,C/O LAMBERT SMITH HAMPTON,RATES MANAGEMENT,INTERCHANGE PLACE,EDMUND STREET,BIRMINGHAM,B3 2TA,,,,0,0,0,0,,0
3458049019,ADVERTISING RIGHT,2950,CLEAR CHANNEL UK LTD,01/04/1991,ADJ,49 GREAT PORTWOOD STREET,STOCKPORT,,,SK1 2DW,NNDR DEPT,ONION GATE,GUILDFORD ROAD,WOKING,SURREY,GU22 7NJ,,,,0,0,0,0,,0
5516005099,WORKSHOP OFFICE AND PREMISES,7100,DEVONSHIRE INTERIORS LTD,03/04/1995,UNIT 9,MARSLAND STREET,HAZEL GROVE,STOCKPORT,,SK7 4ER,UNIT 9 MARSLAND STREET,HAZEL GROVE,STOCKPORT,,,SK7 4ER,,,,0,0,0,3408,,0
1009322009,SHOP AND PREMISES,5000,KRISTOPHA LTD,01/04/1990,322 BUXTON ROAD,STOCKPORT,,,,SK2 7DD,322 BUXTON ROAD,STOCKPORT,,,,SK2 7DD,,,,0,0,0,2324.53,,0
1009329009,SHOP AND PREMISES,15000,CURTAINCRAFT STOCKPORT LTD,01/04/1990,329 BUXTON ROAD,STOCKPORT,,,,SK2 7NL,329 BUXTON ROAD,STOCKPORT,,,,SK2 7NL,,LDS,,0,233.5,0,0,,0
0080065009,WAREHOUSE AND PREMISES,10750,OMEGA PRINT & DESIGN LTD,01/04/1998,WAREHOUSE & PREMISES,ALLDIS STREET,GREAT MOOR,STOCKPORT,,SK2 7PA,15 ALLDIS STREET,GREAT MOOR,STOCKPORT,,,SK2 7PA,,,,0,0,0,5160,,0
1009436009,CHAPEL OF REST AND PREMISES,16250,C  MIDDLETON & SON LTD,01/04/1990,436 BUXTON ROAD,STOCKPORT,,,,SK2 7JQ,436 BUXTON ROAD,STOCKPORT,,,,SK2 7JQ,,LDS,,0,190.69,0,0,,0
1009492009,SCHOOL AND PREMISES,695000,STOCKPORT GRAMMAR SCHOOL,01/04/1990,STOCKPORT GRAMMAR SCHOOL,BUXTON ROAD,STOCKPORT,,,SK2 7AF,TO THE BURSAR,STOCKPORT GRAMMAR SCHOOL,BUXTON ROAD,STOCKPORT,,SK2 7AF,MAN,,,274108,0,0,0,,0
1010002019,VEHICLE REPAIR WORKSHOP AND PREMISES,13750,LAMBS CAR & COMMERCIAL LTD,01/04/1990,LAMBS GARAGE,BUXTON STREET,HAZEL GROVE,STOCKPORT,,SK7 4BB,LAMBS GARAGE,BUXTON STREET,HAZEL GROVE,STOCKPORT,,SK7 4BB,,,,0,0,0,2749.36,,0
1568049009,LAND USED FOR STORAGE AND PREMISES,6400,RENTON SCRAP METAL PROCESSORS LTD,01/04/1990,STORAGE LAND,CANAL STREET,OFF MIDDLE HILLGATE,STOCKPORT,,SK1 3BZ,STORAGE LAND,CANAL STREET,OFF MIDDLE HILLGATE,STOCKPORT,,SK1 3BZ,,,,0,0,0,0,,0
1602042009,TENNIS CLUB AND PREMISES,26750,BRAMHALL LANE LAWN TENNIS CLUB,01/04/1990,TENNIS COURTS,CARRWOOD AVENUE,BRAMHALL,STOCKPORT,,SK7 2PY,C/O HON TREASURER,RAMSDALE ROAD,BRAMHALL,STOCKPORT,,SK7 2PZ,,DR,,0,6420,0,0,,0
1734001079,SHOP AND PREMISES,10250,B & D CLARKE LTD T/A BARGAIN BOOZE,22/06/2002,UNIT 2 AT,LADBROOKE HOUSE,1 CHURCH ROAD,GATLEY,CHEADLE,SK8 4NG,UNIT 2 AT,LADBROOKE HOUSE,1 CHURCH ROAD,GATLEY,CHEADLE,SK8 4NG,,,,0,0,0,4132.5,,0
1615072009,SHOP AND PREMISES,40500,THOMAS TWEEDIE & SON LTD,01/04/1990,70-80 CASTLE STREET,EDGELEY,STOCKPORT,,,SK3 9AD,70-80 CASTLE STREET,EDGELEY,STOCKPORT,,,SK3 9AD,,LDS,,0,198.45,0,0,,0
1615096009,SHOP AND PREMISES,10500,CASTLE STREET CAR CARE LTD,01/04/1990,96-98 CASTLE STREET,EDGELEY,STOCKPORT,,,SK3 9AL,96-98 CASTLE STREET,EDGELEY,STOCKPORT,,,SK3 9AL,,,,0,0,0,5040,,0
1615131009,BANK AND PREMISES,18500,LLOYDS BANK PLC,01/04/1990,131-135 CASTLE STREET,EDGELEY,STOCKPORT,,,SK3 9AR,C/O CBRE COPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,,,,0,0,0,0,,0
1700015009,CLUB AND PREMISES,11750,HAZEL GROVE & DISTRICT CONSERVATIVE CLUB,01/04/1990,15 CHESTER ROAD,HAZEL GROVE,STOCKPORT,,,SK7 5NU,15 CHESTER ROAD,HAZEL GROVE,STOCKPORT,,,SK7 5NU,,,,0,0,0,5640,,0
1931340009,STORAGE DEPOT AND PREMISES,305000,PHILLIPS 66  LTD,01/04/1990,BRAMHALL OIL TERMINAL,CHESTER ROAD,WOODFORD,STOCKPORT,,SK12 1DS,PO BOX 96,IMMINGHAM,,,,DN40 9AP,,,,0,0,0,0,,0
1931450009,COMMUNITY CENTRE AND PREMISES,10000,WOODFORD WAR MEMORIAL COMMUNITY CENTRE,01/04/1990,COMMUNITY CENTRE,CHESTER ROAD,WOODFORD,STOCKPORT,,SK7 1QS,THE TREASURER,COMMUNITY CENTRE,CHESTER ROAD,WOODFORD,STOCKPORT,SK7 1QS,MAN,,,3944,0,0,0,,0
1701002119,WORKSHOP OFFICE AND PREMISES,6300,POYNTON REFRIGERATION (INSTALLATIONS) LT,01/04/1990,UNIT 11,ENTERPRISE CENTRE 2,CHESTER STREET,STOCKPORT,,SK3 0BR,UNIT 11,ENTERPRISE CENTRE 2,CHESTER STREET,STOCKPORT,,SK3 0BR,,,,0,0,0,3024,,0
1701002159,WORKSHOP AND PREMISES,5800,CREIGHTON DEVELOPMENTS LTD,01/04/1990,UNIT 15,ENTERPRISE CENTRE 2,CHESTER STREET,STOCKPORT,,SK3 0BR,UNIT 15,ENTERPRISE CENTRE 2,CHESTER STREET,STOCKPORT,,SK3 0BR,,,,0,0,0,2784,,0
8493000009,WORKSHOP AND PREMISES,26250,JOHN DELANY MOTORS LTD,02/11/1998,WOOD STREET,STOCKPORT,,,,SK3 0DF,WOOD STREET,BRINKSWAY,STOCKPORT,,,SK3 0DF,,,,0,0,0,0,,0
1727021009,WORKSHOP AND PREMISES,6400,WILLIAM HOWARD & SON (STOCKPORT) LTD,01/04/1990,WORKSHOP,CHRISTIE STREET,HEMPSHAW LANE,STOCKPORT,,SK1 4LR,WORKSHOP,CHRISTIE STREET,HEMPSHAW LANE,STOCKPORT,,SK1 4LR,,,,0,0,0,3072,,0
1735021009,SHOP AND PREMISES,14750,SNAPES HOUSEHOLD STORES LTD,01/04/1990,21 CHURCH ROAD,CHEADLE HULME,CHEADLE,,,SK8 7JD,21 CHURCH ROAD,CHEADLE HULME,CHEADLE,,,SK8 7JD,,LDS,,0,210,0,514.65,SSB,335.85
1743045009,GARAGE AND PREMISES,5200,CHURCHGATE AUTOS LTD,01/04/1990,64B CHURCHGATE,STOCKPORT,,,,SK1 1YJ,64B CHURCHGATE,STOCKPORT,,,,SK1 1YJ,,,,0,0,0,2496,,0
1817030029,GARAGE AND PREMISES,7900,GENERAL MOTOR CO LTD,01/04/1990,30 COOKE STREET,HAZEL GROVE,STOCKPORT,,,SK7 4EG,30 COOKE STREET,HAZEL GROVE,STOCKPORT,,,SK7 4EG,,,,0,0,0,3792,,0
8326000009,OFFICES AND PREMISES,7600,METRO TAXIS LTD,18/10/1999,SNIPE COURT,WARREN STREET,PORTWOOD,STOCKPORT,,SK1 1UD,112 GEORGES ROAD,HEATON NORRIS,STOCKPORT,,,SK4 1DN,,,,0,0,0,0,,0
3380112019,WORKSHOP AND PREMISES,12000,METRO TAXIS LTD,31/03/2003,112 GEORGES ROAD,HEATON NORRIS,STOCKPORT,,,SK4 1DN,112 GEORGES ROAD,HEATON NORRIS,STOCKPORT,,,SK4 1DN,,,,0,0,0,0,,0
1837029009,WAREHOUSE OFFICE AND PREMISES,105000,BRITISH TRIMMINGS LTD,01/04/1990,UNIT 1,CORONATION POINT,CORONATION STREET,STOCKPORT,,SK5 7PJ,FAO ACCOUNTS DEPT,PO BOX 46,CORONATION STREET,STOCKPORT,,SK5 7PJ,,,,0,0,0,0,,0
1868060009,WORKSHOP AND PREMISES,4300,THOMPSON BROS STOCKPORT LTD,01/04/1990,18A CRESCENT ROAD,BRINNINGTON,STOCKPORT,,,SK1 2QQ,18A CRESCENT ROAD,BRINNINGTON,STOCKPORT,,,SK1 2QQ,,,,0,0,0,2064,,0
1882024009,WORKSHOP OFFICES AND PREMISES,71500,MANUFAX ENGINEERING CO LTD,01/04/1990,REYNOLDS MILL,CROMER STREET,STOCKPORT,,,SK1 2NY,REYNOLDS MILL,CROMER STREET,STOCKPORT,,,SK1 2NY,,,,0,0,0,0,,0
2452006009,SHOP AND PREMISES,19250,EDWARD MEEKS LTD,01/04/1990,6 DEANERY WAY,STOCKPORT,,,,SK1 1PP,21 STAVELEIGH MALL,LADYSMITH SHOPPING CENTRE,ASHTON U LYNE,,,OL6 7JS,,,,0,0,0,0,,0
2527002009,TENNIS CLUB AND PREMISES,7800,HAZEL GROVE BOWLING & TENNIS CLUB,01/04/1990,H G BOWLING & TENNIS CLUB,DOUGLAS ROAD,HAZEL GROVE,STOCKPORT,,SK7 4JG,THE SECRETARY,DOUGLAS ROAD,HAZEL GROVE,STOCKPORT,,SK7 4JG,CASC80,,,3076.32,0,0,0,,0
2751000009,WAREHOUSE AND PREMISES,60000,JEWSON LTD,01/04/1990,WAREHOUSE & PREMISES,EARL ROAD,CHEADLE HULME,CHEADLE,,SK8 6PT,RECONCILIATION DEPARTMENT,SGBD,PO BOX 65,NATIONAL PAYMENTS CENTRE,HUDDERSFIELD,HD1 1XL,,,,0,0,0,0,,0
0212024099,WAREHOUSE OFFICE AND PREMISES,79500,JEWSON LTD,01/12/1997,ADSWOOD ROAD,CHEADLE HULME,CHEADLE,,,SK8 5QY,RECONCILIATION DEPARTMENT,SGBD,PO BOX 65,NATIONAL PAYMENTS CENTRE,HUDDERSFIELD,HD1 1XL,,,,0,0,0,0,,0
3500331009,WAREHOUSE OFFICE AND PREMISES,125000,JEWSON LTD,01/12/1997,GREG STREET,SOUTH REDDISH,STOCKPORT,,,SK5 7NW,RECONCILIATION DEPARTMENT,SGBD,PO BOX 65,NATIONAL PAYMENTS CENTRE,HUDDERSFIELD,HD1 1XL,,,,0,0,0,0,,0
2751000099,WAREHOUSE OFFICE AND PREMISES,45750,TOPPS TILES PLC,01/04/1990,WAREHOUSE & OFFICES,EARL ROAD,CHEADLE HULME,CHEADLE,,SK8 6PT,FINANCE DEPARTMENT,THORPE WAY,GROVE PARK,ENDERBY,LEICESTER,LE19 1SU,,,,0,0,0,0,,0
2779038009,DAY NURSERY AND PREMISES,13000,HAZELWOOD NURSERY LTD,01/04/1990,38 EDGELEY ROAD,CHEADLE HEATH,STOCKPORT,,,SK3 9NQ,38 EDGELEY ROAD,CHEADLE HEATH,STOCKPORT,,,SK3 9NQ,,LDS1,,0,143.41,0,3175.9,,0
2779151019,CLUB AND PREMISES,6200,THE GRANGE CLUB STOCKPORT,01/04/1990,151 EDGELEY ROAD,CHEADLE HEATH,STOCKPORT,,,SK3 0TL,151 EDGELEY ROAD,CHEADLE HEATH,STOCKPORT,,,SK3 0TL,,,,0,0,0,2976,,0
2779261039,WORKSHOP AND PREMISES,11250,BARBERS BODYSHOP LTD,01/04/1990,263 EDGELEY ROAD,CHEADLE HEATH,STOCKPORT,,,SK3 0TR,263 EDGELEY ROAD,CHEADLE HEATH,STOCKPORT,,,SK3 0TR,,,,0,0,0,5400,,0
7262001009,CAFE AND PREMISES,35000,SELECT SERVICE PARTNER LTD,01/04/1990,CAFE EDGELEY STATION,SHAW HEATH,STOCKPORT,,,SK3 9HZ,C/O JONES LANG LASELLE,ONE PICCADILLY GARDENS,MANCHESTER,,,M1 1RG,,,,0,0,0,0,,0
7262006009,SITE OF PHOTO BOOTH,750,PHOTO-ME INTERNATIONAL PLC,01/04/1990,PHOTOGRAPHIC KIOSK,EDGELEY STATION,SHAW HEATH,STOCKPORT,,SK3 9HZ,BUSINESS RATES SECTION,UNIT 3B BLENHEIM ROAD,EPSOM,SURREY,,KT19 9AP,,,,0,0,0,0,,0
5602017009,SHOP AND PREMISES,17500,HOME HEATING & PLUMBING SUPPLIES LTD,29/01/1993,17 MIDDLE HILLGATE,STOCKPORT,,,,SK1 3AY,ALPHA HOUSE,4 GREEK STREET,STOCKPORT,,,SK3 8AB,,,,0,0,0,0,,0
3172105059,WORKSHOP AND PREMISES,5800,KATHLEEN BURGON EXPERT CATERING LTD,01/04/1990,UNIT E5,ENTERPRISE CENTRE 2,FORD STREET,CHESTERGATE,STOCKPORT,SK3 0BT,UNIT E5,ENTERPRISE CENTRE 2,FORD STREET,CHESTERGATE,STOCKPORT,SK3 0BT,,,,0,0,0,2784,,0
3415034019,VEHICLE REPAIR WORKSHOP AND PREMISES,16000,PINNACLE MOTOR ENG CO LTD,01/04/1990,34A GORDON STREET,LANCASHIRE HILL,STOCKPORT,,,SK4 1RS,34A GORDON STREET,LANCASHIRE HILL,STOCKPORT,,,SK4 1RS,,,,0,0,0,0,,0
3420078009,WORKSHOP AND PREMISES,24000,M T KAILL (PLANT HIRE) LTD,01/04/1990,GORSEY MOUNT STREET,OFFERTON,STOCKPORT,,,SK1 4DU,GORSEY MOUNT STREET,OFFERTON,STOCKPORT,,,SK1 4DU,,,,0,0,0,0,,0
3420078019,LAND USED FOR STORAGE,4450,M T KAILL (PLANT HIRE) LTD,01/12/2003,STORAGE COMPOUND,GORSEY MOUNT STREET,OFFERTON,STOCKPORT,,SK1 4DU,STORAGE COMPOUND,GORSEY MOUNT STREET,OFFERTON,STOCKPORT,,SK1 4DU,,,,0,0,0,0,,0
6896019009,WORKSHOP AND PREMISES,5700,IAN RHODES (MOTOR ENGINEERS ) LTD,01/01/1994,UNIT 19,PORTWOOD IND ESTATE,ROMILEY STREET,PORTWOOD,STOCKPORT,SK1 2LB,UNIT 19,ROMILEY STREET,PORTWOOD,STOCKPORT,,SK1 2JU,,,,0,0,0,2736,,0
3459003009,BANK AND PREMISES,57500,HSBC BANK PLC,01/04/1990,3-11 GREAT UNDERBANK,STOCKPORT,,,,SK1 1LH,C/O CBRE LIMITED,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,,,,0,0,0,0,,0
3459010009,BANK AND PREMISES,156000,NATIONAL WESTMINSTER BANK PLC,01/04/1990,10 GREAT UNDERBANK,& 15 MERSEYWAY,STOCKPORT,,,SK1 1LW,C/O BILFINGER GVA,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
3459012009,OFFICES AND PREMISES,19500,NATIONAL WESTMINSTER BANK LTD,01/04/1990,STO BUSINESS CENTRE,12-14 GREAT UNDERBANK,STOCKPORT,,,SK1 1LW,C/O GVA,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
3459027009,BANK AND PREMISES,47750,ROYAL BANK OF SCOTLAND PLC,01/04/1990,27 GREAT UNDERBANK,STOCKPORT,,,,SK1 1LF,C/O BILFINGER GVA,PO BOX  6079,WOLVERHAMPTON,,,WV1 9RA,,,,0,0,0,0,,0
3459040009,POST OFFICE AND PREMISES,53500,POST OFFICE LTD,01/04/1990,36-40 POST OFFICE,GREAT UNDERBANK,STOCKPORT,STOCKPORT,,SK1 1QF,C/O BNP PARIBAS REAL ESTATE,RATES MANAGEMENT UNIT,9 COLMORE ROW,BIRMINGHAM,,B3 2BJ,,,,0,0,0,0,,0
3459055009,OFFICES AND PREMISES,25000,NATIONWIDE BUILDING SOCIETY,01/04/1990,53-55 GREAT UNDERBANK,STOCKPORT,,,,SK1 1NE,FAO RATES MANAGEMENT,LAMBERT SMITH HAMPTON,INTERCHANGE PLACE,151-165 EDMUND STREET,BIRMINGHAM,B3 2TA,,,,0,0,0,0,,0
3500105019,CLUB AND PREMISES,20250,REDDISH WORKING MENS CLUB,01/04/1990,CLUB & PREMISES,GREG STREET,SOUTH REDDISH,STOCKPORT,,SK5 7LN,CLUB & PREMISES,GREG STREET,SOUTH REDDISH,STOCKPORT,,SK5 7LN,,,,0,0,0,0,,0
3522082089,GARAGE AND PREMISES,2425,DAVID BRATT & SONS (HAULAGE) LTD,01/04/1990,ADJ TO,82 GROVE LANE,CHEADLE HULME,CHEADLE,,SK8 7NB,THE OAKS 102 GROVE LANE,CHEADLE HULME,CHEADLE,,,SK8 7ND,,,,0,0,0,0,,0
3522100009,OFFICES AND PREMISES,7300,DAVID BRATT & SONS (HAULAGE) LTD,01/12/2000,THE OLD SUNDAY SCHOOL,100 GROVE LANE,CHEADLE HULME,CHEADLE,,SK8 7NB,THE OAKS 102 GROVE LANE,CHEADLE HULME,CHEADLE,,,SK8 7ND,,,,0,0,0,0,,0
3816179009,OFFICES CAR SPACE AND PREMISES,21750,SITELINK COMMUNICATIONS LTD,02/09/1990,179 HALL STREET,OFFERTON,STOCKPORT,,,SK1 4JG,18 BRIDGEWATER ROAD,HERTBURN,WASHINGTON,TYNE & WEAR,,NE37 2SG,,LDS,,0,106.58,0,0,,0
