Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410016905,"£61,108.53",RECHARGE FOR CHC FUNDED PERSONAL HEALTH BUDGET EXPENDITURE SEPT 2016,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410016906,"£28,748.30",CHC funded personal health sept 16,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410016920,"£36,018.24",LONGHILL HC RENT CHARGES OCTOBER 2016,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017088,"£300,000.00",NOVEMBER BLOCK URGENT CARE ,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017090,"£1,625,000.00",NOVEMBER CONTRACTUAL INCOME INTERGRATED COMMUNITY SERVICES 2016/17,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017091,"£109,616.66",2016/17 CONTRACT VARIATION 2016,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017094,"£54,166.67",NOVEMBER CONTRACTUAL INCOME SEXUAL HEALTH SERVICE 2016/17,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410017096,"£370,822.29",NOVEMBER 2016 CONTRACTUAL INCOME OUT OF SCOPE CONTRACT 2016/17,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410017101,"£292,448.52",NOVEMBER 2016 CONTRACTUAL INCOME DEPRESSION AND ANXIETY ,
Department of Health,03F,30/11/2016,Chrgs from SLA,PROGRAMME PROJECTS,KIER BUSINESS SERVICES LTD,90218653,"£177,572.40",SERVICES RECEIVED IN YORKSHIRE & HUMBER CCGS CONTRACT,
Department of Health,03F,30/11/2016,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR204,"£42,716.67",CONTRACT FUNDING 2016/17,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,NOV16HCCGH032,"£136,788.16",FIXED PAYMENT MONTH 8 2016,
Department of Health,03F,30/11/2016,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,NOV16HCCGHS033LIS,"£328,291.52",LIS SCHEME 15/16,
Department of Health,03F,30/11/2016,OTHER PROFESSIONAL FEES,NON RECURRENT PROGRAMMES,ATTAIN HEALTH MANAGEMENT SERVICES,PP2250,"£79,061.92",HUMBER COAST AND VALE STP EXTENSION AUGUST 2016,
Department of Health,03F,30/11/2016,Other Research Exp,COMMISSIONING - NON ACUTE,UNIVERSITY OF HULL,SOIN62434,"£29,964.00",2016/17 RESEARCH AND DEVELOPMENT,
,,,,,,,,,
