Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
Hampshire County Council,ADULT SERVICES,DAAT-Inpatient Detox,Payments to Health Authorities,05.08.2014,2210470329,11668.00,R,SOLENT NHS TRUST
Hampshire County Council,ADULT SERVICES,DAAT-Integrated Offend Manage - HIOMS,Payments to Private Contractors,18.08.2014,9400043573,65205.48,R,THE SOCIETY OF ST JAMES
Hampshire County Council,ADULT SERVICES,DAAT-Pharmaccy Services Needle Exchange,Payments to Private Contractors,18.08.2014,9400043930,9170.96,R,LLOYDS PHARMACY
Hampshire County Council,ADULT SERVICES,DAAT-Pharmacy Svs Supervised Consumptn,Payments to Private Contractors,18.08.2014,9400043930,4809.86,R,LLOYDS PHARMACY
Hampshire County Council,ADULT SERVICES,DCMHN-Andover,Electricity,27.08.2014,1100227174,729.31,R,NPOWER
Hampshire County Council,ADULT SERVICES,Directorate,"Author, Speaker and Lecturer Fees",06.08.2014,2210472743,1350.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,Directorate,Non-Staff Subsistence and Expenses,18.08.2014,3110519281,745.00,R,Adult Services
Hampshire County Council,ADULT SERVICES,HICES - Continuing Health Care,Disability Aids and Equipment,27.08.2014,2210502287,2618.00,R,PRESSURE CARE MANAGEMENT
Hampshire County Council,ADULT SERVICES,HICES - Early Years,Disability Aids and Equipment,01.08.2014,2210487176,2369.00,R,JAMES LECKEY DESIGN LTD
Hampshire County Council,ADULT SERVICES,HICES - Education,Disability Aids and Equipment,15.08.2014,2210490100,1110.00,R,DCS JONCARE LTD
Hampshire County Council,ADULT SERVICES,HICES - Education,Disability Aids and Equipment,18.08.2014,2210486262,2032.00,R,JAMES LECKEY DESIGN LTD
Hampshire County Council,ADULT SERVICES,HICES - Education,Disability Aids and Equipment,13.08.2014,2210482135,1028.00,R,MANGAR INTERNATIONAL LTD
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,28.08.2014,2210502078,509.14,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,01.08.2014,2210483875,2481.00,R,JAMES LECKEY DESIGN LTD
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,01.08.2014,2210486759,1740.00,R,JAMES LECKEY DESIGN LTD
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,15.08.2014,2210490101,1040.00,R,KINDERKEY HEALTHCARE LTD
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,01.08.2014,2210461619,1820.00,R,PRESSURE CARE MANAGEMENT
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,07.08.2014,2210474009,2471.00,R,PRESSURE CARE MANAGEMENT
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,13.08.2014,2210482117,1275.00,R,PRESSURE CARE MANAGEMENT
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,14.08.2014,2210485912,975.00,R,PRESSURE CARE MANAGEMENT
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,14.08.2014,2210501814,1259.00,R,PRESSURE CARE MANAGEMENT
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,01.08.2014,2210487339,1418.00,R,R82 UK LTD
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,26.08.2014,2210498337,3061.00,R,SCAN MOBILITY LTD
Hampshire County Council,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids and Equipment,13.08.2014,2210482101,599.00,R,SIDHIL LTD
Hampshire County Council,ADULT SERVICES,HIV-Purchased Care AD OP,Grant Aid and Donations,22.08.2014,6500004151,73569.50,R,POSITIVE ACTION NORTH BARN R C
Hampshire County Council,ADULT SERVICES,JF-Alton EMI DC RedX-EHCommN,Payments to Voluntary bodies,18.08.2014,9400043900,8541.69,R,AGE CONCERN HAMPSHIRE
Hampshire County Council,ADULT SERVICES,JF-BordonEMI DC RedX-EHCommN,Payments to Voluntary bodies,18.08.2014,9400043901,4659.51,R,AGE CONCERN HAMPSHIRE
Hampshire County Council,ADULT SERVICES,JF-Gore Grange DC-NFCommWest,Payments to Voluntary bodies,18.08.2014,9400043909,9152.24,R,AGE CONCERN HAMPSHIRE
Hampshire County Council,ADULT SERVICES,JF-KingfisherTrustDC-DeaneSupp,Payments to Voluntary bodies,18.08.2014,9400043891,6533.97,R,THE KINGFISHER TRUST
Hampshire County Council,ADULT SERVICES,JF-OP MI-DC Places-Test Valley NE Comm,Payments to Voluntary bodies,18.08.2014,9400043890,1026.41,R,ANDOVER MIND
Hampshire County Council,ADULT SERVICES,JF-OP MI-DC Places-Test Valley NE Comm,Payments to Voluntary bodies,18.08.2014,9400043917,1603.29,R,ANDOVER NEIGHBOURCARE
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),12.08.2014,2210480377,1503.00,R,A 2 B TAXI SERVICES
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),12.08.2014,2210480378,960.00,R,A 2 B TAXI SERVICES
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210478429,2608.00,R,A LINE TAXIS/CHOICE CARS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210478440,1500.00,R,A LINE TAXIS/CHOICE CARS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),07.08.2014,3110518289,1076.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),05.08.2014,2210472921,3270.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),05.08.2014,2210471962,1196.00,R,A1 RUSHMOOR RADIO TAXIS LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,3110518715,547.50,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210478464,517.00,R,ALL DISTRICT RADIO CARS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210478661,10500.00,R,ALL DISTRICT RADIO CARS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),04.08.2014,2210462098,1530.00,R,AMK CHAUFFEUR DRIVE LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),20.08.2014,2210494790,6120.00,R,AMK CHAUFFEUR DRIVE LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),05.08.2014,2210470685,1475.00,R,ANDICARS LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),21.08.2014,2210495245,697.00,R,ANDICARS LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),26.08.2014,2210500588,1012.50,R,APEX CARS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),06.08.2014,2210476532,1035.00,R,AQUA CARS LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),06.08.2014,2210491346,648.00,R,AQUA CARS LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),07.08.2014,3110518281,555.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),07.08.2014,3110518274,541.50,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),08.08.2014,2210493228,683.00,R,CARLTON TRANSPORT LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),06.08.2014,2210472754,2167.50,R,DUMAN EXECUTIVE TRAVEL SMILES CARS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),01.08.2014,2210458772,584.00,R,DUTCHY TAXIS LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210478505,675.00,R,EASTLEIGH CAB COMPANY LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),01.08.2014,2210459508,851.21,R,ELITE CARS (HAMPSHIRE) LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),07.08.2014,3110518293,515.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),08.08.2014,2210490629,840.00,R,GALLEON TAXIS LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210478405,810.00,R,GALLEON TAXIS LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),05.08.2014,2210470728,520.00,R,GEMINI CARS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),05.08.2014,2210470728,520.00,R,GEMINI CARS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),04.08.2014,2210470980,595.00,R,K & K HIRE LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),04.08.2014,2210470990,1232.00,R,K & K HIRE LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),04.08.2014,2210471011,539.00,R,K & K HIRE LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),04.08.2014,2210473428,1150.00,R,K & K HIRE LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),04.08.2014,2210473448,3726.00,R,K & K HIRE LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),04.08.2014,2210475201,938.00,R,K & K HIRE LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),13.08.2014,2210481514,1170.00,R,K & K HIRE LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),20.08.2014,2210492626,1218.00,R,K & K HIRE LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),05.08.2014,3110518057,552.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),15.08.2014,2210492799,704.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),21.08.2014,2210495235,896.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),21.08.2014,2210496353,570.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),07.08.2014,3110518280,575.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),05.08.2014,2210472520,1556.20,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),06.08.2014,2210472711,924.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),07.08.2014,2210475101,2496.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),12.08.2014,2210494889,896.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),06.08.2014,2210491370,552.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210478606,648.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210478631,1556.00,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,3110518708,662.50,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),01.08.2014,2210474512,1480.00,R,RED EXPRESS TAXIS LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),01.08.2014,2210496403,672.00,R,RED EXPRESS TAXIS LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),07.08.2014,3110518292,528.20,R,PERSONAL PAYMENTS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),01.08.2014,2210459944,623.00,R,STREAMLINE TAXIS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),15.08.2014,2210485688,1065.60,R,STREAMLINE TAXIS
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),05.08.2014,2210476234,900.00,R,TRANSMOBILITY LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),05.08.2014,2210476651,560.00,R,TRANSMOBILITY LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),06.08.2014,2210476454,1610.00,R,VICTORIA GOSDEN TRAVEL LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210478489,540.00,R,VICTORIA GOSDEN TRAVEL LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210480629,648.00,R,VICTORIA GOSDEN TRAVEL LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),11.08.2014,2210480631,542.50,R,VICTORIA GOSDEN TRAVEL LTD
Hampshire County Council,ADULT SERVICES,LD - Transport,Transport Contracts (0-8 seats),26.08.2014,2210498296,1230.00,R,VICTORIA GOSDEN TRAVEL LTD
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,14.08.2014,2210482878,2221.20,R,CHALLENGERS
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,06.08.2014,2210471261,858.04,R,GRANGE CENTRE
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,06.08.2014,2210471267,850.59,R,GRANGE CENTRE
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,29.08.2014,2210502390,848.25,R,OAK FARM LEISURE & ACTIVITIES CLUB
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,29.08.2014,2210502492,882.18,R,OAK FARM LEISURE & ACTIVITIES CLUB
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,29.08.2014,2210502515,882.18,R,OAK FARM LEISURE & ACTIVITIES CLUB
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Private Contractors,29.08.2014,2210502608,560.00,R,THRIVE  TRUNKWELL GARDEN  PROJEC
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,04.08.2014,2210460370,12030.72,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,04.08.2014,2210460370,3893.76,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,21.08.2014,2210493876,1148.16,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,21.08.2014,2210494147,648.96,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,21.08.2014,2210494950,898.56,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,21.08.2014,2210494966,898.56,R,BELLS PIECE CHESHIRE HOME
Hampshire County Council,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Voluntary bodies,26.08.2014,2210497495,573.76,R,ENHAM
Hampshire County Council,ADULT SERVICES,LD Day Service-New Forest,Contract Cleaning,06.08.2014,3400137685,1323.60,R,SUPERCLEAN SERVICES WOTHORPE LIMITE
Hampshire County Council,ADULT SERVICES,LD Day Service-New Forest,Contract Cleaning,06.08.2014,3400137689,1323.60,R,SUPERCLEAN SERVICES WOTHORPE LIMITE
Hampshire County Council,ADULT SERVICES,LD Day Service-New Forest-Non Del,Roof leak repairs,12.08.2014,3400137803,1710.16,R,SSE CONTRACTING LTD
Hampshire County Council,ADULT SERVICES,LD Day Services-Aldershot,HTM / Other Vehicle - Hire Charges,18.08.2014,2210487460,585.00,R,A LINE TAXIS/CHOICE CARS
Hampshire County Council,ADULT SERVICES,LD Day Services-Aldershot,Staff Use of Public Transport,05.08.2014,2210472918,1176.00,R,A1 RUSHMOOR RADIO TAXIS LTD
Hampshire County Council,ADULT SERVICES,LD Day Services-Aldershot,Staff Use of Public Transport,14.08.2014,2210483709,1048.00,R,A1 RUSHMOOR RADIO TAXIS LTD
Hampshire County Council,ADULT SERVICES,LD Day Services-Aldershot,Staff Use of Public Transport,14.08.2014,2210483724,997.00,R,A1 RUSHMOOR RADIO TAXIS LTD
Hampshire County Council,ADULT SERVICES,LD Day Services-Andover,Contract Cleaning,07.08.2014,3400137721,1288.69,R,NVIRO LIMITED
Hampshire County Council,ADULT SERVICES,LD Day Services-Andover,Contract Cleaning,19.08.2014,3400137883,1324.52,R,NVIRO LIMITED
Hampshire County Council,ADULT SERVICES,LD Day Services-Andover,Electricity,27.08.2014,1100227168,814.06,R,NPOWER
Hampshire County Council,ADULT SERVICES,LD Day Services-Andover,HTM / Other Vehicle - Hire Charges,01.08.2014,2210459626,2000.00,R,PIKE COACHES LIMITED
Hampshire County Council,ADULT SERVICES,LD Day Services-Andover,Transport Contracts (0-8 seats),01.08.2014,2210459603,1380.00,R,PIKE COACHES LIMITED
Hampshire County Council,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Hire of Accommodation and Facilities,08.08.2014,2210478218,980.00,R,THE PAVILION ON THE PARK
Hampshire County Council,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Hire of Accommodation and Facilities,12.08.2014,2210479508,980.00,R,THE PAVILION ON THE PARK
Hampshire County Council,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Other Expenses,08.08.2014,2210478190,980.00,R,THE PAVILION ON THE PARK
Hampshire County Council,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Other Expenses,08.08.2014,2210478194,980.00,R,THE PAVILION ON THE PARK
Hampshire County Council,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Other Expenses,08.08.2014,2210478199,980.00,R,THE PAVILION ON THE PARK
Hampshire County Council,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Other Expenses,08.08.2014,2210478227,980.00,R,THE PAVILION ON THE PARK
Hampshire County Council,ADULT SERVICES,LD Day Services-Havant,Contract Cleaning,19.08.2014,3400137888,881.77,R,HAYWARD SERVICES LTD
Hampshire County Council,ADULT SERVICES,LD Day Services-Havant,Hire of Accommodation and Facilities,01.08.2014,2210471720,1335.60,R,SPRINGWOOD COMMUNITY PARTNERSHIP
Hampshire County Council,ADULT SERVICES,LD Day Services-Park View Alton,Electricity,22.08.2014,1100226843,806.81,R,NPOWER
