"Source: RAJAR, All adults (15+), year ended Q4 2011. Reach is defined as a percentage of the area adult population who listen to a station for at least 5 minutes in the course of an average week.",,,,,,,,,,,,,
,,,,,,,,,,,,,
ni-3.6,,,,,,,,,,,,,
,,,,,,,,,,,,,
Figure 3.6,,,,,,,,,,,,,
"Share of listening hours, by nation: year to Q4 2011",,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,Other,Local/Nations Commercial,UK Commercial,BBC Local/Nations,BBC Network,,,,,,,,
England,2%,31%,12%,9%,47%,,,,,,,,
Scotland,2%,40%,13%,8%,37%,,,,,,,,
Wales,1%,25%,13%,12%,49%,,,,,,,,
N Ireland,8%,38%,9%,22%,24%,,,,,,,,
UK,2%,31%,12%,9%,46%,,,,,,,,
,,,,,,,,,,,,,
"Source: RAJAR, All adults (15+), year ended Q4 2011 Note: BBC Local/Nations includes: BBC Radio Scotland & Radio nan Gàidheal; BBC Radio Wales & Radio Cymru, and BBC Radio Ulster & Radio Foyle",,,,,,,,,,,,,
,,,,,,,,,,,,,
ni-3.7,,,,,,,,,,,,,
,,,,,,,,,,,,,
Figure 3.7,,,,,,,,,,,,,
Weekly reach for national / local BBC services,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,Column1,,,,,,,,,,,,
BBC Local Radio in England,19%,,,,,,,,,,,,
BBC Radio Ulster/Foyle,38%,,,,,,,,,,,,
BBC Radio Scotland/Radio nan Gàidheal,23%,,,,,,,,,,,,
BBC Radio Wales/Cymru,24%,,,,,,,,,,,,
BBC Radio Wales,18%,,,,,,,,,,,,
BBC Radio Cymru,5%,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source: RAJAR, All adults (15+), year ended Q4 2011 Note: BBC Local/Nations includes: BBC Radio Scotland & Radio nan Gàidheal; BBC Radio Wales & Radio Cymru, and BBC Radio Ulster & Radio Foyle",,,,,,,,,,,,,
,,,,,,,,,,,,,
ni-3.8,,,,,,,,,,,,,
,,,,,,,,,,,,,
Figure 3.8,,,,,,,,,,,,,
Local/nations radio spend and revenue per head of population: 2011/12,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,UK nations average,England,Scotland,Wales,Northern Ireland,,,,,,,,
BBC local/nations programme spend 2011-12,3.857480075,2.83058969,7.329742209,11.17021277,13.27384272,,,,,,,,
Local commercial radio revenue 2011,6.53,6.25,7.57,5.59,6.72,,,,,,,,
,,,,,,,,,,,,,
Source: Broadcasters,,,,,,,,,,,,,
"Note: The UK total shows the average for local commercial radio across the four nations and therefore excludes revenues for the UK-wide commercial stations: Classic FM, talkSPORT and Absolute.",,,,,,,,,,,,,
