OrganisationLabel,OrganisationURI,Account Name 1,Account Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Address 6,Property Postcode,BA Reference,Account Address 1,Account Address 2,Account Address 3,Account Address 4,Account Postcode,Liability Start,Empty Prop,Empty From,Account Exemption,Property Exemption,2010 RV,2005 RV,VOA Description,Rv Chargeable,Charge 2015/16,MIN Date From   Sbrr,MAX Date To   Sbrr,Sbrr Relief,Lower Multiplier,Trans Relief,Charity Relief From,Mandatory,Mand Relief,Discretionary,Disc Relief,Retail Relief,ReOccupation Relief
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,G18 LTD T/A LIVAVA TRAINING,,,,WORKSHOP R/O,13-15 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,CH41 0DE,000175600013C6,,,,,,01/05/2011,,,,,6400,6400,WAREHOUSE AND PREMISES,3072,£204.80,01/05/2011,01/04/2016,"-£2,813.44",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MOBILE BROADBAND NETWORK LTD,,,,T-MOBILE (56574) STREETWORKS ADJ,"1, UPTON ROAD",BIRKENHEAD,MERSEYSIDE,CH41 0DE,17560056574,GVA-RATING.FID1601337,PO BOX 6079,WOLVERHAMPTON,,WV1 9RA,01/04/2010,,,,,5100,,Communication Station and Premises,2448,"£2,448.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TESCO PERSONAL FINANCE PLC,,,,ATM SITE AT 9-15 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DE,000175600015B4,C/O GL HEARN MANAGEMENT PLC,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,01/04/2010,,,,,11250,,SITE OF ATM,5400,"£5,400.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TESCO STORES LTD,,,,9 15 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DE,000175600015AA,C/O G L HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,01/04/2010,,,,,50500,,SHOP AND PREMISES,24896,"£24,896.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NESTOR PRIMECARE SERVICES LTD,ACCOUNTS PAYABLE,,,SUITES 1 3 4 & 5 AT,36 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,CH41 0DF,000175600036B5,BEACONSFIELD COURT,BEACONSFIELD RD,HATFIELD,HERTS,AL10 8HU,01/04/2005,,,,,4650,3550,OFFICES AND PREMISES,2232,"£2,232.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CO-OPERATIVE GROUP LTD,C/O RATE ACCOUNT MANAGEMENT,,,10 12 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,17560001001,COLLIERS INT PROP ADVISERS UK LLP,"12TH FLOOR,11 BRINDLEYPLACE",2 BRUNSWICK SQUARE BRINDLEYPLACE,BIRMINGHAM,B1 2LP,01/04/2010,,,,,14000,,SHOP AND PREMISES,6720,"£6,720.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CO-OPERATIVE GROUP LTD,C/O RATE ACCOUNT MANAGEMENT,,,ATM SITE AT 10-12 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,000175600010A1,COLLIERS INT PROP ADVISERS UK LLP,"12TH FLOOR,11 BRINDLEYPLACE",2 BRUNSWICK SQUARE BRINDLEYPLACE,BIRMINGHAM,B1 2LP,01/04/2010,,,,,3750,,SITE OF ATM,1800,"£1,800.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CHARLES STEPHENS (BIRKENHEAD),LTD,,,32 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,17560003204,215 BEBINGTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH42 4QA,01/11/2006,,,,,3500,3050,SHOP AND PREMISES,1680,£180.00,,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KEYLEX LTD,T/A HURSTS,,,"14-18, UPTON ROAD",BIRKENHEAD,MERSEYSIDE,,CH41 0DF,000175600014B5,16-18 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,05/04/2013,,,,,20750,,SHOP AND PREMISES,10229,"£8,729.75",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,AGE CONCERN WIRRAL,,,,34 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,17560003401,141 PARK ROAD NORTH,BIRKENHEAD,MERSEYSIDE,,CH41 0DD,01/04/2000,,,,,5500,4800,SHOP AND PREMISES,2711,£0.00,,,£0.00,,£0.00,01/04/2000,80%,"-£2,120.80",20%,-£530.20,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BARCLAYS BANK PLC,,,,28 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,17560002803,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS,01/04/2000,Y,26/07/2013,,,9100,7800,BANK AND PREMISES,4486,"£4,486.30",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DAVID PLUCK NORTH WEST LIMITED,,,,40-42 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,000175600040A4,SUITE 12B EGERTON HOUSE,TOWER ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1FN,01/04/2004,,,,,13000,11250,BETTING SHOP AND PREMISES,6240,"£6,240.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HOME START WIRRAL,,,,48 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,17560004809,30 ARGYLE STREET,BIRKENHEAD,WIRRAL,,CH41 6AE,01/06/2015,,,,,5200,4500,OFFICE AND PREMISES(GROUND FLOOR),2136,£0.00,,,,,,01/06/2015,80%,,20%,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,HOMESTART WIRRAL,,,,20 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,000175600020B3,,,,,,01/06/2013,,,,,7600,,SHOP AND PREMISES,3746,£0.00,,,£0.00,,£0.00,01/06/2013,80%,"-£2,930.56",20%,-£732.64,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,L ROWLAND & CO (RETAIL) LTD,,,,2 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,17560000206,RIVINGTON ROAD,WHITEHOUSE IND ESTATE,RUNCORN,CHESHIRE,WA7 3DJ,01/04/2000,,,,,5500,4800,SHOP AND PREMISES,2640,"£2,640.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PEMWAY LTD,,,,SUITE 6 AT 36 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,17560003609,36 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,01/04/2000,,,,,760,620,OFFICES AND PREMISES,364,£0.00,01/04/2006,01/04/2016,-£357.96,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SAMLAW DEVELOPMENTS LIMITED,,,,24 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,17560002409,10 ROKLIS MANOR,CLAUGHTON FIRS,OXTON,MERSEYSIDE,CH43 5TG,01/10/2011,Y,01/10/2011,,,6900,,SHOP AND PREMISES,3401,"£3,401.70",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WILLIAM HILL ORGANIZATION LTD,,,,4 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DF,17560000403,GREENSIDE HOUSE,50 STATION ROAD , WOOD GREEN,LONDON,N22 7TP,01/04/2000,,,,,11500,10000,BETTING SHOP AND PREMISES,5520,"£5,520.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CLAUGHTON LEISURE LTD,,,,CLAUGHTON HOTEL,50 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,CH41 0DH,17560005002,,,,,,21/07/2014,,,,,38500,18700,PUBLIC HOUSE AND PREMISES,18980,"£17,480.50",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ST JOHNS HOSPICE,,,,64 UPTON ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 0DH,0001756000640A,F.A.O. ADMINISTRATOR,MOUNT ROAD,WIRRAL,MERSEYSIDE,CH63 6JE,08/10/2010,Y,01/04/2010,,,5600,4850,SHOP AND PREMISES,2760,£0.00,,,£0.00,,£0.00,08/10/2010,80%,"-£2,159.36",20%,-£539.84,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BIDSTON AVENUE PRIMARY SCHOOL,FAO THE GOVERNORS,,,BIDSTON AVENUE PRIMARY SCHOOL,TOLLEMACHE ROAD,BIRKENHEAD,MERSEYSIDE,CH41 0DQ,000360000006A3,C/O THE ACCOUNTANCY DIVISION,CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6BU,01/04/2000,,,,,34250,32000,SCHOOL AND PREMISES,16885,"£16,885.25",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,O A S LIMITED,,,,192 BIDSTON AVENUE,BIRKENHEAD,MERSEYSIDE,,CH41 0DU,6080019205,T/A CHESHIRE CLUB SUPPS,192 BIDSTON AVENUE,BIRKENHEAD,MERSEYSIDE,CH41 0DU,01/04/2000,,,,,12000,11500,STORE AND PREMISES,5760,"£5,760.00",01/04/2005,01/04/2016,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WIRRAL METROPOLITAN COLLEGE,,,,WIRRAL METROPOLITAN COLLEGE,"AT WIRRAL WATERS, TOWER ROAD",BIRKENHEAD,WIRRAL,CH41 1AA,000371100001A1,FINANCE DEPT,WIRRAL BUSINESS & MANAGEMENT CENTRE,10 EUROPA BOULEVARD,BIRKENHEAD,CH41 4NT,07/09/2015,,,,,220000,,College and Premises,61342,£0.00,,,,,,07/09/2015,80%,,0%,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CHILDREN & YOUNG PEOPLES,DIRECTORATE,,,19 ARGYLE STREET,BIRKENHEAD,MERSEYSIDE,,CH41 1AD,26060001901,C/O ACCOUNTANCY DIVISION,MUNICIPAL BUILDING CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6BU,01/04/2004,,,,,8400,8400,CLUB AND PREMISES,4032,"£4,032.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JCDECAUX LTD,RATES ADMINISTRATOR,,,AD RIGHT G/END ARGYLE SNOOKER CLUB,ARGYLE STREET,BIRKENHEAD,MERSEYSIDE,CH41 1AD,26060011405,SUMMIT HOUSE,27 SALE PLACE,LONDON,,W2 1YR,01/04/2000,,,,,1825,1625,ADVERTISING RIGHT AND PREMISES,876,£876.00,,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PROGRESSIVE SERVICES DESIGN LTD,,,,21 ARGYLE STREET,BIRKENHEAD,MERSEYSIDE,,CH41 1AD,26060002105,,,,,,22/10/2010,Y,01/04/2010,,,8800,7000,SURGERY AND PREMISES,4224,"£1,971.07",22/10/2010,01/04/2016,"-£2,210.69",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CS ONLINE RETAIL LTD,C/O PEEL LAND & PROPERTY PORTS ,,,UNIT 8 WEST FLOAT,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1AE,0004472B000801,PEEL DOME,THE TRAFFORD CENTRE,MANCHESTER LANCS,,M17 8PL,07/10/2013,Y,13/09/2015,,Industrial Premises,40000,36500,WAREHOUSE AND PREMISES,9806,£0.00,,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DOORSTORE (WIRRAL) LTD,,,,UNIT 1 WEST FLOAT,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1AE,0004472B0001D8,9B CHESTER ROAD,WHITBY,ELLESMERE PORT,SOUTH WIRRAL,CH65 9BD,01/04/2000,,,,,20250,18500,WAREHOUSE AND PREMISES,9983,"£9,983.25",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JENKINS SHIPPING (GB) LTD,,,,SHED AT LEWIS QUAY,WEST FLOAT,BIRKENHEAD,MERSEYSIDEW,CH41 1AE,0004472B0040A1,2 MILEWATER ROAD,BELFAST HARBOUR ESTATE,BELFAST,,BT3 9AS,01/04/2012,,,,,170000,,WAREHOUSE AND PREMISES,83810,"£83,810.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,K SEAL GLASS LTD,,,,"UNITS 3-6, WEST FLOAT",DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1AE,0004472B0006F6,,,,,,01/04/2005,,,,,100000,89500,FACTORY AND PREMISES,49300,"£49,300.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,K3 PERSONALISED LTD,,,,UNIT 2 WEST FLOAT,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1AE,0004472B0002D1,,,,,,27/09/2010,,,,,19750,18250,WORKSHOP AND PREMISES,9736,"£9,736.75",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PHA KITCH ESSENTIALS LTD,,,,UNIT 7 WEST FLOAT,DOCK ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1AE,0004472B0007G7,,,,,,16/09/2010,,,,,27750,25500,WAREHOUSE AND PREMISES,13680,"£13,680.75",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,C P L ONLINE LTD,,,,BRIDGE COURT 110,CANNING STREET,BIRKENHEAD,MERSEYSIDE,CH41 1AF,000262400110J5,BRIDGE COURT,110 CANNING STREET,BIRKENHEAD,,CH41 1AF,01/07/2015,,,,,87000,,OFFICES AND PREMISES,32226,"£32,226.84",,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CLEAR CHANNEL UK LTD NNDR DEPT,,,,ADVERTISING RIGHT SITE NO 1006-04,CORNER TUNNEL ROAD,BIRKENHEAD,MERSEYSIDE,CH41 1AF,000276100001A1,ORION GATE,GUILDFORD ROAD,WOKING,,GU22 7NJ,01/04/2002,,,,,4350,4150,ADVERTISING RIGHT AND PREMISES,2088,"£2,088.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CLEAR CHANNEL UK LTD NNDR DEPT,,ADVERTISING RIGHT (MAURICE STA,-02),CORNER TUNNEL ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 1AF,27620000208,ORION GATE,GUILDFORD ROAD,WOKING,,GU22 7NJ,01/04/2002,,,,,2200,2075,ADVERTISING RIGHT AND PREMISES,1056,"£1,056.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CLEAR CHANNEL UK LTD NNDR DEPT,,ADVERTISING RIGHT (MAURICE STA,-01),CORNER TUNNEL ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 1AF,27620000301,ORION GATE,GUILDFORD ROAD,WOKING,,GU22 7NJ,01/04/2002,,,,,2200,2075,ADVERTISING RIGHT AND PREMISES,1056,"£1,056.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CLEAR CHANNEL UK LTD NNDR DEPT,,ADVERTISING RIGHT (MAURICE STA,-03),CORNER TUNNEL ROAD,BIRKENHEAD,MERSEYSIDE,,CH41 1AF,27620000104,ORION GATE,GUILDFORD ROAD,WOKING,,GU22 7NJ,01/04/2002,,,,,2200,2075,ADVERTISING RIGHT AND PREMISES,1056,"£1,056.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,COMCO DESIGNS LTD,,,,1ST FLOOR HASTINGS HOUSE,CANNING STREET,BIRKENHEAD,MERSEYSIDE,CH41 1AF,26240009901,1ST FLOOR HASTINGS HOUSE,CANNING STREET,BIRKENHEAD,MERSEYSIDE,CH41 1AF,12/11/2007,,,,,0,6500,FACTORY AND PREMISES,0,£0.00,12/11/2007,01/04/2016,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LAWTONS FURNITURE LTD,,,,81 CANNING STREET,BIRKENHEAD,MERSEYSIDE,,CH41 1AF,000262400081H6,3 POOL STREET,BIRKENHEAD,,,CH41 3NL,14/11/2015,Y,14/11/2015,,Industrial Premises,28750,25250,WORKSHOP AND PREMISES,5382,£0.00,,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BEBINGTON CAR CARE LTD,,,,2A ARGYLE STREET,BIRKENHEAD,MERSEYSIDE,,CH41 1AH,000260600002B2,,,,,,05/05/2010,,,,,6800,5900,STORE AND PREMISES,3264,£0.00,05/05/2010,01/04/2016,"-£2,775.76",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,INGEUS UK LTD,,,,2ND-3RD FLRS ATLANTIC HOUSE,"18 - 22, HAMILTON STREET",BIRKENHEAD,MERSEYSIDE,CH41 1AL,000267800018B7,FOURTH FLOOR,66 PRESCOT STREET,LONDON,,E1 8HG,26/07/2011,,,,,39500,,Offices and Premises,19473,"£19,473.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MERSEYSIDE ESTATES LTD,,,,1ST FLR ATLANTIC HOUSE,18-22 HAMILTON STREET,BIRKENHEAD,MERSEYSIDE,CH41 1AL,000267800018A2,C/O SMITH & SONS,51-52 HAMILTON SQUARE,BIRKENHEAD,MERSEYSIDE,CH41 5BN,10/07/2015,Y,10/07/2015,,,20500,,Offices and Premises,7345,"£7,345.16",,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE BISPHAM GREEN BREWERY CO LTD,,,,24-28 HAMILTON STREET,BIRKENHEAD,WIRRAL,MERSEYSIDE,CH41 1AL,000267800056C4,THE EAGLE & CHILD,BISPHAM GREEN,ORMSKIRK,LANCASHIRE,L40 3SG,12/12/2000,,,,,20250,17750,CAFE BAR SHOP AND GUEST HOUSE,9983,"£8,483.25",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ZONEFIRST PROPERTY MANAGEMENT,LTD IN LIQUIDATION,,,106 BRIDGE STREET,BIRKENHEAD,MERSEYSIDE,,CH41 1AN,26120010607,C/O BEGBIES TRAYNOR,1 WINCKLEY COURT,CHAPEL STREET,PRESTON,PR1 8BU,01/11/2012,Y,01/04/2013,Liquidator,Industrial Premises,37750,42500,FACTORY AND PREMISES,18610,£0.00,,,£0.00,,£0.00,,,£0.00,,£0.00,,
