A3131 & 2. Expenditure Over Threshold Reports (AP) Sep 16,,,,,,,,
,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Sussex Community NHS Foundation Trust,9/30/2016,PDC Div Payable Current,Balance Sheet,,PDC DIVIDEND,"489,000.00",
Department of Health,Sussex Community NHS Foundation Trust,9/30/2016,Payroll Ded'ns N/S Curr,Balance Sheet,,CHILCARE VOUCHERS,"38,775.52",
Department of Health,Sussex Community NHS Foundation Trust,9/30/2016,Commercial Sector,Deputy Director of Finance,,SSC SBS SLA,"60,817.87",
Department of Health,Sussex Community NHS Foundation Trust,9/30/2016,CNST contributions,Governance,,SSC DD/NHSLA,"27,235.83",
,,,,,,,,
,,,,,,,,
,,,,,,A3131,"5,404,640.90",
,,,,,,A3132,"693,829.22",
,,,,,,,,
,,,,,,,"6,098,470.12",
,,,,,,,,
,,,,,,,,
,,,,,,Check, -   ,
